Text,Date,Favorites,Retweets,Tweet ID
Honored to join @RepMcCaul and @RepSires in this bipartisan effort to ensure America's tax dollars are spent wisely.https://twitter.com/RepMcCaul/status/936353686904803328 …,2017-11-30 22:42:44,6,2,936364904910598147
It's been 77 days since the House sent our appropriations bills to the Senate & @SenateMajLdr - it's time to act #yourmovemitchpic.twitter.com/TNpqAHsa7y,2017-11-30 15:36:47,25,14,936257708180860928
The Senate @BudgetGOP has passed its version of #TaxReform out of committee. We are getting one step closer to much-needed tax reform.,2017-11-28 22:14:55,17,5,935633128768622592
Good to hear the #Senate is considering a vote on the #TaxCutsandJobsAct this week. This bill will reform our outdated tax code & bring tax relief for all Americans.,2017-11-27 21:31:30,12,6,935259812694233094
It’s #SmallBizSaturday ! Small businesses are the backbone of our local communities and our economy. Be sure to shop small.pic.twitter.com/eYhtO9DcjB,2017-11-25 16:36:48,7,2,934460874521300992
"We have much to be #thankful for today and everyday. So from my family to yours, Happy Thanksgiving. Enjoy a very happy & safe holiday with your family & friends!pic.twitter.com/L6OB3RsAYO",2017-11-23 17:08:46,10,5,933744142945079296
The redesignation of #NKorea as a State Sponsor of Terror (SSOT) is an overdue & essential measure in the peaceful international pressure campaign against Kim Jong-un’s pariah regimehttp://bit.ly/2jb970x ,2017-11-20 18:25:30,18,4,932676292100657152
Great to have the National Champion Florida Gator baseball team in Washington today. Congratulations on a great season and your first baseball National Championship in school history. GO Gators!!pic.twitter.com/4V0l3NefZL,2017-11-17 22:06:19,23,4,931644697210126336
Today’s vote takes us one step closer to meaningful #TaxReform that will benefit all Americans and our economy.http://bit.ly/2j2636N ,2017-11-16 23:37:22,19,3,931305223171305472
"Welcome back, Chip Morris. Great to have you back on the air. 
Radio: Familiar voice anchors the morning GOAThttp://ocala.com/news/20171115/radio-familiar-voice-anchors-morning-goat …",2017-11-15 20:43:40,3,1,930899119828324364
"Tonight, I voted to reform the National Flood Insurance Program. No longer can we allow this federal program to drain taxpayer dollars with no end in sight.http://bit.ly/2iVJjFu ",2017-11-15 00:08:29,17,5,930588278243430405
"We owe our Veterans a debt that can never be repaid. Thank you to all who have served and sacrificed for us and our freedom. #VeteransDay
https://www.facebook.com/CongressmanTedYoho/videos/2223634440995855/ …",2017-11-11 16:56:48,7,4,929392478213607424
Happy Birthday to the #USMC! #SemperFi - For 242 years the Corps has defended America. Freedom has no better friend & tyranny has no worse enemy. May God bless the Marines & all the brave men & women of our armed forces.pic.twitter.com/Fz85nqOLku,2017-11-10 19:01:10,15,6,929061388869304321
"Ileana Ros-Lehtinen, Ted Yoho Condemn China's Treatment of Tibethttps://shar.es/1POqqJ ",2017-11-07 20:49:15,5,1,928001422054117376
It was great meeting members of the @ufstudentgov. The future leadership of our country is in reliable hands. Go Gators!pic.twitter.com/sRD9j9f3v4,2017-11-07 17:49:31,5,1,927956191422054400
"My prayers are w/ all affected by the devastating event in Sutherland Springs, Texas today.",2017-11-05 23:24:46,24,6,927315783360839680
"Reminder for all seniors, Medicare Open Enrollment is Oct 15 to Dec 7. For plan info call 1-800-MEDICARE or go to http://Medicare.gov .pic.twitter.com/EZWJBUpfSd",2017-11-01 21:27:05,2,2,925836619189506048
I applaud @POTUS action on addressing the nation's #opioidepidemic. This is a national emergency that must be dealt with.https://twitter.com/WhiteHouse/status/923610591557816320 …,2017-10-26 19:03:17,24,5,923626100433018880
"The final day to register w/@fema for Individual Assistance for damage sustained w/Hurricane Irma is Nov. 9, 2017. http://bit.ly/2xpisb0 ",2017-10-26 15:06:37,4,14,923566541186174976
"Don't forget our first of two Constituent Resource and Jobs Fairs is this Fri.  3-7pm  at Charley Johns Center in Starke, See you there!pic.twitter.com/QdiYNrnGDF",2017-10-25 15:44:00,1,2,923213564650848257
"In case you missed it yesterday, here is my latest op/ed on N. Korea that ran in @DailyCaller.http://dailycaller.com/2017/10/23/the-north-korean-saga-and-solution/ …",2017-10-24 20:19:12,6,3,922920432751095808
I applaud the EPA’s decision to end ‘sue & settle.'. This abusive practice hurts farmers & small business owners.http://bit.ly/2xJ1853 ,2017-10-17 18:26:30,12,4,920355355099529217
Hate groups & groups that promote violence & anarchy have no place in our society.http://bit.ly/2x0Ei4o ,2017-10-16 20:52:08,29,16,920029616634519552
