Text,Date,Favorites,Retweets,Tweet ID
I had a great discussion via Skype with 7th & 8th grade Social Studies students at VVS this morning during the Congresswoman in your Classroom Series. Thank you to the students for their questions! #NY22pic.twitter.com/yC8fwEYfOu – at Cannon House Office Building,2017-11-30 21:03:26,9,3,936339913921921025
Nearly all regulatory agencies operate under a multi-member board or bipartisan commissions to ensure checks and balances are in place. The CFPB does not. This is a new opportunity to ensure that the CFPB is subject to rules that all other federal agencies comply with.,2017-11-29 21:10:04,2,2,935979193367695360
"The D.C. Court of Appeals declared the CFPB's  structure unconstitutional, as the unelected director “enjoys more unilateral authority than any other officer in any of the three branches of government of the U.S. Government, other than the President.”http://www.uticaod.com/news/20171128/tenney-urges-accountability-over-consumer-watchdog-group …",2017-11-29 21:09:07,3,2,935978954644770817
"The CFPB is tasked with the important mission of safeguarding consumers, but the unconstitutionally structured agency has been riddled with rampant abuses of power, unaccountable spending and a severe lack of oversight.https://tenney.house.gov/news/documentsingle.aspx?DocumentID=146 …",2017-11-29 21:07:49,3,4,935978627547660288
"Last week, I introduced the #NoPensionsforCorruptPoliticians Act to close an existing loophole that allows members of Congress convicted of bribery, perjury, conspiracy or other related crimes to continue collecting their taxpayer funded pension. #NY22pic.twitter.com/CnF2wck1sU",2017-11-27 14:06:05,3,6,935147721081737217
Thank you to all who have answered the call to serve and were unable to be with their families over the holiday.pic.twitter.com/EkB7uWaX1i,2017-11-26 22:21:14,5,2,934909942460551168
"It was a distinct honor to spend Thanksgiving with our troops in Kubal and Kandahar, Afghanistan. I joined the cooks and servers to make the dinner. The meal was excellent and I was honored to be part of an effort to make the holiday memorable for our troops!pic.twitter.com/W2iR4fxfZH",2017-11-26 22:20:04,23,11,934909648595030017
Extremely saddened to hear of the horrific terrorist attack in Sinai today. We stand united as Americans with our friends in Egypt against this act of evil.,2017-11-24 20:17:42,7,7,934154077495332869
"I am saddened to hear of the loss of former-Rep. Maurice Hinchey. He was a strong advocate for the Southern Tier and passionate about our community. I extend my most sincere condolences to his family and loved ones, and will continue to keep them in my thoughts and prayers.",2017-11-23 16:33:46,12,8,933735333346402308
"Happy Thanksgiving to everyone across the 22nd District! Today serves as an important reminder to give thanks for our loved ones, and all the service members and first responders who keep our families safe.pic.twitter.com/09cGGIy4Dx",2017-11-23 16:12:53,39,9,933730078256705536
