Text,Date,Favorites,Retweets,Tweet ID
Continually surprised that many of my colleagues think House of Cards is the ethics training video for Congress. #sassywithmassie,2017-11-29 21:33:20,684,225,935985050780426241
... because we did such a great job with healthcare.,2017-11-26 22:10:16,287,72,934907180213592066
We’re the government and we’re here to help you... with your internet.  #netneutrality #sassywithmassie,2017-11-26 22:09:18,463,167,934906938399354880
Which explains why you follow me. #sassywithmassiepic.twitter.com/dmSOpMcG3m,2017-11-26 00:17:31,80,8,934576816240693248
"if #NetNeutrality helps little guys compete with internet giants, why are internet giants for net neutrality? Asking for a friend.  http://m.washingtonexaminer.com/internet-giants-google-facebook-amazon-netflix-fight-to-save-obamas-net-neutrality-regulation/article/2628936 …",2017-11-25 15:53:34,1160,619,934449993762603010
US involvement in this war was never authorized by Congress.  Time to pull the funding plug on the #DeepState ‘s latest unconstitutional war.https://twitter.com/patrickbuchanan/status/933919385449877505 …,2017-11-24 05:16:39,497,227,933927319898599425
".@KennedyNation If I vote to raise ur taxes today, will u still be able to buy me the case of  u owe me from UCLA vs UK game?  Oh wait, I forgot you went to UCLA  #fivefingerdiscount #sassywithmassie",2017-11-16 14:26:07,148,24,931166496218214401
"Flashback to 2015: Fed Chair nominee gives lame reasons for opposing an audit of the Fed. SAD! #sassywithmassie #auditthefed #HR24
http://www.washingtonexaminer.com/rand-pauls-bill-to-audit-central-bank-misguided-says-fed-governor/article/2560005 …",2017-11-13 19:28:17,88,31,930155376783347713
Yes!  Rand is back in the lineup.https://twitter.com/randpaul/status/930104436705447937 …,2017-11-13 16:21:58,599,90,930108487404851200
What if I told you that I spent more on guns and ammo (before elected) than any gun lobby has ever given to my campaign?,2017-11-13 00:23:04,7,1,929867170875658242
I’m vociferously opposed to this bill.https://twitter.com/dailycaller/status/929845012233416704 …,2017-11-13 00:15:54,668,182,929865368851529728
"I am strongly opposed to HR 3999. 

https://www.congress.gov/bill/115th-congress/house-bill/3999 …",2017-11-11 15:06:58,257,100,929364835934064641
It’s about time!https://twitter.com/johnstossel/status/929025839022317568 …,2017-11-10 23:39:14,851,245,929131366515724288
Rep @JudgeTedPoe offered great amdt in Judiciary cmte to stop warrantless queries of Americans in 702 surveillance database. Here’s the votepic.twitter.com/lbS0Ybfkr2,2017-11-08 21:43:49,91,61,928377542679068672
"#weaponsofmassdistraction
#sassywithmassie",2017-11-04 16:22:02,16,5,926847013836197889
"Massie said smiling. ""This is a new experience for me to be excited about a bill."" #sassywithmassiehttp://www.cnn.com/2017/11/03/politics/thomas-massie-supports-tax-bill/index.html …",2017-11-03 18:25:26,208,68,926515678353510402
"As always, great to be on @KennedyNation !  We discussed the tax bill to be unveiled tmrw.  Show re-airs at midnight if you missed it.https://twitter.com/kennedynation/status/925873424060289024 …",2017-11-02 02:23:44,136,28,925911270062206976
"Hearing: 16yrs of US involvement in #afghanistan w/
@SIGARHQ John Sopko @RepWalterJones @RepJohnDuncanJr @RepDeSantis @GOPoversightpic.twitter.com/BX5FDHXHpB",2017-11-01 16:16:43,70,36,925758509991546880
"For an FCC chair, you have an awesome twitter feed. #sassywithmassie",2017-10-29 02:58:37,13,4,924470500826451968
But should we accept the premise that unlimited #’s  of these missions will continue regardless of who is President and who is in Congress?https://twitter.com/heritage/status/924336469799522306 …,2017-10-28 18:24:45,411,157,924341179960971269
I’m on it.,2017-10-26 21:51:40,12,1,923668476828504064
http://rare.us/rare-politics/house-liberty-caucus-blasts-house-budget-that-adds-5-5-trillion-to-the-debt/ …,2017-10-26 17:59:11,261,115,923609968972124162
"If you support #FairerTaxes, support the #FairTax #RepealThe16th #ThursdayThoughts https://www.congress.gov/bill/115th-congress/house-bill/25/all-info …",2017-10-26 17:36:26,207,87,923604246641238016
Me too. I stole it from my wife!,2017-10-25 05:28:10,12,4,923058582966489088
"Based on what I know right now about the bills: “No” on the budget (because it doesn’t cut spending), “Yes” on the tax cut/reform.",2017-10-24 21:22:20,62,11,922936319050964993
"If I could write the bill, that’s what I would do.",2017-10-24 20:32:19,4,2,922923733274128384
Tax cuts don’t need paid for. Spending needs paid for.  #sassywithmassie,2017-10-24 19:45:53,1100,451,922912046043353088
"If it's legal, we need to change the law, because I don't think it's constitutional.",2017-10-09 01:48:48,14,4,917205173621071873
It might follow the law but it violates Constitution. FISA 702 expires this yr.; Congress should require warrants in the renewed FISA 702,2017-10-09 01:46:18,32,8,917204543657693184
"It's just a little ironic that Trump's tweet and the title of your 2015 article say the same thing, yet you're disputing his tweet.",2017-10-09 01:21:29,10,2,917198298926153728
It is our job but many of my colleagues think this is OK and have no desire to change the law.  We have a chance to change it right now.,2017-10-09 00:27:36,29,8,917184739190169600
"""How Cardin and Corker clinched the Iran deal"" by @mkraju & @burgessev http://politico.com/story/2015/04/ …",2017-10-09 00:15:07,8,3,917181593973936129
"Maybe @realDonaldTrump  read your article titled ""How Cardin and Corker clinched the Iran deal"" #sassywithmassie http://www.politico.com/story/2015/04/ben-cardin-bob-corker-iran-deal-116979 …https://twitter.com/mkraju/status/917155759816871936 …",2017-10-08 23:12:18,126,57,917165787139502088
"To be clear, this is exactly how the program operated under Obama too.  They're advocating for keeping it the same.",2017-10-08 19:53:25,1,2,917115736606367746
That's not how it works.,2017-10-08 19:50:26,4,2,917114986006241282
Yes we can.  FISA 702 is up for reauthorization/reform by Congress.  Needs fixed.  Needs warrant requirement for US citizens.,2017-10-08 19:12:34,6,7,917105456987934720
"FISA standards established for spying on ""foreigners not on US soil"" are not adequate (or constitutional) for protecting US citizens.",2017-10-08 19:10:55,36,20,917105040095088642
FBI dir. & AG told me they can legally search #FISA 702 data for domestic crimes of US citizens (unrelated to terror) w/out a warrant #1984,2017-10-08 18:35:50,943,823,917096212523778049
"Pelosi ""They’re going to say ‘If you give them a bump stock it’s going to be a slippery slope’ I certainly hope so"" #GOP #stayofftheslopes",2017-10-08 18:21:57,182,76,917092717762633729
Ky State Senator Dick Roeding was always so kind and gracious.  I will miss him.  Prayers for his family.https://twitter.com/senatorschickel/status/916838305886621697 …,2017-10-08 01:50:05,71,15,916843108012261376
"Evenness of the audio, and length of the volley. Subsequent uneven and interrupted rounds probably from bump stocks.",2017-10-07 19:31:17,14,3,916747780500148225
"I think it's likely that the first 10 seconds of shots was from a machine gun, not a bump stock. Wait for facts before calling for new laws.",2017-10-07 19:26:42,302,77,916746625111986177
"If you listen to the contiguous 10 minute video, most of the time was spent not shooting.",2017-10-07 19:18:05,9,1,916744456573018112
Needs to be discussed: Murderer probably could have fired more rounds conventionally instead of dealing with misfires caused by #bumpstocks,2017-10-07 18:50:44,164,44,916737573875306496
"Obamacare repeal and tax reform can't happen in 9 months, but now some GOP signaling they're ready to immediately work on gun control?",2017-10-07 18:02:48,1302,470,916725512952795137
Correct.  But neither the president nor the ATF can countermand existing federal law passed by congress.,2017-10-07 14:26:15,0,1,916671015358517249
Congress asking the ATF (exec branch) to invent new law invites mischief beyond the gun-control realm and betrays our system of government,2017-10-07 12:40:14,448,186,916644333666922496
I think we absolutely need to know what firearms were used... and we don't yet!,2017-10-06 22:59:58,3,1,916437908013404165
http://www.washingtonexaminer.com/second-amendment-caucus-leader-blasts-nras-horrible-plan-for-bump-stocks/article/2636706 …,2017-10-06 15:04:45,292,108,916318314036686848
^Honest,2017-10-05 21:31:34,2,1,916053273592950784
RINO,2017-10-05 21:25:46,20,4,916051814549569537
"Proposed ""bump fire stock"" ban is a red herring that would lead to ban of other firearms and accessories.  See videohttps://youtu.be/ddPTyoV-Irc ",2017-10-05 20:52:02,826,437,916043326024908800
"""Give us the House, the Senate, and the White House and we will give you more gun control""  -said no GOP candidate ever.  What is going on?!",2017-10-05 20:06:01,901,371,916031745878671360
Republicans in Congress asking the ATF to create more (and stricter) gun laws from existing laws is a bad idea.,2017-10-05 19:38:14,522,178,916024751218241536
"Hijackers were Saudi, not Afghan and they don't need Afghanistan to carry out terrorism.  Current control of Afghanistan involves Taliban.",2017-09-30 12:44:55,7,4,914108798574452736
"Like we said with Obamacare, if you think it's expensive now, just wait till it's ""free!""",2017-09-30 12:21:40,11,6,914102946899660800
"Sorry, 140chars! Yes, I think it would require a flood of biblical proportions to carry out literally, but the misdirected funding is epic!",2017-09-30 12:20:03,5,1,914102540375068672
"Metaphorically sinking them.  $8.5x5=$42.5.  Sinking the cost of the ship, not the physical ship.",2017-09-30 11:55:59,5,1,914096483321962498
2018 war in Afghanistan $43 billion. Nimitz class aircraft carrier $8.5 billion. We're sinking 5 of them in Afghan mountains nxt year! #math,2017-09-30 11:51:12,397,197,914095280110424065
I agree with you.,2017-09-29 22:54:02,1,1,913899701489061889
"It's in the current tax code.  State and local taxes are deducted from your federal tax liability, if you itemize and exceed std. deduction",2017-09-29 13:19:52,1,1,913755204914475008
Audit the Pentagon!,2017-09-29 13:16:43,35,10,913754411490521088
Current federal theft code encourages local theft by allowing you to deduct local theft from federal theft. #sassywithmassie,2017-09-29 12:13:27,202,98,913738492756283392
Should a person in a locality with high taxes pay less for national defense than a person in a locality  with low taxes?,2017-09-29 12:07:03,182,60,913736882302914562
"Whenever you endeavor to make the tax code ""fair,"" those who benefitted from the unfair code will be very vocal. obvious tweet is obvious.",2017-09-29 01:06:30,503,135,913570648697524224
@SteveScalise ' speech today might have been the best I've ever heard in Congress.  Welcome back!,2017-09-28 20:44:03,13,4,913504602435223552
"The devil is in the details, but I like what I've seen of the GOP #TaxReform outline.",2017-09-27 19:04:05,381,104,913117056962371584
42% of seniors paid taxes TWICE on some of their social security in 2016!  My bill would eliminate the second tax.http://www.washingtonexaminer.com/massie-wants-to-eliminate-taxes-on-social-security-income/article/2634947 …,2017-09-25 15:25:22,631,289,912337238645714944
"Actually it only requires 51 votes to pass FY18 budget, just like FY17 budget.",2017-09-25 02:21:35,2,1,912139991073075200
Mentions bogus deadlinehttp://www.politico.com/story/2017/09/24/cruz-opposes-latest-obamacare-repeal-243067 …,2017-09-25 01:58:37,2,1,912134214103048192
51,2017-09-25 01:57:53,1,1,912134028769337344
Another: “September 30 is a bogus deadline” Cruz said “We can do budget reconciliation or resolution at any point.” http://www.politico.com/story/2017/09/24/cruz-opposes-latest-obamacare-repeal-243067 …,2017-09-25 01:57:09,2,1,912133841938255874
You gettin #sassywithmassie ?  ,2017-09-25 01:40:29,4,1,912129647902588928
"On Oct 1, we can pass a FY 2018 reconciliation vehicle, and contrary to another falsehood, more than one thing can be done in reconciliation",2017-09-25 01:39:30,2,2,912129401294348288
Done!  But I don't use messages on twitter very often.  I will watch for yours though!,2017-09-25 01:38:18,2,1,912129097807142912
"On Oct 1, the FY2018 budget (reconciliation vehicle) is in order, and it can be used for both tax reform and Obamacare repeal/replace.",2017-09-25 01:35:34,0,1,912128409882554368
I'm out of the cloakroom... transpartisan,2017-09-25 01:33:24,3,2,912127865294135296
"My award for most widely repeated #fakenews of the week goes to: ""reconciliation can't be used for Obamacare after Sept. 30""",2017-09-24 13:10:27,169,63,911940898774224896
I've never seen an ambulance show up as quickly as an Uber.  There has to be a better way to price/provide ambulance service.,2017-09-24 12:55:50,5,1,911937217194594304
"In a competitive market without government intervention, an epipen would cost less than $20.  It contains 25 cents of epinephrine.",2017-09-24 12:53:48,4,1,911936708475785216
You and I both want everyone to have quality affordable health care. My belief is government involvement will continue to screw that up.,2017-09-24 12:52:22,3,1,911936344758288384
"Most in The swamp are misleading the public.  On sept 30, we can pass another budget vehicle and they can do reconciliation with that bill.",2017-09-24 12:48:29,1,1,911935366898298880
Erudite,2017-09-23 23:17:48,0,1,911731351547711489
https://www.texaspolicy.com/library/doclib/Summary-of-Graham-Cassidy.pdf …,2017-09-23 23:12:10,0,1,911729934917349377
(1) sept 30 is a fake deadline (2) leadership in the house won't allow amendments,2017-09-23 23:10:57,0,1,911729630498967553
"Today, conferenced bills are extremely rare.  Fewer than 5% will go to conference.  Usually the house passes the senate bill or vice Versa.",2017-09-23 22:59:57,7,2,911726862598115329
"I might shed some light: if it passes Senate, it will come to House for a vote w/o changes.  If it passes House unchanged, no conference.",2017-09-23 22:56:08,4,2,911725902450561024
"Is every able adult entitled to food, housing, & healthcare if they decide to sit at home and do nothing? That's the prob with socialism.",2017-09-23 22:44:23,10,2,911722944396709891
Expecting cooperation between parties in DC while clamoring for members of other party to be impeached or jailed. How does that work?,2017-09-23 22:35:31,15,4,911720714171973632
Here's a summary of the bill you've heard about on TV: https://www.texaspolicy.com/library/doclib/Summary-of-Graham-Cassidy.pdf …,2017-09-23 22:22:21,5,4,911717399778426880
,2017-09-23 22:00:23,1,1,911711869416673281
