Text,Date,Favorites,Retweets,Tweet ID
It was great to have the @ProsecutorsAGV in DC to speak out against the Republicans’ dangerous gun agenda. Congress needs to listen to law enforcement and stop pushing these wrongheaded policies.pic.twitter.com/He7qjeHbE8,2017-11-30 23:30:09,9,4,936376834370961415
"According to AARP, the Republicans’ tax bill could actually raise taxes on 5.2 million seniors. I can’t think of a single reason why anyone would think raising taxes on seniors to give tax breaks to corporate interests is a good or just thing to do.http://thehill.com/policy/finance/362416-aarp-52-million-seniors-would-see-taxes-increased-by-gop-bill …",2017-11-30 22:00:25,37,31,936354252909371395
"Yesterday, the @HouseJudiciary Committee approved a “concealed carry reciprocity” bill which would force states to recognize other states’ concealed carry gun permits, even those from states with dramatically weaker permitting laws. Learn more:https://www.usatoday.com/story/news/politics/2017/11/29/house-committee-takes-up-nra-backed-concealed-carry-bill/903001001/ …",2017-11-30 20:45:31,8,8,936335403145146368
"IMPORTANT REMINDER: If you were displaced by the fires in any way, the deadline to apply for individual relief aid through FEMA is Monday, December 11. Here’s how you can apply:pic.twitter.com/zYOR3CjcIK",2017-11-29 21:30:01,6,12,935984217955201027
"Watch out, single parents. Under the GOP tax bill, you could see a tax increase. Don’t be fooled by the rhetoric coming from Republicans in Washington, any way you slice it, this bill is bad news for the middle class.https://www.cnbc.com/2017/11/27/single-parents-may-lose-in-gop-tax-overhaul.html …",2017-11-29 18:23:44,36,32,935937336487088129
"Tomorrow, @HouseJudiciary Committee will vote on “concealed carry reciprocity” bill which would force states to recognize other states’ concealed carry gun permits, even those from states with weaker permitting laws. Here's why this is a terrible idea:https://everytownresearch.org/concealed-carry-reciprocity-h-r-38-overriding-state-public-safety-laws/ …",2017-11-28 23:00:24,15,11,935644573308784640
"Two months since GOP Congress failed to renew funding for #CHIP, the program on which 2 million low-income children in CA rely for healthcare. If Rs in DC don’t act to renew funding, the program will be gutted by 90% in CA. This inaction is inexcusable.https://ww2.kqed.org/news/2017/11/27/california-could-lose-2-7-billion-in-kids-health-funding-and-theres-no-backup-plan/ …",2017-11-28 20:47:46,17,13,935611194282594305
"To support our community after the fires, @NVGrapegrowers is bringing together a team of experts this Wednesday to discuss erosion control and restoration, and help landowners prepare for the winter rains. More information here: https://napagrowers.org/events/74/details …",2017-11-28 16:00:58,0,1,935539021819863041
"To support our community after the fires, @NVGrapegrowers is bringing together a team of experts tomorrow to discuss erosion control and restoration, and help landowners prepare for the winter rains. More information here: https://napagrowers.org/events/74/details …",2017-11-28 16:00:43,5,2,935538957009473537
"The @USCBO has found that the Senate GOP tax bill would hurt our nation’s poorest families even more than they originally projected. Americans earning under $100,000 per year would be much worse off under the Republican bill. Read more here:https://www.washingtonpost.com/news/wonk/wp/2017/11/26/senate-gop-tax-bill-hurts-the-poor-more-than-originally-thought-cbo-finds/?utm_term=.cee6e4accb37 …",2017-11-27 23:00:25,19,26,935282192250437632
"#NetNeutrality is essential to an open and free internet, but leadership at the @FCC wants to kill this policy. In this op-ed, a member of the FCC lays out exactly how that would harm Americans and why we need to speak out against this wrongheaded move.http://www.latimes.com/opinion/op-ed/la-oe-rosenworcel-fcc-net-neutrality-repeal-20171122-story.html …",2017-11-27 19:28:01,12,15,935228738605903874
Was great to be in Santa Rosa to participate in the annual tree lighting ceremony. A beautiful way to kick off the holiday season!pic.twitter.com/48sj71e70f,2017-11-27 17:45:41,7,3,935202986074177538
Big thank you to everyone who came out to the Napa Christmas parade to help kick off the holiday season!pic.twitter.com/o4o6UOJpDZ,2017-11-27 02:33:57,23,7,934973541434486784
Big thank you to everyone who came out to the Napa tree lighting ceremony to help kick off the holiday season!pic.twitter.com/IILcafAA4g,2017-11-25 21:30:14,19,5,934534719701692417
Happy Black Friday! Be sure to shop local and support our wonderful small businesses—bolstering our local economy can go a long way in helping our community recover and rebuild after the fires.,2017-11-24 17:49:42,36,8,934116833103437824
"Wishing everyone a safe & happy Thanksgiving! This year, I’m thankful for the first-responders & everyone else who stepped up to protect our community & are now helping us rebuild following the fires. Also incredibly thankful for my family, & their year-round love and support.",2017-11-23 17:33:45,61,8,933750430785527811
