Text,Date,Favorites,Retweets,Tweet ID
"By passing the MINER Act today, we are protecting more than ten thousand jobs and billions of dollars in revenue and education funding, while leaving an extensive process intact to protect and preserve the environment and our state.pic.twitter.com/CdWHozTeKP",2017-11-30 18:51:11,40,30,936306632795021317
"The MINER Act text explicitly states, “Nothing in this section may be construed as permitting the prospecting for development and utilization of mineral resources w/in the BWCA or Mine Protection Area.” Don’t believe it? Click to read more: https://goo.gl/P8bbdP ",2017-11-30 15:00:37,11,18,936248607388381184
Happy to meet with @concordiastpaul to discuss grants and opportunities for Minnesota students to study internationally!pic.twitter.com/PxzrkRs4hP,2017-11-29 22:27:53,2,1,935998780557676550
I am proud to be a cosponsor of this important legislation. Thank you for your leadership @RepComstock!https://twitter.com/SteveScalise/status/935971295816245248 …,2017-11-29 20:50:41,7,4,935974319041269772
"Grateful for the support of @UBCJA_Official, @JobsforMN, and Range Association of Municipalities and Schools on our MINER Act. Read their op-ed “We Can Mine Responsibly. Restore our Rights” in @theHill:https://goo.gl/9D17QN ",2017-11-29 20:21:55,10,25,935967076728168451
"Today is the day! Today's MINER Act is not just important to the great state of Minnesota, but to the United States as a whole.pic.twitter.com/TONj0XCmWM",2017-11-29 14:13:14,30,38,935874295355584512
Thank you for your support!!https://twitter.com/MiningAmerica/status/935654464756654080 …,2017-11-29 00:06:46,3,0,935661275643826180
"Proud to have the support of more than 50 members of the #mnleg on our MINER Act. Without action, more than 10,000 jobs and billions of dollars in revenue are at risk. https://goo.gl/6kqCTX ",2017-11-28 22:58:02,29,49,935643977109458944
Happy to meet with @BlueCrossMN executives to discuss the future of healthcare in Minnesota!pic.twitter.com/2KYdrxDr6n,2017-11-28 22:05:17,2,1,935630704351817733
"As Americans, we pride ourselves on our ability to serve each other and lift up our neighbors. Our nations charities are a testament to that virtue that we all share. As we kick off the charitable season today with #GivingTuesday, we encourage you all to give what you can.https://twitter.com/SpeakerRyan/status/935539184437260288 …",2017-11-28 20:42:47,91,17,935609942601584642
Congratulations to @MayorDaveKleis! This is a well-deserved honor!https://goo.gl/X4KLzq ,2017-11-28 16:13:03,6,2,935542061679423489
Glad I could tour @peopleincorp’s Family Life Mental Health Center today to learn about the mental health care they provide to so many Minnesotans!pic.twitter.com/RLJwUgG7yx,2017-11-27 23:54:17,6,1,935295744126472192
Thank you to @MNHomelessCo for the tour of @SteppingStoneEH today! I appreciated the opportunity to learn about what they do to help shelter and teach self-sufficiency to those within our communities.pic.twitter.com/l4VSYObgvc,2017-11-27 22:58:53,3,2,935281805636366343
Looking for more information on the Tax Cuts and Jobs Act? Want updates sent directly to your cell phone? Text TAX REFORM to 50589 now to stay in the loop!https://twitter.com/HouseGOP/status/934829857028141058 …,2017-11-27 22:31:28,26,11,935274906425716739
"Having served on @FinancialCmte with @MickMulvaneyOMB, I am confident that he will bring real reform and improve consumer protection as acting director of the CFPB.",2017-11-27 21:26:58,17,11,935258672971833345
"The clock is ticking, so what’s the holdup? It’s time for Senate Democrats to act on CHIP funding before it’s too late.https://goo.gl/wQH6JH ",2017-11-27 21:05:04,4,4,935253160318423040
Glad to see the Senate bypass political ploys and proceed with Justice Stras’ confirmation hearing this week.https://twitter.com/MPRnews/status/935229993164165121 …,2017-11-27 19:49:16,8,2,935234084997038080
Congratulations to Mikayla Holmgren receiving the Miss Minnesota USA Spirit Award! You’ve represented #mn06 and our entire state well!https://goo.gl/1xSxTF ,2017-11-27 18:37:19,21,9,935215978966867969
Enjoyed visiting @albprimary today to learn about their Foster Grandparents program! Inspiring to see generations come together to learn from each other.pic.twitter.com/FGLkHZqRhY,2017-11-27 17:46:40,2,1,935203233353621504
"ICYMI: My bill, the MINER Act is on the floor this week! For more information about the inspiration behind this bill, click here:https://goo.gl/2V2Amt ",2017-11-26 20:21:15,24,30,934879746546126850
"Today is Small Business Saturday! I hope you’ll take the time today to stop at your favorite neighborhood small business. These businesses are the lifeblood of our community, and we should always remember their contributions to the success of our economy.pic.twitter.com/ZzbchPL5QH",2017-11-25 18:35:55,9,6,934490852910686208
Deeply saddened to hear of today's horrific terror attack in Egypt. Sending our prayers to the victims and their families. We must continue to stand strong against terrorism as we work to rid the world of this evil.,2017-11-24 17:34:35,15,4,934113030031462400
"Thanksgiving is a time to celebrate the blessings of the year. From the farmers who brought in a bountiful harvest to the families who are spending the day together, it is a time to find a reason to be thankful. I'm thankful for my family and the opportunity to serve all of you!pic.twitter.com/rT03eprb3h",2017-11-23 16:13:18,17,8,933730183848308736
"I hope your Thanksgiving is a day filled with friends, family, and food! But stay safe and stop a #foodcrisis by checking out the tips below to avoid foodborne illnesses!pic.twitter.com/5wPgX0im5i",2017-11-22 17:32:18,3,1,933387677344436224
Wondering what’s in the Tax Cuts and Jobs Act that the House passed last week? Learn more below!https://twitter.com/HouseGOP/status/932292890994229248 …,2017-11-22 16:35:14,32,12,933373315565129728
Happy to see that Minnesota leads the Midwest in health tech startups! Medical technology is an important part of the healthcare industry & Minnesota’s innovative spirit definitely shines. @MedicalAlley #healthtechhttps://goo.gl/ZGjcxA ,2017-11-22 15:49:05,19,5,933361700346134528
"I was proud to vote for the Tax Cuts and Jobs Act last week which includes the Adoption Tax Credit. During National Adoption Awareness Month, we must remember the importance of finding forever families for kids in need!pic.twitter.com/FxPT4XDAAV",2017-11-21 19:50:26,17,5,933060051358666758
Enjoyed touring @STFIowa today to learn about their contributions to the ag industry! Thank you for having me!pic.twitter.com/wV2rdh4sbd,2017-11-21 19:20:28,6,1,933052508779548672
Did you know that the turkey’s @POTUS will be pardoning today are from Minnesota? Click here to read more:https://goo.gl/uMwpMv ,2017-11-21 17:58:09,11,6,933031796006162433
"Last week the House passed #FY18NDAA. Check out @HouseGOP's ""Top 10 things you should know about the NDAA"" to learn more:https://goo.gl/N3wGWe ",2017-11-20 21:55:38,23,10,932729170773331969
Thank you for having me! Was a great event!https://twitter.com/ThommyPetersen/status/931692259464089600 …,2017-11-20 17:52:55,6,1,932668091728789504
Always great to spend time with you all!https://twitter.com/AmberGlaeser/status/931895885935628289 …,2017-11-20 17:52:37,4,0,932668012846616577
I can’t believe my youngest is 16 years old today! Happy birthday Johnny!pic.twitter.com/jTrUImGfh2,2017-11-19 20:54:49,39,2,932351480744632321
Thousands of kids across the country are searching for a forever family. My staff and I are proud to have helped numerous MN families in their quest toward adoption Join me in spreading the joys of adoption on #NatlAdoptionDay Read more here:https://goo.gl/qGyt6w ,2017-11-18 22:50:53,15,5,932018299302539270
Enjoyed touring @therapyptc in St. Francis to learn about issues affecting physical therapy services!pic.twitter.com/cwd6brkKFp,2017-11-17 20:03:49,2,1,931613867993653249
Glad I could stop by @TwinCitiesNorth Chamber to give an update on this week’s tax reform vote and the positive impact it will have for businesses in MN!pic.twitter.com/3KCYybAzfg,2017-11-17 19:21:06,7,2,931603119674462208
Glad my staff was able to participate in National Apprenticeship Week by attending a training center tour with @mndli yesterday. It is important that we address the skills gap in this country!pic.twitter.com/7ieqOg5ZWI,2017-11-17 16:21:40,6,2,931557961356468224
"I am proud to represent some of Minnesota’s rural communities so today, on National Rural Health Day, we must remember and identify the needs of all Americans and work together to overcome them. Learn more here: https://goo.gl/5zixY9 ",2017-11-16 23:09:05,9,1,931298104112046080
Happy my staff was able to meet with members of @SHRM during their visit to Capitol Hill for #SHRMVLS Advocacy Day!,2017-11-16 22:19:55,2,1,931285733498691584
Today is a historic day for middle-class families and Main Street Minnesota.  I am proud to support the Tax Cuts and Jobs Act to put the American people first! https://goo.gl/3nQwnY pic.twitter.com/HESRaKYFQU,2017-11-16 19:53:59,12,5,931249008160501761
"Enjoyed meeting with @ACORE today to talk tax reform, the future of wind development and clean energy options!pic.twitter.com/RldT4ta9Yy",2017-11-16 18:27:33,14,3,931227253723287552
Industries of all types – from @FarmBureau & @SBECouncil to @ABABankers and @ShopFloorNAM - have voiced their support for the Tax Cut and Jobs Act. Want to know who else? Check it out.https://goo.gl/6pPPRj ,2017-11-16 17:50:13,9,13,931217860772458496
I am proud to introduce legislation to allow MN more flexibility to continue providing coverage for children and pregnant mothers while we wait for the Senate to pass legislation reauthorizing CHIP. https://goo.gl/WU5hGw pic.twitter.com/1t9cR29iYk,2017-11-16 14:59:28,22,12,931174890178269184
Great to sit down with @ColemanUSA today to continue to work together to foster an environment for companies to thrive in Minnesota!,2017-11-15 23:15:22,5,2,930937299940073472
"I was glad to chat with Jeff Harmening, CEO of Minnesota’s own @GeneralMills today to discuss how reducing our corporate tax rate can impact our economy.",2017-11-15 22:50:00,9,0,930930913906778113
I echo @RepHensarling’s call for new leadership at the CFPB to better protect American consumers.https://twitter.com/FinancialCmte/status/930853765367943175 …,2017-11-15 21:34:50,2,0,930911997671165952
Busy week in the @FinancialCmte as we review and debate numerous pieces of legislation! Click here to see more about the bills being heard: https://goo.gl/dn4NaD pic.twitter.com/xC2EKiwICy,2017-11-15 20:55:12,3,3,930902025235288064
Great to meet with @ElementTV to talk about trade and how the Tax Cuts and Jobs Act can help the manufacturing & tech industries!pic.twitter.com/VbTbxLn9Ze,2017-11-15 20:24:00,6,2,930894172705476611
"Proud to sponsor the legislation to try and bring the World Expo to MN. Despite results, great job by the @Expo_2023 coalition, Sen. @amyklobuchar & Rep. @BettyMcCollum04 and a thank you to the @StateDept for their support.",2017-11-15 19:38:21,15,3,930882682736738305
I am proud to support common-sense legislation to reauthorize and reform our National Flood Insurance Program through today’s passage of the 21st Century Flood Reform Act. These reforms look to the future rather than governing from crisis to crisis.https://goo.gl/WzEYHx ,2017-11-14 22:43:34,8,5,930566906028929025
Proud to support the #FY18NDAA which will give our courageous men and women in uniform the largest pay raise in eight years!pic.twitter.com/QFkGZva4hB,2017-11-14 22:14:47,32,5,930559662877036545
Your hard-earned money should stay with you! I’m glad that we’re finally working towards tax reform that will help hardworking Americans!https://twitter.com/HouseGOP/status/930162101837950981 …,2017-11-14 21:39:02,7,2,930550665390247937
Enjoyed meeting with @avbkmason of @IBM today to discuss the Tax Cuts and Jobs Act!pic.twitter.com/ofY1Oaqiue,2017-11-14 21:14:10,0,0,930544408474374144
Proud to support The 21st Century Flood Reform Act! Our reforms will finally end the government monopoly and increase competition to bring lower cost for all!pic.twitter.com/5RiMwJKQh8,2017-11-14 20:29:23,5,4,930533137712668680
