Text,Date,Favorites,Retweets,Tweet ID
"As a member of the @HASCRepublicans, it was an honor to join my colleagues including HASC Chairman @MacTXPress and @SpeakerRyan for the signing of the 2018 National Defense Authorization Act (NDAA). We have more work to do to rebuild national defense. This is a good start. #MS01pic.twitter.com/6zIzg5tAa4",2017-11-30 22:20:06,6,2,936359207636488193
"This Thanksgiving I led a bipartisan Congressional delegation to visit service members stationed and deployed in Poland, Qatar, Uzbekistan, Afghanistan, and Ireland. We met with military leaders and troops on the ground to better understand readiness of U.S. forces there. #MS01pic.twitter.com/1MAL0kuXts",2017-11-30 02:00:14,17,6,936052218305875968
"Discussed training for military orthopedic surgeons with Dr. Larry Field with Mississippi Sports Medicine, Dr. Robert Hunter, president Arthroscopy Assoc. of North America (AANA), and Sara Love Rawlings. #MS01pic.twitter.com/uDrtk7zn68",2017-11-28 21:51:18,12,2,935627182734442498
"During this holiday season, I ask you to join me in remembering the military men and women at home and abroad who work every day to preserve our freedoms. Please read my newsletter. http://ow.ly/orcF30gQo2d  #MS01pic.twitter.com/5Kq7c62U6g",2017-11-27 18:34:02,38,12,935215151711768576
"Small business operators fuel Mississippi's economy, employing thousands of our citizens. Members of the @HouseSmallBiz and myself are cosponsors of a bill to designate Saturday after Thanksgiving ""Small Business Saturday."" Shop and support small businesses! #MS01pic.twitter.com/s8scuwLjbx",2017-11-25 02:15:04,26,9,934244012504076288
"We are blessed to live in the greatest nation on Earth. We are also blessed to have military men and women who are watching over us at this hour - far from home and their families. On this Thanksgiving Day, let us all remember their service and sacrifice. #MS01pic.twitter.com/Inl965VR7J",2017-11-23 18:32:09,36,10,933765125475008512
"As a 32-year veteran of the Mississippi Army National Guard, I have seen firsthand the challenges facing our men and women in uniform. Please read my newsletter to learn more. http://ow.ly/Drqp30gHOnB  #MS01pic.twitter.com/DPyilMKYgc",2017-11-20 21:02:18,20,11,932715750925664256
Christi Webb from Baldwyn and Nancy New visited our DC office today. It was great to see them. #MS01pic.twitter.com/kBjik07fUd,2017-11-16 21:55:41,4,1,931279633965711360
Enjoyed talking with Beth Sisson from Starkville and David Acosta at our DC office today. Thanks for stopping by to see us! #MS01pic.twitter.com/RYfzSuZxvr,2017-11-16 21:38:07,11,3,931275213823647744
"Jay, A.J. and Gracie Thompson from Olive Branch visited our DC office today. It was great to see them. #MS01pic.twitter.com/9EFBiIzgwa",2017-11-16 21:26:03,4,1,931272173448134656
"This week, more than 100 Mississippi farmers have traveled to DC for the @MSFarmBureau 2017 Member Fly-In Tour. We talked about tax reform and the upcoming 2018 Farm Bill. #MS01",2017-11-15 21:30:48,11,2,930910981160689664
"Met with Tadpole Ventures reps Ronald Keohane, Jeannie Lewin, Dr. John O'Brien, David Park, Jeff Fritz, and Steve Lanza about the health and wellness of service members and their families including those at @Columbus_AFB. #MS01pic.twitter.com/6jX70InB5p",2017-11-15 21:08:51,4,1,930905460693196801
"Today, @CaterpillarInc celebrated 35 years in Corinth and assembly of the 3500 engine - a new product line for this location. Caterpillar team members restore end-of-life, broken, or blemished products. We are proud to see Caterpillar's investment in our workforce. #MS01pic.twitter.com/DBMIoZxzhF",2017-11-15 00:20:05,18,2,930591198032646145
Happy 19th wedding anniversary to John and Jeanine Burnside from Hernando! It was great to talk with them at our DC office. #MS01pic.twitter.com/tmWfVYscio,2017-11-14 23:09:03,3,1,930573318851358720
"Congratulations to Baymont Bathware which recently announced plans to reopen. In May, their facility burned. The Golden, MS company will return to their pre-fire employment levels and create 20 additional jobs. We are proud of their investment in hardworking Mississippians. #MS01pic.twitter.com/0ARRNlELWM",2017-11-13 20:09:40,7,5,930165789633761280
"We live in the greatest nation on earth, enjoying freedoms won and maintained by the service of our veterans. Please read my newsletter. http://ow.ly/YOx630gvMfS  #MS01pic.twitter.com/7iKjA8SwpT",2017-11-11 15:04:51,13,2,929364304033349633
Enjoyed spending time with these very patriotic students at Winston Academy in Louisville today. #MS01pic.twitter.com/rTAinvhEd4,2017-11-10 20:24:20,9,2,929082315866861569
Recognizing veterans who proudly served our nation here in Nettleton. #MS01pic.twitter.com/tAkNZo2CHR,2017-11-10 17:25:04,17,2,929037203560370176
"Last week, in recognition of National Veterans Small Business Week, we introduced you to First District veterans operating small businesses. Please read their story in my newsletter. http://ow.ly/1qvv30gtAs1  #MS01pic.twitter.com/V81cAdQq9q",2017-11-09 21:27:34,9,3,928735841899483137
Had a great time talking with Retired Brigadier General (BG) Gary Huffman at our DC office this morning. #MS01pic.twitter.com/WRi9QhZVeS,2017-11-09 16:12:55,7,1,928656656648589313
It is important interested military veterans have access to information to operate a small business. The @HouseSmallBiz held a hearing today on the tools and resources that are available and what we can do to improve services available to veterans through the @SBAgov .  #MS01pic.twitter.com/eUJgqatxE2,2017-11-09 00:27:53,18,29,928418831034396673
"Discussed our work on the next Farm Bill with Will Reed, owner of @nativesonfarm in Tupelo. It was great to see him at our DC office today. #MS01pic.twitter.com/JKcupkQ09Y",2017-11-08 22:48:03,3,1,928393707686121472
"Mel, Emily, and Allie Morse from Oxford had a great time on their Capitol Tour which was arranged through our office. It was great to see them! #MS01pic.twitter.com/ODYTtzJvFt",2017-11-08 22:30:31,7,1,928389296922546176
Had a great time with @MSCattlemen Exec. VP Andy Berry and Young Cattlemen's Leadership Series attendees on @CapitolDome tour. #MS01pic.twitter.com/QXchZjHoqQ,2017-11-07 22:13:50,11,1,928022707861708803
"@MTDGenuineParts has been an outdoor power equip. manufacturer in Shannon, MS for decades. It was good to see rep. Paul Caja in DC. #MS01pic.twitter.com/ODHp35Chug",2017-11-07 22:00:33,3,1,928019366343512065
"It was great to see @GantBoone and his wife, Jessica, from Oxford. They are having a great time in DC! #MS01pic.twitter.com/M925sfQvd6",2017-11-07 17:18:28,10,2,927948377089863680
Our tax reform efforts begin with families in mind. Please read my newsletter to learn more. http://ow.ly/4VRc30goNxd  #MS01pic.twitter.com/JSa23zmMvT,2017-11-06 22:46:47,6,2,927668613905084416
Congrats to JT Shannon Lumber Company and @Taylor_Machine who received the 2017 Governor's Awards for Excellence from @PhilBryantMS. #MS01,2017-11-03 21:10:49,12,5,926557299489083394
"MS Rolling Thunder members presented a flag to our DC office. It was great to see Cathy Johnston, John McKendree, and Steve Monaghan. #MS01pic.twitter.com/HKIoWepmwT",2017-11-03 17:44:31,15,3,926505382402510855
"Talked about seasonal businesses with Lori Whitten, Wade Zaharie, Nicholas Nunley, Mark Thelen, and Monica Nigrinis in DC today. #MS01.pic.twitter.com/9CezBoogCX",2017-11-02 19:46:21,8,0,926173655826161664
Members of our staff were proud to attend the dedication of the Vietnam Veterans Memorial Replica Wall in Tupelo. #NeverForget #MS01pic.twitter.com/YM4qUceEjP,2017-11-02 17:30:35,7,0,926139487289335808
"This week, we celebrate their service to America, their entrepreneurial spirit, and their contribution to the state of Mississippi. #MS01pic.twitter.com/lBygi45WTM",2017-11-01 15:26:17,11,5,925745820774944768
We need tax reform in America. Please read my newsletter to learn more about our progress. http://ow.ly/T9w830gez8d  #MS01pic.twitter.com/XMZw2jFDZh,2017-10-30 21:52:06,13,5,925118135728066560
Great questions from our constituents @RotaryTupelo today. Thank you for the invitation! #MS01pic.twitter.com/FBUlmutgeH,2017-10-30 19:43:39,13,2,925085810009010177
Discussed a number of important issues including telemedicine with @MSMA1 representatives at our Tupelo District Office this morning. #MS01pic.twitter.com/4dhdXJp1hs,2017-10-30 19:34:13,7,1,925083439610630144
Sat down with Dale and Kelly Hare from Hernando at our DC office today. It was great to see them. #MS01pic.twitter.com/FRK897R5Mm,2017-10-26 22:02:23,3,2,923671174831321094
Discussed issues important to the aviation industry with Golden Triangle Regional Airport Executive Director Mike Hainsey today in DC. #MS01pic.twitter.com/SXbBoRHLxb,2017-10-26 21:53:33,11,3,923668952605184005
Enjoyed talking with @EntergyMS Vice President of Public Affairs John Arledge at our DC office today. #MS01pic.twitter.com/wH1Roc5Jvf,2017-10-26 21:44:36,13,2,923666698942722048
@AAHOA representative Mitul Patel from Columbus discussed the need for tax reform and other issues at our DC office today. #MS01pic.twitter.com/rRF2mr3is0,2017-10-25 19:50:02,7,4,923275480689758208
"It was great to talk with Cala Tabb at our DC office today! She and her husband, Billy, are dedicated farmers in Webster County. #MS01pic.twitter.com/01HAAlkqDL",2017-10-24 22:00:34,18,3,922945942537555968
"If we are to protect America from threats, temporary funding is not the answer. Please read my newsletter. http://ow.ly/RVLr30g518O  #MS01pic.twitter.com/TTScLWDItB",2017-10-23 22:26:51,18,2,922590167457656832
Proud and humbled to be @ECCC_MS Alumnus of the Year and to be selected for this honor. #MS01https://twitter.com/eccc_ms/status/921141783492472834 …,2017-10-20 01:43:38,30,4,921190139497500673
It is #supportyourlocalchamberofcommerce day and a great opportunity to thank all those who work hard to support local businesses. #MS01,2017-10-18 21:45:08,8,4,920767729405177857
