Text,Date,Favorites,Retweets,Tweet ID
"Today, I am thankful for the opportunity to serve my fellow Hoosiers as their Representative to Congress. I hope all of you enjoy this day of thanks. Happy Thanksgiving.pic.twitter.com/qyhotMirQR",2017-11-23 17:33:11,23,2,933750286497320960
"Today, I stood for Hoosiers. I stood to ensure that they receive more of their hard-earned paychecks; I stood to ensure that a convoluted and archaic tax code was simplified; I stood to ensure that special interests deductions and loopholes were removed.pic.twitter.com/XTMDH1D81X",2017-11-16 19:31:25,40,7,931243327860674560
"Before today's vote on #TaxReform, I have been answering the phones in Washington with staff to hear what Hoosiers have to say.pic.twitter.com/LtURjRxDgu",2017-11-16 18:25:46,27,4,931226804140019713
"This week, we won a victory for Hoosiers against the Washington establishment. By passing the Presidential Allowance Modernization Act, we took much-needed steps toward cutting wasteful spending & fighting to ensure that career politicians don’t receive a taxpayer check for life.pic.twitter.com/uEzB5QgxlL",2017-11-16 17:03:45,12,4,931206165521891329
"Last night, the House finalized passage of the National Defense Authorization Act. This legislation finally authorizes our war fighters to be resourced properly and receive a much-earned and long-overdue raise.pic.twitter.com/GRNGr62JBM",2017-11-15 14:40:56,12,3,930807837302886401
"Today, we pause to thank & honor our veterans. These sentinels of freedom personify the words Alexander Hamilton once said, ""There is a certain enthusiasm in liberty, that makes human nature rise above itself, in acts of bravery and heroism.""pic.twitter.com/xMCT0JSaN4",2017-11-11 18:42:41,17,6,929419122609475584
"Today, I am proud to honor the U.S. Marine Corps and all Marines throughout #IN09. For 242 years they have played a major role in defending our great Nation. Happy Birthday, Marines!pic.twitter.com/R7frkzIWGO",2017-11-10 14:39:00,12,3,928995410470981632
3/ They will be able to assist you with VA and Social Security Benefits issues that you may be having.,2017-11-03 13:23:37,1,1,926439727020027904
2/ The event is from 10a - 2p and is located at the CASI building on 8th Street.,2017-11-03 13:23:06,1,1,926439595486711808
1/ Attn Veterans in Clark County: your Congressional office casework team will be at the Veterans' Stand Down event in Jeffersonville today.,2017-11-03 13:22:22,6,2,926439408617840640
"Today, I introduced the Banning Lobbying And Safeguarding Trust (BLAST) Act. This is currently the most stringent legislation of its kind.pic.twitter.com/J3ZUMtlqcV",2017-10-31 23:27:11,15,7,925504455797297153
