Text,Date,Favorites,Retweets,Tweet ID
The House passed bipartisan legislation today to strengthen the Brownfields Program and encourage greater economic development and job creation. https://walberg.house.gov/media/press-releases/walberg-votes-strengthen-brownfields-program-promote-jobs-and-economic …pic.twitter.com/wAh7ij11y5,2017-11-30 22:45:12,6,1,936365525352972289
"As the @DailySignal reports, we continue to push for bipartisan reforms to rein in civil asset forfeiture abuse.http://dailysignal.com/2017/11/29/congress-protect-americans-unjust-property-seizure/ …",2017-11-30 21:08:24,1,4,936341164512423936
Had the privilege of meeting Bill Gibbs at VFW Post 6056 in Springport during their Veterans Day ceremony. He is incredibly deserving of the Jackson County Veteran of the Year award.pic.twitter.com/CvMRbZhEHu,2017-11-30 18:03:21,3,2,936294595863998469
Started off the week with a coffee hour this morning in Charlotte. Thank you to everyone who joined us.pic.twitter.com/369oWbrriZ,2017-11-27 19:44:36,4,2,935232909728014336
"Mary Smith was like family to so many of us in Branch County. Her lifelong service to Coldwater, particularly her leadership to restore the Tibbits Opera House, will forever be remembered. Sue and I are praying for the entire Smith family as we mourn her loss.https://twitter.com/wtvbradio/status/934965551256006656 …",2017-11-27 18:43:05,3,0,935217428669313024
We have so many great small businesses here in Michigan. Don't forget to #ShopSmall and support our local economy. #SmallBizSatpic.twitter.com/N7UHYLaulI,2017-11-25 13:58:08,2,1,934420945443393542
Congrats to @LumenChristiJxn on back-to-back state championships!https://twitter.com/jtv_sports/status/934214070525456385 …,2017-11-25 00:56:22,5,0,934224208103706625
Let's go Titans! Good luck @LumenChristiJxn in the state championship game.https://twitter.com/jtv_sports/status/934169884459782154 …,2017-11-24 21:28:26,3,0,934171879736250368
Congrats to @WhitefordAgSch on an incredible season!https://twitter.com/monroenews/status/934116107480453120 …,2017-11-24 18:23:23,11,2,934125310383149056
Good luck to the @WhitefordAgSch football team today at Ford Field. Go Bobcats!https://twitter.com/monroesports/status/934062013340364800 …,2017-11-24 14:37:40,2,0,934068504420143105
"Wishing you and your family a Happy Thanksgiving. As we reflect on our many blessings, may it be a special time surrounded by those you love most.pic.twitter.com/oMyEJ9M8tw",2017-11-23 13:22:00,43,8,933687076016582656
Had fun at @umichfootball practice today as they get ready for The Game on Saturday. #GoBlue #BeatOSUpic.twitter.com/9cY3FsM1fh,2017-11-23 01:59:57,9,3,933515430643273728
Wonderful Adoption Day story from Branch County.http://www.thedailyreporter.com/news/20171121/smiles-prevail-locally-during-national-adoption-day …,2017-11-21 23:15:00,3,1,933111533885734912
What an outstanding team and season. Congrats to the Bronson volleyball team on three straight state championships!https://twitter.com/BronsonSupt/status/933082047291252736 …,2017-11-21 22:11:19,1,0,933095505084661761
Congrats to Bobilya Chrysler Dodge Jeep on 30 years of contributions to the Coldwater community.pic.twitter.com/1swRxCs6Br,2017-11-21 20:55:37,1,1,933076455503822849
"Heavy-handed, 1930s era regulations are no way to ensure a free and open internet. Glad the FCC is committed to enabling innovation and ensuring America remains a global leader. Now let’s work together to close the digital divide and allow the internet to flourish.https://twitter.com/AjitPaiFCC/status/933009189991079936 …",2017-11-21 19:56:35,2,2,933061599052619776
Exciting to see the Hi-Lex expansion in Litchfield. The new facility is set to begin operations in 2018 and will bring more jobs to the community.pic.twitter.com/SZgrOXgM7u,2017-11-21 18:52:24,1,2,933045445538078720
The Litchfield Regional Training Center provides important skills-based educational opportunities. Thanks for showing me around today.pic.twitter.com/QV5k1q8xoJ,2017-11-21 17:36:21,3,1,933026310363975681
It's an honor to be named Legislator of the Year by the Motorcycle Riders Foundation. https://walberg.house.gov/media/press-releases/walberg-named-legislator-year-motorcycle-riders-foundation …pic.twitter.com/67Q4Hh7fZ1,2017-11-21 15:58:10,7,2,933001601018720256
GOP lawmakers tout tax overhaul plan at tool factory http://detne.ws/2jImvgr  via @detroitnews,2017-11-21 00:55:41,1,4,932774481059287041
"Toured Lansing manufacturer IMPCO with @RepMikeBishop & @RepPaulMitchell today to talk tax reform and how our plan will help workers, families, and job creators in Michigan.pic.twitter.com/EuaORrmkKS",2017-11-20 22:14:23,4,2,932733890917257217
Enjoyed visiting with workers and touring L.L. Johnson Lumber in Charlotte today. Thanks for your hospitality!pic.twitter.com/Lb47MQS6ue,2017-11-17 22:47:44,2,1,931655121431273472
"It's time for a fair and simple tax code that provides meaningful relief for workers, families, and small businesses in Michigan. https://walberg.house.gov/media/press-releases/walberg-time-middle-class-tax-relief …pic.twitter.com/qzYpUnFofV",2017-11-16 19:24:49,6,2,931241666660446210
The Tax Cuts and Jobs Act just passed the House. It means more jobs and bigger paychecks for middle class families in Michigan. https://walberg.house.gov/media/press-releases/walberg-time-middle-class-tax-relief …pic.twitter.com/ukBq0NPba9,2017-11-16 19:03:19,12,2,931236256633286656
"The Tax Cuts and Jobs Act will ease the tax burden on small businesses and help them grow, create jobs, and hire more workers.pic.twitter.com/YyPv2UHU9s",2017-11-16 18:25:02,1,1,931226621876547586
The Tax Cuts and Jobs Act establishes a new Family Credit and expands the Child Tax Credit to help moms and dads with the costs of raising a family.pic.twitter.com/gTzXChKHYF,2017-11-16 18:22:40,1,3,931226026973245441
The Tax Cuts and Jobs Act doubles the standard deduction and ensures that more of people's income is tax-free.pic.twitter.com/9rI0rIWlEy,2017-11-16 18:16:04,1,2,931224365739495424
"For Michigan families, the Tax Cuts and Jobs Act means bigger paychecks and more money in their pocket. Let's pass it and provide relief.pic.twitter.com/QL1TfSROyC",2017-11-16 14:54:23,11,8,931173611200753664
"Tax reform means lower taxes, bigger paychecks for Michigan familieshttp://www.mlive.com/opinion/jackson/index.ssf/2017/10/guest_column_tax_reform_means.html …",2017-11-15 22:36:21,4,1,930927479916847105
Enjoyed visiting with a great group of students from Dundee High School as part of their Close Up trip to DC.pic.twitter.com/zFLDPBZpfT,2017-11-15 20:32:47,5,3,930896382961029120
"Where licensing laws have become too excessive, it’s time for states to roll them back to create greater opportunity for aspiring workers and entrepreneurs.https://twitter.com/IJ/status/930443274380300288 …",2017-11-14 23:25:29,5,2,930577458184769536
The House just passed #FY18NDAA to strengthen national security and give our troops a well-deserved pay raise. https://walberg.house.gov/media/press-releases/walberg-votes-raise-troop-pay-and-strengthen-national-security …pic.twitter.com/05nd9CnmTj,2017-11-14 22:15:58,14,6,930559960194396161
"Way to go, Kortney!",2017-11-14 20:42:28,0,1,930536432208408576
