Text,Date,Favorites,Retweets,Tweet ID
Today we passed a measure requiring anti-harassment training for members of Congress and staff. This is a critical step toward ensuring employees are treated with dignity and respect.http://walorski.house.gov/prevent-harassment-congress/ …,2017-11-29 23:53:00,10,3,936020200528449539
"Every workplace should be free of harassment, discrimination, and mistreatment. Congress is no exception. We need transparency and accountability.pic.twitter.com/gY4LAiQ1f2",2017-11-29 22:18:45,4,3,935996481303171072
My statement on the resolution we passed today requiring anti-harassment and anti-discrimination training for all members of Congress and staff –> http://walorski.house.gov/prevent-harassment-congress/ …pic.twitter.com/FY6snwCV8Y,2017-11-29 22:15:56,11,3,935995772730003458
"You deserve more jobs, higher wages, and a tax code that works for you. That’s exactly what we’re delivering with tax reform. http://walorski.house.gov/taxreform pic.twitter.com/wC2SQVyG80",2017-11-16 22:43:29,8,5,931291662986473472
"PASSED → The Tax Cuts & Jobs Act

Read my statement here: http://walorski.house.gov/taxreform-passage/ …pic.twitter.com/4TVrmmDmJz",2017-11-16 20:12:00,13,7,931253540860788736
"The House just passed the Tax Cuts and Jobs Act. Tax reform means more jobs, higher wages, a fair and simple tax code, and more money in Hoosiers’ pockets. http://walorski.house.gov/taxreform .pic.twitter.com/lUPT4bBXZD",2017-11-16 19:26:45,15,5,931242153380073473
Meeting with @POTUS before the House votes on the Tax Cuts and Jobs Act! #taxreformpic.twitter.com/Bt1TFi6FMH,2017-11-16 16:59:42,7,2,931205144586354689
"The Tax Cuts and Jobs Act will deliver pro-growth #taxreform to Hoosier families, farmers, manufacturers, and workers.https://youtu.be/c61a76--YG8 ",2017-11-16 02:08:00,8,2,930980742838054913
Watch my speech on the House floor about the Tax Cuts and Jobs Act. #taxreform https://youtu.be/c61a76--YG8 ,2017-11-16 01:35:47,4,2,930972636632551424
"Our most important responsibility is the national defense, and this bill gives our servicemembers the tools, training, and support they need to keep us safe. #FY18NDAA http://walorski.house.gov/ndaa-fy18/ pic.twitter.com/Kfm2KdVo95",2017-11-15 01:14:00,7,3,930604767100964872
This is a victory for the brave men and women who risk their lives each day to protect us. #FY18NDAA http://walorski.house.gov/ndaa-fy18 pic.twitter.com/B2E0Uh7RUn,2017-11-15 00:47:36,7,4,930598120114802689
"Hardworking Hoosiers deserve more jobs, higher wages, a simpler tax code, and bigger paychecks. That’s exactly what we’re going to deliver with tax reform.https://twitter.com/RepWalorski/status/930170533748072449 …",2017-11-13 23:42:01,1,1,930219228065619974
Hoosiers know our tax code is broken. You send too much of your hard-earned money to Washington and spend too much time figuring out your taxes. It’s time to change all that.https://www.southbendtribune.com/news/opinion/viewpoint/viewpoint-time-to-fix-the-broken-tax-code/article_7eb24d55-6792-5556-b839-4b666eeb3a0a.html …,2017-11-13 22:12:00,123,37,930196576588279809
"You don’t have to read all 70,000-plus pages of the tax code to know it’s hurting American workers and families. We need #taxreform.https://twitter.com/RepWalorski/status/930170533748072449 …",2017-11-13 21:37:01,6,2,930187771003789314
Read my op-ed in the South Bend Tribune on how we're fixing our broken tax code: https://www.southbendtribune.com/news/opinion/viewpoint/viewpoint-time-to-fix-the-broken-tax-code/article_7eb24d55-6792-5556-b839-4b666eeb3a0a.html …pic.twitter.com/KkmpDrrU4E,2017-11-13 20:28:31,4,2,930170533748072449
Honored our brave veterans and their families today at the annual #VeteransDay lunch in Nappanee. Thanks to Nappanee Second Saturday and Liz Mullett for helping the community show our gratitude to Hoosier veterans.pic.twitter.com/RnpAFMva8e,2017-11-11 19:47:03,10,2,929435323112796162
"On Veterans Day, our nation reflects on the debt we owe to all the brave men and women who have served in the United States military. We will never forget their selflessness and their patriotism.pic.twitter.com/4lJdf4mJo8",2017-11-11 16:59:14,12,3,929393089105494016
Happy 242nd Birthday to the @USMC! Thank you to all our brave Marines for your service. #SemperFipic.twitter.com/2L2bu0vEof,2017-11-10 21:18:00,4,3,929095822565707776
Thanks to Grissom Middle School for bringing students and veterans together to celebrate our nation’s heroes. #VeteransDay @1GoodBetterBestpic.twitter.com/LbJYeyTIvH,2017-11-10 20:32:45,26,4,929084436838264832
The Death Tax is an unfair burden on our family farmers and small business owners. It comes to an end with the Tax Cuts & Jobs Act. http://walorski.house.gov/taxreform https://youtu.be/shfWv5sl-5U ,2017-11-09 17:42:42,18,10,928679253754990594
"Our tax reform bill preserves the mortgage interest deduction to help families achieve the American Dream. 

http://walorski.house.gov/taxreform pic.twitter.com/PgZtcSekDg",2017-11-08 23:42:01,16,5,928407289605828608
"The Tax Cuts & Jobs Act will double the standard deduction, so you get to keep more of the money you earn. http://walorski.house.gov/taxreform pic.twitter.com/Ay9easMtYT",2017-11-08 22:28:00,3,3,928388663179853824
Our teachers are driven by their passion for changing lives every day. They deserve to keep more of their paycheck and use it how they want. That’s what our plan does. http://walorski.house.gov/taxreform https://youtu.be/psmqPJXbvzI ,2017-11-08 21:14:00,6,6,928370041162223616
"Middle-income families in Indiana’s 2nd District would get an average tax cut of $1,523 under this bill. That’s more money for raising kids, buying groceries, and planning for the future.https://twitter.com/WaysandMeansGOP/status/928314078547841032 …",2017-11-08 19:59:40,18,9,928351334381875200
"Tax reform is about more jobs, higher wages, and bigger paychecks for hardworking Hoosiers.

LEARN MORE HERE: http://walorski.house.gov/taxreform pic.twitter.com/GNzjWZPHl4",2017-11-07 21:43:53,20,8,928015172924530688
"We're taking action to deliver middle-class tax cuts and a simpler, fairer tax code –> http://walorski.house.gov/taxreform http://youtu.be/f66yvmwFWuM ",2017-11-07 00:23:27,2,4,927692940822106112
"Devastated by news of the shooting in Texas. I’m praying for the victims and their families, and grateful for the first responders.",2017-11-05 23:19:33,26,12,927314470988341248
"Hoosiers deserve every opportunity to achieve the American Dream, and that's what tax reform is all about. http://walorski.house.gov/taxreform pic.twitter.com/y2dNlsY9u1",2017-11-02 22:26:57,7,1,926214070633730048
I’ve been traveling around the 2nd District hearing from Hoosiers about why we need tax reform. Check out what some of them had to say.pic.twitter.com/CusYyCuCJF,2017-11-01 17:59:29,7,4,925784374192287744
"Welcome to our nation’s capital, @BPS_Lions 8th graders! I hope you had fun touring the U.S. Capitol!pic.twitter.com/FTPyKsFXRR",2017-10-30 15:50:13,1,2,925027066810167302
"As we work to fix our broken tax code, I visited three local businesses in Plymouth to talk about #taxreform.https://youtu.be/f7wdHMxJ7KI ",2017-10-20 19:11:21,13,9,921453806847750144
Keeping our promise to #veterans means protecting those who speak out when they witness wrongdoing at the VA.https://youtu.be/e0W0tmGWCr0 ,2017-10-12 20:16:15,5,4,918571033912922112
"Happy #NationalFarmersDay to the 12,000 farmers in Indiana’s 2nd District! Thank you for all you do for our communities and our economy.pic.twitter.com/oH5ng7XDti",2017-10-12 14:53:54,9,4,918489911841427456
