Text,Date,Favorites,Retweets,Tweet ID
Don't be fooled by the #GOPTaxScam!https://twitter.com/BillPascrell/status/936246443119128576 …,2017-11-30 17:09:44,49,27,936281101361926144
ICYMI: I am proud to support @Transport's Disaster Recovery Reform Act and include language strengthening nursing homes' preparedness.http://www.youtube.com/watch?v=qB3PLXoON1Q …,2017-11-30 17:05:47,23,8,936280106670219264
ICYMI: I provided important language to today's  @Transport markup of the Disaster Recovery Reform Act to strengthen nursing homes.pic.twitter.com/UxHRc0sOcW,2017-11-30 16:24:47,30,8,936269788644564992
My measure requires FEMA to provide much-needed disaster response guidance and assistance to nursing homes & similar facilities.pic.twitter.com/S3xO531ys7,2017-11-30 16:16:03,205,46,936267592779620352
Today I continued the fight to improve nursing homes' disaster preparedness with measure in the Disaster Recovery Reform Act.pic.twitter.com/YtADLuPXaX,2017-11-30 16:13:32,112,28,936266959599042561
"Miami is mourning the loss of another young hero and seeking answers.
http://www.c-span.org/video/?c4694307/congresswoman-wilson-honors-spc-carlton-butler …",2017-11-29 20:53:43,39,25,935975080399720448
"The #GOPTaxScam makes it harder for Americans to pay for medical expenses, go to college & buy a home. It moves US in the wrong direction.pic.twitter.com/1o6gI1Uqug",2017-11-29 18:09:42,129,111,935933804367237121
"What’s on the chopping block if the #GOPTaxScam passes? Medicare, Medicaid, Social Security & other vital programs for millions of Americanspic.twitter.com/tGWkrnvB0K",2017-11-29 17:00:05,46,42,935916286386700289
"The #GOPTaxScam slashes taxes for the wealthy & big biz. Middle class families, small businesses & future generations will foot the billpic.twitter.com/0MYuJKYvML",2017-11-29 16:56:02,69,52,935915264557772800
"Instead of prioritizing American workers, the #GOPTaxScam gives companies a tax break for outsourcing jobs.pic.twitter.com/5ITQ1KpQHV",2017-11-29 16:50:02,55,29,935913754239254528
"The #GOPTaxScam raises taxes on 82 million middle class families and gives corporations massive tax cuts. Families first, not big business.pic.twitter.com/47lvL3McTF",2017-11-29 16:40:03,50,42,935911241960210432
"Who are some of the people the #GOPTaxScam hits the hardest?
Teachers
… and seniors
… and veterans
… and students
… and ppl w/ disabilities & chronic illnessespic.twitter.com/373Zyqf7ko",2017-11-29 16:33:21,256,263,935909556831518726
We can't stop hoping that we will #BringBackOurGirls!https://twitter.com/prohabe/status/935896797867905024 …,2017-11-29 16:11:11,48,23,935903979669803008
It's Wear Something Red Wednesday!pic.twitter.com/19Pi276Ajv,2017-11-29 14:51:50,64,36,935884008935837697
"Today I participated in a great forum on immigration reform. If you missed it, you can watch it here:
http://www.facebook.com/miamiherald/videos/10155975037492300/?type=2&theater …",2017-11-28 20:16:03,39,9,935603214166216704
"Though the deadline has passed, DCF is allowing any senior or disabled person who needs help to still apply for post-hurricane emergency food assistance. Please share this info with someone you know who can benefit.http://www.sun-sentinel.com/news/florida/fl-reg-dnap-elderly-disabled-20171127-story.html …",2017-11-28 17:56:53,55,48,935568189982900226
"Millions of Americans struggle to feed and house their families, so why does the GOP want to make the rich richer? #GOPTaxBill #GOPTaxScam",2017-11-28 17:51:11,917,462,935566757854699520
"FACT: 1 in 3 DREAMers has a U.S. citizen child & 3 in 4 has a parent, sibling, or spouse who is a U.S. citizen. We must #ProtectDREAMers and their families.",2017-11-28 17:23:06,121,58,935559691127742464
Americans deserve #ABetterDeal – and it starts by creating good-paying jobs and raising wages.http://goo.gl/d6sdox ,2017-11-28 17:22:22,34,11,935559505848471553
"Only 18 days left to sign up for 2018 coverage on http://HealthCare.gov . Thanks to financial help, 8 in 10 people can find plans for less than $75 a month and many for a lot lower.  December 15 is the deadline. #GetCoveredpic.twitter.com/l2YplVFmMs",2017-11-28 17:12:02,33,34,935556904616628224
#DREAMers deserve peace of mind before the end of the year. Retweet to urge Republicans to bring the #DREAMAct to the Floor & #ProtectDREAMers.,2017-11-28 17:04:28,89,79,935554999714803712
