Text,Date,Favorites,Retweets,Tweet ID
How the Tax Cuts and Jobs Act helps Americans of all walks of lifepic.twitter.com/842PP5oHRx,2017-11-02 16:24:39,8,4,926122897156042754
How the Tax Cuts and Jobs Act helps Americans of all walks of lifepic.twitter.com/wwuE3d58Wx,2017-11-02 16:24:23,9,3,926122830126878720
How the Tax Cuts and Jobs Act helps Americans of all walks of lifepic.twitter.com/AKIOnNB4bh,2017-11-02 16:24:04,9,2,926122748535066624
Here are some more real life examples for how everyday Americans will benefit from the Tax Cuts and Jobs Act...,2017-11-02 16:22:56,2,2,926122463683076096
7)You & your family will be able to continue using the retirement savings option that best suits your needs at each stage of your lives.,2017-11-02 16:22:22,0,1,926122322611798016
6)You will see more “Made in America.”,2017-11-02 16:22:07,0,1,926122256132198400
5)You will be able to more easily start your own business and be your own boss,2017-11-02 16:21:58,1,2,926122219985620992
4) More job opportunities and paycheck growth after years of stagnant wages.,2017-11-02 16:21:45,0,1,926122167430938624
3)You will have an easier time filing your taxes each spring.,2017-11-02 16:21:03,0,1,926121991387668480
2)You will have help raising your children and supporting your family.,2017-11-02 16:20:51,0,1,926121939260846080
1)You will be able to keep more of your hard-earned $$ every month,2017-11-02 16:20:35,0,1,926121873116672000
"Here’s what the Tax Cuts and Jobs Act would mean for you, your family, & other Americans…",2017-11-02 16:20:00,2,1,926121725087055873
"With this tax reform bill, a typical middle income family of four earning $59,000 will receive a $1,182 tax cut.",2017-11-02 16:17:30,1,2,926121097241792514
"For a section by section summary of the Tax Cuts and Jobs Act, click here: http://bit.ly/2iT2nrr ",2017-11-02 16:16:55,1,1,926120947953930241
Today @WaysandMeansGOP released the Tax Cuts and Jobs Act – a pro-growth tax reform plan.  Read the bill here: http://bit.ly/2h6xIqf ,2017-11-02 16:16:28,5,3,926120838050582528
"Lifting in prayer all those impacted by last night's shooting - for comfort, peace & healing. My heart breaks for those who lost loved ones",2017-10-02 13:32:02,9,1,914845430198005760
We must get tax reform right. I look forward to working w/ @WaysandMeansGOP on behalf of America's taxpayershttp://bit.ly/2k2OpDF ,2017-09-27 20:22:32,3,1,913136799719067652
We need #taxreform bc our broken tax code favors special interests over American familiespic.twitter.com/G2RZWiha6F,2017-09-27 20:21:00,2,4,913136411532021761
We need #taxreform bc our broken tax code drives American jobs overseaspic.twitter.com/cyM7jBWL8K,2017-09-27 20:20:34,1,2,913136302194876416
