Text,Date,Favorites,Retweets,Tweet ID
"Congrats to @ClarkeCoSchools, @WHS_Seminoles, and Crisp County School System for being named the Innovation Fund Implementation & Scaling Grantees for Nov. 2017 by @GOSA_GA.",2017-11-29 21:50:33,0,1,935989383894851584
"Important Open Enrollment facts:
 Start- November 1
 End- December 15
 #GetCovered
 Need more information: http://www.HealthCare.gov pic.twitter.com/dyWlaG4r8y",2017-11-29 14:51:44,2,3,935883982914408448
"On this Thanksgiving Day, I am thankful for my family, friends, staff, & the opportunity to serve the wonderful constituents of the 2nd Congressional District. Please have a safe Thanksgiving and keep those who were not able to spend the day with their loved ones in mind.",2017-11-22 17:01:14,5,4,933379861439184897
Congratulations to all our schools in the 2nd Congressional District who were recognized as GA’s 2017 Single Statewide Accountability System Awards Schools.,2017-11-18 16:26:49,4,5,931921647262732288
Thank you to Ms. KateLynn DeStefano and @MarionCoHigh for inviting me to speak with them this morning about government. It’s never too early (or too late) to get involved and make a difference.pic.twitter.com/d7nZ43YWbl,2017-11-17 22:01:19,4,4,931643437706817537
"Our obligation is not just to our veterans, but to their families who have faced the unique demands of the military lifestyle.http://thehill.com/blogs/congress-blog/politics/360884-supporting-our-veterans-is-a-family-commitment …",2017-11-17 16:30:23,4,5,931560157921923073
I was pleased to deliver the keynote address at the Job Corps Leadership Summit yesterday.pic.twitter.com/f6D2zzoA6J,2017-11-17 15:33:16,9,4,931545783903629312
"FACT: Many people who signed up to #GetCovered for 2017 only paid $50-$100/month in premiums. http://www.HealthCare.gov . 
Open Enrollment ends December 15!pic.twitter.com/9TaERZdzU6",2017-11-16 14:46:14,6,8,931171556876791811
"On November 13, Secretary Perdue designated 83 counties affected by Hurricane Irma as primary natural disaster areas.https://bishop.house.gov/media-center/press-releases/advisory-usda-disaster-assistance-available-for-farms-impacted-by …",2017-11-15 19:00:33,0,3,930873169484959744
"Tonight I will join my fellow co-chair on the Congressional Military Family Caucus, @cathymcmorris , at the @BlueStarFamily‘s 2017 Annual Military Family Lifestyle Survey Launch and Reception.",2017-11-15 15:26:47,3,2,930819373392171008
"On today, the @USMC celebrates its 242nd birthday! I say with great pride, Happy Birthday Marines! @MCLBAlbanypic.twitter.com/AjRYOPAoln",2017-11-10 14:12:59,9,9,928988865360220160
"During World Wars I and II, Native American soldiers, sailors and marines, also known as Code Talkers, developed a secure line of communication by utilizing their native languages to establish a series of unique codes that saved lives and won battles.",2017-11-09 19:48:39,6,4,928710947199479808
I was honored to attend the Medal of Honor Ceremony for the five courageous USCP officers who risked their lives to save others during the tragic shooting at the congressional baseball game practice on June 14.pic.twitter.com/qbsbBPSb3K,2017-11-09 17:02:19,5,3,928669087865147394
FACT: 8-in-10 people who signed up to #GetCovered for 2017 received financial help.  Open Enrollment for 2018 ends December 15! http://www.HealthCare.gov ,2017-11-09 15:21:08,4,3,928643626330095616
"I led 120 of my colleagues in writing a letter to U.S. Secretary of Labor Acosta, which successfully reversed proposed cuts in the number of Job Corps student training slots.https://bishop.house.gov/media-center/press-releases/bishop-barletta-and-sessions-secure-protections-for-job-corps-program …",2017-11-08 22:42:10,2,3,928392228669620231
This year’s Diwali on the Hill was an enlightening experience! I am honored to have been able to celebrate the holiday with our Indian friends on the Hill!pic.twitter.com/gFQzg3ZfLo,2017-11-08 18:04:31,5,2,928322354060644352
"It was an honor to speak to veterans, service members, and cadets at the National Infantry Museum yesterday.pic.twitter.com/jl1DUnEMKP",2017-11-07 16:59:42,0,3,927943656836825090
"My heart goes out to the loved ones of those who were killed and injured in Sutherland Springs, TX.",2017-11-06 00:08:31,8,7,927326795057303552
I was honored to participate in the groundbreaking for the Dwight D. Eisenhower Memorial. He was a hero & leader for our country.pic.twitter.com/g7yv6HybUB,2017-11-02 18:49:44,5,8,926159407364427777
Open Enrollment is shorter this year than in the past – 11/01 to 12/15. Don’t miss your chance to #GetCovered. https://localhelp.healthcare.gov/#/  #ACA,2017-11-01 13:13:13,11,26,925712332445159424
Open Enrollment in Health Insurance Marketplace starts 11/1. Need help going through the process to #GetCovered? https://localhelp.healthcare.gov/#/ ,2017-10-26 16:08:13,1,5,923582044273299457
"On 11-1, the VA will accept apps for Vet ID Cards @ http://Vets.Gov   & enrollment for Vet Health ID Cardshttp://www.va.gov/healthbenefits/enroll …",2017-10-23 17:00:34,1,4,922508055824293894
Great strides were made to strengthen military families at the Congressional Military Family Caucus Summit yesterday!pic.twitter.com/o80AjtEOhj,2017-10-18 23:11:09,5,8,920789374954065920
It’s b/c of hardworking farmers that we enjoy all the spoils of the earth! Thank a Farmer today. #NationalFarmersDaypic.twitter.com/TtLY5x0OS0,2017-10-12 17:34:17,13,4,918530275864346624
Breaking News: One more week until the annual Military Family Summit on 10/17 #milfampic.twitter.com/UM6CFV4lgw,2017-10-10 15:59:02,5,5,917781529069277184
"I am extremely grateful for the visit by @Lord_of_Q , Mayor of Unadilla. It was nice to have a taste of Georgia on Capitol Hill.pic.twitter.com/L52kplOoLs",2017-10-04 17:09:32,4,3,915624944557584384
Breaking News: @SanfordBishop and @cathymcmorris will host the annual Military Family Summit on 10/17 #milfampic.twitter.com/cf75KSVm1S,2017-09-29 14:31:59,1,2,913773354116632582
My office knows firsthand the importance of HBCUs and the importance of providing a quality education to everyone #HBCUPride #HBCUWeekpic.twitter.com/zXRpItmY9F,2017-09-22 19:13:06,21,11,911307383003127808
Thank you @FVSU and @AlbanyStateUniv for all you do to educate young minds in Middle and Southwest Georgia #HBCUPride #HBCUWeek,2017-09-22 19:12:47,16,14,911307304162725888
Thankful that @USDA continues to be on the job for #Harvey #Irma & #Maria. Handy contact info 4 GA/FL/TX residentspic.twitter.com/ystPTdInig,2017-09-21 19:52:13,2,4,910954841601699843
"@cathymcmorris and I will be hosting the Military Family Summit on Oct. 17 at the @infantrymuseum in Columbus, GA!https://www.eventbrite.com/e/military-family-caucus-summit-2017-tickets-35513860914?ref=estw …",2017-09-18 17:55:25,4,4,909838282669817856
