Text,Date,Favorites,Retweets,Tweet ID
"In the world today, our strong alliance with Germany is critical. I reaffirmed our commitment to this partnership during today’s meeting with Germany’s Foreign Minister, @SigmarGabriel.pic.twitter.com/KtR658otoR",2017-11-30 22:39:39,304,74,936364125793472512
"No matter what party you are in, we can all agree that we live in a very dangerous world. Congress is sending legislation to the president’s desk to give our men and women in uniform the support and equipment they need to get the job done.pic.twitter.com/8kQXmZPWiI",2017-11-30 17:41:31,1680,394,936289101615190019
"Breaking news → I have formally invited @POTUS to deliver his first State of the Union address before a joint session of Congress on January 30, 2018.pic.twitter.com/CB9uGELS1l",2017-11-30 16:33:08,6526,1911,936271891530207233
Live soon: my weekly press conference where I'll discuss the progress towards historic #TaxReform and the House's efforts to combat sexual harassment. Watch→http://speaker.gov/live ,2017-11-30 16:27:53,234,45,936270568713850880
Good news → I just signed a bill to give our troops their largest pay raise in 8 years. Next stop: the @WhiteHouse to become law.pic.twitter.com/uUaWmbeGcF,2017-11-30 15:45:26,2694,795,936259886098407426
I commend the Senate for taking this next big step towards historic tax reform for hardworking American families.https://twitter.com/senategopfloor/status/936011341583867904 …,2017-11-29 23:41:00,1762,374,936017178121457665
"It was a privilege to host @KingAbdullahII and @QueenRania at the Capitol today. Jordan continues to be a critical ally in the Middle East, and we discussed shared, ongoing efforts to defeat ISIS and other radical Islamist extremism.pic.twitter.com/DJp7kQW6BL",2017-11-29 19:59:38,348,75,935961470302674945
Sexual harassment has no place in any workplace—let alone in the United States Congress. This week's legislation mandating training is an important first step as we deal with this problem.pic.twitter.com/VVksq4n7OZ,2017-11-29 15:19:36,1534,333,935890999385001984
"While the Senate works to advance #TaxReform, we’re continuing to tackle other issues in the House. We’re talking about our work to combat sexual harassment through legislation this week live at 10am→ http://speaker.gov/live ",2017-11-29 14:58:37,320,73,935885714931240960
"We have important work to do. There is a meeting at the White House this afternoon, and if Democrats want to reach an agreement on these issues, they will be there. http://spkrryan.us/2BvcDey pic.twitter.com/9XhzjrLuKv",2017-11-28 17:22:24,1183,412,935559513951932416
A culture of giving back to those in need is what helps make our country great—and it’s important we protect this act of generosity. That’s why the Tax Cuts & Jobs Act preserves the deduction for charitable giving.,2017-11-28 16:01:37,272,40,935539184437260288
"Charitable giving is a pillar of American life. On this #GivingTuesday, we’re grateful for the many charities shaping our nation, and hopeful for the impact they continue to have.http://spkrryan.us/2Bmj8PP ",2017-11-28 15:41:42,602,113,935534173284126725
Economists: #TaxReform could boost our country’s GDP by 3% to 4% long term. We haven’t had this kind of economic growth in over a decade.http://on.wsj.com/2zrpVr3 ,2017-11-27 16:37:07,723,199,935185729692557312
"Our pro-growth reforms in the Tax Cuts & Jobs Act will create nearly 1 million, new full-time jobs across the country.pic.twitter.com/GOXUWjydan",2017-11-27 15:53:06,862,232,935174652258762752
We are in a generational defining moment for our country.pic.twitter.com/H5CuSIqSTG,2017-11-27 14:18:52,886,164,935150938775580672
"For every single taxpayer in America, the standard deduction will nearly double: $12,000 for an individual and $24,000 for a couple filing jointly.http://spkrryan.us/2AIBD0o ",2017-11-25 17:05:45,1542,408,934468160866091012
"The Tax Cuts and Jobs Act will create:
 Nearly 1 Million new jobs
 Faster economic growth
 Upward pressure on wages for workershttp://spkrryan.us/2jtvn9q ",2017-11-24 21:40:54,1424,314,934175014903013376
"From my family to yours, Happy Thanksgiving.pic.twitter.com/b8zqVIAFiz",2017-11-23 15:14:55,2368,256,933715491360837632
"On this Thanksgiving, I am thankful for my family, the men & women serving in our Armed Forces, and for our country’s law enforcement officers & first responders. Happy Thanksgiving!http://spkrryan.us/2iE7t7X ",2017-11-22 16:00:18,2054,275,933364524085899269
This designation is right and it’s important. This ethnic cleansing in #Burma must end.https://twitter.com/statedept/status/933338211467911170 …,2017-11-22 15:12:30,324,77,933352495245680642
"With the Tax Cuts & Jobs Act, Steve & Melinda will get a tax cut of $1,182. That’s #1182more for some financial breathing room. This is their story:http://spkrryan.us/2zWQXHN ",2017-11-21 18:35:46,546,122,933041260788682752
Almost half the country says they would not be able to pay an unexpected bill of $400 or more. ← Unacceptablehttp://spkrryan.us/2ikDiCy ,2017-11-20 22:40:13,947,240,932740391052472320
"I strongly support this decision, which is an important step in holding North Korea accountable for its wide range of destabilizing activities.https://twitter.com/PressSec/status/932652254821343232 …",2017-11-20 17:35:06,1835,360,932663605383847936
