Text,Date,Favorites,Retweets,Tweet ID
Getting festive in Longworth!pic.twitter.com/oZYxPxbKm9,2017-11-28 20:27:46,6,1,935606162392780800
"Here is my statement on today's vote on H.R. 1, the Tax Cuts and Jobs Act.pic.twitter.com/ATaEFZTtE4",2017-11-16 19:16:57,16,8,931239684612743169
Multiple Knight science bills pass key legislative step | U.S. House of Representativeshttps://shar.es/1M12lW ,2017-11-15 18:39:15,6,5,930867810288488449
pic.twitter.com/utQZ2YxxHI,2017-11-15 16:31:40,5,2,930835702195113984
I'm proud to work with @RepEsty to improve our aerospace industry by bringing our brightest young women and girls into the field.https://twitter.com/RepEsty/status/930825678458585089 …,2017-11-15 15:55:55,5,2,930826707153584128
I was there,2017-11-14 18:45:36,1,1,930507021744558085
I'm proud to have played an important role in crafting this important bipartisan piece of legislation. #NDAA @HASCRepublicans @HASCDemocratshttps://knight.house.gov/news/documentsingle.aspx?DocumentID=1373 …,2017-11-09 22:04:27,3,2,928745126142316545
Here is my letter sent to @DeptofDefense urging the implementation of life-saving technology into the F-35 https://knight.house.gov/UploadedFiles/Auto_GCAS_Letter_to_JPO.pdf …,2017-11-09 18:53:29,4,3,928697065495961600
Thanks for the support!https://twitter.com/aiaa/status/927916409820205056 …,2017-11-07 15:20:24,4,1,927918665533657088
"Lily and I are praying for the victims and families in Sutherland, Texas. Thank you first responders for your bravery and quick response.",2017-11-06 00:17:18,11,4,927329004813803520
http://www.hometownstation.com/santa-clarita-news/politics/federal-animal-cruelty-legislation-update-supported-by-congressman-knight-210569 …,2017-11-02 14:21:44,9,3,926091960645046273
Happy Halloween!pic.twitter.com/WW4ceDbao7,2017-10-31 16:56:11,24,3,925406056850829312
"Ten years old and setting up an event to help homeless. Harrison, You are truly a young leader in our community.pic.twitter.com/aLCJDcBpIz",2017-10-22 07:10:24,70,28,921997145762291712
Great meeting with the @RecordingAcad group today!https://twitter.com/damonsharpe/status/920789672258813953 …,2017-10-18 23:53:18,7,2,920799983334330368
Thank you to the @PalmdaleChamber for having me speak at your luncheon about issues that impact the AV and the rest of #CA25District!pic.twitter.com/7DyjEtVL5u,2017-10-18 20:35:46,5,3,920750272594546690
Thanks @KHTSRadio The Way Out Recovery for having me on the show to talk about opioids & law enforcement. Listen--> http://bit.ly/2ztJ9MT ,2017-10-16 20:25:15,5,4,920022851012431872
"The accomplishments of achieving Mach 1,2,3,4,5,6 and the highest air speed of 6.72 all happened at Edwards AFBpic.twitter.com/mOUv7UcCQs",2017-10-14 05:53:29,20,16,919078689266024449
Lily and I had a wonderful time at Edwards for the ball.pic.twitter.com/g9lwLsVWHl,2017-10-14 05:50:33,15,4,919077949583671297
Happy Birthday to our U.S. Navy!https://twitter.com/USNavy/status/918803117327704065 …,2017-10-13 13:18:23,7,2,918828260703854593
Proud to be appointed as a Conferee for the @HASCRepublicans for #FY18NDAA. I look forward to working with my colleagues!https://twitter.com/HASCRepublicans/status/918585193144963073 …,2017-10-12 21:16:55,8,6,918586300441165824
Today is #NationalFarmersDay! Thanks to all of our farmers who feed our nation!pic.twitter.com/zATRnvPg8k,2017-10-12 14:36:41,5,2,918485577669992448
"Thanks to @HouseSmallBiz & @HouseScience for their support in getting my bill, #HR2763, to pass the House today!http://bit.ly/2i55ts0 ",2017-10-11 20:48:21,13,12,918216723832197121
Proud to be the lead in founding the new House NASA Caucus with my colleague @RepMarcyKaptur. Read More Here --->>http://bit.ly/2guThNx ,2017-10-11 19:51:17,6,1,918202365613957121
Honored to have been a part of such a great discussion with great leaders in aerospace!https://twitter.com/Stratolaunch/status/917912506751840256 …,2017-10-11 00:43:52,8,1,917913607844909058
Congrats to @BYDCompany for the grand opening of the expansion terminal. They bring clean air public transportation and jobs to the AV!pic.twitter.com/NduILEiv20,2017-10-06 19:31:48,9,2,916385519554228225
Thank you to all of our teachers who are inspirations and teach our children the skills to succeed in the future! Happy #WorldTeachersDaypic.twitter.com/zN1VXY8oiO,2017-10-05 20:18:42,13,5,916034933923225602
"One year ago today, the Antelope Valley lost a great man dedicated to the safety of our streets. Sgt. Steve Owen is greatly missed by many.pic.twitter.com/GLRXioTSH3",2017-10-05 15:32:48,103,35,915962986816245765
"*FIRE ALERT* If you are in the area in Cyn Country listed below, please be aware of the fire advisory and stay safe. Responders are working.https://twitter.com/SCVSHERIFF/status/915664072380620800 …",2017-10-04 19:47:29,2,1,915664692374274048
Congress will be working together to do something we haven't been able to do in 31 years. #TaxReform http://bit.ly/2fhh3Mx pic.twitter.com/ZQVVzZwDpD,2017-10-04 15:48:20,2,1,915604509753257984
Click here to watch the floor speech I did this morning in honor of the 50th Anniversary of my father's flight.http://bit.ly/2g8eYDb ,2017-10-03 15:14:56,5,3,915233716280217600
Thanks to @EdwardsAFB for this fantastic video celebrating 50 years of Dad's flight! Proud to be a part of the Edwards AFB family!https://twitter.com/EdwardsAFB/status/915219306010484736 …,2017-10-03 14:33:07,11,3,915223189340540929
"Today marks the 50th Anniversary of my father's historic, record breaking, Mach 6.72 flight. I am very proud of my father's accomplishments.pic.twitter.com/WtNxsRRGB0",2017-10-03 14:27:17,51,10,915221725029298178
Absolutely heartbreaking news coming out of Las Vegas. Read my full updated statement here ---> http://bit.ly/2xbyzwy  #PrayForLasVegas,2017-10-02 21:47:31,9,4,914970125362778113
I am hoping to hear your feedback on the new Tax Reform framework. Let me know here --->http://bit.ly/2fhh3Mx ,2017-09-28 19:05:51,1,1,913479888568451074
"Welcome back my friend, @SteveScalise! Watch our Majority Whip in his welcome back address to Congress now! http://cs.pn/2wZfVTQ ",2017-09-28 14:41:30,5,1,913413362805026816
Tax Reform is here! Time to put more money into the pockets of our hard working Americans. #TaxReform http://bit.ly/2fhh3Mx pic.twitter.com/TcBL1PNLfn,2017-09-27 19:38:01,10,10,913125596334616577
Our cars have changed a lot since 1986 but our tax code hasn't! Click here to learn more----> http://bit.ly/2fhh3Mx pic.twitter.com/1J5hrcsa2m,2017-09-25 15:58:14,5,1,912345510643732482
Click here to learn more about our plan ---> http://bit.ly/2fhh3Mx https://twitter.com/HouseGOP/status/911273071876567040 …,2017-09-22 18:34:31,3,4,911297674950963201
Thanks to the Cub Scout Pack at St. Rose of Lima Catholic Church in Simi Valley for inviting our staff to speak about how government works!pic.twitter.com/K0NMWwEXZg,2017-09-22 15:07:57,8,1,911245692278116359
The Marines might have their first female graduate from Marine Infantry Officer Course soon! Inspiring Trailblazer!http://wapo.st/2xUCm1o ,2017-09-21 19:55:02,53,17,910955551915462656
"Computers have changed a lot since 1986 but you know what hasn't, our tax code. Congress is ready to fix that ---> http://bit.ly/2fhh3Mx pic.twitter.com/ZJBaCjWB3a",2017-09-21 15:41:34,6,4,910891761966440454
Absolutely. I'm committed to serving our community.https://twitter.com/santaclarita/status/910640790606561281 …,2017-09-20 23:15:49,6,3,910643691068493826
