Text,Date,Favorites,Retweets,Tweet ID
"Jose Zarate should never have been in this country in the first place after being deported 5 times already. We must secure our borders, put an end to so-called “sanctuary cities,” and prevent the kind of injustice suffered by Kate Steinle and her family.https://twitter.com/foxnews/status/936394803474063361 …",2017-12-01 04:00:59,1501,612,936444993962684418
So great to catch up with Jessica and Theresa Chatelain yesterday in my office. Jessica is Madison’s former teacher and was recently named Teacher of the Year for Alice Birney Elementary School. Congrats Jessica!pic.twitter.com/dWdgLc68tk,2017-11-30 23:08:10,244,38,936371303128367105
This  is lit!pic.twitter.com/4rc8xWz6Ku – at National Christmas Tree Lighting,2017-11-30 22:25:30,869,216,936360566762950658
Our troops deserve it!https://twitter.com/SpeakerRyan/status/936259886098407426 …,2017-11-30 19:23:04,1633,392,936314656968278016
Today's resolution sends a message that workplace harassment of any kind is unacceptable – including here in Congress. Thanks to @RepComstock for her diligent work on this bill.pic.twitter.com/ljiVFkJa9N,2017-11-29 20:38:41,737,244,935971295816245248
Glad to see the Senate @BudgetGOP pass its #TaxReform bill out of committee. One step closer to much-needed tax cuts for middle class families!,2017-11-28 20:07:40,862,188,935601105211412480
"Louisiana → do you know a tireless volunteer? Nominate him or her for the @Volunteer_LA Champions of Service award! 
http://www.volunteerlouisiana.gov/volunteering/awards-and-recognition …pic.twitter.com/MBEQ7klKJe",2017-11-28 17:51:10,63,25,935566752934760448
"Economists agree #TaxReform would boost the economy by 3-4%

https://www.wsj.com/articles/how-tax-reform-will-lift-the-economy-1511729894 …pic.twitter.com/dBY7belTML",2017-11-28 00:36:45,801,333,935306434312658944
"I'm thankful to be alive, and for the opportunity to spend time with my family. 

What are you thankful for this year? #HappyThanksgiving!pic.twitter.com/D45uso6o7H",2017-11-23 13:30:50,4564,1080,933689298674769920
1930’s-era utility style regulations have no business being applied to the internet in the 21st century. The best way to protect a free and open internet is to keep the heavy hand of government out of the way and let the great innovation continue.https://twitter.com/ajitpaifcc/status/933009189991079936 …,2017-11-21 17:44:46,2812,1089,933028426780422147
"When the GOP plan for #TaxReform is signed by @POTUS, you'll see economic growth and job creation like we haven't seen in decades.pic.twitter.com/PiR5t34eAn",2017-11-17 14:01:05,1055,326,931522581831622656
Today was a big step forward in providing meaningful tax relief for the middle class. Thanks @RepKevinBrady and @WaysandMeansGOP for working to get this done!pic.twitter.com/J5rgmtPwV1,2017-11-16 23:26:10,824,214,931302403764375553
Bless your heart!https://twitter.com/rosie/status/931245736871845888 …,2017-11-16 21:03:55,16568,4650,931266606868697088
"Today, the House took action to put more money back in your pocket, to bring jobs back from overseas, and to make America competitive again.pic.twitter.com/bWQTq9JQsl",2017-11-16 20:24:42,997,372,931256736283070465
I applaud the passage of the Tax Cuts and Jobs Act. This is a huge win for American families!pic.twitter.com/aNXHFWJK56,2017-11-16 18:50:33,7519,2063,931233043255386112
.@HouseGOP had a great meeting with @POTUS today. Now let's geaux cut taxes!pic.twitter.com/Iub0gn1ECN,2017-11-16 18:39:58,630,167,931230379675209729
Big day in the House today.,2017-11-16 12:15:53,1389,282,931133723310993408
"For the last eight years, families haven't seen strong economic growth or an increase in wages. Our bill changes that, and I'm excited to see it pass out of the House tomorrow. #TaxReformhttps://youtu.be/blLTxsfT5cU ",2017-11-16 00:17:05,333,96,930952829946204160
Our tax bill puts money back in your pocket. You earned it.pic.twitter.com/LiVrqYRjmO,2017-11-15 22:22:48,309,85,930924069599563783
What's the best part of tax reform?,2017-11-15 21:45:03,282,169,930914568725032962
"Cutting taxes brings jobs back from overseas. It increases wages. It provides much-needed relief for the middle class.

Failure is not an option.pic.twitter.com/WhbhEtOrgR",2017-11-15 21:06:16,514,177,930904810576142338
I'll be joining @Phil_Mattingly in a few minutes to talk about the big tax cuts vote tomorrow. Turn on @CNN. ,2017-11-15 20:06:34,139,23,930889785312464899
"The bottom line is families will pay less in taxes under our bill. Even in high-tax states like New York, California, and New Jersey.pic.twitter.com/8Olk7Zg1UC",2017-11-15 15:48:40,836,270,930824883474493440
"The House just passed the #NDAA, giving a well-deserved pay raise to our troops. Learn more: https://armedservices.house.gov/sites/republicans.armedservices.house.gov/files/wysiwyg_uploaded/FY18%20NDAA%20Floor%20Summary%20vFinal.pdf …pic.twitter.com/EDmXJoHZZX",2017-11-14 22:14:21,531,191,930559554626248707
Today's vote on the #FloodInsurance bill provides important reforms for taxpayers and certainty for policy holders.pic.twitter.com/aS1xhEfNJU,2017-11-14 22:11:40,116,39,930558880526094336
I just met with @LuigiDiMaio – Vice Presidente della Camera dei Deputati Italiano. The friendship between  and  is strong!pic.twitter.com/p8F9nyvo8k,2017-11-14 18:36:27,424,179,930504719902134272
We're serving up tax cuts with a side of job creation. Restaurants create a large portion of economic growth in all our communities.pic.twitter.com/HuxgNtRK71,2017-11-13 17:55:21,330,92,930131986181689344
Welcome back!https://twitter.com/RandPaul/status/930104436705447937 …,2017-11-13 16:45:16,1052,228,930114350584619008
"I'm lucky to be alive – @Kasie and I discussed the police who saved my life, my recovery, protecting the 2nd amendment, and my scooter race.pic.twitter.com/WDd0PVl79J",2017-11-13 01:37:10,1689,507,929885819380404224
"Things we need to accomplish with #TaxReform:
. Cut taxes for the middle class
. Make America competitive 
. Simplify the tax codepic.twitter.com/48xlCIcSiL",2017-11-12 16:23:41,543,150,929746532991107072
Tune in to @FoxNews now. I’m about to join @foxandfriends to talk about the latest on #TaxReform,2017-11-12 14:16:37,394,55,929714554795384832
"Just finished voting (with a little help from Harrison). Still one hour left to #earlyvote
#GeauxVotepic.twitter.com/gOAus45ak1",2017-11-11 23:18:07,560,101,929488439996829699
"This week, our bill passed the @WaysandMeansGOP committee. I'm looking forward to getting this done to cut taxes for all Americans. Let's go!pic.twitter.com/nTgut8iEqz",2017-11-11 20:20:43,551,148,929443793291632640
Thank you to all who served. #VeteransDaypic.twitter.com/ODtOqGupTB,2017-11-11 14:36:00,4699,864,929357045026971650
Happy 242nd birthday to the @USMC! #SemperFipic.twitter.com/hQslOW2cVx,2017-11-10 19:06:36,492,112,929062755667193858
"The problem with our tax code is it picks winners & losers.

Our bill gets rid of loopholes & cuts taxes for Americans at all income levels.pic.twitter.com/Ve4ZhnQs61",2017-11-09 22:20:57,668,258,928749277756755968
I'll be going on @SeanHannity's radio show in a few minutes. ,2017-11-09 21:00:49,470,59,928729109127188480
