Text,Date,Favorites,Retweets,Tweet ID
"Great to join C-SPAN’s Washington Journal this morning to discuss tax reform and keeping our government funded and open, as well as taking some questions from viewers across the nation.https://twitter.com/cspanwj/status/935921801070125056 …",2017-11-29 21:52:19,6,2,935989828314914817
Wishing you and your family a blessed and grateful #Thanksgiving.pic.twitter.com/oT5v13wui0,2017-11-23 19:53:35,17,4,933785619913957376
"A few weeks ago, I had the opportunity to hear Frank Stephens’ testimony during the LHHS Appropriations Subcommittee hearing on Down Syndrome research funding. His story is very moving & is an example of why medical research funding is so important.http://www.insidesources.com/congress-faces-choice-syndrome-research/ …",2017-11-21 19:58:42,14,5,933062133948043264
"As the House considers the The Tax Cuts And Jobs Act (H.R. 1), it’s a relief to know that this bill will bring more than 11,000 new jobs to #Oklahoma as well as increase the median household income by $2,241. https://fairandsimple.gop/ pic.twitter.com/sV5BjZUGdt",2017-11-13 21:40:35,18,6,930188668584779776
Today we pause to honor the service and sacrifice of every man and women who has worn the uniform of our great nation. #VeteransDaypic.twitter.com/kwfPgVKQ1D,2017-11-11 16:21:33,27,7,929383608195969025
"This month we celebrate our nation’s Native American heritage. I’ve been honored to represent tribal communities at the federal level, & will always work to ensure that the rights, well-being & culture of our Native citizens & tribes are protected.https://cole.house.gov/media-center/weekly-columns/protecting-our-native-heritage-and-communities …",2017-11-08 21:13:11,10,3,928369834286559232
"I am heartbroken over the loss & tragedy in Texas. My prayers are w/ the families of the victims, the community & the entire state of Texas.",2017-11-06 22:07:22,12,1,927658692463513600
"Thank you @PeteSessions, @RepCheri & @cathymcmorris for your testimony on your experiences & support for Down Syndrome Research.pic.twitter.com/l4QcxneQp2",2017-10-25 21:30:57,21,11,923300875648483328
"It was wonderful to meet w/ Lisa Hancock & the @GDSFoundation before today's @HouseAppropsGOP Labor, HHS hearing on Down Syndrome research.pic.twitter.com/dfLT2NxQTC",2017-10-25 21:28:12,26,6,923300182665478144
I had an incredibly moving visit at the @tccokc earlier this week. Many thanks to the dedicated staff & brave children for the visit!pic.twitter.com/8qocdAGAUi,2017-10-20 18:34:16,16,7,921444472856174592
It is always a pleasure to meet with the @MooreChamber! I enjoyed giving a DC update and catching up with familiar faces.pic.twitter.com/XvjVcwdh73,2017-10-19 20:00:04,7,4,921103677871534081
It was great to tour @Boeing newest expansion in OKC. The facilities house research labs and a new flight simulator. Thanks for having me!pic.twitter.com/1MxvIXuM3S,2017-10-17 19:31:50,12,5,920371794594488320
I enjoyed meeting with the Midwest City Chamber to give a legislative update on what’s going on in Congress. Thank you for your time today!pic.twitter.com/gToKa9riyz,2017-10-03 21:07:34,3,2,915322458433097733
"I am heartbroken over the tragic shooting in Las Vegas. My thoughts & prayers are w/ the victims, families & state of Nevada.",2017-10-02 16:22:29,36,23,914888327958024192
"ER visits and opioid overdose-related deaths have more than quadrupled in the last 15 yrs. Join @NIH on 9/29, 2-3pm ET for #OpioidAwareChatpic.twitter.com/ZLEadjfE2X",2017-09-29 18:20:53,23,10,913830958859800576
"Looking for answers about our framework for #taxreform? Well, look no further →http://fairandsimple.gop ",2017-09-29 14:18:32,1,4,913769971196493824
"@President_Boren has contributed to @UofOklahoma, our state & nation in many ways. Best wishes on his retirement!https://cole.house.gov/media-center/press-releases/cole-statement-ou-president-david-borens-retirement …",2017-09-20 20:21:36,11,3,910599846196805633
It was an honor to speak with the @MCWARCollege & discuss the priorities that Congress has for our nation’s military. Thanks for having me!pic.twitter.com/wi3uof7m9n,2017-09-15 13:50:31,3,2,908689489350025216
We never forget the lives we lost 16 years ago & the heroism from our first responders. Our thoughts & prayers are eternally with them all.pic.twitter.com/ULC2ye0AAF,2017-09-11 16:10:41,17,5,907275211858477056
My thoughts and prayers are with our neighbors in Texas and everyone who has been affected by Hurricane Harvey.http://newsok.com/oklahoma-national-guard-members-deploy/article/5562027 …,2017-08-30 16:49:26,20,15,902936309492310017
Thanks to everyone who joined me at my Norman town hall meeting. I always appreciate hearing your concerns & questions.pic.twitter.com/L4vYgyYt9K,2017-08-24 13:32:25,12,4,900712402064474113
Thanks to all who joined me at my Ada town hall. I enjoyed our conversation & always appreciate hearing your questions and concerns.pic.twitter.com/nESg9vkuY5,2017-08-16 23:44:18,13,1,897967282898575360
"My statement on the tragic events in Charlottesville, VA: https://www.facebook.com/TomColeOK04/posts/1367439776638755 …",2017-08-14 19:32:56,15,11,897179249785942018
It's been a great 1st week of August District work month. Thanks INCA RSVP Senior Corps & Ardmore Young Professionals for having me!pic.twitter.com/pqy0ptgxqW,2017-08-04 14:55:46,7,3,893485619804086273
Many thanks to our DC interns for their hard work and dedication this summer. Best wishes in your next chapter!pic.twitter.com/k8jYFXZqKk,2017-08-01 16:51:40,14,1,892427621211963392
The FAA has worked well for the US for more than 5 decades. Let’s not try to fix something that isn’t broken.https://cole.house.gov/media-center/weekly-columns/if-faa-s-not-broke-don-t-try-fix-it …,2017-07-31 19:52:44,60,34,892110800181178368
"I just announced my town hall schedule for the month of August. For more information, please visit:https://cole.house.gov/media-center/press-releases/cole-announces-august-town-hall-schedule …",2017-07-28 20:17:45,19,14,891029932712787972
"I am proud that the LHHS Appropriations Subcommittee bill reflects Americans' priorities, from cancer research to early childhood education.https://twitter.com/HouseAppropsGOP/status/885597681120419841 …",2017-07-13 20:33:54,36,13,885598179269517314
"Happy Birthday to our 43rd President, George W. Bush  - a good man and a great friend!pic.twitter.com/9hwa48aKlV",2017-07-06 16:53:36,16,0,883006027184173056
My thoughts & prayers are w/ my friend @SteveScalise & his family. He’s a fighter & a winner. He needs our prayers & support.,2017-07-06 13:31:18,25,4,882955116445401088
#HappyIndependenceDay! Our nation has always been great - filled with great people and indomitable patriotism. https://cole.house.gov/media-center/weekly-columns/great-people-and-great-nation …pic.twitter.com/8fbrFhkFPM,2017-07-04 16:12:49,16,1,882270985956864000
.@POTUS leg director Marc Short just made his first Sunday show appearance on Fox. He needs to be on the air more often. Great job! -TC,2017-07-02 17:17:32,7,4,881562496699695104
"Congrats to Laura Rose, winner of the Congressional Art Competition from OK’s 4th District! #FourthDistrictFriday https://cole.house.gov/media-center/press-releases/cole-congratulates-2017-congressional-art-competition-winner …pic.twitter.com/MDkVkv106o",2017-06-30 18:34:52,8,0,880857183906385920
I’m pleased to announce the confirmed Military Academy nominees from OK-4. I know they'll serve w/ honor & integrity.https://cole.house.gov/media-center/press-releases/cole-announces-confirmed-military-academy-nominees-oklahoma-s-fourth …pic.twitter.com/mE6MsOkhwQ,2017-06-20 14:25:51,15,1,877170635570638848
"My prayers are with @SteveScalise, the staff, Capitol Police, and all those affected by this morning's incident.",2017-06-14 13:08:07,63,23,874976745287495682
"Many, many thanks to the Oklahoma EMS @amerambassoc Stars of Life recipients for your dedication and commitment to serving Oklahoma!pic.twitter.com/kwwEGKVdep",2017-06-13 19:51:46,9,0,874715939366940672
"Happy 93rd birthday to our 41st President, @GeorgeHWBush!pic.twitter.com/dvZvgQznVP",2017-06-12 13:56:35,30,9,874264166600671232
"Yesterday, the House voted to alter Dodd-Frank & provide regulatory relief to community banks & credit unions. https://cole.house.gov/media-center/press-releases/cole-applauds-passage-hr-10-financial-choice-act …pic.twitter.com/nylo4g4x88",2017-06-09 16:30:29,6,5,873215735123804160
