Text,Date,Favorites,Retweets,Tweet ID
"Vets shouldnt suffer b/c of where they live. Bills passed today expand & improve care for 17th districts 78,000 vetshttp://bit.ly/2m31Rsc ",2017-11-08 00:04:32,1,4,928050566529536000
ur #Veterans shouldn’t miss out on lifesaving transplants because of bureaucratic red tape. Proud to pass HR 1133 & HR 2601 #VeteransWeek,2017-11-07 21:25:27,3,3,928010532002639872
So far @MickMulvaneyOMB @POTUS @SecretarySonny great help w/ Irma relief Lets get citrus across finish line in November! #SaveOurCitrus,2017-10-25 15:32:06,5,4,923210570127593472
"Keep Americas OJ in America, get relief to growers #SaveOurCitrus @MickMulvaney @SecretarySonny @RealDonaldTrump @SpeakerRyan #Sayfie",2017-10-25 13:51:43,5,5,923185305695420416
Team FL @RepDennisRoss @MarioDB @RepTedYoho @marcorubio @SenBillNelson Let’s make it clear Ag fix must be included Novpic.twitter.com/fjn0sZLX5q,2017-10-25 12:37:00,7,2,923166504262225921
"Citrus already on the ropes from HLB, now IRMA threatens to kill of FL OJ #saveourcitrus @MickMulvaney @SecretarySonny @SpeakerRyanpic.twitter.com/cUg7EtyuMb",2017-10-25 00:46:00,5,5,922987574028681216
Team FL knows @FLGOVSCOTT @adamputnam Keep jobs in FL! #saveourcitrus @MickMulvaney @SecretarySonny@edatpost @venessawwong,2017-10-24 20:36:34,5,1,922924803668959232
Generations of FL growers need help from @MickMulvaney @SecretarySonny @RealDonaldTrump @SpeakerRyan in order to #SaveOurCitrus @carterevans,2017-10-24 20:04:02,3,3,922916612662951936
Citrus cant wait! FL Ag must be in Nov Relief or industry may not survive #SaveOurCitrus @SecretarySonny @MickMulvaneyOMB @venessawwong,2017-10-24 18:35:30,5,2,922894332453105672
FL Citrus decimated. Needs help now! #SaveOurCitrus http://bit.ly/2hNLDOd  @MickMulvaneyOMB @SecretarySonny @POTUS @SteveScalise,2017-10-24 16:45:09,3,5,922866563023364096
Team Florida @marcorubio @SenBillNelson united behind FL Ag Need @SecretarySonny @MickMulvaneyOMB @SpeakerRyan to act now #SaveOurCitrus,2017-10-24 16:33:15,21,15,922863568353136640
Awareness great but FL Growers need relief now! #SaveOurCitrus @SecretarySonny @MickMulvaneyOMB @RealDonaldTrump http://bit.ly/2hNLDOd ,2017-10-24 15:47:49,3,3,922852133967421440
Still time for Senate to save Florida citrus http://thehill.com/blogs/congress-blog/politics/355841-still-time-for-senate-to-save-florida-citrus … #saveourcitrus @marcorubio @SenBillNelson,2017-10-17 17:56:44,5,2,920347861606371328
"In meeting with FL delegation, @FLGovScott & @adamputnam. Need fed funding now to #SaveOurCitrus @SecretarySonny @POTUSpic.twitter.com/Uj180FuYyd",2017-10-11 14:33:52,20,10,918122484024700932
#HurricaneIrmaRecoverypic.twitter.com/EcQPKbdYAq,2017-09-21 15:55:40,0,1,910895312096591872
Make sure you have everything you need when you go to apply for aidpic.twitter.com/Yo4rM1FvIo,2017-09-20 13:56:39,8,5,910502970491629573
#HurricaneIrmaRelief #HurricaneIrmaAftermathpic.twitter.com/7QLxNCthKt,2017-09-20 13:41:13,1,2,910499088025755648
DeSoto County EM: Salvation Army mobile cantina to serve hot meals 6 PM tonight at old Winn Dixie building 1330 E OAK ST (hwy 70) Arcadia,2017-09-15 20:23:00,4,4,908788262449418241
Honored to be invited on AF 1 to survey #hurricaneimra damage and chart path to recovery w/ @realDonaldTrump @MikePenceVP @SecretaryPerrypic.twitter.com/XIVRlzlTlD,2017-09-14 15:13:03,7,4,908347869702311938
HIGHLANDS: To report downed power lines call 863-385-1112.http://www.nixle.us/9KTD3 ,2017-09-10 17:44:40,2,5,906936476524412928
latest on weather threats from #Irma http://www.weather.gov/mfl/ ,2017-09-07 18:18:16,0,1,905857766451015680
Follow these emergency mgmt accounts for live updates on Hurricane #Irma https://cards.twitter.com/cards/3oqo9s/4r0af … #hurricaneirma2017 #HurricaneIrmaTracking,2017-09-06 15:48:42,10,13,905457738305740800
Wrapping up the day talking with @AdamPutnam and hearing a great keynote from @SecretarySonny we will #SaveOurCitrus,2017-08-17 00:12:00,9,3,897974255614271489
Great day so far with @SecretarySonny headed to the Gulf Citrus Growers Citrus and Ag Celebration to talk w/ industry leaders #SaveOurCitrus,2017-08-16 22:24:00,7,1,897947075358281728
Bayer CropScience is an important partner of the CRDF in the fight to #SaveOurCitruspic.twitter.com/5Vvc8AsikD,2017-08-16 21:09:00,1,1,897928202613440512
Meeting Ms. Florida Citrus at Florida Citrus Hall of Fame Boothpic.twitter.com/LwJFvvvemk,2017-08-16 20:42:00,3,0,897921407362842624
Touring the #CitrusExpo2017 with @SecretarySonnypic.twitter.com/g2oNrlXtAV,2017-08-16 20:01:12,8,1,897911137706156033
"Thank you to @FLCITRUSMUTUAL for joining our listening session w/ @SecretarySonny
#SaveOurCitrus",2017-08-16 19:21:18,1,0,897901096550707201
"Talking with @SecretarySonny researchers and growers about the impressive progress
we’ve made towards curing #CitrusGreening  #SaveOurCitruspic.twitter.com/EE8CmHEY7V",2017-08-16 18:12:00,4,3,897883657662103552
Me and @secretarysonny are committed to working with stakeholders across the industry to end #CitrusGreening and #SaveOurCitruspic.twitter.com/t05YKSGgzQ,2017-08-16 17:37:14,4,1,897874909971570692
