Text,Date,Favorites,Retweets,Tweet ID
We need to clear the path for our veterans to transition their service in uniform to success in civilian life by prioritizing veteran employment and setting them up for success in the 21st century economyhttps://gabbard.house.gov/news/press-releases/rep-tulsi-gabbard-joins-panel-discussion-empowering-veterans-new-economy …,2017-12-01 01:00:03,52,10,936399461772943360
#ICYMI Rep. Tulsi Gabbard will host a live tax-focused “telephone town hall” on Tues December 5 at 4:00pm HST.  Info:https://gabbard.house.gov/news/press-releases/rep-tulsi-gabbard-host-live-telephone-townhall-tax-reform-resources-hawai-i …,2017-12-01 00:06:56,25,11,936386091250323456
"Congress needs to end the practice of taxpayer-funded sexual harassment settlements, expose perpetrators of sexual harassment and assault, and provide a fair and transparent path to justice for survivorshttps://gabbard.house.gov/news/press-releases/photos-video-rep-tulsi-gabbard-introduces-legislation-empower-survivors-and-hold …",2017-11-30 21:55:16,107,34,936352957016051713
We need to clear the path for our veterans to transition their service in uniform to success in civilian life by prioritizing veteran employment and setting them up for success in the 21st century economy. #AmazonFutureofWork,2017-11-30 19:13:49,36,17,936312328408223746
"There are many obstacles veterans face as they transition from military to civilian life, but finding a good-paying job that harnesses their skills should not be one of them. #AmazonFutureofWork",2017-11-30 19:13:34,33,17,936312263518162945
"Armed with a unique skill set and experience, our veterans are natural leaders and assets to employers, whether in the private sector, the public sector, or the non-profit sector. #AmazonFutureofWork",2017-11-30 19:13:14,11,6,936312179145560064
"Roughly 500 veterans return to civilian life every single day, continuing their commitment to service by giving back to our local communities, starting small businesses, getting involved in public service, and more. #AmazonFutureofWork",2017-11-30 19:12:30,14,9,936311998408732672
ICYMI: Rep. Tulsi Gabbard Joins Panel Discussion on Empowering Veterans in the New Economy #AmazonFutureOfWork http://bit.ly/2j41t8Z pic.twitter.com/e6SwBiljfH,2017-11-30 19:10:56,76,31,936311600792985606
#OpenEnrollment is open now and runs through Dec 15. Make sure you have everything you need to #GetCovered in 2018.http://bit.ly/2gVx1w9 ,2017-11-30 17:00:04,37,27,936278669550608385
"This is a commonsense measure that ensures transparency, accountability & justice. Taxpayers should not have to foot the bill for egregious acts made by Members of Congress and their staff. Enough is enough. https://gabbard.house.gov/news/press-releases/photos-video-rep-tulsi-gabbard-introduces-legislation-empower-survivors-and-hold …pic.twitter.com/UxmDxmGsQ0",2017-11-29 23:27:55,134,71,936013885597016064
"This is a commonsense measure that ensures transparency, accountability & justice. Taxpayers should not have to foot the bill for egregious acts made by Members of Congress and their staff. Enough is enough.",2017-11-29 23:26:48,52,17,936013603798487041
"It also protects taxpayers by ending taxpayer-funded sexual #harassment settlements, and requiring reimbursement of previous taxpayer-funded settlements.",2017-11-29 23:26:28,53,17,936013520663130112
"Our bipartisan legislation will empower survivors by increasing transparency and accountability, and providing survivors the freedom to publicly share their stories if they so choose, regardless of the non-disclosure agreements they were forced to sign.",2017-11-29 23:26:04,23,10,936013421115473920
"That’s why I’m co-leading a bipartisan effort w/ @RepDeSantis, @RepKathleenRice, @MarshaBlackburn, and @repjimcooper & introduced the Congressional Accountability and Hush Fund Elimination Act to overhaul Congress’s sexual #harassment and assault policies https://gabbard.house.gov/news/press-releases/photos-video-rep-tulsi-gabbard-introduces-legislation-empower-survivors-and-hold …",2017-11-29 23:24:44,37,21,936013083532808198
"The bottom line is clear: no one, whether it be a Capitol Hill staffer, Hollywood actor, schoolteacher, or soldier, or any other profession, should have to choose between their job and their personal safety",2017-11-29 23:23:52,54,16,936012869233201153
"Survivors of sexual harassment and assault have been isolated, shamed, and bullied into silence, while their abusers walk away scot-free with the privilege of anonymity and without personal or financial accountability",2017-11-29 23:23:16,48,21,936012717919555585
#ICYMI Rep. Tulsi Gabbard Introduces Legislation to Empower Survivors and Hold Sexual Predators in Congress Accountable https://gabbard.house.gov/news/press-releases/photos-video-rep-tulsi-gabbard-introduces-legislation-empower-survivors-and-hold …pic.twitter.com/GQMPaJtWfW,2017-11-29 23:22:38,259,151,936012557801926656
"Alzheimer’s disease affects more than 5 million Americans across the country including over 27,000 people in #Hawaii. Our legislation would create a USPS stamp in recognition of all affected by Alzheimer's, and dedicate all proceeds toward finding a cure.",2017-11-29 17:17:01,126,56,935920544599412737
