Text,Date,Favorites,Retweets,Tweet ID
It was great to have @POTUS back in #Missouri today to talk about #TaxReform!http://www.news-leader.com/story/opinion/contributors/2017/11/28/new-tax-code-work-everyone/901921001/ …,2017-11-29 22:06:13,13,9,935993327333330946
"""Missouri has an extension for REAL ID enforcement, allowing Federal agencies to accept driver's licenses and identification cards from Missouri at Federal facilities and federally regulated commercial aircraft until October 10, 2018.""http://www.joplinglobe.com/news/local_news/missouri-gets-real-id-extension/article_f40538f1-47ed-5cd4-a09e-d7680b71acda.html …",2017-11-29 14:50:05,4,3,935883568139636736
Congratulations to Paul Taylor! #Missourihttps://twitter.com/femaregion7/status/935565647173517315 …,2017-11-28 20:41:17,2,1,935609563054669825
Congrats @WCHSCARDINALS football team on all of your hard work!http://www.joplinglobe.com/sports/local_sports/webb-city-wins-th-state-title-tied-for-most-in/article_314e931e-e2ca-5ec7-8ef2-f56bec9b20fd.html …,2017-11-28 15:38:36,1,2,935533392615092224
Read this week’s Short Report about a tax code for all: http://bit.ly/2hO5WLP  #TaxReform,2017-11-24 19:51:46,4,1,934147551141474304
Happy Thanksgiving! Wishing you and your family a blessed day. #HappyThanksgivingpic.twitter.com/8gjo6fU7zW,2017-11-23 17:13:55,9,3,933745440448745475
Great news for @MonettR1! Last May I highlighted Monett's work in this area and the benefits of telemedicine in rural communities: http://sgfnow.co/2zbs0qN https://twitter.com/MonettTimes/status/933090148140453888 …,2017-11-21 23:13:00,2,2,933111029755674629
"Good luck today to @MtNeer_Football, @carthagefball and @WCHSCARDINALS football! #MO07http://www.joplinglobe.com/news/local_news/nine-area-teams-march-forward-in-state-football-playoffs/article_e044e35f-4510-5d4c-a90d-808a591797e0.html …",2017-11-18 18:53:14,3,3,931958495116779522
"Want to see the @uscapitol #Christmas tree before it heads to DC? Stop by @BassProShops in #Springfield on Tuesday, Nov. 21, between 4:00 - 8:00 p.m.http://www.ozarksfirst.com/news/us-capitol-tree-to-stop-in-springfield-on-trip-to-dc/858130124 …",2017-11-18 15:32:38,5,5,931908010800287744
Read this week's Long's Short Report about the importance of conference committees: http://bit.ly/2ithCVh ,2017-11-17 19:00:23,2,1,931597905772924928
Happy 38th anniversary to the @theaward! Learn more here: http://congressionalaward.org http://www.news-leader.com/story/opinion/readers/2017/01/25/congressional-award-encourages-involvement/97029252/ …,2017-11-16 20:51:35,1,2,931263499673702401
"It’s time for a simple, fair and easy tax code. Read my full statement here  regarding the passage of H.R. 1, Tax Cuts and Jobs Act: http://bit.ly/2mxdSX8  #TaxReformpic.twitter.com/TGMrVKmXLh",2017-11-16 19:09:02,5,2,931237694059024391
"November marks #NationalAdoptionAwarenessMonth. There are 112,000 children in foster care waiting to be adopted by loving families. This November I'm showcasing an adoption story from #MO07 in my office to help raise awareness.pic.twitter.com/bOXm2ftLv9",2017-11-16 15:19:13,9,11,931179857026875393
Great news from @OTCedu! Thank you for helping our #veteranshttp://ksmu.org/post/otc-announces-grant-veterans-hopes-reach-125-each-year#stream/0 …,2017-11-13 21:18:52,2,2,930183205348626433
Congrats to the @MissouriStateVB team on the huge win. Keep up the good work! #MSUBearshttps://twitter.com/kolr10kozl/status/929940161948815361 …,2017-11-13 17:03:27,7,0,930118927576961025
Remembering the great men and women who served: http://bit.ly/2ADKjpW  #VeteransDay pic.twitter.com/7JENli9ECp,2017-11-11 21:26:33,6,3,929460362738569221
Thank you to all the brave men and women who have served this great nation to protect our freedoms. I can't thank you enough for your service and sacrifice. #VeteransDaypic.twitter.com/ehkcRJB3Xy,2017-11-11 15:36:43,15,6,929372324511535106
Happy 242nd birthday to the @USMC! #SemperFipic.twitter.com/tvS8ws4tmJ,2017-11-10 15:14:35,11,5,929004363854635008
"It was great talking w/ @Kurp, dean of the @mujschool, & @BarbaraCochran today about the great work journalism students are doing at @Mizzou & all around the world. There's a reason it's the No. 1 j-school in the world. My press secretary (right) is a #Mizzou J-School grad.pic.twitter.com/06aGJMRygU",2017-11-09 22:06:05,8,6,928745536496300032
#VeteransDay is right around the corner! Read about a new #Springfield non-profit and its efforts to pair dogs with veterans in need.http://www.ky3.com/content/news/Local-nonprofit-teams-up-dogs-with-veterans-in-need-456145173.html …,2017-11-09 16:47:49,5,3,928665441043664898
"Great talking with @MarkAcre, LUTCF, President of OneSource in @OzarkMO, about #taxreform.pic.twitter.com/3hmukxscUn",2017-11-08 23:30:08,3,3,928404297972412418
Deer hunting season is right around the corner! Click here for more information: http://bit.ly/2h2pFXH pic.twitter.com/hBzbo3yi9m,2017-11-07 22:05:23,4,0,928020582842687490
Congrats to @MonettHighSwim for making history at state Friday by winning the program's first ever medals:http://bit.ly/2j7CwfI ,2017-11-07 18:29:47,15,6,927966326672580608
It looks like a little piece of Missouri is heading to the White House this holiday season!http://www.ky3.com/content/news/Missouri-ornaments-head-to-the-White-House-for-its-National-Christmas-Tree-Lighting-454662703.html …,2017-11-06 17:53:43,6,5,927594861519425537
Jeff Case is an excellent pick for the next Missouri State Director for @USDA Rural Development: http://bit.ly/2zAUnCu  #Agriculturepic.twitter.com/2KiznCXHlm,2017-11-06 17:46:04,0,1,927592934433787905
Read this week's Short Report about beefing up school lunches: http://bit.ly/2haylz9  #Agriculture,2017-11-03 18:07:04,0,3,926511059543916547
"Today, @HouseGOP made good on their promise to fix our broken tax code. Read my full statement here: http://bit.ly/2A05yBa  #TaxReformpic.twitter.com/IZDRgchzBY",2017-11-02 19:34:11,3,1,926170591576711168
 WATCH LIVE: #SubEnergy - A review of emergency response and energy infrastructure recovery efforts:http://bit.ly/2zJKIpn ,2017-11-02 14:52:23,2,2,926099676419579907
"Over the past year and a half, @HouseCommerce has held several hearings discussing the impacts of self-driving cars.http://www.news-leader.com/story/opinion/2017/10/31/economic-and-societal-impacts-self-driving-cars/817884001/ …",2017-10-31 20:42:20,2,0,925462968971743232
Read this week's Long's Short Report about the societal and economic impacts of self-driving cars: http://bit.ly/2gOEm4h ,2017-10-27 18:02:07,1,1,923973095060275201
"Opioid addiction affects us all, and we cannot afford to turn a blind eye. I will continue to work w/ my colleagues to address this problem.pic.twitter.com/CqNoVu9wH4",2017-10-24 15:03:34,10,8,922841000896286720
Read this week's Long's Short Report about prioritizing fiscal responsibility: http://bit.ly/2yC6XzJ ,2017-10-20 18:02:58,3,4,921436594300686337
Happy #MissouriDay! I can’t think of a better place to call home and represent.pic.twitter.com/aDY5lpLg4d,2017-10-18 20:40:59,10,4,920751586573463554
It was great having @NEAarts Chairman @NEAJaneChu in Missouri’s 7th Congressional District yesterday!https://twitter.com/neajanechu/status/920649394923474944 …,2017-10-18 20:22:49,3,1,920747013389434880
Chairman @NEAJaneChu had the opportunity to tour @SpringfieldArts this afternoon. Such an important part of the #Springfield community!pic.twitter.com/WzS7SmYqN9,2017-10-17 21:00:12,2,2,920394033586999297
Chairman @NEAJaneChu stopped by the @SpfldTheatre in #Springfield today to talk with the staff and hear about all of their great work!pic.twitter.com/Tqz3Q8wg8u,2017-10-17 20:31:00,0,3,920386686059794433
.@NEAarts Chairman @NEAJaneChu had the chance to visit @ReedAcademy1 in #Springfield today and talk with all the talented students there.pic.twitter.com/vHw7OQBQ5w,2017-10-17 20:10:31,6,7,920381528898711552
Thrilled to have @NEAarts Chairman @NEAJaneChu in Missouri's 7th Congressional District today!,2017-10-17 15:20:47,5,3,920308617630420992
"With such a significant economic investment in electricity, the need for durable infrastructure is crucial.http://www.news-leader.com/story/opinion/contributors/2017/10/10/longs-short-report-powering-america/750986001/ …",2017-10-16 19:18:27,7,1,920006040103645189
Read this week's Long's Short Report about the importance of the @NHSCorps: http://bit.ly/2hFHuMq ,2017-10-13 18:24:09,0,2,918905209539170304
"Happy birthday, @USNavy! #242NavyBdaypic.twitter.com/0FRlsneHVh",2017-10-13 14:32:52,8,3,918847006726152193
Happy #NationalFarmersDay! I can't thank these men and women enough for all of their hard work.pic.twitter.com/pIuKNoSQPV,2017-10-12 14:30:21,11,6,918483984992161792
"Today, @POTUS made the right choice to roll back the Obama-era Clean Power Plan. Read my full statement here: http://bit.ly/2yeTEW0 pic.twitter.com/nnssXADdII",2017-10-10 21:08:00,8,4,917859283110281216
"REMINDER: Military Academy Nomination Applications are due Friday, Oct. 13, at my Springfield office. Call 417-889-1800 w/ any questions.",2017-10-10 16:01:54,2,4,917782247901712386
"Happy birthday, @NavalAcademy!https://twitter.com/USAgov/status/917756722869137408 …",2017-10-10 15:47:48,7,2,917778701240164353
Read this week’s Long’s Short Report about powering America: http://bit.ly/2y5eQ0g ,2017-10-06 18:18:32,0,0,916367084082343936
Today I voted in favor of the #FY2018 budget that reduces spending and balances the budget. Read my statement here: http://bit.ly/2xVWZcU pic.twitter.com/PCcnnskmrG,2017-10-05 18:27:26,2,1,916006935069184005
It's great reading stories like this! A church in Branson raised funds for hurricane victims: http://bit.ly/2ypDgD8  (@BransonTLN),2017-10-04 21:07:34,4,2,915684843870146560
