Text,Date,Favorites,Retweets,Tweet ID
"Pleased to kick off the 3rd Congressional Hackathon with my co-host @GOPLeader, which brings together digital innovators, Members of Congress, & staff to discuss how we can use new technologies & platforms to make Congress more open & transparent http://bit.ly/2i549Cc pic.twitter.com/qM249Q0n89",2017-12-01 01:45:50,9,6,936410982783553537
Joined the People’s Filibuster today in opposition to the #GOPTaxScam. Our message to Republicans: reject this dangerous bill that will leave our children and grandchildren with the bill. http://bit.ly/2AjMqkG pic.twitter.com/IWvlCRJL1E,2017-12-01 01:02:32,91,55,936400087395250176
@JCTgov confirms the #GOPTaxScam will yield far less economic growth than they promised & will still add trillions to our nation’s deficit. It’s time to abandon this legislative disaster.http://bit.ly/2i5E32c ,2017-11-30 22:42:30,0,2,936364843636084736
"Thank you @RepCharlieCrist for introducing the #NoSalesToIranAct, which discourages countries from engaging in arms sales with Iran.https://twitter.com/RepCharlieCrist/status/936276754095845377 …",2017-11-30 22:35:50,12,5,936363165645975553
Business leaders agree the #GOPTaxScam harms middle-class families & the vulnerable. RT to urge @SenateGOP to reject the bill.pic.twitter.com/poiKTCC0No,2017-11-30 22:17:00,14,19,936358429647622144
"Even those who wrote the Reagan tax cuts agree: the @SenateGOP #TaxScam raises taxes on middle-class households to pay for a tax cut for the wealthiest.
 
RT if you oppose.pic.twitter.com/nOnNM7nRne",2017-11-30 20:21:38,44,57,936329393584136192
Glad to be in Prince George’s County today for the groundbreaking of the new University of Maryland Capital Region Medical Center. This new medical center adds to the County’s growing status as a regional health care & medical research hub. http://bit.ly/2i3uZdY pic.twitter.com/zQPjjLuQ9P,2017-11-30 18:59:21,12,9,936308686217236480
"As I have said, the allegations against Rep. Conyers are serious and credible. As we continue to hear more, I think it is appropriate for him to resign.",2017-11-30 18:22:57,39,17,936299529036591104
"Today, the House will consider 2 bills, which do not address funding the government, protecting #DREAMers, reauthorizing #CHIP, or other time-sensitive issueshttp://bit.ly/2At9ttQ ",2017-11-30 18:12:51,13,9,936296983358296064
Secretary @stevenmnuchin1 said he’d have analysis showing the #GOPTaxScam would pay for itself. But @USTreasury officials say that analysis doesn't exist. Why? Because tax cuts don’t pay for themselves.https://www.nytimes.com/2017/11/30/us/politics/treasury-analysis-tax-bill.html?smid=tw-share&_r=1 …,2017-11-30 17:41:51,30,31,936289184872108032
Republicans claim that their tax cuts for the wealthy & corporations will lead to job growth. But what do economists & CEOs say about those claims? “They are bonkers.”  #GOPTaxScamhttps://www.politico.com/story/2017/11/30/republicans-trickle-down-tax-cut-196333 …,2017-11-30 17:21:41,126,99,936284107360829440
#ThrowbackThursdayhttps://twitter.com/arappeport/status/936275070233739269 …,2017-11-30 17:01:36,11,13,936279052536696834
"Republicans promised the American people that they would #ReadTheBill before voting on legislation. Yet, just one day away from voting on the #GOPTaxScam, Senate Republicans are still making changes to the bill.https://www.vox.com/policy-and-politics/2017/11/30/16717078/senate-tax-vote-mad-dash …",2017-11-30 16:54:32,34,33,936277277339475968
"I join @AARP in urging Senate GOP to oppose the #GOPTaxScam. They sent a letter to Senators outlining how removal of a number of essential tax deductions “would result in little if any tax benefit for many older tax filers, and for others, a tax increase.”http://bit.ly/2neJYXO ",2017-11-30 16:08:39,13,16,936265727992049664
This morning’s must-read article: @NYTimes highlights the profound impact that the #GOPTaxScam will have on every aspect of American life.https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …,2017-11-30 16:00:52,33,33,936263770720096257
In the aftermath of the worst act of individual gun violence in our history in #LasVegas & several recent mass-murders it’s appalling that @HouseGOP would advance a bill out of committee today that would make our communities less safe from #gunviolence. http://bit.ly/2Akfgjb pic.twitter.com/agtyahhuhM,2017-11-29 23:57:39,16,18,936021369556529153
Mandating anti-harassment training in Congress is only a first step. We must make it easier for victims to come forward; ensure investigations are quick & thorough; & ensure those found responsible for wrongdoing cannot continue in their positions.http://bit.ly/2j3iEax ,2017-11-29 23:24:00,31,13,936012900392734720
"POTUS’ lack of a policy to deter DPRK aggression is deeply concerning, & it is clear that the President’s soft approach w China’s leadership has not borne fruit.  I urge him to pursue a diplomatic strategy that places serious pressure on the Kim regime to change its behavior. 2/2",2017-11-29 23:07:02,8,8,936008630305984513
DPRK’s launch of a ballistic missile capable of delivering a nuclear payload across thousands of miles violates international laws & demands a strong international response.  http://bit.ly/2i2GNgM  1/2,2017-11-29 23:06:42,10,6,936008548873588738
"Actually @HouseGOP, #Taxreform means tax increases for the middle class, no matter what state you live in. Why? Because the #TaxScam was written with the wealthy in mind! Here’s a map showing how many Americans will see their taxes ↑ if SALT is taken away http://www.gfoa.org/salt https://twitter.com/HouseGOP/status/935904929075613697 …",2017-11-29 21:10:10,21,19,935979221188476930
"I condemn, in the strongest terms, @RealDonaldTrump’s decision to retweet anti-Islam propaganda. These tweets are vile, unverified, and seek to divide our country. They incite and reflect racism and hate and are unworthy of a President.",2017-11-29 18:38:17,446,176,935940999062478848
"Today, I joined @MitchellReports to discuss the #GOPTaxScam that raises taxes on 82 million middle-class households.pic.twitter.com/O5ucVjrky7",2017-11-29 18:10:39,127,72,935934042976989184
"Today on the Floor, the House will vote on a resolution requiring each Member, officer, & employee of the House to complete a program of training in workplace rights & responsibilities each session of each Congress.http://bit.ly/2zD7ob2 ",2017-11-29 17:32:22,6,5,935924409658900480
"Who wins under the #GOPTaxScam? 
-Wealthy Americans
-Corporations
 
Who loses? 
-Teachers
-Seniors
-Veterans
-Students
-People w/ disabilities & chronic illnessespic.twitter.com/gf80GE7Ig5",2017-11-29 17:24:42,12,20,935922478089633793
"Republicans are jamming their #GOPTaxScam through the Congress without hearings or public input. Take a look at the dramatic difference between this partisan process & real, bipartisan tax reform in 1986:pic.twitter.com/TdZAQOyMbk",2017-11-29 17:08:28,36,43,935918395781939201
Tune in: I am joining @mitchellreports around 12:15 p.m. ET on @MSNBC.,2017-11-29 17:03:25,20,11,935917123226034178
"Yesterday, @BudgetGOP passed the #GOPTaxScam that cuts taxes for the wealthiest Americans and raises taxes on middle-class households. Retweet if you oppose this scam on hardworking families.pic.twitter.com/98zyumEprF",2017-11-29 16:59:10,8,11,935916056203415552
"Republicans are once again attempting to dismantle the Affordable Care Act with their #GOPTaxScam, kicking millions of Americans off their coverage.pic.twitter.com/2wWapLgyAS",2017-11-29 16:49:38,34,33,935913655622828033
"Republicans are voting to raise taxes on 82 million middle-class households. Retweet to tell @SenateGOP to reject this bill & work with Democrats on real, bipartisan tax reform.pic.twitter.com/kuNNoNZ7vR",2017-11-29 16:37:42,19,35,935910651507150852
Have you enrolled in health insurance for 2018 yet? Open enrollment ends in just over two weeks. Visit http://MarylandHealthConnection.gov  now & #GetCovered today.https://twitter.com/MarylandConnect/status/935610500154454016 …,2017-11-29 14:42:03,8,15,935881547265212416
Thank you to my friends @RepSandyLevin and @RepJohnLarson for joining me on the House Floor to discuss the harmful impact of the #GOPTaxScam on middle-class families.,2017-11-29 01:24:26,24,15,935680821066903558
I urge my colleagues in the Senate to oppose the #GOPTaxScam. I hope they will do the right thing and reject this bill.,2017-11-29 01:15:40,67,30,935678614279983104
"The #GOPTaxScam cannot be called bipartisan. The last time we rewrote our tax code was truly bipartisan, permanent tax reform. We did it together & in a way that was paid for.pic.twitter.com/jNzfOCj4AS",2017-11-29 01:15:01,30,34,935678451432001537
"The #GOPTaxScam is not a tax cut and it’s not a jobs plan. The bill would add $1.7 trillion in added debt, meaning it would cost taxpayers $1.9 million for each job the GOP claims it would create.pic.twitter.com/iuAuRJJlU6",2017-11-29 01:14:25,22,21,935678301703688193
"On top of that, the Senate #GOPTaxScam would kick 13 million Americans off of their insurance coverage, putting further strain on our economy.pic.twitter.com/53vEYvyGUi",2017-11-29 01:12:28,21,26,935677809124659205
"Somehow, the Senate GOP achieved a worse plan for middle-class households – increasing taxes on 82 million middle-class families. #GOPTaxScampic.twitter.com/FsM0fT2pC9",2017-11-29 01:11:08,21,25,935677472800235520
"Under the House #GOPTaxScam, the wealthiest earners would see an average tax cut of $1,198 every week—52x what a middle class family would make in a year.pic.twitter.com/K8ikAaOvlH",2017-11-29 01:09:06,12,13,935676962806386694
.@SpeakerRyan claimed a family of 4 making $59k would get a tax cut in the first yr–but their cut would shrink every year & become a tax ↑. #GOPTaxScampic.twitter.com/n1DIwdi7Xv,2017-11-29 01:08:23,27,40,935676780211556352
Happening now: I am on the House Floor discussing how the #GOPTaxScam will raise taxes on middle-class families & explode the deficit while giving massive tax cuts to the wealthy. My staff will live tweet throughout.  https://www.c-span.org/networks/?channel=c-span …,2017-11-29 00:24:26,57,34,935665722637848576
"In the past 25 years, I’ve served with many outstanding patriots & public servants, but few have matched the intellect, passion for service, & tireless determination of @RepGutierrez. I wish him and his family all the best as he prepares to retire.http://bit.ly/2zBbujZ ",2017-11-28 23:37:09,15,6,935653822323675136
"Today, @BudgetGOP voted to raise taxes on 82 million middle-class households & force our nation deeper into debt while giving away tax cuts to the wealthiest. I urge Senate Republicans to reject the #GOPTaxScam when it comes to the Floor.http://bit.ly/2zNhScf ",2017-11-28 22:14:58,32,32,935633140529451010
"Congress must pass the #DREAMAct to #ProtectDREAMers, who are contributing to our economy & national security as:  
-          Entrepreneurs
-          Teachers & students
-          Doctors
-          Military service members
Learn more:http://bit.ly/2AES7el ",2017-11-28 22:02:01,30,19,935629881735634946
"The House is scheduled to be in session 11 more days, but @HouseGOP still does not have a plan to keep the government open, #ProtectDREAMers, reauthorize #CHIP, or address other time-sensitive issues:http://bit.ly/2idueTB ",2017-11-28 20:39:43,19,28,935609171784994818
Thank you @RepCummings for holding a critically important @OversightDems hearing in Maryland on the #OpioidCrisis. This national emergency affects thousands of families in #MD05 & we must continue to work address this epidemic.https://twitter.com/RepCummings/status/935566609531523072 …,2017-11-28 19:43:19,122,38,935594977559752704
"This week, the @SenateGOP is attempting to jam their #GOPTaxScam through, which is even worse than the House version. It cuts taxes for the wealthiest Americans while raising taxes on even more middle-class households. http://bit.ly/2AcurNb pic.twitter.com/z5z6XxlGLS",2017-11-28 19:24:50,12,20,935590324600279042
"I appreciated the frank discussion about ways we must work together – on a national, state, and local level – to help those struggling with addiction. I join in thanking @Surgeon_General for his commitment to this issue. 2/2",2017-11-28 19:23:34,5,3,935590004461637632
"Yesterday, I hosted a discussion on what local communities are doing to address the #opioidcrisis in #MD05 with @Surgeon_General at @CSMHeadlines http://bit.ly/2BjRV01  1/2pic.twitter.com/Q9vaNVL471",2017-11-28 19:23:21,10,5,935589951290429440
"Months ago, @SenateMajLdr said tax reform must be revenue neutral. I told press today that no Republican Senator believes their #GOPTaxScam will pay for itself, even with dynamic scoring. It will explode the deficit.",2017-11-28 18:44:44,189,144,935580234468020225
"When speaking with press this morning, I said the Senate #GOPTaxScam is more about politics than policy. It would raise taxes on 82 million middle-class households while giving the majority of  tax benefits to the top 1%",2017-11-28 18:31:55,108,101,935577009803202560
"By rescinding DACA, @RealDonaldTrump has put our economy at risk of losing thousands of jobs. Congress must #ProtectDREAMers & support our economy by bringing the #DREAMAct to the Floor.pic.twitter.com/USTBikLQeV",2017-11-28 17:15:11,15,12,935557695662383104
"An estimated 20,000 teachers in our schools are #DREAMers. Retweet to urge Republicans to bring the #DREAMAct to the Floor to #ProtectDREAMers.https://usat.ly/2g1zuF3 ",2017-11-28 17:07:02,41,39,935555647361429504
Over 100 #DREAMers will lose their #DACA protections every day that Congress does not take action to #ProtectDREAMers. House Republicans ought to bring the #DREAMAct to the Floor as soon as possible.pic.twitter.com/Fn3dTevmBl,2017-11-28 17:00:27,19,25,935553991076958209
".@HouseGOP, if you support #DREAMers, then bring the #DREAMAct to the Floor for a vote to provide a permanent legislative solution to #ProtectDREAMers before the end of the year.",2017-11-28 16:52:08,151,87,935551898526142464
"Congress has 11 legislative days left before the end of the year and we must act to #ProtectDREAMers—800,000 young people who are significantly contributing to the U.S. economy.pic.twitter.com/QnyggT3E5w",2017-11-28 16:40:56,21,23,935549079463120902
"Marylanders can sign up for health insurance until December 15 - visit @MarylandConnect to explore your coverage options, find in-person help, & #GetCovered. 2/2",2017-11-28 02:14:16,14,13,935330972761018369
Glad to visit with navigators at Charles Co Seedco Office at Health Partners in Waldorf this afternoon & thank them for important work they are doing to help MD families #GetCovered 1/2 http://bit.ly/2ibDmIe pic.twitter.com/cA0NEaZ6hY,2017-11-28 02:13:59,20,10,935330904830103553
"800,000 #DREAMers are left twisting in the wind every day House Republicans refuse to bring the #DREAMAct to the Floor. We must #protectDREAMers by passing the DREAM Act before the end of the year.pic.twitter.com/tRHcBlKyWf",2017-11-27 20:46:40,52,38,935248531090296832
"According to a @FoxNews poll, a strong majority of Americans – Dems, Republicans, and Independents alike – agree we must #ProtectDREAMers. I urge @HouseGOP to bring the #DREAMAct to the Floor for a vote before the end of the year.http://www.foxnews.com/politics/2017/09/28/fox-news-poll-83-percent-support-pathway-to-citizenship-for-illegal-immigrants.html …",2017-11-27 20:05:39,229,142,935238208081756164
"Pleased to join impressive students from @Calverton1967 this morning to discuss leadership, respect, civic engagement & public service.pic.twitter.com/rEpcyw0jdU",2017-11-27 19:54:05,4,2,935235296496701442
LIVE: I'm w @Surgeon_General and representatives from across MD-05 at @CSMHeadlines to discuss ways to address the opioid crisis in MD. #ConfrontTheCrisishttps://twitter.com/cspan/status/935186156949590022 …,2017-11-27 17:02:23,16,9,935192087179546629
"By announcing Mick Mulvaney as Interim Director of @CFPB, @POTUS is signaling to financial fraudsters it will once again be open season on hard-working Americans who are trying to obtain or refinance mortgages, save for retirement or pay off their debthttp://bit.ly/2iUZUKz ",2017-11-26 21:51:48,116,74,934902532350017536
Read my full statement on Rep. Conyers’ decision to step down as Ranking Member of the House Judiciary Committee here:http://bit.ly/2A8M1lD ,2017-11-26 21:27:07,10,9,934896322670456833
Wishing everyone a restful #Thanksgiving surrounded by family and friends.pic.twitter.com/pYC3OmxnVi,2017-11-23 17:00:28,41,8,933742052269068294
"I welcome the conviction of Ratko Mladić. While nothing can ever truly right this wrong, I hope this conviction will spur the international community to pursue vigorously other human rights & war crimes cases.http://bit.ly/2mTjvz9 ",2017-11-22 20:31:59,9,2,933432896660148224
"Happy birthday to my good friend and a lifelong advocate for women and children’s health in #MI12 and across the country, @RepDebDingell.",2017-11-22 18:13:23,16,5,933398014974185477
Wishing a happy birthday to my friend @RepBobbyRush. Thank you for your tireless work to #EndGunViolence.,2017-11-22 17:38:14,10,4,933389169258352645
"I’m back from the first session of the #MakeItInAmerica #ListeningTour, during which I visited Las Vegas, Kansas City, and Peoria. Learn about what I heard on the trip here:http://bit.ly/2AlGDME ",2017-11-22 01:43:13,12,5,933148834787676161
"Wishing a happy birthday to my friend @RepYvetteClarke. Thank you for your work advocating for immigrants, especially those with Temporary Protected Status. #SaveTPS",2017-11-21 20:58:24,4,1,933077156065939457
"Happy birthday to my good friend and fellow Marylander, @RepAnthonyBrown. Thank you for your work to highlight the ongoing humanitarian crisis facing #OurFellowAmericans in #PuertoRico, #USVI & the Florida Keys.",2017-11-21 20:20:01,11,4,933067495833047046
