Text,Date,Favorites,Retweets,Tweet ID
"I filed my re-election papers today! I’d be honored to have your vote in 2018!
 
“We have done a lot of important... http://fb.me/8SDkrna6T ",2017-11-27 16:30:19,50,5,935184017628057600
"It’s an honor to serve you in Washington, D.C., but nothing beats being back in Kentucky. Special thanks to the... http://fb.me/1Ng4pPlVX ",2017-09-29 18:33:12,5,0,913834057057931264
Did you miss last week’s Kentucky Bourbon Festival? Check out some of the sights from the annual festival that...http://fb.me/zEYZk6Vd ,2017-09-18 16:06:10,4,4,909810790504509440
Addressed the Kentucky 2nd District GOP convention this morning in Hardin County. I look forward to working with... http://fb.me/1oGhVgTAv ,2017-05-20 14:44:49,2,0,865941384724963329
“I enjoyed talking to @MCRepublicanParty at their monthly meeting. Thanks for the opportunity to speak. I will... http://fb.me/8szhbGBDE ,2017-04-12 19:54:37,1,1,852248611417198593
Excited to join my good friends Speaker Jeff Hoover & Agriculture Commissioner Ryan Quarles in headlining the... http://fb.me/3GpV46KwB ,2017-04-11 13:54:42,1,0,851795645451186176
Congressman Guthrie was honored to be the Keynote Speaker at the Bullitt County Republican Party’s Lincoln-Reagan... http://fb.me/5OZ0aoUO9 ,2017-03-27 18:17:47,2,0,846426034828460032
Seven years of Obamacare is enough. #RepealAndReplacehttp://fb.me/1PcKyRcP6 ,2017-03-22 19:40:45,8,3,844634974410227712
Honored to be able to listen to the Vice President's vision for the repeal and replacement of Obamacare this... http://fb.me/1OGOfFLYz ,2017-03-11 17:15:51,8,2,840612246082486273
Enjoying my time at the Lincoln Day Dinners in the 2nd Congressional District! Thanks to the Barren County... http://fb.me/5P4jKcdtg ,2017-03-07 14:11:11,0,0,839116219772985344
Share if you agree: Congress should evaporate Obamacare's ocean!... http://fb.me/8dvpwDI4T ,2016-12-27 17:42:54,7,1,813802348380385281
Merry Christmas to my fellow Kentuckians! I hope families everywhere can spend time together and remember the... http://fb.me/1rN6ooyWd ,2016-12-25 16:22:15,24,0,813057278618255360
"Happy Thanksgiving to you and yours! Today, I am thankful for my family and times like today when we share a meal... http://fb.me/1AyRoFxc3 ",2016-11-24 15:21:41,12,0,801808010129588224
I wish each and every veteran in our country a heartfelt Veterans Day. Our veterans are the heart of our country... http://fb.me/3O1LliUTO ,2016-11-11 16:07:11,10,3,797108418771193856
Today I cast my ballot for all Republicans running for office! It’s time for conservative change at all levels of... http://fb.me/5SbRIIOnr ,2016-11-08 13:38:23,28,5,795983811368677376
Enjoyed being in Bowling Green this weekend supporting my good friend and neighbor Dr. Rand Paul! We need to keep... http://fb.me/4Rl0mJrD7 ,2016-10-11 19:41:05,7,1,785928226442969088
"""I hope you all will join me in Bowling Green this weekend at Rand Paul’s Barnburner! We’ll be at the Donnelly... http://fb.me/Fumdcdxl ",2016-10-05 15:33:10,5,3,783691508947890176
I joined my Kentucky colleagues in challenging Obama’s War on Kentucky Coal in the court system. Let’s stop his... http://fb.me/5SXh3BUT3 ,2016-09-29 20:34:27,11,4,781593003412430848
"Did you know that Sept. 16th is #ConstitutionDay?
 
The Framers wrote “We the People,” in the Preamble to the... http://fb.me/IqhhIgsO ",2016-09-16 12:13:57,4,2,776756004503650304
"""Each and every American remembers where they stood as they watched, or heard, about the horrific terrorist... http://fb.me/81flvmMMe ",2016-09-10 16:04:04,6,3,774639587012571136
“I want to wish a happy Labor Day to all of the Kentuckians who work to provide for their families each and every... http://fb.me/1o9W6v37d ,2016-09-03 14:56:20,15,1,772085825232338944
Join me in wishing our very own Bowling Green East good luck tonight as they face off against New York in the... http://fb.me/3QDAamAWG ,2016-08-24 15:03:08,10,0,768463658674450432
Join in me in congratulating my good friend Speaker Paul Ryan on a race well-run! http://fb.me/84TcLqCP0 ,2016-08-10 21:22:14,7,1,763485632975044608
“I wish you and your family a safe and happy Independence Day! May we never forget how the Revolution of 1776... http://fb.me/1FywZt5gY ,2016-07-04 14:13:01,18,1,749969265730748416
"“Of all of the hats I wear, fatherhood is the most important and most rewarding one. The main reasons I ran for... http://fb.me/1cDewAkQA ",2016-06-19 13:30:01,11,0,744522626287140864
"“Let it be borne on the flag under which we rally in every exigency, that we have one country, one constitution,... http://fb.me/83aUXz1KC ",2016-06-14 13:15:01,1,0,742706910768533504
"Today we commemorate the bravery of the men who stormed the beaches of Normandy on June 6, 1944. They went on to... http://fb.me/4tX4nxFKO ",2016-06-06 12:47:31,7,2,739800887611232256
"Happy birthday to my old Kentucky home! On this day in 1792, Kentucky ratified the Constitution of the United... http://fb.me/2mQENXZZf ",2016-06-01 14:42:42,15,4,738017937735491584
Today is Primary Day for Republicans in Kentucky! I am proud this year to stand with my friend Rand Paul and... http://fb.me/8dfEB3cjn ,2016-05-17 14:48:31,6,1,732583584477904896
Today is Primary Day for Republicans in Kentucky! I am proud this year to stand with my friend Rand Paul and... http://fb.me/5nISLp0zR ,2016-05-17 14:05:15,3,1,732572692906442752
Great evening in NKY with the Kenton County Republican Party for their Spring Fling. Thanks for the invite! http://fb.me/3NCBnnFcE ,2016-05-06 01:15:12,2,0,728392639381446656
