Text,Date,Favorites,Retweets,Tweet ID
"Our tax plan will double the standard deduction, so we can help low and middle-income families see real tax relief. Find out more here:https://fairandsimple.gop/ ",2017-11-30 19:24:01,10,5,936314892998492161
What a great story! I’m always inspired by our young people and their selflessness. This is the type of caring behavior we should all practice.http://www.kxly.com/news/wsu-students-viral-tweet-helps-raise-thousands-for-st-jude/664028355 …,2017-11-30 18:11:00,11,5,936296521137557504
I’m encouraged by what #taxreform means for hardworking men and women around the country. Let’s get this done.pic.twitter.com/h4j8s7Luww,2017-11-30 17:53:28,52,14,936292109212176390
We have a historic opportunity in front of us—the once-in-a-generation chance to provide tax relief to the hardworking families who need it.pic.twitter.com/45VsHZT8zh,2017-11-30 17:27:50,11,8,936285658229944328
From more than 100 well-established economists: The #TaxCuts&JobsAct will “ignite our economy with levels of growth not seen in generations.”http://www.businessinsider.com/trump-tax-reform-opinion-congress-pass-2017-11 …,2017-11-29 22:44:00,14,12,936002835233296384
Members of Congress should be held to the highest standards. That’s why I voted to make sure we and our staff are required to undergo sexual harassment training.https://mcmorris.house.gov/mcmorris-rodgers-votes-require-congressional-staff-members-undergo-yearly-sexual-harassment-training/ …,2017-11-29 21:22:01,79,23,935982203447558144
We must do better. This resolution is a step in the right direction to ensure our workplaces are safe and welcoming to everyone.pic.twitter.com/BhQfb2S9PK,2017-11-29 20:34:06,41,14,935970142630174720
"Like many, I’m deeply troubled by reports of sexual harassment on Capitol Hill and elsewhere. This is not who we are. We must do better.pic.twitter.com/LV4ZWiSgSY",2017-11-29 18:13:05,66,20,935934654024073216
"Today, the House will take up a resolution to require all House members and staff to undergo sexual harassment training on a yearly basis. @GreggHarper joins @HouseGOP leadership this morning to discuss this effort and more. Tune in at 10 AM ET.https://twitter.com/HouseGOP/status/935885834376630272 …",2017-11-29 14:59:35,50,15,935885961795395584
The Tax Cuts & Jobs Act is about more than just cutting taxes—it’s about giving people #1182 more dollars in their pockets.pic.twitter.com/BwbIO444EU,2017-11-28 23:13:17,57,22,935647815153471488
"The Tax Cuts & Jobs Act will mean more jobs, fairer taxes & bigger paychecks. This bill is good news for Americans everywhere who desperately need tax relief!https://www.gop.gov/see-just-youll-fare-tax-cuts-jobs-act/?utm_source=twitter&utm_content=statebystate …",2017-11-28 22:31:01,42,21,935637177844711424
"This week, the Senate will take up the #TaxCutsandJobsAct. I’m excited to see my colleagues work  to help bring tax relief to Americans across the country.http://www.foxnews.com/opinion/2017/11/27/sen-rand-paul-heres-why-plan-to-vote-for-senate-tax-bill-and-my-colleagues-should-step-up.html …",2017-11-28 21:27:53,7,4,935621290521759744
"The Ethical Patient Care for Veterans Act would require the VA to report these instances to state licensing boards, so these cases can no longer be hidden.https://twitter.com/cathymcmorris/status/935555404750295040 …",2017-11-28 17:32:48,10,2,935562130698506241
"These findings are disturbing, and dangerous doctors must be held accountable. That’s why I’ve introduced legislation to put stop to this unacceptable behavior.https://www.usatoday.com/story/news/politics/2017/11/27/va-failed-report-90-potentially-dangerous-medical-providers-gao-confirms/890582001/ …",2017-11-28 17:06:04,8,4,935555404750295040
The Tax Cuts & Jobs Act will add nearly 1 million jobs to America’s economy. How will your state benefit? Click below to find out! https://www.gop.gov/see-just-youll-fare-tax-cuts-jobs-act/?utm_source=twitter&utm_content=statebystate …,2017-11-28 15:44:34,43,21,935534891210543105
"What an amazing story! Good luck to you, Mikayla. Go out there and show everyone how to reach their full potential.http://www.foxnews.com/lifestyle/2017/11/26/woman-with-down-syndrome-believed-to-be-first-to-compete-in-miss-minnesota-pageant.html …",2017-11-27 22:12:21,11,5,935270092052598784
"Who are the faces of #taxreform? They are people all over the country, from all walks of life, who will see tax relief.pic.twitter.com/DWCg6s2LM6",2017-11-27 20:21:01,56,26,935242073875234817
I look forward to the Senate moving forward this week on the #TaxCutsandJobsAct so we can provide tax relief to millions and millions of hardworking Americans. https://fairandsimple.gop/ ,2017-11-27 18:47:00,42,11,935218413827510273
"More jobs, fairer taxes, bigger paychecks. It’s that simple. Learn more: https://fairandsimple.gop/ ",2017-11-27 00:51:46,68,27,934947826148057089
