Text,Date,Favorites,Retweets,Tweet ID
"Happy Thanksgiving! I hope everyone’s day is filled with family, friends, food and fun! Stay safe if you are traveling!",2017-11-23 15:03:00,29,6,933712491317727233
Wearing my purple tie today in recognition of #PancreaticCancerDay! Happy to help raise awareness about this disease and show support for those who have suffered from Pancreatic Cancer. @PanCANpic.twitter.com/DcZJd7sqm9,2017-11-16 18:16:18,39,10,931224421620166656
Happy to help welcome former Rep. Jim Leach back to Washington this morning. He is in DC along with the University of Iowa's Law School for meetings. Always great to catch up! Thank you Jim for your service to Iowa!pic.twitter.com/zFMNndIGme,2017-11-14 16:30:48,46,6,930473096934457344
"On the 11th hour of the 11th day of the 11th month we pause to honor and remember those who have served in defense of our nation. To all the men and women who have served, thank you for your service. #VeteransDay2017",2017-11-11 15:50:08,42,12,929375700880109573
Loebsack Successful in Effort to Ensure Life-saving Medical Research Continues https://goo.gl/8Gg3Az ,2017-11-09 20:32:08,3,3,928721890033700866
Loebsack Introduces Legislation to Provide Job Training for Veterans https://goo.gl/eSxQnn ,2017-11-09 20:26:35,6,6,928720493334728704
"Loebsack Legislation to Create National, Coordinated Response to Diabetes Signed into Law https://goo.gl/gBJBS3 ",2017-11-06 20:05:44,5,5,927628082567147522
"Good luck to all the girls from SE IA in the @IGHSAU Volleyball Tourney! 
@ReginaRegalsAP @tcsdtigers @Pella_Schools & Holy Trinity Catholic",2017-11-06 20:04:31,3,2,927627779369299970
VIDEO: Loebsack Continues Fight for Cedar Rapids Flood Protection https://goo.gl/c5jSPM ,2017-11-02 21:02:08,3,3,926192724927303680
Proud to earn 100% on Food Policy Action's 2017 Scorecard by supporting good food policies for families! http://foodpolicyaction.org/Scorecard/  #VoteFood,2017-11-01 20:38:31,1,4,925824395700039681
Mourning the deaths of those killed in NYC. Thoughts & prayers to families & those injured. Thanks to the 1st responders for their bravery.,2017-10-31 23:27:54,35,9,925504635334471682
"Another amazing win for @CycloneFB! Great afternoon of football. Let’s keep it going this evening, @HawkeyeFootball!",2017-10-28 23:08:08,15,6,924412496244551680
Congrats to Double Dip in Chariton & @BuffaloTavern1 in Bur for being named runners up to @IowaPork's 2017 Best Pork Tenderloin title,2017-10-24 19:12:35,2,3,922903665714847746
http://www.politico.com/story/2017/10/19/full-text-george-w-bush-speech-trump-243947 …,2017-10-19 22:00:55,6,1,921134088085540870
Thanks to GW Bush for his honesty. His words and sentiments are powerful & I hope politicians and the American people will read his speech.,2017-10-19 22:00:25,24,8,921133965578260482
"Loebsack, House Biofuels Caucus Lead Call for Robust RFS Volumes https://goo.gl/VFgt32 ",2017-10-18 21:10:15,1,4,920758951758778368
VIDEO: Sec. Perry Refuses to Walk Back Administration’s Attack on Iowa Jobs https://goo.gl/xKSuUK ,2017-10-12 19:29:03,3,5,918559154889003008
In honor of #NationalFarmersDay I hope everyone will take some time to thank a farmer! Iowa's farmers help fuel and feed our world!pic.twitter.com/pS2tHwguC8,2017-10-12 19:18:28,22,11,918556494567825408
"VIDEO: Loebsack Sponsored Legislation to Create National, Coordinated Response to Diabetes Heads to President for Signature https://goo.g...",2017-10-11 19:31:18,7,3,918197335821312003
"Reps. Loebsack, Jenkins Send Letter to HHS on Direct Supervision https://goo.gl/sakbbU ",2017-10-11 14:30:27,1,2,918121624565698562
"We can’t let wind & solar tax credits that support IA jobs, rural communities & lower dependence on oil to be cuthttp://www.thegazette.com/subject/opinion/guest-columnists/mr-president-in-iowa-wind-energy-equals-jobs-20170702 …",2017-10-09 23:23:39,38,14,917531031259025408
Great day for College football in Iowa! Huge win for @CycloneFB and a solid win for @HawkeyeFootball!,2017-10-07 19:51:57,19,7,916752979700736001
Congrats to Jared Miller of Leon for being the Champion Auctioneer at the #WLAC Western Qualifier! @sellatauction https://lmaweb.com/miller-champion-2018westernqualifier/ …,2017-10-04 15:44:23,1,1,915603513597669376
"Had a great morning at the @WWIIMemorial welcoming Veterans who flew to DC on the @EIHonorFlight. These vets served in WWII, Korea & Vietnampic.twitter.com/dAUiw95wtQ",2017-10-03 16:24:53,9,7,915251319996403712
I join my fellow Americans in grieving the tragic loss of the men and women in Las Vegas. My thoughts go to their families & loved ones.,2017-10-02 13:33:17,36,12,914845745865519105
Thanks for all that you do! It was great meeting with you!https://twitter.com/iaruralpower/status/913078021619437568 …,2017-09-27 17:03:02,5,1,913086592696422402
"September is #SuicidePreventionMonth. If you, or a veteran you know is in crisis, help can be found at the Veterans Crisis Line.https://twitter.com/VetAffairsDems/status/913046196909957120 …",2017-09-27 16:06:40,12,24,913072405555417093
Joined folks for the Grand Opening of the new @HamburgInn on the East side of Iowa City!pic.twitter.com/3fPBf9k3b2,2017-09-19 21:59:20,22,2,910262056468828161
"Today we celebrate #ConstitutionDay2017! In IC get your free pocket Const at @UILibraries main desk, @HardinLib, @TheJavaHouse & @TspoonsIC",2017-09-18 16:07:21,6,2,909811089461972992
Loebsack Demands Answers from Equifax on Data Breach https://goo.gl/jaDhHM ,2017-09-13 19:26:28,11,1,908049255952031744
Proud to accept @NFUDC's Golden Triangle award. Will continue to advocate on behalf of family farms and rural communities!pic.twitter.com/k5b73FhHuT,2017-09-13 15:01:31,11,5,907982580938616833
Thanks for coming by!https://twitter.com/IowaADA/status/907945541614669824 …,2017-09-13 13:53:25,0,0,907965443339681792
"Spoke @ #September11th Remembrance Ceremony on @Arsenal_Island today. We must #NeverForget those who passed, our military & first responderspic.twitter.com/np0wTgJZah",2017-09-11 16:05:36,13,4,907273932419616769
"Congrats to @UNIFootball, @CycloneFB & @HawkeyeFootball for a great opening weekend of #collegefootball. Looking forward to next weekend!",2017-09-03 03:28:26,20,5,904184281479643136
Thanks for the tour and update on all of the important work you do!https://twitter.com/uiowaeye/status/902926500298727424 …,2017-08-30 17:01:42,14,2,902939395656966147
Fantastic tour today. Thanks for having me!https://twitter.com/wbtimes/status/902258379543994368 …,2017-08-29 01:02:15,15,3,902335554129362945
Thanks @SolonCSD! You were gracious hosts! Wonderful tour and great chatting with you today.https://twitter.com/soloncsd/status/902220771354914820 …,2017-08-28 19:48:56,12,3,902256707140808704
Congratulations to Alicia Claypool on being inducted in to the Iowa Women's Hall of Fame!,2017-08-26 17:02:57,21,4,901490160029900800
Keep your eyes safe during today's #Eclipse2017! Make sure you have the proper eye protection and don't look directly at the sunpic.twitter.com/KwIkv13BTq,2017-08-21 17:11:15,18,7,899680310165745666
97 years ago the #19thAmendment was ratified giving women the right to vote. Today we remember the women who fought for those rights,2017-08-18 21:59:49,54,17,898665767260086273
At a loss of words after reading most recent remarks by @potus re: #Charlottesville. They are unacceptable and beyond the pale. #oneside,2017-08-15 21:57:01,126,33,897577896797143040
"As always, it was another great day at the #IAStateFair!pic.twitter.com/W6s40VnlbZ",2017-08-15 01:48:42,14,3,897273812521107456
A must see at the state fair! #buttercow #IAStateFairpic.twitter.com/mw1F2BLuef,2017-08-14 18:54:35,16,3,897169598981615616
Thanks for all that you do for seniors and our veteranshttps://twitter.com/aarpiowa/status/897148505952854017 …,2017-08-14 17:33:59,10,3,897149314517966849
