Text,Date,Favorites,Retweets,Tweet ID
See my statement on #netneutrality here: https://reichert.house.gov/press-release/reichert-statement-net-neutrality …,2017-11-30 19:47:33,5,0,936320817784328194
ATTN Veterans: The VA has announced a new app process for Veteran ID Cards. These cards are for retired service members & can be used to show proof of military service to obtain Vet discounts and other services. Apply for yours here:https://www.vets.gov/?next=%2Fveteran-id-card%2F …,2017-11-30 19:11:07,1,2,936311646896775168
"Today, the House passed HRes630. I am a cosponsor of this resolution that requires all House Members and staff to take harassment prevention and response training. I do not condone harassment of any kind and welcome today’s action as a step in the right direction.",2017-11-29 20:47:39,27,1,935973552158846976
Proud to see H.R. 2228 pass unanimously on the floor tonight. It is past time to bring much needed mental health care to our nation's law enforcement who put their lives on the line every day for our safety.,2017-11-29 02:51:23,13,1,935702700934778880
Congrats to @IHS_Soccer and the Liberty Patriots girls soccer teams for winning the state championships in their prospective divisions. ,2017-11-28 17:35:15,27,4,935562747739287553
"Today is #SmallBusinessSaturday! Small businesses drive our economy & our communities, so by shopping in our local small businesses this holiday season we’re bringing jobs and opportunities back to our towns. #ShopSmall Today!pic.twitter.com/BErL54Folo",2017-11-25 14:22:56,6,2,934427184990769152
"Devastated to hear about the evil murders of Texas State Trooper Damon Allen and Michigan Deputy Eric Overall yesterday. I am grateful we have dedicated law enforcement that put their lives on the line each day to keep us safe, even spending the holidays away from their families.",2017-11-24 18:38:28,22,4,934129106085539840
Congratulations to Leavenworth’s Bavarian Village for being named one of the top 25 Most Festive Holiday Towns in the US! https://www.wenatcheeworld.com/news/2017/nov/15/leavenworth-a-top-25-holiday-town/ …pic.twitter.com/4kkkfuJ4yi,2017-11-24 16:00:02,21,4,934089234121674752
"Wishing #WA08 a Happy Thanksgiving! Hope you all have a wonderful day with loved ones, friends, and lots of delicious food! pic.twitter.com/e9coccIDbJ",2017-11-23 15:15:38,8,1,933715672843948032
Grateful for the chance to meet with the Japanese Association for New Economy & discuss economic opportunities that lie ahead for both Japan and the U.S. As Chairman of the House Ways & Means Trade Subcommittee I understand the importance of this valuable trade relationship. pic.twitter.com/qL29m1lnAA,2017-11-23 00:57:07,5,1,933499620818272256
Pleasure meeting with @WANationalGuard and Major General Bret Daugherty. Grateful for the work they are doing in WA State and their dedicated service to protecting our communities.pic.twitter.com/Yl0GDioIYb,2017-11-22 15:42:44,9,2,933360105050927105
Over 30 million Americans have diabetes. This month we raise awareness for the disease during #NationalDiabetesMonth.pic.twitter.com/bvCZ2b18O9,2017-11-21 16:00:05,11,5,933002082092711936
Honor meeting with Israel’s Minister of Trade & Industry. Israel is America’s most important ally in the region and I value the relationship we share with them. pic.twitter.com/BlB1jrL3R7,2017-11-21 04:12:54,14,3,932824113621606401
Grieved to hear about the senseless murder of Agent Martinez who died in the line of duty. Praying for his family and for a quick recovery for his partner.,2017-11-20 17:48:53,4,3,932667075121659904
"Great pleasure to meet with @UW President, @amcauce, during her visit to DC. I always enjoy discussing how we can work together to create new opportunities for our students.pic.twitter.com/85UmpWtveJ",2017-11-20 16:32:31,16,2,932647855105429504
Today we recognize and thank the families that choose to provide forever homes to children in foster care and around the world. Happy #NationalAdoptionDay! pic.twitter.com/hPtOPPumyK,2017-11-18 17:04:21,27,7,931931093187543040
Congratulations to @ImpactBioenergy for receiving the CleanTech Vision Award from @wacleantech! Thank you for your service to the communities in #WA08.,2017-11-18 01:30:26,3,1,931696066122022913
"Wishing the girls in #WA08, who are swimming and diving in the State Tournament this month, all the best! ",2017-11-17 21:37:55,9,2,931637548824137728
Good meeting with WA reps from @citizensclimate discussing climate change and my work on the Climate Solutions Caucus.pic.twitter.com/tFVreNshwo,2017-11-17 17:35:04,29,9,931576432978952192
"ICYMI: Watch my floor speech on H.R. 1, the Tax Cuts and Jobs Act and how it will affect #WA08.https://www.youtube.com/watch?v=Q_db7F47z0U …",2017-11-17 00:00:02,5,2,931310927126831104
"Today the House passed a bill that will: 
Create Jobs 
Increase Paychecks 
Put more money in YOUR pockets 
#TaxReform",2017-11-16 21:12:29,12,2,931268760840916995
"This plan will help families, energize our country, and get our economy booming again! #TaxReform https://reichert.house.gov/press-release/reichert-house-pass-tax-bill-will-help-families-energize-our-country-and-get-our …",2017-11-16 19:16:15,10,2,931239508816941057
A tax plan that creates more American jobs is a tax plan that benefits everyone. #TaxReformpic.twitter.com/rLVjf0T3q8,2017-11-16 00:30:01,9,1,930956083866120192
"Congrats to @Arhsravens for winning the WA State Championship! Cascade HS, great job as well! #WA08 was well represented in the volleyball state finals this year. ",2017-11-15 01:17:29,2,1,930605641470705664
"Today, the House passed, with my support, the NDAA that supports our troops with pay raises, improved infrastructure, and new equipment. I am proud to always vote to help our military service members and their families.",2017-11-14 22:22:39,31,4,930561642231947265
"My DC and Issaquah offices are looking for interns this winter & spring. If you’re interested, please find more info and apply here: https://reichert.house.gov/serving-you/internships …",2017-11-14 19:08:10,6,2,930512698378543104
Proud to support H.Res.599 tonight. We need a solution to the crisis in Yemen right away.,2017-11-14 00:02:55,4,1,930224487685115904
Congratulations @CWUAthletics Wildcats football for your undefeated season. Best of luck in the playoffs! #WA08 is cheering for you. ,2017-11-13 22:24:28,11,3,930199714271842309
"Grateful for the dedicated service of our veterans, like Zack who continues to serve the constituents of #WA08. #HappyVeteransDaypic.twitter.com/bTho7SrJME",2017-11-11 23:10:06,13,2,929486420435259392
Thank you to those who have served our country bravely and made sacrifices to protect our freedom. I am forever grateful. #HappyVeteransDaypic.twitter.com/mEpBoK2ud4,2017-11-11 16:16:47,18,1,929382406779473920
Good luck to the football and volleyball teams that are representing #WA08 in the State Tournament this month!  ,2017-11-10 22:02:57,4,1,929107134037594112
Happy 242nd Birthday to the @USMC! Thanks to all who have served our country as Marines. We are so grateful for your service. #semperfipic.twitter.com/eEtUpazCjx,2017-11-10 15:25:54,13,5,929007211547889664
"In 1986, I had a cool mustache & was chasing the Green River Killer. But the mustache had to go and so does our tax code. #tbt #TaxReformpic.twitter.com/T9uLnI1mlu",2017-11-09 22:51:22,48,9,928756932030222336
"Since 1986, Microsoft has grown & technology has changed, but our tax code has not. Our tax code needs an update! #tbt #TaxReformpic.twitter.com/L6CmJKPPOY",2017-11-09 16:32:17,15,2,928661531448967168
The Tax Cuts and Jobs Act = more $ in your pocket so you can save for the future and provide for your loved ones. #TaxReformpic.twitter.com/mDNdRS9Oux,2017-11-08 22:34:03,9,3,928390183342493698
"In #WA08, a middle income, 4-person household will receive a $3,654 tax cut from the Tax Cuts and Jobs Act. #TaxReform",2017-11-08 20:00:33,16,7,928351557023948800
"Our tax plan supports small businesses through lower taxes, greater equipment write offs, and ultimate repeal of the Death Tax. #TaxReformpic.twitter.com/YJJdmu6T2w",2017-11-08 16:54:00,6,2,928304609751429120
Best of luck to the girls soccer teams in #WA08 that are competing in the State Tournament this month! ,2017-11-07 23:48:48,2,1,928046609761554432
