Text,Date,Favorites,Retweets,Tweet ID
Heartbreaking news coming out of #NYC. The resolve of our great nation will not falter in the face of unconscionable evil.,2017-10-31 22:12:15,8,5,925485597212446720
"CSX must take substantive steps to resolve this serious situation, and I'm holding them to it.https://www.clickondetroit.com/news/us-rep-dave-trott-sends-letter-to-csx-after-train-blocks-plymouth-roads-for-9-hours …",2017-10-26 20:52:14,6,4,923653519189643264
"52 years after he began his service, I presented Vietnam vet David Allen with the 6 medals he rightfully earned. Thankful for his service.pic.twitter.com/Jspoh8325Z",2017-10-24 15:14:06,16,5,922843651079884801
Congratulations to Livonia resident Tom Camp on his 55 year safe driving record - the longest in @UPS history!https://cards.twitter.com/cards/18ce54g13bj/4x46n …,2017-10-18 19:07:54,30,4,920728161024819200
Stopped by Detroit Catholic Central HS to congratulate its robotics team on participating in this year's world championships!pic.twitter.com/xNC61Mompd,2017-10-17 19:03:25,9,2,920364642966306817
I think America needs more unity and less divisiveness...meaning @realDonaldTrump should focus more on golf & have less press conferences.,2017-08-16 12:02:05,6800,2091,897790564879478785
"Interested in applying to West Point, Annapolis, the Coast Guard, or Merchant Marine academies? Learn more:https://cards.twitter.com/cards/18ce54g13bj/468j0 …",2017-08-04 14:26:40,16,1,893478297530753024
"Thanks to the bright high school students who joined me, last night, to learn more about our nation's military academies.pic.twitter.com/NUhyCa4RaW",2017-08-04 14:23:01,19,2,893477379158544384
Announcing major policy decisions on Twitter is a dumb idea. Thank you,2017-07-26 19:27:19,298,54,890292467618152450
My legislation tripling the federal penalty is critical to eradicating this barbaric practice from our communityhttp://www.detroitnews.com/story/news/politics/2017/07/20/trott-toughen-fed-penalty-female-genital-mutilation/103855718/ …,2017-07-20 16:51:45,26,10,888078991097253888
We must defend the 1st amendment and finally tell President Erdogan that he and his henchmen are not above the law. #StandAtSheridanpic.twitter.com/2LHg98BK3M,2017-07-19 16:07:21,113,72,887705428498538496
"Thanks for stopping by, @AnyaSpeaks. It was a pleasure to sit down with such a bright young woman.https://twitter.com/anyaspeaks/status/886205200477949954 …",2017-07-15 13:40:41,5,1,886218966531792897
"The House passed my legislation to finally call these henchmen out for who they really are - thugs!
http://www.washingtonexaminer.com/article/2628702  via @dcexaminer",2017-07-14 20:27:36,121,72,885958981793046528
Learn more about our nation's service academies and how to apply on my website. https://cards.twitter.com/cards/18ce54g13bj/468j0 …,2017-07-13 14:56:51,5,1,885513361064169472
Congrats to these bright students! Interested in joining them? I'm accepting applications for next year.https://patch.com/michigan/novi/metro-detroit-students-set-service-academies …,2017-07-13 14:53:13,7,4,885512444646486017
TUNE IN to @FinancialCmte as I speak on what this means for Michigan - the heartland of our domestic auto industry.http://youtu.be/ibRcAS7YbXI ,2017-07-12 20:14:52,1,1,885231001567461377
"Today, the @FinancialCmte studies my bipartisan leg 2 improve auto lenders' privacy notification + increase consumer access 2 privacy info",2017-07-12 20:13:07,1,1,885230564013461505
What an honor to welcome the 1st place winner of MI11's art competition Nathan Adkins to the @uscapitol where his artwork is now displayed!pic.twitter.com/8pR3qHO99P,2017-06-30 18:13:55,10,2,880851909715820545
