Text,Date,Favorites,Retweets,Tweet ID
Best of luck to the high schools representing #TN08 in the @tssaa Football State Championships! #Lausanne #UnionCity #Covington,2017-11-30 19:09:17,11,2,936311188509642753
Subscribe to my regular e-newsletter to stay up-to-date on news in #TN08 and Washington. Click here to sign up: http://bit.ly/2lxbzCB pic.twitter.com/f3Ywv14yg9,2017-11-30 16:35:07,10,4,936272391470280704
"Last week, I had the privilege of serving Thanksgiving dinner to our troops in Afghanistan, including soldiers from #TN08. Grateful for the opportunity to spend the holiday with our brave service members.pic.twitter.com/M4cZskiKhW",2017-11-28 18:50:02,27,5,935581568554487810
Good luck to all of the teams representing #TN08 in the TSSAA Football State Championships this week! #Lausanne #LakeCounty #UnionCity #Covington #Haywood #Brighton,2017-11-25 00:21:58,21,6,934215550934376449
"Tomorrow, November 25, is Small Business Saturday. Join me in shopping small to support our local economy in West Tennessee. #SmallBizSat #TN08pic.twitter.com/V317GbWmpN",2017-11-24 21:13:29,16,2,934168114954059776
Roberta and I wish all West Tennesseans a #HappyThanksgiving with family and friends. #TN08,2017-11-23 14:01:28,50,7,933697008757542912
"This is great news for Gibson County. Pleased that Tyson Foods has chosen to plant their roots in Humboldt and create 1,500 new jobs for West Tennesseans. #TN08:http://bit.ly/2jIuaeE ",2017-11-20 21:36:02,40,5,932724240947740673
"This week, my bill to crack down on the leak of private financial information unanimously passed the @FinancialCmte. We must ensure that sensitive market information is protected in order to prevent potential insider trading. Read more: http://bit.ly/2zLZVK1 pic.twitter.com/GekQhKIpGx",2017-11-17 14:48:36,12,6,931534540509777921
I will continue to work alongside President @realDonaldTrump to keep the promises we made to the American people.pic.twitter.com/IPDU04N0lS,2017-11-16 19:03:15,13,1,931236238111199232
"For three decades, special interests have been tailoring the tax code to their needs. Today, we fought back and passed #TaxReform that puts money in the pockets of West Tennesseans, not Washington bureaucrats.",2017-11-16 19:02:50,16,1,931236133660446721
Great to meet with President @realDonaldTrump today ahead of our vote on #TaxReform. We are working hard to cut taxes for West Tennesseans.pic.twitter.com/cfFNp1QPtY,2017-11-16 17:56:51,44,12,931219527492423681
"TUNE IN: At 4:35 p.m. CT, I’m joining @KeithSherley live on 101.5 FM in Jackson to talk about our plan for fair and simple #TaxReform.",2017-11-15 22:18:08,11,2,930922896133849089
"Buying and owning a home is central to the American dream. Unfortunately, unfair regulations have made it more challenging than ever. Proud my bill to help first-time and rural homebuyers passed the @FinancialCmte today. Read more: http://bit.ly/2yJJnPo pic.twitter.com/Bakp6bs0r5",2017-11-15 22:15:43,17,3,930922288068943872
My full statement on Richard Cordray’s resignation as @CFPB Director:pic.twitter.com/HhpJgL9Nxn,2017-11-15 19:31:08,9,2,930880867647582208
"The House just passed the highest pay raise for our servicemen and women in eight years. Proud to support increased funding for our troops, so they have the tools they need to defend this great nation. My full statement on #NDAA:  http://bit.ly/2hrJWWX pic.twitter.com/CZzRwnE68l",2017-11-15 00:10:03,21,6,930588669731332096
Honored to join the Lauderdale County #VeteransDay Parade today in Ripley. We must never forget our veterans' great service and sacrifice for our freedoms.pic.twitter.com/nig5wS8HPC,2017-11-11 21:12:22,22,3,929456793020960768
"Stopped by the @McDonalds in Munford this morning to thank West Tennessee heroes for their service. Today, all proceeds from coffee sales will be donated to @veteranshometn. #VeteransDaypic.twitter.com/vlUUaKfoVi",2017-11-11 17:50:48,13,5,929406066261098496
"On this #VeteransDay, I know all Tennesseans will join me in honoring the brave men and women who have served in our armed forces. Their courage is what makes the United States of America the greatest nation on Earth.pic.twitter.com/nsP4gmjBPQ",2017-11-10 20:07:42,34,10,929078131717234688
