Text,Date,Favorites,Retweets,Tweet ID
"No more cover-ups. We need transparency, safety and appropriate behavior. Sexual misconduct has no place here, or anywhere. 

I'm proud to help lead this effort. https://cooper.house.gov/media-center/press-releases/cooper-helps-lead-effort-to-eliminate-congressional-hush-fund-for-sexual …https://twitter.com/RepDeSantis/status/935951415385690113 …",2017-11-29 19:55:39,73,22,935960469478756354
"62K Tennesseans have signed up for coverage on http://Healthcare.gov . That’s 38% more than this time last year. Great news, but we can do better. Tell your friends and family to check out http://Healthcare.gov  today! #GetCoveredpic.twitter.com/cnf28I5Nu6",2017-11-28 18:36:01,43,32,935578041690087430
"Congratulations, Samiyyah! https://www.nashvillepost.com/business/legal/article/20983730/vu-law-grad-to-clerk-for-us-supreme-court-judge …",2017-11-28 15:54:42,11,6,935537441066364928
"ICYMI: ACA enrollment is up 42% over last year! Are you one of the 8 million Americans that have checked http://Healthcare.gov ? If not, check your options today! Open enrollment ends Dec. 15.pic.twitter.com/PAx2tB7G6U",2017-11-27 21:48:30,14,13,935264090175541249
The House is voting on mandatory sexual harassment training this week. But that’s not enough. Congress must unmask the secret settlements and disclose it all.https://cooper.house.gov/media-center/press-releases/cooper-says-mandatory-training-not-enough-congressional-sexual …,2017-11-27 20:44:05,111,44,935247879488360448
There should be some good resources. Will you dm your email and we will send Monday.,2017-11-26 00:26:05,1,1,934578972653912064
Proud of Nashville – let’s keep this up over the next 23 days! More than three weeks left to #GetCovered at http://Healthcare.gov .http://www.tennessean.com/story/money/industries/health-care/2017/11/17/obamacare-enrollment-bustling-nashville-congress-weighs-ditching-mandate/874469001/ …,2017-11-22 15:02:54,56,27,933350077766258688
"I support and have voted to uphold Obama’s #NetNeutrality rules, and I oppose the FCC’s plan to undermine our free and open internet.https://twitter.com/rawr_jays/status/933054897980956673 …",2017-11-21 21:42:25,423,130,933088233310900224
"I did not know such a fund existed. My chief of staff, Lisa Quigley, who has served in the House for 30 years, also was unaware of it.",2017-11-21 20:20:03,34,11,933067504884371456
All information surrounding taxpayer-funded settlements should be made public immediately. Only the victims' identities should be kept private:https://www.vox.com/policy-and-politics/2017/11/21/16679292/secret-fund-pays-victims-sexual-harassment-the-hill …,2017-11-21 20:19:51,118,53,933067454624026635
Don’t let partisan politics keep you from visiting http://Healthcare.gov . Still 24 days to check out your options & #GetCovered!https://www.rollcall.com/news/politics/104367-2 …,2017-11-21 18:50:17,18,12,933044916036493315
"19.8 million more Americans have insurance this year than in 2010. Let’s do even better next year! Go to http://healthcare.gov  today to see your options for 2018.

https://www.cdc.gov/nchs/data/nhis/earlyrelease/insur201711.pdf …",2017-11-20 17:35:29,54,36,932663701877985282
"Every county in Tennessee offers at least one $0 premium plan. See if you qualify today! 

28 days left to enroll on http://Healthcare.gov . #GetCoveredhttp://tntribune.com/community/national/early-surges-open-enrollment-affordable-care-act/ …",2017-11-17 19:46:30,41,32,931609512401874945
More good news: Enrollment numbers spiking & 29 days left to #GetCovered. Visit http://Healthcare.gov  today to learn more!https://www.washingtonpost.com/news/powerpost/wp/2017/11/15/aca-federal-enrollment-surges-by-at-least-47-percent-this-year-cms-says/?utm_term=.e9f9c0fbc494 …,2017-11-16 18:39:19,17,14,931230215669501954
"President Trump pledged ""a major, major"" tax cut for American workers. The reality is many Tennesseans will be hurt. We need tax reform that helps everyday Tennesseans.

The House Republican tax plan hurts Cheatham, Davidson & Dickson residents:http://bit.ly/2A0xOaO ",2017-11-15 20:04:17,69,36,930889212160864256
Great news for @FISK1866 and @FiskJubileeSing!http://www.tennessean.com/story/news/education/2017/11/15/first-fisk-jubilee-singers-receive-historic-marker-dedicating-their-accomplishments/852483001/ …,2017-11-15 19:03:19,33,15,930873867463266304
"So proud of Music Health Alliance and all their great work helping Tennesseans find health care! If you work in the music industry and need coverage, call 615-200-6896. For everyone else, visit http://Healthcare.gov  today!pic.twitter.com/kdqWJ2b7WJ",2017-11-15 17:33:24,62,42,930851239692324869
"We should be doing the nation’s business and solving problems – not creating terrible new ones. 

I applaud the announcement to require all House Members and staff to complete a sexual harassment training course.http://bit.ly/2jugO5F ",2017-11-15 15:36:25,23,6,930821800321339393
