Text,Date,Favorites,Retweets,Tweet ID
New @USGAO report shows only 1/3 of taxpayer funded voucher programs require schools to publicly report test results. Major lack of accountability. #VoucherFailhttps://pocan.house.gov/media-center/press-releases/pocan-new-gao-report-shows-school-voucher-programs-failing-to-provide …,2017-11-30 21:08:43,12,11,936341242593644545
"BREAKING: @USGAO report shows outrageously low standards to which many school voucher programs are held.

As @BetsyDeVosED continues her assault on public education, we must ensure these programs are held accountable. http://bit.ly/2iqonKx pic.twitter.com/5VuWehzN5V",2017-11-30 20:22:20,22,20,936329572785717249
“The Senate tax bill truly is a matter of life or death for the millions of Americans who could lose access to health coverage under this plan.” Read more of my @USATODAY op-ed here ↓https://usat.ly/2zSbUqo ,2017-11-30 18:59:02,23,18,936308607473389568
"Troubling reports about a lack of transparency, unexplained delays from Honduran Supreme Electoral Tribunal (TSE) compared to prior elections. I urge Honduran TSE to uphold principles & values from the Inter-American Democratic Charter. #HonduranElectionshttp://abcn.ws/2zAxjQF ",2017-11-29 21:30:00,29,51,935984212808753152
"How many times has @realDonaldTrump said ""winning"" during his speech in Missouri?

Do you know who isn't winning? The middle class under the #GOPTaxScam.",2017-11-29 21:02:39,59,26,935977328525697026
"More lies today from @realDonaldTrump on the estate tax.

Here's a refresher on the facts. #GOPTaxScamhttps://www.washingtonpost.com/news/wonk/wp/2017/09/07/trump-called-the-estate-tax-a-tremendous-burden-on-family-farmers-heres-the-truth/ …",2017-11-29 20:59:48,13,13,935976613090594816
"Reminder: @realDonaldTrump claims he doesn't care if he benefits under the #GOPTaxScam, but we still haven't seen his tax returns",2017-11-29 20:43:04,31,11,935972400117813248
".@realDonaldTrump claims the #GOPTaxScam benefits Main Street, but in reality, it's written for Wall Streethttp://www.msnbc.com/rachel-maddow-show/ceos-keep-contradicting-republican-tax-plan-promises …",2017-11-29 20:32:06,17,16,935969642664865794
News that surprises no one: the nation's largest corporations say they'll turn over most gains from corporate tax cuts to shareholders rather than raising wages or employing more workers #GOPTaxScamhttps://www.bloomberg.com/news/articles/2017-11-29/trump-s-tax-promises-undercut-by-ceo-plans-to-reward-investors …,2017-11-29 20:06:58,64,74,935963317151117314
Just a reminder that Alex Azar led a drug company now being investigated for raising the price of insulin. The Senate should stop his confirmation until the investigations are complete.pic.twitter.com/dkwZh8P3Tb,2017-11-29 19:39:54,681,358,935956502187307008
"""Yes, we have reached a point in our history where no one is surprised for one moment that in a case being argued before the Supreme Court, the White House is on the same side as a designated hate group.""

Sad, but true.https://www.nytimes.com/2017/11/29/opinion/gay-religious-freedom-cake.html …",2017-11-29 18:52:31,21,15,935944578070441984
"""Republican senators have a choice. They can follow the will of their donors & vote to take money from the middle class & give it to the wealthiest people in the world. Or they can vote no, to protect the public & the financial health of the government.""https://www.nytimes.com/2017/11/28/opinion/senate-tax-bill.html …",2017-11-29 18:37:24,165,76,935940776600784896
"Instead of prioritizing American workers, the #GOPTaxScam gives companies a tax break for outsourcing jobs.",2017-11-29 16:35:00,497,406,935909974529757184
"Need health insurance for 2018?  For most, health plans on http://HealthCare.gov  are more affordable this year than ever.  Your last chance to enroll or renew your health coverage is December 15.  #GetCovered",2017-11-28 21:03:50,29,23,935615240510853120
".@SpeakerRyan, if you support #DREAMers, why not bring the #DREAMAct to the House Floor for an up-or-down vote? We must act!",2017-11-28 16:21:26,82,27,935544170781044736
