Text,Date,Favorites,Retweets,Tweet ID
"A tax-friendly business environment = more jobs, higher wages, and an overall healthier economy. 

In 2013, NC passed a major tax reform bill. And today, @Forbes ranked North Carolina as the best state for business in the U.S.! #TaxReform works.https://www.forbes.com/sites/kurtbadenhausen/2017/11/28/north-carolina-heads-the-best-states-for-business-2017/#3f3ccd49571e …",2017-11-30 15:00:02,2,3,936248460067725313
"Over 100 economist to Congress: ""Economic growth will accelerate if the #TaxCutsandJobsAct passes, leading to more jobs, higher wages, and a better standard of living for the American people."" 

I couldn’t agree more. Time to get our economy going again! 

http://www.businessinsider.com/trump-tax-reform-opinion-congress-pass-2017-11 …pic.twitter.com/957y44hbrq",2017-11-29 23:00:52,56,24,936007080506527745
I strongly support the U.S. House resolution requiring all Members and congressional employees to complete anti-harassment training.pic.twitter.com/T1P9knGfSu,2017-11-29 22:11:36,6,2,935994682680717315
"I think it's a good idea to upgrade US-74 into an interstate. 

This will cut travel times & facilitate economic dev throughout southern NC.pic.twitter.com/9rcANAj2SL",2017-11-28 20:38:27,4,2,935608849431760896
"Why do liberals think our economy & personal finance should be ruled by an unaccountable bureaucrat?

@POTUS & @MickMulvaneyOMB are committed to protecting American consumers, but doing so the American way, with oversight & accountability. This is a win for ordinary Americans.",2017-11-27 21:53:14,16,5,935265284952395776
"Joined MSNBC to discuss our #TaxCuts&JobsAct. These tax cuts will... 
 Spark economic growth lead to more 
 Create jobs
 Grow wagespic.twitter.com/ljULksIofj",2017-11-27 18:58:11,5,3,935221231447674881
"Small businesses are the backbone of our economy. That’s why our tax reform plan will slash their taxes so they can grow, create new jobs and increase wages.

On this Small Business Saturday, please join me in showing support for small businesses in our communities. #SmallBizSatpic.twitter.com/0XGGuikSxL",2017-11-26 00:46:19,13,4,934584065642115074
"Let us not forgot the brave American heroes who secure our freedoms and won’t be spending this Thanksgiving at home.

God bless our troops, today and everyday.pic.twitter.com/wBrEppt0MD",2017-11-23 21:47:38,25,8,933814323402760193
"#Thanksgiving is a time to reflect upon the things for which we are thankful. 

Today, I am especially thankful for four children and ten grandchildren who continually enrich our lives. 

From Suzanne and me, Happy Thanksgiving!pic.twitter.com/wLuGDcC0bT",2017-11-23 14:22:00,7,2,933702175708065793
"Islamic Terrorist are teaming up with violent drug lords in South America. 

While their collaboration has intentionally been discreet, their nefarious activities pose a grave threat to our national security and that of our democratic partners across the globe.pic.twitter.com/WhQJ7RbI8m",2017-11-21 23:41:21,4,5,933118165055307777
Keeping Americans safe. National security is both a domestic and international issue. Our partners must be fully engaged in this fight in order to defeat terrorism.pic.twitter.com/klYp6PX6R3,2017-11-21 18:33:38,4,1,933040724844711936
"China's government has weaponized financial investment as part of a strategy to infiltrate the U.S. economy, steal our technology, and compromise our defense apparatus. 

2 weeks ago, @JohnCornyn and I introduced a bill to stop them.http://www.robesonian.com/opinion/104876/time-to-put-china-on-notice …",2017-11-20 19:44:58,2,3,932696287186649090
"Today, my House Republican colleagues and I kept our promise to the American people by passing the #TaxCutsAndJobsAct

This historic bill means more money back in YOUR pocket, more jobs, better opportunity and a healthier American economy.pic.twitter.com/Fr4RzACsLX",2017-11-17 00:15:30,4,2,931314820678389760
"Just had a great meeting with @realDonaldTrump!  

Now it's time to pass the #TaxCutsAndJobsAct & deliver the biggest tax CUTS in American History! 

#TaxReform #TaxReformNowpic.twitter.com/TqXUxKXH3o",2017-11-16 17:54:43,9,3,931218991145717761
"The #TaxCutsAndJobsAct is a good deal for North Carolina!

 29,264 new jobs 
 $2,366 boost in after-tax income for middle class families",2017-11-16 14:25:11,8,2,931166263006715904
"$25 billion in debt + a $1.5 billion deficit this year alone... the National Flood Insurance Program is unsustainable & in dire need of reform. 

Yesterday, I was proud to support the 21st Century Flood Reform Act which reforms and modernizes the National Flood Insurance Program.pic.twitter.com/f2DmEcaGBs",2017-11-15 17:43:20,3,4,930853737802993664
GREAT NEWS → We just voted to give our troops their largest pay raise in 8 years!!pic.twitter.com/XHFRtrAHpk,2017-11-14 22:56:34,238,45,930570180308144128
"Last Sat. I had the privilege of honoring six WW2 heroes. Today, I asked my colleagues to join me in honoring their service.pic.twitter.com/CXL5Hv9L0V",2017-11-14 19:22:37,4,2,930516335964180485
"No text has been more influential in the course of human history than the Holy Bible. This museum gives people of all faiths a unique opportunity engage with the Bible and immerse themselves in its history, teachings and societal impact.  @museumofBible  2/2",2017-11-14 15:14:25,2,1,930453874795778048
"Yesterday, I introduced a bipartisan resolution recognizing the grand opening of the @museumofBible - the first, and only, museum exclusively dedicated to God’s Word.
1/2",2017-11-14 15:14:02,5,3,930453780684034049
"What would you do with $1,182?

With the #TaxCutsAndJobsAct, an average family of four will receive tax cut of $1,182! #TaxReformpic.twitter.com/VGV0Uw03Be",2017-11-14 14:18:36,6,1,930439827442552832
"One year after Hurricane Matthew, many North Carolinians are still in dire need of disaster relief. 

That is why today I sent a letter to @HouseAppropsGOP & House Leadership urging continued funding for Hurricane Matthew recovery efforts. @BladenOnline
https://bladenonline.com/congressman-pittenger-urges-more-funding-for-hurricane-matthew-recovery/ …",2017-11-13 22:07:07,2,2,930195346168434688
"Last year, Hurricane Matthew damaged nearly 98000 homes and 19500 businesses in Eastern NC. Many of those impacted are still in dire need of relief. 

So today, I sent a letter to @HouseAppropsGOP & House Leadership urging continued funding for Hurricane Matthew recovery efforts.pic.twitter.com/FLOqzs0WeS",2017-11-13 18:55:36,10,12,930147148703961090
"The selfless service of our military men and women has secured the freedoms and liberties that we all enjoy. 

We must never forget that #FreedomIsNotFree.http://www.bladenjournal.com/opinion/15107/our-veterans-deserve-better …",2017-11-13 16:17:51,5,1,930107450732285958
"Wouldn't it be awesome to do your taxes on this simple postcard? 

Well, that's exactly what will happen with the #TaxCutsAndJobsAct! #TaxReformpic.twitter.com/sv0aggW9EC",2017-11-13 15:35:18,310,104,930096743827542017
"On this #Veteransday, we thank all those who serve. We must always remember that freedom is not free. @IndyFund @michael_verardopic.twitter.com/4WjLsBN79E",2017-11-11 23:03:48,6,2,929484836187885568
This weekend Suzanne and I join a grateful nation in thanking those who serve in our armed forces. They are truly the very best among us.pic.twitter.com/xumuLvNAiu,2017-11-11 16:51:05,5,2,929391036488486913
Happy 242nd Birthday @USMC! #SemperFipic.twitter.com/IgVXTHJjiu,2017-11-10 22:48:00,6,2,929118471350239232
"China & other countries are weaponizing investment to target American infrastructure and companies that provide critical national security services. 

@JohnCornyn and I just introduced a CFIUS reform bill that will protect against this type of economic warfare.",2017-11-08 16:14:12,13,14,928294592407105541
"Happy 99th birthday Dr. @BillyGraham. Your faithful ministry has impacted the lives of millions. 

God bless you today and always.pic.twitter.com/g9v7A69DMF",2017-11-07 16:44:37,16,5,927939857774731266
"What does #TaxReform mean for North Carolinians?
More Jobs
Bigger Paycheckspic.twitter.com/SVLt5xPRCj",2017-11-06 23:50:32,4,2,927684658338451457
"The tax code is BROKEN, and hardworking Americans are the ones being punished. 
@southcltweeklyhttps://goo.gl/XYZHik ",2017-11-06 20:33:36,3,1,927635097813180417
"On Saturday I had the high honor of meeting Colonel Ben Skardon, a 100 year young survivor of the Bataan Death March.pic.twitter.com/KrqWmUCuxF",2017-11-06 18:52:16,17,5,927609596629352448
"Are you tired of Uncle Sam picking your pocket? 

The gov't takes far too much of YOUR money. @southcltweekly
http://thecharlotteweekly.com/opinion/2017/11/pittenger-are-you-tired-of-uncle-sam-picking-your-pocket/ …",2017-11-06 17:21:01,1,3,927586633301544960
An unimaginable nightmare for that small Christian church and community.,2017-11-05 20:36:43,11,4,927273494227968002
"How grievous to learn of the church shooting in Sutherland, TX.  Deepest sympathy & prayers for surviving victims & families.",2017-11-05 20:36:05,5,2,927273334546554880
