Text,Date,Favorites,Retweets,Tweet ID
"Companies say they’ll turn over most gains from corporate tax cuts to shareholders, not to middle class wages under #GOPTaxScamhttps://bloom.bg/2zPdfhG ",2017-11-29 15:16:13,20,31,935890145735266306
So the House passed the #GOPTaxScam. Read my blog if you're looking to understand what happens next https://levin.house.gov/tax-talk-sandy-levin …,2017-11-16 20:24:38,15,12,931256721024184320
If you missed it -- you can read my remarks as delivered here https://levin.house.gov/press-release/levin-floor-statement-republican-tax-bill …https://twitter.com/repsandylevin/status/931165757370785793 …,2017-11-16 14:40:48,5,4,931170190217314305
I'll be on the House floor shortly to speak on the #GOPTaxScam. Follow today's debate here https://www.c-span.org/video/?437165-1/us-house-debates-tax-reform-bill-final-vote-also-expected&live …,2017-11-16 14:23:11,20,10,931165757370785793
My statement on #NDAA https://levin.house.gov/press-release/levin-statement-ndaa-0 …,2017-11-15 01:34:41,3,1,930609968574881792
"The more the American people learn about the Republican tax bill, the more they will reject it, just as every Democrat did today on the Committee on Ways and Means. 4/4",2017-11-09 21:18:06,16,17,928733461359349761
"Speaker Ryan has said the bill is focused on the middle class, but that is simply not true. It’s really the opposite: it’s a bill built for millionaires. And the process used to consider it has been driven by desperation, rather than deliberation. 3/",2017-11-09 21:17:35,42,43,928733328236216320
"While the GOP bill gives the very wealthy enormous tax breaks, it actually raises taxes on tens of millions of middle-class families by eliminating the personal exemption and deductions for medical expenses, for full state and local taxes, and for educational needs. 2/",2017-11-09 21:17:25,15,23,928733289409589248
"The Republican tax bill picks winners and losers – the big winners are the very wealthy and some corporations, and the losers are the middle class and those who aspire to it, and the rest of America who will be forced to pay for the bill’s massive debt for years to come.  1/",2017-11-09 21:17:12,26,21,928733231431802880
Read my statement on the #GOPTaxScam as was approve by the Ways and Means committee https://levin.house.gov/press-release/levin-statement-republican-tax-markup …,2017-11-09 21:16:44,11,13,928733114259660802
Democratic amendments ready to offer to #GOPTaxScam but Republicans are shutting down the markup for the day.pic.twitter.com/mDf5hW75tP,2017-11-08 23:19:36,90,75,928401648858251264
What are you top 10 of the worst provisions in the @HouseGOP tax bill? Share themhttps://twitter.com/repsandylevin/status/928303470599442433 …,2017-11-08 16:50:03,5,8,928303614258569216
"And the number one reason this bill is so bad is....

1 .The bill would RAISE taxes on 22 million Americans, including one out of every four Americans with income between $50,000 and $75,000, in 2023. #GOPTaxScamhttps://twitter.com/repsandylevin/status/928302762726776834 …",2017-11-08 16:49:29,19,15,928303470599442433
2.The GOP bill raises the deficit by $ 1.7 TRILLION. #GOPTaxScamhttps://twitter.com/repsandylevin/status/928302492429045760 …,2017-11-08 16:46:40,10,5,928302762726776834
"3. The Republican legislation gives millionaires an average tax cut of $58,000.https://twitter.com/repsandylevin/status/928302361294106624 …",2017-11-08 16:45:35,5,0,928302492429045760
4. The bill breaks President Trump’s promise to end the carried interest loophole for fund managers. #GOPTaxScamhttps://twitter.com/repsandylevin/status/928301495388393472 …,2017-11-08 16:45:04,6,2,928302361294106624
"5. The .@HouseGOP tax bill repeals tax deductions for the middle class, including the medical expense and education deductions. #BillionairesFirsthttps://twitter.com/repsandylevin/status/928301134355292162 …",2017-11-08 16:41:38,11,7,928301495388393472
6.The GOP bill eliminates estate taxes on the wealthiest 0.2% of estates worth over $5.5 million. #BillionairesFirsthttps://twitter.com/repsandylevin/status/928300802627850241 …,2017-11-08 16:40:12,4,3,928301134355292162
7. The Republican bill limits the deduction for state and local taxes. #GOPTaxScamhttps://twitter.com/repsandylevin/status/928300617096990721 …,2017-11-08 16:38:52,4,2,928300802627850241
8. The bill creates a new tax loophole for millionaires by lowering top rate on pass-through income. #BillionairesFirsthttps://twitter.com/repsandylevin/status/928300282425085953 …,2017-11-08 16:38:08,4,4,928300617096990721
9. The #GOPTaxScam gives a tax advantage to companies to move abroad.https://twitter.com/repsandylevin/status/928300110303449088 …,2017-11-08 16:36:48,9,5,928300282425085953
"I've been thinking about how bad this #GOPTaxScam bill is, and I came up with my top 10 reasons (it was hard to keep it to just 10!). 

10. The bill repeals a tax credit for purchasing electric vehicles – hurting a growing US industry.",2017-11-08 16:36:07,19,15,928300110303449088
Families have a lot on the line with @SpeakerRyan's #GOPTaxScam. According to @nytimes millions of middle class families will see a tax hike of $2000 on average.,2017-11-08 13:01:00,519,437,928245974446854147
".@HouseGOP tax plan allows corporations to deduct SALT, but repeals the individual deduction. Why? #billionairesfirst",2017-11-07 19:45:31,22,18,927985383232671744
Nearly 1/5 households making 75-100k pay higher taxes in 2023 under #BillionairesFirst tax plan More → @WSJhttps://www.wsj.com/articles/majority-would-benefit-from-tax-bill-but-effects-peter-out-study-says-1510074698 …,2017-11-07 17:49:20,6,9,927956145112862720
Tax reform should be about our constituents -- not donors. #BillionairesFirsthttps://twitter.com/cimarcos/status/927917666450460672 …,2017-11-07 17:22:34,76,70,927949409484144640
The notion that this bill for the middle class is untrue. It's a fib. #BillionairesFirsthttps://twitter.com/repsandylevin/status/927930517621805060 …,2017-11-07 16:09:04,6,2,927930912280543233
All the facts need to brought out in the #BillionairesFirst @HouseGOP tax plan so we fully understand who gets tax cuts and increases,2017-11-07 16:07:30,11,4,927930517621805060
ACA enrollment s going strong! Be sure to enroll in coverage by December 15 @ http://www.healthcare.gov http://thehill.com/policy/healthcare/359011-obamacare-signups-surge-in-early-days-to-set-new-record …,2017-11-07 14:03:00,6,7,927899188813352960
Tax Policy Center has said it made an error & will be revising it's analysis of the GOP tax plan - will look forward to seeing that.,2017-11-07 00:01:01,10,7,927687294303326208
The major tax cuts in the @HouseGOP #BillionairesFirst tax plan to to the very wealthy.,2017-11-06 20:34:48,6,13,927635397840195584
Watch as @WaysMeansCmte considers the @HouseGOP #BillionairesFirst tax plan https://youtu.be/8rUjwgqNyMY https://twitter.com/repsandylevin/status/927593269806190592 …,2017-11-06 17:55:46,5,6,927595379092344835
".@SpeakerRyan says tax relief is about middle class. But with 38M potentially seeing a tax increase in 2023, that stmt deserves 4 Pinnochioshttps://twitter.com/repsandylevin/status/927592646620667905 …",2017-11-06 17:47:24,25,15,927593269806190592
That's 38 MILLION individuals who would see on average higher taxes starting in 2023 according to @jctgovhttps://twitter.com/repsandylevin/status/927592384921292801 …,2017-11-06 17:44:55,12,14,927592646620667905
