Text,Date,Favorites,Retweets,Tweet ID
"The American people cannot afford the #GOPTaxScam that raises their healthcare premiums by hundreds or thousands of dollars each year while cutting taxes for millionaires, billionaires, and corporate special interests.https://delauro.house.gov/media-center/press-releases/delauro-slams-senate-tax-bill-would-raise-americans-health-premiums …",2017-11-30 19:22:25,12,9,936314490945245184
"The #GOPTaxScam raises taxes on 82 million middle class families while giving millionaires, billionaires & corporations a massive tax cut.pic.twitter.com/eNjdQJj2sO",2017-11-29 16:37:03,9,11,935910489023922177
".@realDonaldTrump's nominee to head @HHSGov, Alex Azar, is a known opponent of the #ACA, has proposed dismantling Medicaid as we know it, and raised drug prices during his time as a pharmaceutical company executive.http://thehill.com/blogs/congress-blog/healthcare/362046-azar-nomination-follows-disturbing-pattern-to-undermine-social …",2017-11-29 14:26:32,5,8,935877642523414528
Supporting girls who want to stand up for issues and causes important to them has never been easier thanks to the #GIRLagenda. http://bit.ly/2hyxswe pic.twitter.com/SBVuHVa65E,2017-11-28 22:49:53,5,5,935641926728081409
There's only a few weeks left to #GetCovered during Open Enrollment. Visit https://www.accesshealthct.com  now.,2017-11-28 18:14:46,11,12,935572691637108736
"Every day, more DREAMers are losing DACA protections. @HouseGOP needs to bring the #DREAMAct to the Floor for a vote. #ProtectDREAMerspic.twitter.com/aKueZCHTeQ",2017-11-28 16:06:05,190,133,935540309047390209
We must do more to help our most vulnerable citizens—children—in the aftermath of the recent hurricanes. My op-ed w/ @RepGutierrez on how we can do that.http://www.nhregister.com/opinion/article/Forum-Trump-administration-disaster-request-12377690.php …,2017-11-27 16:10:15,8,5,935178967157563392
Wishing you and your family a Happy Thanksgiving!pic.twitter.com/PJC10MNSWW,2017-11-23 16:00:06,39,7,933726862932557825
A free and open internet is essential to our democracy. We must defend #NetNeutrality.,2017-11-22 14:33:13,116,60,933342610667855873
Need to get health insurance or make changes to your plan? Visit https://www.accesshealthct.com  during Open Enrollment and #GetCovered.pic.twitter.com/Drl7NAvaVA,2017-11-20 19:39:40,5,6,932694952844447744
"President Trump’s latest disaster relief request will not make #OurFellowAmericans in Puerto Rico, Texas, the U.S. Virgin Islands, Florida, and California whole. We must do more.https://delauro.house.gov/media-center/press-releases/delauro-statement-trump-administration-s-insufficient-disaster-relief …",2017-11-17 22:23:45,10,6,931649084783562758
"Forty places across the country have paid sick day laws. We must protect and
advance these gains. #ProtectSickDays",2017-11-16 22:55:03,19,8,931294572394754048
We must stand up for a farm bill that supports hunger-prevention programs like SNAP.pic.twitter.com/Tc64KdlxA0,2017-11-16 18:20:38,20,8,931225513187782657
The #GOPTaxScam leaves the middle class behind while offering tax cuts to the wealthiest Americans & corporations. #NotOnePennypic.twitter.com/HCt4ASdNqC,2017-11-16 17:24:24,43,36,931211361719406594
"WATCH LIVE—I’m about to speak w/ my colleagues on @HouseGOP’s job-killing, corporate tax cut bill. #NotOnePenny https://facebook.com/CongresswomanRosaDeLauro/ …",2017-11-15 17:17:42,9,8,930847290071404547
Don't be fooled - the #GOPTaxScam #childtaxcredit EXCLUDES millions of families that need it the most. https://www.cbpp.org/sites/default/files/atoms/files/11-9-17tax.pdf …pic.twitter.com/E3levDmAz3,2017-11-14 21:28:09,25,18,930547930326593537
"After Kingia had a child, her hours were cut from 32 to 8 a week. She was told having a child is not an excuse to have her hours changed. That is cruel, and we must do something about it. #SchedulesThatWorkpic.twitter.com/pY9l3uTxN1",2017-11-14 18:04:55,11,10,930496784211816453
Joanna requested a specific schedule so she could take care of her daughter. Walmart cut her hours from 36 to 8 hours a week. That’s just wrong. #SchedulesThatWorkpic.twitter.com/VFdycPcH7i,2017-11-14 17:52:53,12,14,930493755987255298
James shares his story as an Associate at Walmart with over 300% turnover and hours that are cut when workers ask for different schedules. #SchedulesThatWorkpic.twitter.com/ZnDqFSDLWj,2017-11-14 17:49:31,11,7,930492907907371009
"Madison works at Target and struggles to get enough hours to pay the bills. Her schedule constantly changing, which often prevents her from taking care of her mom. #SchedulesThatWorkpic.twitter.com/dYpZ5gTT49",2017-11-14 17:45:01,15,10,930491775197876225
"These people want to work, yet they are forced to deal with unpredictable schedules that don’t allow them to go to school or take care of their family. #SchedulesThatWorkpic.twitter.com/qrxdYrDvJ4",2017-11-14 17:40:09,34,27,930490550159138824
LIVE NOW—Proud to stand with advocates and retail workers from across the country to push for more predictable work schedules. #SchedulesThatWork https://facebook.com/CongresswomanRosaDeLauro/ …,2017-11-14 17:35:59,3,2,930489499834077184
"Cancer screenings, maternity & newborn care, & birth control can break the bank without insurance. #GetCovered at https://www.accesshealthct.com pic.twitter.com/d4vq2vDc3Y",2017-11-13 19:07:04,10,4,930150037153181696
"To each and every man and woman who has served our country, we owe you a debt of gratitude that can never be repaid. #VeteransDaypic.twitter.com/Amsi58n2Vi",2017-11-11 15:30:05,51,8,929370654368866304
Proud to stand with my colleagues in opposition to the #GOPTaxScam  that will outsource jobs and raise taxes on the middle class.pic.twitter.com/jISTV8euKF,2017-11-08 19:23:25,38,12,928342210101350401
Great to see even more momentum & support for paid family and medical leave. It's time Congress passes the #FAMILYAct.http://thehill.com/blogs/congress-blog/labor/359043-considering-a-national-paid-leave-policy …,2017-11-08 19:07:47,9,5,928338277882580993
"Who are the Americans paying more under the #GOPTaxScam? 

Middle-class families, teachers, Americans paying off student loans, small businesses, & homeowners.pic.twitter.com/CQ7oGlVZEZ",2017-11-08 15:09:28,14,9,928278302439198721
Thank you @RepLindaSanchez for fighting to expand the Child Tax Credit—vital for millions of families -> https://www.c-span.org/video/?436876-1/house-ways-means-committee-marks-tax-reform-bill …,2017-11-07 21:23:39,17,9,928010081354027009
Need health insurance? Now is the time to #GetCovered during Open Enrollment. Visit https://www.accesshealthct.com pic.twitter.com/05mjFFU0oy,2017-11-07 19:49:33,38,21,927986399143481350
"Who benefits from #GOPTaxScam?  Wealthiest Americans & corporations. Who gets the bill? Middle-class families, small biz, future generationspic.twitter.com/m48v2XYniG",2017-11-07 15:41:59,7,7,927924096792481792
LIVE NOW — The CT House Delegation talks about the Republican tax giveaway to corporations & millionaires: https://www.facebook.com/CongresswomanRosaDeLauro/posts/1532096870161528 …,2017-11-07 00:44:57,11,9,927698353076523013
Need health insurance? Now is the time to get your family an affordable plan. Visit https://www.accesshealthct.com  to #GetCovered.pic.twitter.com/g1YlKoFEPI,2017-11-06 19:06:02,11,11,927613060222562304
Middle class families lose under the #GOPtaxbill while the wealthiest Americans & corporations get a tax break.pic.twitter.com/oRvDyoBWho,2017-11-06 17:22:00,34,41,927586879079370752
Real tax reform would close loopholes corporations & the wealthy exploit that force the middle class to pay more.https://www.bloomberg.com/news/articles/2017-11-05/offshore-tax-haven-reports-stir-call-to-slow-pace-of-house-bill …,2017-11-06 17:06:58,7,4,927583095842377728
We cannot become numb to these all-too-frequent shootings. Congress needs to act on gun violence prevention bills.http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html …,2017-11-06 15:35:26,18,7,927560060431224833
The GOP tax plan raises the question: where are the Republicans’ values? #BillionairesFirstpic.twitter.com/gobxW5kBXk,2017-11-04 13:30:01,726,426,926803723585646593
"The Republicans’ newly released tax plan is a giveaway to millionaires, billionaires, and corporations.https://delauro.house.gov/media-center/press-releases/delauro-condemns-republican-bill-cuts-taxes-corporations-and …",2017-11-02 22:28:14,18,6,926214393943199745
RT if you agree: Women deserve #EqualPay for equal work. #LatinaEqualPay,2017-11-02 18:40:01,62,61,926156961514635264
"Latinas earn just 54 cents for every $1 a male makes. My bill, the #PaycheckFairness Act, would help close that gap. #LatinaEqualPay",2017-11-02 18:01:00,15,7,926147143936512000
Open Enrollment is underway starting TODAY. Visit https://www.accesshealthct.com  and #GetCovered.pic.twitter.com/Qz2SzaHR97,2017-11-01 21:39:32,13,12,925839749356642304
