Text,Date,Favorites,Retweets,Tweet ID
#TBT - Playing tennis with the kidspic.twitter.com/y3rOVqY8Up,2017-11-30 19:40:51,12,2,936319132676579329
"Great to meet students from Ursuline Academy, Brother Martin High School and South Lafourche High School participating in the Close Up Foundation. @CloseUp_DC @UrsulineNOLA @BMHSCrusaderspic.twitter.com/zvm68elemF",2017-11-30 14:56:08,10,7,936247480248872961
"In Louisiana, 78% of people who pay the Obamacare tax make less than $50,000 a year in income. It's time to get rid of this tax!pic.twitter.com/rjKGXuL66O",2017-11-30 01:42:47,94,58,936047826894811142
Just had lunch with President Trump and other Senate Republicans. We are united in our goal to pass tax cuts for working families and middle-class Americans!,2017-11-28 19:26:26,86,23,935590727643484162
Coming up on @FoxBusiness with @Varneyco. Tune in!,2017-11-28 16:14:19,4,3,935542380215795712
"Saddened by the loss of Matthew Chialastri and two other U.S. sailors who lost their lives serving our country. Please keep their families, friends and fellow sailors in your prayers.http://www.theadvocate.com/baton_rouge/news/article_c3de0a84-d1ff-11e7-bcc1-7b37dafca20f.html …",2017-11-27 17:45:12,17,11,935202864754028544
"We must do more to address this. @GOPHELP committee hearing on opioid crisis this week will focus on perspectives from states, communities, and providers: https://www.help.senate.gov/hearings/the-front-lines-of-the-opioid-crisis-perspectives-from-states-communities-and-providers …https://twitter.com/theadvocatebr/status/934519617116090369 …",2017-11-27 16:35:35,11,7,935185343573356547
Glad Zachary Wilson is finally home. Congressman Johnson and I were privileged to be involved.https://twitter.com/MelindaDeslatte/status/933444202343657473 …,2017-11-27 15:13:28,10,5,935164679990759431
Are you participating in #SmallBusinessSaturday? Help support Louisiana businesses!,2017-11-25 14:25:15,10,6,934427768380588032
"""From the Berlin Wall, to Vietnamese and Cuban boat people, to the DMZ, the prisoners of communism run in only one direction: toward liberty and self-government, toward the bounty of the marketplace and the possibilities of representative democracy.""http://freebeacon.com/columns/the-call-of-freedom/ …",2017-11-25 00:55:55,45,26,934224093867425792
Happy Thanksgiving!pic.twitter.com/9safpMyHnx,2017-11-23 14:05:31,40,8,933698024718692352
"We remember all those who are still on the job, working to secure the border and keep our communities safe.",2017-11-21 23:21:42,8,4,933113219027230721
"The criminals responsible for brutally killing Border Agent Rogelio Martinez and wounding his partner must be found and brought to justice. We pray for the comfort of both agents' families during this difficult time, and for the recovery of the agent in the hospital.https://twitter.com/foxnews/status/932765109134528518 …",2017-11-21 23:21:17,17,9,933113116052688897
#WhoDat!https://twitter.com/saints/status/932236353202540551 …,2017-11-19 16:38:33,4,1,932286989088514048
#GeauxTigers - Beat Tennessee!https://twitter.com/lsufootball/status/932049905799090178 …,2017-11-19 00:58:42,9,1,932050466657185792
I'm glad to see the Trump Administration cracking down on violent gangs. We must get these criminals off our streets so families have safe places to live and work.https://twitter.com/icegov/status/931234951353262082 …,2017-11-18 17:15:42,26,10,931933947398905857
Happy National Adoption Day. Adoption is a blessing to millions of lives!,2017-11-18 15:23:09,124,38,931905624677535744
Sexual harassment and assault is wrong. The Senate Ethics Committee should review the allegations of improper conduct by Senator Franken.,2017-11-16 23:22:59,71,15,931301604636221440
#TBT - You should see the one that got away!pic.twitter.com/Qn1ASpMoy5,2017-11-16 20:48:09,17,3,931262637484077056
This amendment will deliver vital tax relief to tens of thousands of Louisiana families hurt by last year’s devastating flood.https://twitter.com/kalbtv5/status/930887600226914304 …,2017-11-15 20:11:36,8,5,930891049698029568
November is Military Family Appreciation Month. Thank you to all our military families who have sacrificed so much! #MilitaryFamilyMonth,2017-11-15 17:05:50,22,8,930844301831131139
About to discuss the latest on #TaxReform with @HughHewitt. Listen live athttp://www.hughhewitt.com ,2017-11-15 13:02:35,7,3,930783085305761792
I will continue working with my Finance Committee colleagues to make our tax cut bill even better for working families in #Louisiana.,2017-11-14 20:59:13,6,3,930540646208802816
Getting rid of Obamacare’s tax on people who choose not to buy a plan or can’t afford the premiums is the right thing to do. It’s also another step toward our promise to improve our health care system.,2017-11-14 20:58:46,9,6,930540533453414404
"Repealing the individual mandate as part of tax reform will provide working families in Louisiana with even more tax relief. In 2015, more than 100,000 Louisianans paid a fine for not having health insurance. About 37% made less than $25,000 a year, and 78% made less than $50,000",2017-11-14 20:58:28,30,14,930540457653948419
"Happy Birthday to @CondoleezzaRice, America's 66th Secretary of State under President George W. Bush!pic.twitter.com/wvsBnfhg3Z",2017-11-14 20:31:00,21,15,930533545520586752
"""Working Families Need This...""

Check out my interview on @FoxNews with @HARRISFAULKNER earlier today.pic.twitter.com/39dVBbbiO8",2017-11-14 00:39:45,43,11,930233759030566913
Predatory lenders should not be able to take advantage of veterans. I'm meeting with Secretary Shulkin tomorrow and will ask him what the VA is doing to fix this.https://www.politico.com/story/2017/11/10/veterans-risky-mortgages-va-244767 …,2017-11-13 21:18:51,16,7,930183198415482880
About to join @HARRISFAULKNER on @FoxNews to discuss our bill to cut taxes for working families in Louisiana. Tune in!,2017-11-13 18:36:23,43,7,930142313757671429
"Based on the allegations against Roy Moore, his response and what is known, I withdraw support.",2017-11-12 00:28:35,37206,8030,929506170636767233
God bless the men and women who have served our great nation. Thank you for your service! #VeteransDaypic.twitter.com/FT7zOytJX0,2017-11-11 14:11:12,68,27,929350802090676224
November is Alzheimer's Awareness Month. Please advocate for the research needed and help build awareness. #ENDALZpic.twitter.com/jJ9vRaEFwW,2017-11-10 19:00:45,56,19,929061281365098496
#SemperFi. Happy birthday to the @USMC!pic.twitter.com/CCnjgei8ka,2017-11-10 14:40:07,29,11,928995692940529665
It's all about giving working families a tax cut. Check out my interview on @FoxBusiness.pic.twitter.com/ecEK9fLuoH,2017-11-10 00:24:03,18,7,928780254528892928
#OTD: The Berlin Wall came down. I'll never forget where I was!http://www.history.com/topics/cold-war/berlin-wall …,2017-11-09 17:26:43,14,4,928675229127278592
On @FoxBusiness with @Varneyco. Tune in to hear about our plan to cut taxes for working families in Louisiana. #TaxReform,2017-11-09 15:16:09,11,6,928642370597543936
Had a good meeting with @senorrinhatch about how #TaxReform can help Louisiana families. We must cut taxes and bring jobs back to America. Senate bill will be released soon!,2017-11-08 17:35:27,28,12,928315041467830273
"Local officials, FEMA and the Trump Administration have made good progress in #PuertoRico, but there is still more left to do.https://twitter.com/RepJenniffer/status/927911170417352704 …",2017-11-07 15:46:58,32,15,927925350914494467
"Wishing a speedy recovery to my Senate colleague @RandPaul, who was assaulted at his home this weekend.",2017-11-06 14:19:41,26,10,927540999999709185
"Our prayers are with everyone affected by the tragic event in Sutherland Springs, Texas.",2017-11-05 21:06:54,85,21,927281090867400705
It's game day! #GeauxTigers #BeatBamahttp://www.theadvocate.com/baton_rouge/sports/lsu/article_20350054-c10b-11e7-88e6-6765d8b8c6e7.html …,2017-11-04 17:12:23,19,6,926859683771617280
Democrats get 4 Pinocchios on their claim Gop Tax Reform will raise taxes on the middle class.https://www.washingtonpost.com/news/fact-checker/wp/2017/11/02/senate-democrats-falsely-claim-gop-tax-plan-will-raise-taxes-for-most-working-class-families/?utm_term=.574889721280 …,2017-11-02 17:56:44,19,8,926146069943193601
Where to go to college is a life changing decision. Students should be as informed as possible. #CollegeTransparencyAct #KnowB4UEnroll,2017-11-02 01:35:49,26,5,925899213770240001
"Spoke on how we can lower health costs, through price transparency and giving patients the power over their healthcare, with @C4AHC @AAFpic.twitter.com/68FtYhODyW",2017-11-01 17:08:59,6,7,925771666650693632
"As more information is released on this tragedy, all Americans stand with the survivors & we keep the victims in our thoughts & prayers #NYC",2017-10-31 22:17:36,32,8,925486943705714689
"With early detection and the right resources, we can ensure that all our students have what they need to succeed. #DyslexiaAwarenessMonthhttps://twitter.com/RedAlert/status/923738524599271429 …",2017-10-29 20:01:54,34,11,924728018601422848
"Pro-growth tax reform will expand investment, increase jobs and wages, and leave more money in taxpayers’ pockets.https://www.forbes.com/sites/realspin/2017/10/26/senators-cornyn-and-cassidy-tax-reform-to-fuel-economic-growth/#546ca2e860e6 …",2017-10-27 16:49:58,26,10,923954940783022081
We are one step closer to securing tax reform for the American peoplehttps://twitter.com/FoxNews/status/923586877722120193 …,2017-10-26 16:37:48,24,9,923589488399519744
The legacy of Fats Domino is engrained in the history and culture of Louisiana.http://www.wwltv.com/entertainment/legendary-musician-fats-domino-dead-at-89-years-old/485917741 …,2017-10-25 19:13:27,25,7,923266273278156801
Speaking at the Washington @postlive Health event with @ChrisMurphyCT #202Live watch it here:http://wapo.st/wp202health ,2017-10-25 12:59:37,4,4,923172195542732800
