Text,Date,Favorites,Retweets,Tweet ID
"Headed to #PeoplesFilibuster rally—tune in, supply yourself with the facts, fight back. In that order.https://twitter.com/benwikler/status/936244484152659968 …",2017-11-30 20:10:17,11,10,936326540211736577
"Under the #GOPTaxScam, middle-class families who get a short-term tax cut will see it taken away when it expires in 2026. By 2027, families making less than $75,000 will be paying a total of $27 billion more in taxes to finance a permanent tax giveaway to corporations.",2017-11-30 18:54:17,82,80,936307410649612289
It's just one giant con.https://twitter.com/MichaelSLinden/status/936040098210172929 …,2017-11-30 16:44:57,157,162,936274865522462721
"On the record, President Trump’s pick to head the Federal Reserve admitted that the Republican tax plan—which will explode the national debt—would make a terrible situation on the debt even worse.pic.twitter.com/Vbd1CicEG6",2017-11-30 16:23:36,231,215,936269491331354624
"As expected, McConnell brought the #GOPTaxScam to the floor tonight to kick off debate—we expect a vote this week, but there is still time to fight back. Tune in to supply yourself with the facts: http://Facebook.com/ChrisVanHollen ",2017-11-30 02:32:39,153,66,936060376894066693
"Spoke to over 9,000 @AARPMD members today about how the #GOPTaxScam will add $1.5 trillion to the national debt—eventually paving the way for huge cuts to Medicare, Social Security, Medicaid, and critical education programs.http://thehill.com/policy/finance/362416-aarp-52-million-seniors-would-see-taxes-increased-by-gop-bill …",2017-11-29 23:58:47,76,70,936021655888986112
It’s insane that we were just forced to vote on a motion to begin consideration of a bill that at least half of the Senate and 100% of the American public have no idea what will be in it.https://twitter.com/seungminkim/status/936005880566501377 …,2017-11-29 23:36:27,1374,611,936016033688715267
"Notably, the last time Congress overhauled the tax system was in 1986—when Ronald Reagan was President. Back then, the process included bipartisan hearings with hundreds of witnesses and took over two years.",2017-11-29 22:56:49,1608,824,936006059264749569
It’s starting… Tell your friends to call their Senators. Motion to proceed is just the beginning of our battle to defeat this monstrosity.https://twitter.com/frankthorp/status/935997671415910402 …,2017-11-29 22:42:15,116,93,936002394848186374
This headline says it all. The #GOPTaxScam gives $520B to foreign investors at the expense of middle-class Americans.http://www.newsweek.com/gop-tax-plan-foreign-investors-middle-class-americans-726410 …,2017-11-29 22:20:24,113,130,935996894261710848
Gutting the foreign service will harm our national security at a time when our country needs active diplomacy to resolve conflicts peacefully.https://www.nytimes.com/2017/11/27/opinion/dismantling-foreign-service-budget.html …,2017-11-29 20:41:31,39,24,935972011498704896
Can’t put deodorant on a skunk and expect it to miraculously smell like daisies. Still stinks to the high heavens.https://www.washingtonpost.com/opinions/the-gop-tax-bill-just-keeps-looking-worse/2017/11/27/8b964a08-d3b5-11e7-b62d-d9345ced896d_story.html?utm_term=.8c783c43e95e …,2017-11-29 19:55:29,103,61,935960424541016076
"It was great to join @heathermizeur on her new show! If you want to hear our discussion about key issues, how I learned to play poker in Alaska, and why I ditched my motorcycle in my friend’s basement—listen to this #SoulForcePolitics podcast → http://bit.ly/2j4gc3Q https://twitter.com/MizMaryland/status/935896554115944449 …",2017-11-29 19:01:50,21,9,935946926536654849
"Moving to a territorial system actually incentivizes companies to ship more jobs overseas, @stevenmnuchin1. This only helps multinational corporations—affiliates of an American corporation overseas—who will no longer have to pay any domestic taxes on their foreign income.https://twitter.com/FoxNewsSunday/status/932258892796579842 …",2017-11-29 17:41:58,48,37,935926826307915776
"Senate Republicans may claim that their tax proposal is good for working Americans—but don’t be fooled. Starting in 2019, their plan will raise taxes on more than 13 million middle-class families with incomes below $200,000.",2017-11-29 17:03:28,107,50,935917136417042434
Day by day we are reminded that there is NO LIMIT to how low this President will go. And equally outrageous is Republican silence as Trump fundamentally undermines respect for America and the presidency—weakening our friends and emboldening our enemies around the world.https://twitter.com/mkraju/status/935840930053152768 …,2017-11-29 16:23:54,290,128,935907178631913473
"Good piece by @crampell about why Republicans are attempting to fast-track a tax plan. The more we learn about this, the worse it looks.https://www.washingtonpost.com/opinions/why-are-republicans-in-such-a-rush-to-pass-tax-reform-to-outrun-the-truth/2017/11/27/9bac94a0-d3bb-11e7-a986-d0a9770d9a3e_story.html …",2017-11-29 16:04:08,47,31,935902206343221248
"Like Collin, if you continue speaking out against the @AjitPaiFCC’s attempts to dismantle #NetNeutrality— we will have a shot at winning this fight. Tell your friends to call, write, and tweet to their senators.https://twitter.com/collivan97/status/935542188129357824 …",2017-11-28 22:37:40,127,80,935638852127084549
"I just voted NO on the Trump-Republican tax scam in the Senate Budget Committee, but it passed by one vote. As it comes before the full Senate for a vote, we must redouble our efforts to defeat it. Like the health care scam, it's likely to come down to one vote. Keep fighting!https://twitter.com/NBCPolitics/status/935597780634144769 …",2017-11-28 21:08:15,1140,547,935616352202756096
Kim Jong Un’s missile test shows we need to put much more economic pressure on North Korea. The Senate Banking Committee unanimously passed the bipartisan #BRINKAct three weeks ago. I urge the full Senate to pass it without delay.pic.twitter.com/xAR4pwO31j,2017-11-28 21:05:21,21,14,935615621508845569
"In the Budget Committee Hearing right now… protesters are speaking out against the Republican tax scam. We’re with you in this fight, millions are counting on us to defeat it—keep it up.https://twitter.com/brianschatz/status/935595583728967680 …",2017-11-28 19:55:40,412,170,935598082733027333
I sat down with @genebsperling to talk about the repeal of the estate tax in the House Republican tax plan. Take look:pic.twitter.com/V2XqZzUQlD,2017-11-27 23:27:18,157,109,935288956698144774
"Just met with Leandra English, fellow Marylander and the rightful Acting Director of the @CFPB. Spoke about my support for her to maintain her position until Trump nominates—and the Senate confirms—a permanent Director.pic.twitter.com/zGezIfgY33",2017-11-27 21:28:52,271,78,935259152192032768
"Donuts aren’t going to sugar coat the fact that Mulvaney called the CFPB a ""sick, sad joke."" He shouldn’t be the head of the CFPB right now, Leandra English should. I hope to meet with her later today.https://twitter.com/katierogers/status/935125394767917056 …",2017-11-27 16:50:28,523,247,935189090051424257
Very damaging for Trump to betray our most effective and loyal allies in the battle against ISIS—the Syrian Kurds. Caving in to Erdogan is a very cowardly act. Abandoning our friends will only encourage our enemies.https://www.wsj.com/articles/trump-plans-to-stop-arming-kurds-in-syria-1511566887 …,2017-11-27 00:57:08,177,100,934949173300006916
"Note to POTUS: @CFPB is very much alive (remember, they blew whistle on the Wells Fargo scam). That's why so many Wall Street banks want to kill it.  Looks like Trump’s again on the side of big banks. All that talk about the ""forgotten man"" has, well, been forgotten.https://twitter.com/realdonaldtrump/status/934539256940417024 …",2017-11-25 23:50:57,545,280,934570130692067328
"As we support #SmallBussinessSaturday, let's develop a tax plan that helps them, not a giveaway to big, multinational corporations that move jobs overseas. cc: @SenateGOP #ShopSmall",2017-11-25 20:59:17,115,39,934526930510143490
