Text,Date,Favorites,Retweets,Tweet ID
"Happy birthday, @SenatorBurr!",2017-11-30 14:55:10,10,4,936247236782157826
#ICYMI: My #WeeklyColumn on improving veterans' educational benefits. (via @Idaho_Politics). http://idahopoliticsweekly.com/politics/1836-guest-opinion-improving-veterans-educational-benefits …pic.twitter.com/HVDOlYfDz9,2017-11-29 15:10:58,8,4,935888825175470080
"Happy birthday, @SenBennetCO!",2017-11-28 15:40:18,3,5,935533818605391872
"Happy birthday, @SenCapito!",2017-11-26 15:20:07,7,3,934803965216247808
"Happy #SmallBizSat to Idaho’s over 150,000 small businesses. #ShopSmall today!pic.twitter.com/hQez2FQBbZ",2017-11-25 15:00:58,16,10,934436757344538625
Wishing all a very happy Thanksgiving!https://www.youtube.com/watch?v=gOnv_qEDdo0&feature=youtu.be …,2017-11-23 15:20:09,13,4,933716807541719041
"Happy birthday, @SenSchumer!",2017-11-23 14:35:11,19,5,933705491938766848
"Happy birthday to both of you, @SenJohnKennedy & @SenatorDurbin!",2017-11-21 15:10:15,12,4,932989543250264064
"Happy birthday, @JimInhofe & @SenToomey!",2017-11-17 15:20:14,2,4,931542503702106114
Passage of the #NDAA signals our commitment to our military men and women and their families.pic.twitter.com/rcs0FmOOfb,2017-11-17 14:11:46,6,4,931525274138705920
#TaxReformpic.twitter.com/OKecIhEbZh,2017-11-15 00:56:42,12,6,930600412985659393
"This package of commonsense, measured proposals will right-size regulation and foster economic growth in our local communities.  https://www.wsj.com/articles/senate-lawmakers-reach-tentative-deal-to-ease-post-crisis-bank-rules-1510593991 … #regrelief #economicgrowth",2017-11-14 17:04:54,13,14,930481680716107783
"Happy birthday, @SenDanSullivan!",2017-11-13 14:55:11,3,2,930086645768048640
"Happy birthday, @SenJackReed!",2017-11-12 16:20:13,5,4,929745657635713029
Happy Veterans Day and thank you for your service! #VeteransDaypic.twitter.com/yY8GIFkvRu,2017-11-11 15:00:54,20,4,929363309379366912
"Happy Birthday, @USMC! #USMC242pic.twitter.com/lOTsJr7JKP",2017-11-10 14:04:17,15,10,928986674125778944
"The Senate Finance Committee today released @SenateGOP's proposal toward Congress' shared goal of delivering meaningful, pro-growth #TaxReform.  I remain focused on working with my colleagues to develop a comprehensive measure that results in a fairer, simpler tax code.pic.twitter.com/lbFMaLoK1E",2017-11-09 21:55:47,4,4,928742943099375616
I look forward to hearing more from Jay Powell during his nomination hearing.pic.twitter.com/58x2p2aN8u,2017-11-09 20:53:25,2,7,928727246524862464
Wishing a happy birthday to my colleague @SenSherrodBrown!,2017-11-09 15:15:19,8,6,928642161570140161
22 individuals will receive this year's Spirit of Freedom: Idaho Veterans Service Award. https://www.crapo.senate.gov/media/newsreleases/crapo-honors-22-idaho-veterans-and-volunteers-with-spirit-of-freedom-award …pic.twitter.com/ORYnphVil7,2017-11-08 21:40:18,6,3,928376658415050758
#SafeguardSacredItemshttps://twitter.com/MartinHeinrich/status/928323351021543424 …,2017-11-08 21:14:16,2,1,928370107264495618
The Banking Committee today sent a clear signal that the U.S. is serious about increasing pressure on DPRK. https://www.washingtonpost.com/politics/federal_government/senate-committee-backs-new-sanctions-targeting-north-korea/2017/11/07/d34ad67e-c3d0-11e7-9922-4151f5ca6168_story.html?utm_term=.3a1ca74a821f …,2017-11-07 17:19:23,11,5,927948609261326341
My statement on the passing of former Idaho Representative Orval Hansen:pic.twitter.com/WkCSC1Xecw,2017-11-03 18:13:02,13,10,926512556960710656
#ICYMI: My #WeeklyColumn on Veterans leading the way in helping others (via @uvsj)https://www.rexburgstandardjournal.com/opinion/columns/veterans-leading-the-way-in-helping-others/article_3274611f-71f4-5e9f-9514-190fc080ed22.html …,2017-11-03 17:14:16,2,4,926497769015140352
"Happy birthday, @maziehirono!",2017-11-03 14:05:14,8,3,926450196921319424
.@POTUS has signed into law a bill that will nullify a controversial CFPB rule.pic.twitter.com/WfOhh835yk,2017-11-02 18:27:02,16,13,926153694713974784
"The @tfpl2 is hosting a month-long celebration of veterans, active duty military & their families. Event information in the image attached!pic.twitter.com/7r7E6NmWra",2017-11-01 15:46:05,6,4,925750800625930240
"Happy birthday, @SenatorHeitkamp!",2017-10-30 15:05:12,12,4,925015739052019712
#ICYMI: My #WeeklyColumn and the 4th in a series on #TaxReform (via @Idaho_Politics) http://idahopoliticsweekly.com/politics/1788-guest-opinion-considering-all-the-effects-of-tax-reform …pic.twitter.com/4sJWzXMxvZ,2017-10-30 14:58:29,8,6,925014049414369287
"Happy birthday, @SenJeffMerkley and @SenatorRounds!",2017-10-24 13:50:11,25,6,922822531928739842
#ICYMI: My column discusses 5 significant #TaxReform proposals to follow as we move forward (via @Idaho_Politics) http://idahopoliticsweekly.com/politics/1767-guest-column-building-on-years-of-work-on-tax-reform …,2017-10-20 20:33:35,5,6,921474497680740353
"Wishing happy birthdays to @SenKamalaHarris, @SenBrianSchatz, and @SenWhitehouse!",2017-10-20 14:20:10,8,3,921380527860568064
"This National Forest Products Week, we #CelebrateFP for forest contributions in our everyday lives.pic.twitter.com/TiQVzuYw8a",2017-10-19 19:40:42,4,2,921098804312576000
My prayers are with the family of former Idaho State Senator John Andreason.pic.twitter.com/KgcEAqSyd7,2017-10-18 00:27:47,9,4,920446273827868673
#MeTooEndsWithMepic.twitter.com/hoKF3BK0Rt,2017-10-17 16:15:17,63,27,920322331788050435
"Happy birthday, @MartinHeinrich!",2017-10-17 13:55:11,3,3,920287075005550592
#ICYMI: My #WeeklyColumn on actively protecting your identity. (via @twinfallstn) http://magicvalley.com/opinion/columnists/reader-comment-crapo-actively-protecting-your-identity/article_b6956143-a0c1-53bf-9943-ce82da738e63.html …pic.twitter.com/Wpjw7VJAbV,2017-10-14 16:00:36,3,6,919231473487695875
I'm a co-sponsor of a bill that would allow fire-prone communities to apply for @fema Hazard Mitigation grantshttp://www.ktvb.com/news/politics/western-senators-fight-to-change-how-fires-are-funded/482939273 …,2017-10-13 22:05:05,13,10,918960810470322176
"Today is #242NavyBday! Thank you for your service to our nation, @USNavy!pic.twitter.com/YRDEfvNgmY",2017-10-13 17:07:49,22,13,918886002655195136
"Wishing you a happy birthday, @SenatorCantwell!",2017-10-13 14:25:08,4,3,918845062804660224
#NationalFarmersDay in Idaho numberspic.twitter.com/NQOj4Peqnv,2017-10-12 17:30:00,8,6,918529197123035138
Happy #NationalFarmersDay!pic.twitter.com/CEqsQzfPcS,2017-10-12 16:40:31,18,7,918516744066682881
"Happy birthday, @PattyMurray!",2017-10-11 14:15:17,5,2,918117807648399360
"REMINDER: My Spring 2018 internship application closes next Monday, October 16! Visit my website to learn more. https://www.crapo.senate.gov/services/for-students/internships …https://twitter.com/MikeCrapo/status/910169479337869325 …",2017-10-10 18:49:21,2,2,917824388619173889
