Text,Date,Favorites,Retweets,Tweet ID
We have a once-in-a-generation opportunity to provide real tax relief for families & businesses. It’s time to deliver.pic.twitter.com/OivcpWcPtq,2017-11-30 19:45:42,14,8,936320349708398592
Congratulations Jacob Paule on your appointment to #USMMAhttp://bit.ly/2AkWjwF ,2017-11-30 18:58:47,9,3,936308545175289856
Missouri families & businesses need relief from our burdensome tax code.pic.twitter.com/3QsaAMNAxT,2017-11-30 17:23:21,20,7,936284528380964867
LIVE: #Smallbiz owners & workers share how #taxreform will help their businesses grow and competehttps://www.pscp.tv/w/bO7F0jUyODMzNnwxa3ZKcGtxb0x6TEdFW-a8aFyALT2vFVDFT31AlSKOYeaPIb9zr_2MZCHqx9Y= …,2017-11-30 15:13:27,84,49,936251837317091328
We need to get a #taxreform bill to the president’s desk so we can increase economic growth and help more families get aheadhttp://bit.ly/2zA4mVg ,2017-11-30 14:05:01,19,8,936234617694076928
"Families and #smallbiz need tax relief, and I appreciate President Trump’s push to make sure they get it http://bit.ly/2zA4mVg ",2017-11-29 22:54:31,26,11,936005480119525377
"We have an opportunity right now to create a better, brighter future for Missouri familiespic.twitter.com/es1wbb9nUt",2017-11-29 22:28:35,17,7,935998954378027009
"A favorite holiday tradition at the @USCapitol - joining @RedCross to send holiday cards to our service members, veterans & their families who are at home and overseas. #HolidayMailforHeroespic.twitter.com/PqIGidjYG9",2017-11-29 21:56:40,13,8,935990921358954497
"As President Trump made clear today, fixing our broken tax code is about 2 things: helping hardworking families keep more of what they earn & ensuring there are more opportunities & better-paying jobs for Americans  http://bit.ly/2zA4mVg ",2017-11-29 21:31:41,36,16,935984634365726721
Congratulations @JoplinChamber on 100 years of serving our community and helping good businesses grow,2017-11-29 20:49:05,7,2,935973915612073990
It was an honor to take part in the ceremonial strike of the 2018 World War I Centennial Silver Dollar. I hope this tribute will encourage future generations to recognize the sacrifices that were made in World War I and learn more about the “war to end all wars”pic.twitter.com/VblpyXvG1F,2017-11-29 18:14:32,12,6,935935022116364289
Americans should be able to retire with peace of mind.pic.twitter.com/U3VLxEoYzd,2017-11-29 00:00:02,22,7,935659579794366464
"I had the opportunity to strike the 2018 WWI Centennial silver dollar at the @USMint in Philadelphia today. Four million Americans served in World War I and more than 110,000 gave their lives. We must never forget the sacrifices they and their families made.pic.twitter.com/TLim6c1KdZ",2017-11-28 23:36:53,23,7,935653753394466817
Joplin unveiled their annual Christmas window displays last nighthttp://bit.ly/2Bx51Iq ,2017-11-28 22:37:16,14,4,935638754177449984
The @SenateGOP tax plan will provide fairer taxes & bigger paychecks to Missouri familiespic.twitter.com/uMBgi6aqkX,2017-11-28 20:39:01,27,11,935608994181328896
This is why my colleagues and I are working to provide much-needed tax relief to middle-income families pic.twitter.com/IvVO2QCaXd,2017-11-27 23:30:47,92,34,935289833416810498
"The @SenateGOP tax plan will increase take-home pay for hardworking Americans, create more jobs and make our country more competitivepic.twitter.com/10tpKKekXL",2017-11-27 22:09:37,17,7,935269406044819457
Congrats Maryville Spoofhounds - state football champs for the 5th time http://bit.ly/2BsoQQU  via @KQ2,2017-11-27 20:39:42,4,2,935246776512237568
Monday reading  How #TaxReform will lift the economy http://on.wsj.com/2Afd1gL  via @WSJ,2017-11-27 19:30:50,11,5,935229447380307972
"From my family to yours, Happy Thanksgiving! 
Please join me in thanking our men & women in uniform who are spending the holiday away from home to keep us safe.pic.twitter.com/ISMn8gZ4pg",2017-11-23 15:09:47,70,15,933714198617497601
From @ksdknews: Moms on a Mission to honor fallen veterans for the holidayshttp://on.ksdk.com/2iDPEWD ,2017-11-21 21:58:23,15,8,933092253161046026
A burdensome tax code shouldn’t gobble up Americans’ hard-earned money.pic.twitter.com/pI0B44r56F,2017-11-21 19:28:19,27,10,933054486595145730
Visited @BooneCenterInc Packaging to meet w/ employees. BCI employs 400 adults with disabilities & next year will open a vocational training facility for those with developmental disabilities.pic.twitter.com/iz8rzsM0HF,2017-11-21 17:02:30,16,5,933017791107649538
I met with Patriot Machine Inc. employees in St. Charles yesterday to discuss how @SenateGOP tax plan will help Missouri families & #smallbizpic.twitter.com/yyK5mtGaIF,2017-11-21 14:47:24,14,5,932983793027375109
"Nixa-born Olympian Courtney Freirchs gives back to her hometown, hosts track event for Nixa kidshttp://bit.ly/2A0gIXT ",2017-11-20 22:57:09,12,6,932744654294011904
The 75-foot tall U.S. Capitol Christmas tree is heading to #SGF tomorrowhttp://bit.ly/2jKwH8o ,2017-11-20 22:07:44,5,7,932732217310228480
