Text,Date,Favorites,Retweets,Tweet ID
"Alexander-Murray allows anyone to buy a lower-cost copper plan, which will help draw healthier people into the markets. Source: CBO  https://www.cbo.gov/system/files/115th-congress-2017-2018/costestimate/bipartisanhealthcarestabilizationactof2017_0.pdf …",2017-11-30 20:29:21,4,3,936331336503169025
Alexander-Murray provides states with permanent new flexibility from Obamacare regulations. All of those changes here:pic.twitter.com/gFzQ1cxsUv,2017-11-30 20:28:31,4,2,936331127719170048
Ending CSR payments will also increase the deficit by $194 BILLION over 10 years as taxpayers spend more on Obamacare subsidies. https://www.cbo.gov/system/files/115th-congress-2017-2018/reports/53009-costsharingreductions.pdf …https://twitter.com/SenAlexander/status/936330889348485122 …,2017-11-30 20:27:58,0,2,936330986572406785
"Ending CSR payments will increase premiums 25% by 2020, per CBO report in August. Alexander-Murray includes 2 years of CSR payments and should prevent those increases.",2017-11-30 20:27:34,4,2,936330889348485122
I’m eager to hear how these programs are run in your states and if there are things that can be done at the federal level to help improve coordination and data-sharing at the state level. #HELPFightsOpioids,2017-11-30 15:11:30,3,2,936251348621852672
"Because each state is facing different challenges in responding to the crisis, it is important that states have flexibility in how to use the money.",2017-11-30 15:10:33,3,2,936251106937704448
"We also want to know what is being done with the tools and resources provided in CARA and Cures, whether these laws are helping make progress, and, if not, why not.",2017-11-30 15:10:12,2,2,936251019159318529
What innovative approaches are states taking to address the distinct challenges they face?,2017-11-30 15:09:58,3,2,936250962259447809
"How are different state departments – medical, public health, and judicial systems – working together in a collaborative way to address this crisis?",2017-11-30 15:09:43,2,2,936250899252510720
"As we talk about this crisis from a state perspective, I hope to hear from our witnesses:",2017-11-30 15:09:33,8,2,936250858257477632
"We hope to hold additional hearings starting early next year as we build on our work from last Congress – including passing the 21st Century Cures Act, which appropriated $1 billion over two years for state grants, and CARA, which created new programs to address the crisis.",2017-11-30 15:09:03,4,0,936250731870539777
"Today we will hear from those on the front lines: our witnesses represent states, communities and providers and will share what they are doing and what, if any, changes are needed to federal law to fight the crisis. #HELPFightsOpioids",2017-11-30 15:08:39,3,3,936250630561325057
"Last month, this committee held the first in a series of hearings this Congress on the opioid crisis – a crisis that is tearing our communities apart, tearing families apart, & posing an enormous challenge to health care providers and law enforcement officials. #HELPFightsOpioids",2017-11-30 15:08:20,4,2,936250551943225344
"As Dr. Abubaker has said, “People from all walks of life…have had problems. It has nothing to do with where you live, or where you came from. You could be the president. You could be the son of a doctor.”",2017-11-30 15:07:55,4,3,936250445865119744
Adam developed an addiction and overdosed four years later on a mixture of drugs including heroin I am grateful Dr. Abubaker is here to tell his family’s heartbreaking story and share the work he has done to educate other doctors about prescribing opioids.,2017-11-30 15:07:38,2,4,936250374230564868
"The toll of the opioid crisis that is ravaging our country is staggering. One of our witnesses, Dr. Abubaker, has personally experienced the heartbreak that opioid addiction causes. His son, Adam, as a 17 year old, was prescribed 90 Vicodin pills for a minor shoulder injury.",2017-11-30 15:07:23,2,5,936250309323776003
Alex Azar’s broad experience is an obvious asset in leading HHS. https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=402151BB-0D06-4464-A5D0-81F4097D002C …pic.twitter.com/ttQBqE0Iqf,2017-11-29 20:42:35,4,2,935972280114573318
"The Alexander-Murray bill and the tax bill are completely separate and, according to budget rules, cannot be considered at the same time.",2017-11-29 20:06:56,15,8,935963306686377989
"The CBO said in August that not paying the cost-sharing reduction payments would cause a 25 percent increase in premiums by 2020. The Alexander-Murray bill pays cost-sharing reduction payments for two years, which should prevent that 25 percent increase.",2017-11-29 20:06:46,20,5,935963265254948866
".@AHIPCoverage -- ""Congratulations to Alex Azar on his nomination to serve as Secretary of Health & Human Services. He has the experience & expertise to combine the best from the private sector with the best of our public programs to make health care work for every American.""",2017-11-29 16:28:06,28,4,935908235143413760
"Chairing a hearing on Alex Azar, President Trump’s excellent nominee to head the Department of Health and Human Services.pic.twitter.com/uSV0U31VOq",2017-11-29 16:04:38,7,5,935902330897272832
".@Commpharmacy -- ""We congratulate Alex Azar on his nomination to be the next HHS Secretary. His background in the pharmaceutical industry means he brings an understanding of supply chain issues and players that will be helpful to him in this role.""",2017-11-29 15:56:13,5,6,935900213671288832
".@AAMCtoday -- ""The President has made a smart choice; Alex [Azar] is a tested leader in the hard-fought battles to advance health care within the Department and across the country."" https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=15EC3D0A-DC72-432A-89CF-EBFDC707137C …",2017-11-29 15:38:02,6,2,935895636393807872
".@FedAmerHospital -- ""We welcome and support the nomination of Alex Azar for HHS Secretary. His years of experience in government service and the health care sector makes him uniquely qualified to confront the challenges facing patients, families, and caregivers.""",2017-11-29 15:32:48,4,3,935894320472842240
".@ahahospitals on Alex Azar - ""We are confident that his extensive background in business, health care and medicine distinguishes him as a uniquely qualified candidate for the vacancy."" https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=15EC3D0A-DC72-432A-89CF-EBFDC707137C …",2017-11-29 15:23:10,3,3,935891894713880577
The opioid crisis that is ravaging the U.S. is a priority for the president & for every member of this committee. We are having a hearing on the state perspective of the opioid crisis tomorrow. You will be coordinating a dept.-wide effort to help combat the opioid abuse crisis.,2017-11-29 14:41:53,20,7,935881503921360896
"As HHS Secretary, there are other steps you can take to lower premiums and stabilize the market, such as approving states’ innovation waivers, which could increase access to lower cost plans and incentivize younger and healthier individuals to purchase insurance.",2017-11-29 14:41:32,7,2,935881417837330432
Alexander-Murray has so much in it that it appeals to so many Democrats and Independents that it is hard to imagine not passing something that prevents a 25 percent increase in premiums by 2020 and offers states flexibility to further lower rates.,2017-11-29 14:41:04,20,5,935881301042847747
"Yesterday, President Trump said he supported the Alexander-Murray agreement becoming law by the end of the year.",2017-11-29 14:40:54,15,4,935881259007578112
"Senator Murray and I worked together on an agreement, co-sponsored by 11 other Republicans and 11 other Democrats, which the Congressional Budget Office says will prevent a 25 percent price increase in premiums by 2020",2017-11-29 14:40:31,48,15,935881163821993985
I see your broad experience as one of your obvious assets. Experience in health care should not disqualify you from leading a health care agency.,2017-11-29 14:38:52,7,3,935880746736156674
"With all of these perspectives, you should need no on the job training to lead this Department and take advantage of this exciting time in biomedical research to speed safe drugs through the system to patients more rapidly.",2017-11-29 14:38:26,7,3,935880638061862914
"And you know the private sector. You spent a decade in a leadership position at one of the country’s major pharmaceutical companies, so you know the system of how drugs get from the manufacturer to patients.",2017-11-29 14:38:15,1,2,935880591807074304
"You know the executive branch, having been HHS General Counsel for four years and Deputy Secretary for two years.",2017-11-29 14:37:59,0,2,935880526149197824
You served in the judicial branch as a law clerk for Justice Antonin Scalia.,2017-11-29 14:37:44,0,2,935880461523537920
I believe you are an excellent nominee to do this job. You have been confirmed by the Senate twice.,2017-11-29 14:37:30,2,3,935880401826009088
"Mr. Azar, if confirmed to lead the Dept. of HHS, you will be running a $1.11 trillion organization, which almost equals the total of the 12 Appropriations bills that Congress passes each year to fund everything from national parks to national defense to national laboratories.",2017-11-29 14:36:11,13,8,935880071839125504
"Today’s hearing is on Alex Azar, the nominee to serve as the Secretary of Health and Human Services.",2017-11-29 14:36:01,9,4,935880030332350464
We want to make sure we do whatever we can to make sure it never happens again.,2017-11-29 01:58:29,11,3,935689391753891841
"The response was almost as incredible as the fire itself, and the overwhelming impression that I get from the community is how tough and resilient they are. A lot of heartbreak came out of the wildfires: deaths and destruction, but, today, everybody is focused on the future.",2017-11-29 01:58:10,15,7,935689310883508224
It’s been a year since the devastating wildfires swept across Gatlinburg and Sevier County – a heartbreaking story for all of us who know and love the Great Smoky Mountains and the people who live there.,2017-11-29 01:57:50,33,12,935689225621647361
"I was encouraged when the president told Republican senators today that he supports the Alexander-Murray bill & the Collins-Nelson reinsurance proposal—both of which will reduce health insurance premiums. With his support, both proposals should become law by the end of the year.",2017-11-28 22:31:43,84,25,935637354911592448
"As I’ve said time and again, I am committed to seeing ESSA implemented as it was written. I believe Secretary DeVos is doing just that—following the law in approval of state plans while encouraging states to use maximum flexibility afforded to them.",2017-11-28 21:51:00,11,16,935627107337752577
