Text,Date,Favorites,Retweets,Tweet ID
"Passing this GOP tax bill would be like sending another hurricane to Puerto Rico. We should be working to help Puerto Rico recover, not make things worse. I am urging my colleagues to vote against this disastrous bill.pic.twitter.com/02yEsymKBW",2017-11-30 01:52:49,564,253,936050351010205696
"This GOP tax bill is not what the American people want, it's what large corporations want. We should be working together to give hardworking middle-class families a tax cut, not a tax increase.pic.twitter.com/0z5JWXRBia",2017-11-29 22:18:09,408,197,935996329569980417
"Big win for Florida! US Air Force just announced that Tyndall Air Force Base in Panama City will be the home for their new squadron of unmanned aerial drones. The 1,400 airmen and their families that will soon be heading there will provide a tremendous boost to the local economy.",2017-11-28 23:02:47,527,134,935645174457356288
"This GOP bill is a huge tax cut for multinational corporations and does very little for the middle class. Hardworking families will see their taxes go up. Small businesses will pay almost double the rate of large corporations. We need to start working on a bipartisan bill, periodpic.twitter.com/JScN7u1o6s",2017-11-28 21:33:22,336,195,935622673018900480
We have tens of thousands of Puerto Rican evacuees in Florida right now who are struggling to find an affordable place to live. The need for more affordable housing to help those who have been dislocated couldn’t be more urgent and Congress must take action now to address it.pic.twitter.com/kK1dsfRxLL,2017-11-28 14:05:18,265,114,935509910820880384
"The FCC is planning to end the internet’s Net Neutrality rules that protect consumers’ right to a truly free and open internet. If you’re like me and think the internet should remain a level playing field for all, you need to make your voice heard now!pic.twitter.com/eeiM0wkfMX",2017-11-27 23:59:41,728,368,935297105438150656
14 emergency 911 centers in Florida went completely offline during Hurricane Irma. That’s unacceptable. Upgrading our nation’s 911 system is literally a matter of life and death and should be a national priority.http://jacksonville.com/news/public-safety/2017-11-23/sen-bill-nelson-seeks-upgrades-nation-s-911-systems …,2017-11-27 18:11:46,175,59,935209547098152961
Grace and I wish everyone a wonderful #Thanksgiving. And special thanks to all the brave men and women serving in our military - both here and overseas - who sacrifice so much to keep the rest of us safe. We are ALL thankful for your service!,2017-11-23 15:55:36,449,58,933725731552624640
FCC Chairman Pai just released his plan to end the rules that protect consumers’ right to a truly free and open internet. This reckless plan will fundamentally change the internet as we know it!,2017-11-21 19:08:31,484,290,933049504173092864
"There is no reason to send 60,000 Haitians back to a country that cannot provide for them. This decision today by DHS is unconscionable. And I am strongly urging the administration to reconsider. Ultimately, we need a permanent legislative solution.https://twitter.com/MiamiHerald/status/932761316112195585 …",2017-11-21 00:41:48,9299,7284,932770987644420098
