Text,Date,Favorites,Retweets,Tweet ID
"Quite simply, it states that if companies are giving executives a raise and giving more money to shareholders through dividends and stock buy backs because of this tax windfall – then workers who helped make those profits possible also need to see their wages go up.",2017-11-30 18:15:26,418,132,936297636243689472
Introducing an Amendment to the GOP tax bill to ensure any tax windfall to profitable corporations goes to worker wages. https://www.facebook.com/SenatorBobCasey/videos/1519772871409194/ …,2017-11-30 18:14:54,464,155,936297499580620801
"""By 2027, people making $40,000 to $50,000 would pay a combined $5.3 billion more in taxes, while the group earning $1 million or more would get a $5.8 billion cut, according to the Joint Committee on Taxation and the Congressional Budget Office.""https://twitter.com/PatcohenNYT/status/936261145052270592 …",2017-11-30 17:18:33,821,973,936283318995357696
"Make no mistake, the GOP tax bill is just a prelude to cutting Social Security, Medicare, and Medicaid. If you don't believe me, take it from them. https://twitter.com/dashching/status/936003647519055873 …",2017-11-30 00:49:16,4597,4232,936034359211151361
Senate Bill: Millions of Older Americans Could See Higher Tax Bills http://blog.aarp.org/2017/11/29/senate-bill-millions-of-older-americans-could-see-higher-tax-bills/ … via @aarp,2017-11-30 00:37:39,189,226,936031433906200576
"We’ve been warning for weeks that this corporate giveaway of a GOP tax bill was just the first step in going after Social Security and Medicare. If this bill passes, Republicans will suddenly be worried about the deficit AFTER they vote to add $1.5 trillion to it.https://twitter.com/GlennKesslerWP/status/935991772978864129 …",2017-11-30 00:10:04,1178,1114,936024495810334721
He said the same thing to me. It’s unconscionable what Senate Republicans are doing to this program. CHIP has bipartisan support; we could pass it today if @SenateMajLdr would call for a vote.https://twitter.com/KateGiammarise/status/935946063730659333 …,2017-11-29 20:11:29,646,324,935964454105251843
"Current Tax Reform Bills Could Encourage US Jobs, Factories and Profits to Shift Overseashttp://www.taxpolicycenter.org/taxvox/current-tax-reform-bills-could-encourage-us-jobs-factories-and-profits-shift-overseas …",2017-11-29 20:06:11,166,146,935963119372861440
Kansas Republicans disagree with that: https://www.theatlantic.com/politics/archive/2017/10/tax-trump-kansas/542532/ …https://twitter.com/RichardRubinDC/status/935949106018648065 …,2017-11-29 19:29:21,171,99,935953849042571266
Congressional Republicans have a maniacal obsession with decimating health care.https://www.vox.com/policy-and-politics/2017/11/29/16712430/senate-tax-bill-change-federal-health-care …,2017-11-29 18:49:09,561,452,935943732125413377
CEOs of major corporations aren’t playing along with the GOP’s tax scheme fabrications. They’re admitting up front that tax giveaways won’t raise wages for workers.https://www.bloomberg.com/news/articles/2017-11-29/trump-s-tax-promises-undercut-by-ceo-plans-to-reward-investors …,2017-11-29 16:26:11,382,305,935907752727150592
Joining moms and family advocates to discuss how the GOP tax bill would be disastrous for working families. Watch live: https://www.facebook.com/SenatorBobCasey/videos/1518474971538984/ …,2017-11-29 15:25:35,358,174,935892503529709568
Senate Republicans are selling snake-oil and economists aren't buying.https://nyti.ms/2kbd8WH ,2017-11-29 13:46:47,439,310,935867640454828033
La Colombe founder: What every CEO knows but won't tell you about the proposed tax bill http://www.philly.com/philly/opinion/commentary/gop-republican-tax-reform-bill-la-colombe-todd-carmichael-20171128.html … via @phillydotcom,2017-11-28 14:54:45,331,287,935522354838626305
"JCT Estimates: Amended Senate Tax Bill Skewed to Top, Hurts Many Low- and Middle-Income Americans https://www.cbpp.org/research/federal-tax/jct-estimates-amended-senate-tax-bill-skewed-to-top-hurts-many-low-and-middle …pic.twitter.com/l2DpTyB56C",2017-11-27 23:17:22,351,248,935286455131426816
"Because that's how the ""world's greatest deliberative body"" should operate. https://twitter.com/arappeport/status/935280166925893633 …",2017-11-27 23:08:08,884,355,935284132745302016
Congress created the @CFPB in the wake of the financial crisis to protect consumers from deceptive and unfair practices perpetrated by banks and financial institutions. How short is the memory of the GOP that they are already working to gut the @CFPB? #DefendCFPBpic.twitter.com/bJv7Qf8JRb,2017-11-27 20:22:02,285,169,935242330327736321
My thanks to everyone who came to my office this morning to express their opposition to this GOP disaster of a tax bill. I will continue the fight back in Washington but I can’t win it without you- make your voices heard.pic.twitter.com/HfOxdi2PnW,2017-11-27 17:46:55,5074,2214,935203294502408192
"According to the @USCBO, the GOP tax bill would add $1.4 trillion to the deficit and by 2027, ""most people earning less than $75,000/yr would be worse off.""http://wapo.st/2zGAlar ",2017-11-27 17:27:40,357,364,935198451830272000
"The GOP tax plan would make it harder for workers to get new skills, writes @loladefaduluhttps://www.theatlantic.com/business/archive/2017/11/gop-tax-education-credit/546638/?utm_source=twb …",2017-11-27 16:25:07,130,113,935182710611595264
