Text,Date,Favorites,Retweets,Tweet ID
.@CoryBooker will be on @allinwithchris tonight on @MSNBC talking about the latest Republican effort to repeal the ACA - tune in at 8pm ET!,2017-09-19 22:42:37,225,76,910272946727526401
.@CoryBooker & @SenGillibrand Manufacturing Pilot Program Included in Senate-Passed NDAA: http://bit.ly/2xNUU3i ,2017-09-19 22:42:31,49,17,910272924778663936
Call your senators everyday until #GrahamCassidy is defeated. The health care of millions is on the line. pic.twitter.com/OOPlASotGb,2017-09-18 18:08:19,320,234,909841528595582976
#GrahamCassidy/Trumpcare guts protections for pre-existing conditions & ends Medicaid as we know it.,2017-09-18 18:07:39,100,108,909841364191531009
"The #GrahamCassidy bill is a wolf in sheep's clothing. 

It's worse than #Trumpcare and could rip health care from MILLIONS.",2017-09-18 18:06:34,164,161,909841089787547648
CODE RED ALERT Trumpcare is back. #GrahamCassidyhttp://bit.ly/2xgAMVV ,2017-09-18 18:05:37,423,333,909840849361612805
"On this #ConstitutionDay, let us reflect on the founding documents that enshrine our core values as a nation:http://bit.ly/2yco3Sz ",2017-09-17 14:11:00,176,67,909419420002512896
"On Natl #POWMIA Recognition Day, our grateful nation honors the brave service members who made the ultimate sacrifice defending our freedom",2017-09-15 18:55:01,52,17,908766117950345216
It’s unconscionable the US is only major country that doesn’t guarantee health care to all people: http://bit.ly/2x7Kp9D  #MedicareForAll,2017-09-15 17:07:05,213,74,908738957864730624
Suicide prevention starts with knowing the warning signs. Save a life by supporting loved ones in need #NationalSuicidePreventionWeek,2017-09-15 14:55:09,215,58,908705755741741056
"RT: 
It's not a matter of IF. 
It's a matter of WHEN. 
#MedicareForAllpic.twitter.com/4CZvx0lXsl",2017-09-13 21:05:36,829,415,908074206461493248
"We can do better. America is a nation that fought & won important battles on justice, equality, access. We can win #MedicareForAll",2017-09-13 18:13:26,218,41,908030879863332864
Our nation is too great & noble to have an unjust health care system where access is granted solely on one’s economic status #MedicareForAll,2017-09-13 18:13:11,1806,503,908030817254944771
"#MedicareForAll is a crucial step in the march towards ensuring life, liberty and the pursuit of happiness for every American.",2017-09-13 18:12:45,345,82,908030705128615945
"Right now, too many Americans have to make the choice between life essentials like food – and health care.",2017-09-13 18:11:52,241,47,908030483342266369
"Right now, too many Americans can't go to a doctor or fill prescriptions because they can't afford it.",2017-09-13 18:11:36,251,49,908030415323136000
"Right now, too many Americans are one big illness away from financial ruin.",2017-09-13 18:11:15,356,71,908030328635367424
Critics question whether we can afford #MedicareForAll. The real question is how much longer can Americans afford not to?,2017-09-13 18:10:33,10210,3238,908030151732154369
We drink deeply from wells of freedom & equality we did not dig. Thank you Edith Windsor for showing our country #LoveisLove. Rest in power.pic.twitter.com/Tysc2jHKI4,2017-09-12 22:14:35,630,207,907729177138356225
Why I support Medicare for All: http://bit.ly/2f0c6Lh pic.twitter.com/BBOSJVxL0V,2017-09-11 23:04:44,613,154,907379410424254466
.@CoryBooker joins roundtable discussion with DREAMers from across NJ to discuss the impact of President Trump’s decision to end #DACApic.twitter.com/hxqGwz0VEF,2017-09-11 15:30:51,260,66,907265187186724864
"To the victims, to their families & to all who sacrificed to ensure America remains the land of the free: We will never forget. #September11pic.twitter.com/BLSfVC22cE",2017-09-11 15:23:25,338,84,907263314690002944
.@CoryBooker & @RepBarbaraLee Introduce Bicameral Bill to Remove Confederate Statues From Capitol: http://bit.ly/2wMgfqv ,2017-09-07 16:57:57,93,25,905837555765141505
.@CoryBooker & @ChrisCoons Statement on Annulment of Kenya’s Presidential Election: https://buff.ly/2eBtqSO ,2017-09-06 14:15:04,29,11,905434176069001217
"RT: The misinformation, half-truths & outright lies the Trump Administration is spreading about #Dreamers & #DACApic.twitter.com/NfGJvdIJ6E",2017-09-06 00:00:45,3186,2372,905219182601658368
.@CoryBooker Urges New Port Authority Leadership to Increase Airport Workers’ Wages: http://bit.ly/2f0BpJE ,2017-09-05 23:15:14,173,37,905207724715253761
.@CoryBooker Urges Trump to Reverse Decision Revoking Safeguards for Infrastructure Projects in Floodplains: http://bit.ly/2vIPhTt ,2017-09-05 22:37:00,147,38,905198105938808832
"Removing 800,000 #DREAMers from the workforce will reduce the US GDP by $460.3 billion over 10 years.pic.twitter.com/xAuo6jaThO",2017-09-05 18:03:22,1030,598,905129243058855937
To deport #Dreamers would be to crush the American Dream – and that would be the most devastating impact of all 7/7,2017-09-05 16:49:16,637,198,905110593589452804
Congress must act to circumvent this misguided decision by passing legislation that will protect #Dreamers who are now facing deportation 6/,2017-09-05 16:48:55,552,160,905110508201795584
Shutting the door of American opportunity and sending #Dreamers back to countries they barely know is un-American 5/,2017-09-05 16:48:16,700,169,905110341419503617
"In fact, without #Dreamers, our nation's GDP would see a $460 BILLION loss over 10 years 4/",2017-09-05 16:47:43,579,212,905110204039213056
Make no mistake: #Dreamers are productive members of society who contribute positively to our communities and boost our economy 3/,2017-09-05 16:47:14,563,180,905110082429562880
.@POTUS decided to tear apart hundreds of thousands of families & target hardworking young people who were brought to America by parents 2/,2017-09-05 16:46:31,544,182,905109903995490305
Today’s decision to end #DACA is a moral catastrophe that shakes the American Dream to its core 1/,2017-09-05 16:45:16,3842,1493,905109586235072512
"President @realDonaldTrump needs to stand by his words ""to show great heart"" for DREAMers. #DefendDACA https://buff.ly/2vDk7YM pic.twitter.com/D8Zh1Egdff",2017-08-29 13:04:30,407,178,902517316654698496
Endangered North Atlantic Right Whales dying at alarming rate. We cannot allow seismic or drilling in the #Atlantichttps://buff.ly/2giT7vC ,2017-08-28 23:05:06,228,142,902306074979655681
Today we celebrate anniversary of #MarchOnWashington when 250K people from all backgrounds stood up for #equality in our nation’s capitalpic.twitter.com/UUFxua0NZo,2017-08-28 21:10:02,687,238,902277115885883392
"Grateful for NJ's police, fire and emergency personnel who are joining the #HurricaneHarvey rescue effort in Texas: https://buff.ly/2wj7zYA ",2017-08-28 21:04:35,154,41,902275745690423296
.@CoryBooker Commends New Bureau of Prisons Policy Requiring Free Feminine Health Care Products for Women: https://buff.ly/2x4jJU2 ,2017-08-20 17:38:35,401,73,899324798110769152
Praying for the victims and their families in the devastating #Barcelona terrorist attack today. Todos nuestros corazones están contigo.,2017-08-17 20:20:47,404,93,898278452893282309
Dreamers are American in every way except immigration status. That shouldn't stop them from living the American Dream. @POTUS: #DefendDACA.,2017-08-15 17:34:11,292,71,897511750983176193
"For 82 years, Social Security has helped provide our seniors with peace of mind in retirement—we must continue to protect it #SocSec82",2017-08-14 21:35:27,1302,372,897210079996411904
We are the United States of America. Hate & bigotry is not welcome. May we meet this darkness with light; hate with love #Charlottesvillepic.twitter.com/p6sYJw8Gcq,2017-08-12 18:29:12,1885,899,896438433077489664
.@CoryBooker Stands in Strong Support of Trans-Hudson Tunnel Project: https://buff.ly/2hP0Kuf ,2017-08-10 20:26:39,47,10,895743215302782976
.@CoryBooker & @ChrisCoons Statement on Kenya Election: https://buff.ly/2vFEtED ,2017-08-09 20:40:11,61,18,895384232486481921
.@CoryBooker @SenatorCarper Lead @EPWDems in Urging @EPA to “Immediately Implement” Chemical Facility Safety Rule: https://buff.ly/2hGSqwu ,2017-08-09 18:49:12,48,20,895356306248400896
