Text,Date,Favorites,Retweets,Tweet ID
"I spoke w/@RebeccaPalsha @ch2ktuu on a number of important issues currently before Congress & the nation, including efforts to hold North Korea accountable, the passage of the NDAA & tax reform.http://bit.ly/2zY1pAO ",2017-11-21 23:48:47,6,4,933120034834182145
"I was honored to attend the @SpecialOlymAK Bowling Tournament this weekend w/ my wife Julie & our daughters. It's always amazing to spend time w/ our friends at @SpecialOlymAK There is no better example of pure heart, enjoyment of sport & comradery. Thanks 4 having us & congrats!pic.twitter.com/DRbpOJyisG",2017-11-21 03:25:10,10,5,932812100241682432
"Huge congrats to my former D.C. Intern, Samantha Mack for being named a 2018 Rhodes Scholar. Originally from King Cove, Samantha has not only excelled in her academic career at UAA, but she is now their 1st student to receive this prestigious scholarship. Best of luck at Oxford!https://twitter.com/uaanchorage/status/932748148853919745 …",2017-11-21 02:52:46,70,17,932803948943114240
"Not only did I turn another year older this month, so did the United States Marine Corps, celebrating its 242nd birthday. The famous USMC Mascot, Corporal Chesty XVI stopped by the Senate yesterday to celebrate! Semper Fi!pic.twitter.com/fxIcwmrtpX",2017-11-16 20:24:58,60,12,931256802515341312
Congratulations! Sawyer Marie is lucky to have such great grandparents.https://twitter.com/senthomtillis/status/930871302398857222 …,2017-11-16 00:17:59,13,3,930953055192875008
Great news for AK and the country & thanks @lisamurkowski for your leadership.https://twitter.com/NatResources/status/930845645115621377 …,2017-11-15 17:20:44,35,21,930848050591010816
"Matthew Rexford from Kaktovik only village in ANWR says 2 continue 2 lock up resources in area is like saying “it’s okay for everyone else in this country to have a THRIVING economy, but you can’t have one at all.” I agree w/@lisamurkowski. His voice needs to be heard #1002 #ANWR",2017-11-15 16:29:27,46,25,930835147120889856
Thanks for stopping by @SteveDaines!https://twitter.com/SteveDaines/status/930177155258044416 …,2017-11-13 21:21:27,17,2,930183854845038596
I was honored to meet w/ fellow Marine & former Sec of State James Baker to discuss major foreign policy challenges facing the world todaypic.twitter.com/1FggSJM5XH,2017-11-08 02:51:12,21,4,928092512316772352
Had your morning cup of kuukpiaq to go w/ tasty muqpaurat? Kudos to ACC in AK for preserving indigenous languages!http://bit.ly/2ziqvdR ,2017-11-07 19:35:43,16,4,927982918244413441
"Powerful testimony from Matthew Rexford of Kaktovik, only village in #ANWR re opening #1002 4 jobs & hope 4 Kaktovik https://www.energy.senate.gov/public/index.cfm/files/serve?File_id=D8B75829-3CCF-46F7-9241-C2A089109A49 …",2017-11-02 18:01:08,26,10,926147176262242304
"Great point by @Sen_JoeManchin: Point Thomson, 2 miles from #1002Area is in same ecosystem & is being developed responsibly. #ANWR",2017-11-02 16:13:10,9,4,926120005112160256
Opening #1002Area of #ANWR with most stringent enviro standards & most advanced technology in the world will produce more American energy!,2017-11-02 15:40:26,3,4,926111769516441600
@SenJohnMccain & I met w/senior Russian dissident & asked: How can we counter Putin? Answer: Produce more American energy! #ANWR,2017-11-02 15:39:30,4,5,926111533968625664
"Energy is used as a tool for good, productive diplomacy & for troublesome power-grabs by our nation’s foes like Russia. #1002area #ANWR",2017-11-02 15:38:48,2,3,926111357333852160
Producing more energy in US will dramatically increase our country’s national security. #1002area #ANWR,2017-11-02 15:38:18,3,4,926111231349526528
"When development in AK is killed capital goes to Nigeria, Venezuela, Iran & Russia—places with very few enviro standards #1002Area #ANWR",2017-11-02 15:38:02,5,3,926111162827268097
In AK we have the highest environmental standards and most advanced technology. #1002Area #ANWR,2017-11-02 15:37:31,15,18,926111034049486848
Going on Rick Rydell now to talk about the #ANWR hearing. Tune in here:https://650keni.iheart.com/featured/rick-rydell/ …,2017-11-02 14:37:43,2,4,926095984408621066
"Per @AkGovBillWalker: As other states develop resources ON the ground, AK must be allowed to develop our resources IN the ground. #1002Area",2017-11-02 14:34:26,14,8,926095158965358592
"Nobody in Congress cares more about Alaska environment than @repdonyoung, @lisamurkowski and me. #1002Area #ANWR",2017-11-02 14:26:58,42,11,926093280319766530
"If you're having problems following the link for #ANWR hearing, click here: https://www.energy.senate.gov/public/index.cfm/hearings-and-business-meetings?ID=97CD66D2-BD9D-49AD-87EB-DE4C68A888DF …",2017-11-02 13:39:43,2,3,926081387840536576
Opening up #1002Area of #ANWR hearing in @EnergyGOP starting at 9:30 ET. Many great Alaskans testifying. Tune in! https://www.energy.senate.gov/public/index.cfm/live-webcast …,2017-11-02 13:21:50,7,14,926076888321347589
Watch great Alaskans testify re: AKs whaling culture & necessity to keep tradition alive 4 culture & food 4 families http://bit.ly/2hqPv8z ,2017-10-31 19:10:28,9,6,925439850567884801
"AK lost a brave warrior on 10/27. Our hearts go out to the loved ones of Chief Warrant Officer Jacob M. Sims, who was killed in Afghanistan.",2017-10-31 00:39:51,41,15,925160352542810113
"Next month former Fairbanks Goldpanner pitcher & current #WorldSeries2017 coach, Bret Strom will be coaching in AK!http://bit.ly/2yPTK7s ",2017-10-28 01:11:01,8,3,924081033166798848
S/O to Alaskan @JamesGilchrest1 for his service and support for veterans and military families through his @NewmansOwnFdn fellowship. https://twitter.com/jamesgilchrest1/status/923599128554299392 …,2017-10-27 00:55:38,3,4,923714774856339457
Thank you @POTUS for declaring the opioid crisis a public health disaster & @AkGovBillWalker for joining me in DC for this significant eventpic.twitter.com/oKbrvLGhyV,2017-10-26 21:45:41,17,7,923666973288030208
This is an #Alaskaproblem if I've ever seen one. You'll be glad to know the 450 lbs seal was successfully returned to safety.https://twitter.com/adndotcom/status/923020373012000769 …,2017-10-25 17:20:12,22,9,923237773280202753
My statement on @POTUS decision to not certify the #IranDealpic.twitter.com/3zcvuak1xE,2017-10-13 19:41:08,24,14,918924585986347010
"It's a beautiful tradition to witness, and there is no healthier or better tasting food in the world!",2017-09-30 22:16:41,10,5,914252688765931520
"One woman who knows salmon is my wife, Julie. For generations, her family has fished the Yukon & passed down knowledge of preparing salmon.pic.twitter.com/HfbF2W3MdL",2017-09-30 22:16:09,20,6,914252555462553601
"Senator @lisamurkowski & I passed a Senate resolution recognizing September as ""#Alaska Wild Salmon Month.""",2017-09-30 22:15:14,45,12,914252321214926849
"I had the honor of recognizing an extraordinary woman, Rozann Kimpton of Wasilla, as our Alaskan of the Week.pic.twitter.com/azzWN0Vzfq",2017-09-29 22:31:05,14,4,913893924648955906
This was a big week for the @USMC. #Marinespic.twitter.com/sKiL9uXjcE,2017-09-29 17:36:08,8,4,913819698143350784
"I've joined bipartisan effort to simplify the National Suicide Prevention Hotline, vital resource for those in need. #SuicidePreventionMonthpic.twitter.com/0cCJDbu4jO",2017-09-28 22:45:20,24,4,913535122535845888
Weigh in on your favorite pics of the Great One and Alaska’s world-renowned Denali Park!https://twitter.com/DenaliNPS/status/913198982112829440 …,2017-09-28 18:11:32,12,1,913466220283858949
"Glad to have Rep @SteveScalise, a patriot and strong public servant, back in Congress.https://twitter.com/SteveScalise/status/913405166178783232 …",2017-09-28 17:29:15,15,3,913455576897740800
"Glad to see @uafairbanks, @SitkaTribe & @sardfa among recipients of $742,941 @NOAA award to preserve Southeast #Alaska geoduck clam fishery.",2017-09-28 16:07:42,2,3,913435053757227009
"HABs, produced when certain colonies of algae grow out of control, pose real threat to marine life, including shellfish & marine mammals.",2017-09-28 15:56:37,0,2,913432266717777920
Senate passed legislation I've worked on w/ @SenBillNelson to reauthorize Harmful Algal Bloom & Hypoxia Research and Control Act thru 2022.https://twitter.com/AGI_Policy/status/913299785699987456 …,2017-09-28 15:54:22,14,9,913431699173920769
My statement on the Graham-Cassidy Senate healthcare reform proposal.pic.twitter.com/g1skp0MlG0,2017-09-26 22:56:07,11,7,912813058875158528
"Congrats to the 1st female Marine to graduate from Infantry Officer Course, an outstanding accomplishment that will inspire women worldwide!https://twitter.com/USMC/status/912270464671559680 …",2017-09-26 18:25:48,26,7,912745032343592962
Flashback to some great fishing on the Yukon over Labor Day weekend. #flashbackfridaypic.twitter.com/WEJv8WbTdS,2017-09-22 19:39:17,36,7,911313974406283266
#ShanahTovah to Alaska’s Frozen Chosen celebrating #RoshHashanah this week!pic.twitter.com/70wLsBzFbR,2017-09-21 22:12:27,13,8,910990131611553792
Kudos to @USArmy #Alaska 1LT Charles Bierwirth who snapped stellar shot of Strykers training under Northern Lights near Ft. Greely.pic.twitter.com/ypRMWrkCzi,2017-09-20 21:05:18,33,12,910610846866395136
I spoke with @TeamCavuto about the #GrahamCassidy proposal to send federal healthcare dollars back to the states.pic.twitter.com/JORdvFKbRl,2017-09-20 19:21:23,14,8,910584692763656192
