Text,Date,Favorites,Retweets,Tweet ID
I'm relieved to see the @EPA walk back their earlier efforts to undermine the #RFS—which supports thousands of jobs in IL & helps reduce dependency on foreign oil—but this is a missed opportunity to further strengthen #RFS & promote biofuelshttp://bit.ly/2kd5uLz ,2017-11-30 21:46:45,36,13,936350817011027968
11 @illianachs students with the @CloseUp_DC program are in DC this week to get firsthand experience on Capitol Hill & learn more about the legislative processpic.twitter.com/Q2ROo1cdmc,2017-11-30 19:45:57,32,13,936320413495373826
".@USACEHQ Chicago District Commander Col Reisinger & I met yesterday to talk about critical issues facing Illinoisans, incl protecting against flooding & invasive species like Asian Carppic.twitter.com/oTJ73jcTC5",2017-11-30 17:05:34,61,12,936280052416876544
"I’ve long said we need to pass tax reform, but we need to do it a way that’s focused on helping Illinois’s small businesses and middle-class families. This bill is not the answer http://bit.ly/2AkqHr1 pic.twitter.com/COLferyui8",2017-11-30 02:52:44,447,124,936065430506147840
"America and its people have long been a beacon of liberty and equality. How can we remain so when hateful, biased and ignorant speech is promoted by the President?",2017-11-30 00:20:08,435,102,936027029094457344
"Spewing lies and hate speech is beneath the dignity of the presidency & downright dangerous, as is giving extremists like Jayda Fransen (who has been found guilty of hate crimes) a platform & legitimizing their disturbing views—no matter what country they’re from",2017-11-30 00:19:37,507,129,936026898110533634
"Words matter—full stop. And when you serve as Commander-in-Chief of the greatest nation on the face of the earth, your words matter that much morehttps://twitter.com/CNN/status/935914245463642112 …",2017-11-30 00:17:43,975,276,936026419041394688
"But will it play in Peoria? When it comes to the GOP tax “plan,” turns out the answer is no. From the @PJstar: the GOP tax plan is a “morally questionable burden slapped on our grandkids”http://bit.ly/2Ag1M9W ",2017-11-29 23:35:20,127,66,936015754436251648
Open enrollment ends December 15th. Learn how to sign up for health insurance & #GetCovered today → http://bit.ly/2zzkKFD pic.twitter.com/DxZUJ3DYLc,2017-11-28 23:25:59,123,133,935651012949487616
Americans saving for retirement shouldn’t have to wonder if their financial advisers are misleading them or taking advantage of them. Read my @nytimes op-ed on why the fiduciary rule is a key consumer protection →http://nyti.ms/2qSLRYu ,2017-11-28 20:28:44,164,64,935606407205937157
Should financial advisers be required to pledge in writing to always work in their customer’s best interest & protect retirement savings?,2017-11-28 20:28:06,87,62,935606246970978304
"The fiduciary rule is common sense, so why is @USDOL bowing to special interests & delaying implementation?http://politi.co/2k7YcIS ",2017-11-28 20:10:35,49,35,935601836656091136
"Each day that passes without Congressional action on the #DreamAct puts hundreds of thousands of #Dreamers, including 900 servicemembers & recruits, at risk of deportation. We must act now to #ProtectDreamers who call America home",2017-11-28 17:51:10,577,241,935566752649531392
The @CFPB and its mission are as vital as ever to protecting consumers across the country—we must do all we can to ensure @CFPB is able to continue serving the American people #DefendCFPB,2017-11-27 21:38:55,252,94,935261681701318656
Today is #SmallBusinessSaturday—a time to #ShopSmall & show support for the small businesses in Illinois and across the country that help power our economypic.twitter.com/gA5HxoIAbL,2017-11-25 21:11:59,98,29,934530125798002689
Wishing everyone celebrating today a very happy #Thanksgiving!pic.twitter.com/KI8zSrVtbJ,2017-11-23 19:21:35,298,48,933777566791602176
"In January, I sent a letter to the @DHSOIG calling for an investigation into President Trump’s #MuslimBan → http://bit.ly/2zWIiHw ",2017-11-22 02:53:14,101,47,933166454974877697
This is unacceptable – the rule of law and our Constitutional protections mean little if law enforcement is empowered by the President to disregard them,2017-11-22 02:52:03,210,79,933166153945485312
"Not only did @DHSgov @CustomsBorder violate 2 federal court orders during the chaotic rollout of the ban, but the Trump Admin now appears to be attempting to hide that info from Congress & the American people",2017-11-22 02:51:37,110,54,933166048341139456
.@DHSOIG accuses @DHSgov of slow-walking the release of a report about President Trump’s disastrous rollout of the discriminatory #MuslimBan →http://politi.co/2iBTwYk ,2017-11-22 02:49:44,239,131,933165573156065280
"#NetNeutrality makes sure all internet users have a level playing field online & no content can be favored, slowed or blocked. We can’t let @FCC take away this key protection that ensures the internet is free & open, not pay-to-playpic.twitter.com/LDOMWK5l8D",2017-11-22 00:00:05,1294,948,933122880522543104
"This makes sense because, in addition to hurting our national security, the ban is illegalhttps://twitter.com/ReutersPolitics/status/933056646078783488 …",2017-11-21 22:07:33,591,155,933094560196018178
Happy to meet with @IllinoisStateU students this week to discuss the importance of civic engagement & Senate prioritiespic.twitter.com/aJQASrKpds,2017-11-17 23:46:49,170,49,931669989668638720
"Not only does this bill eventually raise taxes for some lower & middle-income Americans, but it also makes cuts to Medicare. There are ways to find savings in Medicare, but slashing services for people who need them isn't one of them",2017-11-17 22:21:05,288,143,931648413564854272
"House GOP passed a tax reform bill yesterday that benefits the wealthy & large corporations at the expense of the middle-class, & the tax cuts included in the bill for middle-class Americans are written in disappearing inkhttps://twitter.com/nytimes/status/931232325135949824 …",2017-11-17 22:18:29,355,217,931647760075501568
"Enjoyed meeting AAPI #DACA recipients from Illinois yesterday. I will keep working in the Senate to fight for them & the other nearly 800,000 #Dreamers across the countrypic.twitter.com/UkoUF4FzFx",2017-11-17 20:16:30,157,34,931617058869121024
Homeowners & business owners affected by the severe flooding in Lake County this past July may be eligible for loan assistance from the @SBAgov. Learn more here → http://bit.ly/2AVEdRI ,2017-11-17 17:08:22,28,26,931569715763400705
"Brett Talley has never tried a case in his life, but he’s been nominated to a lifetime federal judgeship in AL. Coincidentally, his wife works in the Trump Administrationhttp://wapo.st/2jrpKIS ",2017-11-16 23:31:20,582,423,931303705894305792
"ICYMI: last week, I joined @SenFeinstein & colleagues in intro’ing a bill that would ban the ban the sale, transfer, manufacture and importation of military-style assault weapons → http://bit.ly/2yR1yTr ",2017-11-16 23:18:35,268,89,931300494055755776
"Senator Franken's actions are simply unacceptable and should be reviewed by the Ethics Committee. Women across America should be able to feel safe in their workplace, and they deserve our support when coming forward with allegations of misconduct",2017-11-16 19:30:02,1788,330,931242980593356800
"Top national security experts agree: Congress should pass the #DreamAct by the end of the year – thousands of #Dreamers, including almost 900 servicemembers & recruits, could face deportation if we don’t act soonhttp://read.bi/2mtOOQT ",2017-11-15 23:58:12,223,102,930948076717723649
Have you been the victim of an abusive financial product or service? File your complaint with @CFPB here →http://consumerfinance.gov/complaint/ ,2017-11-15 21:10:23,43,31,930905844765659136
Thank you Richard Cordray for your leadership at @CFPB — millions of consumers recovered billions lost to predatory financial practices & you proved government can work when it fights for hardworking Americans against Wall Street abuse,2017-11-15 21:08:05,218,89,930905265343549440
My NO LEAD Act with @RepDanKildee will help ensure drinking water across our nation is clean and safe from lead and copper exposure → http://bit.ly/2jr9kQT ,2017-11-15 20:40:12,447,152,930898250407792646
"The threat of contaminated water is a national public health crisis in cities across the nation, including Chicago, Carbondale, Galesburg and East St. Louis, IL—and we have to do more to stop it",2017-11-15 20:34:50,230,99,930896900290736130
"Troubling new research from Flint, Michigan, finds that lead exposure leads to higher risk of miscarriages, in addition to other long-lasting effects →http://theatln.tc/2zpzR7p ",2017-11-15 20:34:09,204,140,930896727300890626
We need to do everything in our power to support our troops when they return home from service – not use them as political pawns →http://bit.ly/2mrR5Mj ,2017-11-15 19:45:09,331,113,930884394700681216
"When he's right, he's righthttps://twitter.com/RandPaul/status/930217511588716544 …",2017-11-15 16:14:10,1195,247,930831299492839425
