Text,Date,Favorites,Retweets,Tweet ID
LATEST: The Joint Committee on Taxation says there’s NO CHANCE the Republican tax bill could generate enough revenue to cover the $1.4 TRILLION it will add to the deficit. Republicans claimed their tax cuts would pay for themselves through economic growth. That’s NOT TRUE.,2017-11-30 21:29:44,2815,2178,936346531120205824
To all of the graduate students in California and across the country: I stand with you! You shouldn't be punished for pursuing higher education.http://dailynexus.com/2017-11-30/ucsb-students-worry-about-potential-financial-struggles-as-gop-tax-bill-heads-to-senate/ …,2017-11-30 20:49:48,802,330,936336485015572480
"UPDATE: Democrats just offered an amendment to ensure corporations use their tax savings to raise employee wages at the same rate they increase executive pay, stock buybacks and dividends to shareholders. Every single Republican voting, voted NO. #GOPTaxPlan",2017-11-30 20:07:04,13776,13973,936325726948741120
"I’ll be voting AGAINST the #GOPTaxPlan and I urge my colleagues, for the good of hardworking Americans across the country, to vote against it too. This isn’t tax reform, this is a bill that overwhelmingly benefits the rich.",2017-11-30 19:24:54,3653,1406,936315116525621248
"From education to health care to the pocketbook, the #GOPTaxPlan would affect all Americans—and not for the better. We must stop this bill.https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …",2017-11-30 18:43:12,510,361,936304622905511940
UPDATE: We may vote on the Republican tax bill TONIGHT. We don't have the final bill. We don't have analysis from the Joint Committee on Taxation as to whether or not the bill would boost the economy. We don't have a Treasury Department analysis. This is OUTRAGEOUS!,2017-11-30 18:01:21,38843,26774,936294091863855105
New @AARP analysis: This #GOPTaxPlan is bad news for older Americans from coast to coast.http://blog.aarp.org/2017/11/29/senate-bill-millions-of-older-americans-could-see-higher-tax-bills/ …,2017-11-30 17:30:31,392,418,936286331222806528
The awful #GOPTaxPlan will hurt commuter benefits and transportation projects. As if your daily commute wasn’t bad enough already.http://beta.latimes.com/nation/la-me-ln-transportation-tax-bill-20171129-story.html …,2017-11-30 16:35:56,351,232,936272595934117888
The #GOPTaxPlan is getting closer and closer to a vote in the Senate. Keep the calls to your representatives coming! This bill is bad for working Americans and a windfall for the rich. Let’s work together to defeat it!,2017-11-30 16:08:23,1192,755,936265661134901248
Los Angeles City Controller Ron Galperin details just how bad the #GOPTaxPlan is for LA. Great read:http://beta.latimes.com/opinion/op-ed/la-oe-galperin-gop-tax-plan-20171129-story.html#nt=oft12aH-2gp2 …,2017-11-30 01:45:00,419,276,936048385437642752
"California has tight restrictions carrying concealed weapons. Under a bill being debated in the House, someone with a concealed-carry permit from Nevada could carry a concealed weapon in California, no questions asked. #StopCCR",2017-11-30 00:26:00,634,472,936028504801665024
ALERT: The House Judiciary Committee today passed a dangerous proposal that would effectively allow states with the weakest gun laws to supersede states like California with the strongest gun laws. #StopCCR,2017-11-30 00:25:00,1561,1449,936028251360817153
The nonpartisan Tax Policy Center found the #GOPTaxPlan INCREASES taxes on 13 million middle-class households by 2019.http://www.taxpolicycenter.org/publications/distributional-analysis-tax-cuts-and-jobs-act-passed-senate-finance-committee …,2017-11-30 00:04:00,288,299,936022967636520961
"A 60-year-old in Fresno who makes $50,000 per year currently pays $727 per month.

Under our bill, that person would SAVE $323 per month.

Under the Republican plan, that person would pay $72 MORE per month.",2017-11-29 23:07:59,205,138,936008870903844864
"A 60-year-old in Los Angeles who makes $50,000 per year currently pays $548 per month.

Under our bill, that person would SAVE $542 per month.

Under the Republican plan, that person would pay $54 MORE per month.",2017-11-29 23:07:31,303,210,936008751257149445
"A 60-year-old in San Diego who makes $50,000 per year currently pays $652 per month.

Under our bill, that person would SAVE $248 per month.

Under the Republican plan, that person would pay $65 MORE per month.",2017-11-29 23:06:58,89,82,936008616087379968
"A 60-year-old in Sacramento who makes $50,000 per year currently pays $905 per month.

Under our bill, that person would SAVE $501 per month.

Under the Republican plan, that person would pay $90 MORE per month.",2017-11-29 23:06:27,85,63,936008484633669632
"A 60-year-old in San Francisco who makes $50,000 per year currently pays $946 per month. 

Under our bill, that person would SAVE $542 per month.

Under the Republican plan, that person would pay $94 MORE per month.",2017-11-29 23:05:32,115,89,936008254970302464
"Democrats want to make health insurance more affordable for middle-class families. In contrast, the current #GOPTaxPlan would make insurance more expensive by sabotaging the individual market. Follow for examples of how middle-class families would be hurt.",2017-11-29 23:04:34,601,369,936008008345247746
I agree with General James Clapper: The president’s tweets could incite anti-Muslim violence. You’re producing more division instead of uniting the country and you’re making a mockery of the presidency.,2017-11-29 22:18:39,11883,4343,935996453616541697
"New analysis forecasts increasingly devastating wildfires. If things don’t change, California could see the worst of the dire effects detailed in this report. We must take action—for the good of future generations. #ActOnClimatehttps://twitter.com/usgcrp/status/935503546090266625 …",2017-11-29 21:58:46,134,80,935991449908154368
"112,000 foster children in this country are waiting to join loving families. Let’s work together to ensure they are able to live fulfilling and productive lives in forever homes. November is #NationalAdoptionMonth.https://www.feinstein.senate.gov/public/index.cfm/press-releases?id=EB0EEC33-8DB9-4DC5-A7CF-22297929F618 …",2017-11-29 19:59:57,303,140,935961549033885696
"The courts are the last line of defense against President Trump’s policies. That’s why Republicans eliminated the #blueslip, to make it easier to confirm his right-wing nominees. #CourtsMatter",2017-11-29 18:21:52,1379,848,935936865802350592
"I joined district attorneys from around the country at a press conference to talk about reducing gun violence. I want to send a special thank you to @CityAttorneyLA Mike Feuer, @ManhattanDA Cy Vance and Clark County DA Steve Wolfson.pic.twitter.com/5w3XAQDHGZ",2017-11-29 17:28:13,201,58,935923363956035584
FACT: 5 of the 9 Trump nominees confirmed to date have required a #blueslip from Democratic senators. All have received them. There has been NO obstruction to justify eliminating a 100-year-old Senate tool.,2017-11-29 16:11:30,364,209,935904059567067136
"FACT: During the Obama administration, 18 judicial nominees were blocked because they did not receive a #blueslip from both home-state senators.",2017-11-29 16:10:01,385,238,935903684743049217
"FACT: During the administrations of Presidents Obama, Bush and Clinton, not ONE judge was confirmed without two blue slips.",2017-11-29 16:08:48,315,197,935903377493516289
FACT: The last time a judge was confirmed without two #blueslips was 1989.,2017-11-29 16:07:48,181,112,935903126120534017
FACT: Fewer than FIVE judges have been confirmed without two #blueslips in 100 years.,2017-11-29 16:06:15,205,153,935902737774071808
"FACT: During the Obama administration, Democrats NEVER violated the #blueslip policy, even though Republicans used it to block many nominees.",2017-11-29 16:04:36,459,250,935902320327577600
"FACT: In 2015 and 2016, Republicans used the #blueslip to block 9 Obama nominees: 
Rebecca Haywood
Lisabeth Tabor Hughes
Abdul Kallon
Myra Selby
Don Beatty
Mary Barzee Flores
Dax Lopez
Patricia Timmons-Goodson
Anne Traum.",2017-11-29 16:03:34,325,271,935902063304806402
This morning’s Judiciary Committee nominations hearing includes a nominee who has yet to receive sign off from home-state senators. Republicans are misrepresenting the history of the 100-year-old blue-slip policy to justify this move. It’s important to know the facts.,2017-11-29 16:02:13,3196,2112,935901724015022081
Cadiz wants its friends in the Trump administration to clear any federal hurdles for a disastrous water extraction project in the Mojave Desert. Today’s lawsuit shows that won’t happen without a fight.https://www.feinstein.senate.gov/public/index.cfm?p=press-releases&id=332CAF60-66CE-4DDF-A980-CA40DF94511F …,2017-11-29 00:33:00,408,189,935667877503492096
Teachers who give everything to help their students shouldn’t pay for tax cuts for the rich. #GOPTaxPlanhttps://www.nytimes.com/2017/11/26/us/politics/teacher-tax-deduction-house-senate-tax-cuts.html …,2017-11-28 22:48:39,1045,476,935641617679175680
It’s been nearly two months since Republicans allowed the Children’s Health Insurance Program to expire. California could lose $2.7 billion to care for children if we don’t act NOW. #ExtendCHIPhttps://ww2.kqed.org/news/2017/11/27/california-could-lose-2-7-billion-in-kids-health-funding-and-theres-no-backup-plan/ …,2017-11-28 21:54:16,524,422,935627932093091840
