Text,Date,Favorites,Retweets,Tweet ID
"I want to apologize to Leeann Tweeden, to everyone who was part of the USO tour, to all who've worked for me, to all I represent, & to all who've considered me an ally & supporter & champion of women. I am sorry. https://www.facebook.com/senatoralfranken/posts/1553158881436655 …",2017-11-16 23:40:05,44746,8510,931305906549248008
My face when I hear Washington Post reporter @_cingraham thinks Minnesota and Wisconsin are indistinguishable.https://twitter.com/senfranken/status/930996641431216128 …,2017-11-16 03:33:45,11459,1873,931002322997608448
.@_cingrahampic.twitter.com/0hNn5m2EOy,2017-11-16 03:11:11,1946,210,930996641431216128
"At the @CFPB, Rich Cordray has worked tirelessly on behalf of working families in Minnesota and across the country by protecting consumer rights and holding big financial institutions accountable. Thank you for your leadership, Rich.https://www.nytimes.com/2017/11/15/business/cordray-consumer-protection.html?_r=0 …",2017-11-15 20:37:58,951,281,930897687028912128
"At end of fiscal year '16, oil & gas companies were producing on less than 2% of the 1 million+ acres of federal land they have under lease in AK. Drilling for oil in Arctic National Wildlife Reserve—the last pristine sub-arctic ecosystem on the continent—just doesn’t make sense.pic.twitter.com/IimxoAZhJa",2017-11-15 20:31:38,3949,1699,930896094795567104
"Minnesota cabin owners—and all home, business and farm owners in cabin country—would be hit particularly hard by the Republican tax plan. And that’s bad for Minnesota. I urge you to give this piece in @StribOpinion a read to learn more.http://www.startribune.com/federal-tax-reform-a-hit-on-minnesota-cabin-owners-that-s-not-the-half-of-it/457561863/ …",2017-11-15 18:58:05,688,276,930872548585287681
"Beyond that, cabin ownership is incredibly important to the health of our rural economies and to small businesses that rely on tourism and outdoors enthusiasts.",2017-11-15 18:57:01,461,76,930872283857596417
"In Minnesota, heading up to a cabin on the weekend isn’t just another thing to do—it’s a way of life. Cabins mean a great deal to Minnesota families. They hold lots of memories, are often passed down through generations, and many folks save up their whole lives to buy one.",2017-11-15 18:56:46,1314,179,930872221094109186
"We need to make sure all Minnesotans—including those in tribal communities—have access to reliable, affordable broadband. Glad Fond du Lac Band received grant from @USDA to invest in broadband infrastructure & improve economic development, education, & health care for the region.https://twitter.com/KQDS_FOX21/status/930539832086016001 …",2017-11-15 18:08:16,563,148,930860014578913281
"What a comeback year for the @Twins and for their manager, St. Paul’s own Paul Molitor. Congrats, Paul, on being named AL Manager of the Year. A much-deserved honor.http://www.startribune.com/twins-paul-molitor-win-al-manager-of-the-year-award/457565493/ …",2017-11-15 18:06:07,276,28,930859472863588352
"RED ALERT: Senate GOP just added provision to their tax plan that would gut ACA & kick 13M ppl off insurance. Yes, it's same tax plan that would add $1 trillion+ to deficit while giving majority of benefits to corporations & the rich. We need you to make your voices heard again.",2017-11-14 22:02:15,81897,65441,930556511746740224
"If you want to learn more about this disturbing trend, I urge you to check out this report from my colleagues @SenWarren and @SenatorDurbin. It’s an important read that will help shine a light on a serious problem. https://www.warren.senate.gov/files/documents/2017_11_Warren_Durbin_Borrower_Defense_Report.pdf …",2017-11-14 21:10:30,501,246,930543488046915585
"As a member of Senate Education Committee, I find this inaction by the Trump Administration and its Education Department Secretary @BetsyDevosED very troubling. The U.S. government shouldn’t side w/ unscrupulous schools over our students, but that’s what’s happening right now.",2017-11-14 21:09:00,904,348,930543110131773440
That means they are students and graduates all around the country who were swindled by for-profit colleges and can’t get relief from their student loan payments.,2017-11-14 21:08:01,443,158,930542859887005696
