Text,Date,Favorites,Retweets,Tweet ID
"We need to saddle up and ride.  As I told @Varneyco, it’s time to deliver tax cuts to middle-class families, even if it takes all day and all night.https://www.youtube.com/watch?v=xR9CSshEJkQ …",2017-11-30 16:33:34,10,3,936271998631759873
On @CNN now talking about the #TaxBill. We need to get this economy moving again. We need #TaxReformpic.twitter.com/olVfL1H73O,2017-11-29 00:34:35,32,7,935668275039670272
"We borrow $1 million a minute- $1.4 billion a day.  If I thought for a second that this bill would add to the deficit, I wouldn’t vote for it.  We need to get this economy moving again. We need #TaxRefom now.pic.twitter.com/UxXIeehH7R",2017-11-28 23:20:10,108,46,935649550316064768
Tune in now to @FoxBusiness @AftertheBell to hear me discuss the latest on the Senate #TaxReform bill.,2017-11-27 21:44:38,5,3,935263117524815872
Let’s go @Saints! #WhoDat,2017-11-26 21:59:18,13,4,934904422790041600
"#SmallBizSat is Nov 25! When we #ShopSmall, we support the small businesses that unite our communities.pic.twitter.com/yYU9AYCdMm",2017-11-25 17:41:44,15,7,934477216938954752
I would like to give special thanks to the men and women in uniform serving in the United States and overseas. #Thanksgiving2017pic.twitter.com/Jgn8Rc2au7,2017-11-23 20:23:24,33,8,933793125822279680
"Thanksgiving is about counting your blessings.  We have a great deal to be thankful for in America, and I hope everyone has a happy and safe Thanksgiving. #thankful",2017-11-23 20:22:41,32,3,933792944712282112
This week Id like to honor the men & women who have been called to wear our nation’s uniform. Tech. Sgt. Bianca Parker is in the 2nd Bomb Wing at Barksdale @usairforce base. Below is pic of her & her family. Id like to thank Bianca & her family for their sacrifice for our countrypic.twitter.com/3t8lYdI3qy,2017-11-22 19:23:36,18,4,933415685987946501
I would like to congratulate my colleague @BillCassidy on protecting and increasing #GOMESA funding for Louisiana.http://www.theadvocate.com/baton_rouge/news/politics/article_e94aa8b6-ca4f-11e7-8ee2-dba76d955b12.html …,2017-11-16 14:07:30,25,6,931161811272990720
"I think we have to vote on #TaxReform next week. We're trying to strike a balance between cutting taxes, while at the same time remaining mindful of the fact that we owe $20 trillion and we have to pay it back.https://www.youtube.com/watch?v=khtQs8NjseE&feature=youtu.be …",2017-11-15 23:16:04,16,8,930937473475194880
On @MSNBC’s @MeetThePress now talking about the #TaxReformBill. We need to build our economy by empowering our middle-class families.pic.twitter.com/FSY7ZzBIWa,2017-11-15 22:18:30,20,4,930922986865070081
"Congratulations, @SenThomTillis!https://twitter.com/SenThomTillis/status/930871302398857222 …",2017-11-15 20:54:34,11,2,930901864010444801
"It’s high time that we offer middle-class Americans a tax code that believes in them. We need a tax reform policy that provides relief to the middle class and returns incentive to work, save, and invest. This bill does just that and is a huge step in the right direction.pic.twitter.com/1HbtCPjURN",2017-11-15 20:52:36,70,27,930901369321590786
It was great to catch up with @lsuprez today. #GeauxTigerspic.twitter.com/gYZqIZzzrj,2017-11-14 19:02:15,13,1,930511210977677317
On @FoxBusiness with @TeamCavuto discussing the Senate #TaxReformPlan. We need to save our middle-class families money and help empower our businesses to create jobs. – at Russell Senate Building,2017-11-14 17:33:13,21,4,930488806708531200
"It’s important to reflect on the freedoms that we enjoy every day as American citizens, and thank those who have devoted their lives to serve and protect the United States. #VeteransDaypic.twitter.com/7HAKiEygyJ",2017-11-11 14:36:52,39,10,929357262707200000
I introduced a bill this week that would end the diversity visa lottery program. It makes no sense to let someone into our country on the merit of luck.http://www.breitbart.com/big-government/2017/11/08/sen-kennedy-pushes-bill-end-visa-lottery/ …,2017-11-09 16:14:47,445,262,928657125735387136
ICYMI: I sent a letter to Chairman Hatch urging @GOPSenFinance to keep the Adoption Tax Credit. @DavidAFrench @ERLC @drmoorehttps://www.kennedy.senate.gov/public/press-releases?ID=51FA6E01-5D0A-4552-8719-9568DC03494D …,2017-11-09 15:39:00,20,5,928648122552803330
The diversity visa lottery system is nonsense on a stick. You shouldn’t be picked to come to the United States based on the merit of luck.pic.twitter.com/me2BW7vQ3g,2017-11-07 18:38:53,61,28,927968617744003072
We need to protect the adoption tax credit. It is pro-life and pro-families.https://www.christianpost.com/news/christian-leaders-urge-republicans-not-to-scrap-adoption-tax-credit-205447/ …,2017-11-06 19:28:59,24,7,927618838140735488
Heartbreaking. Praying for those impacted and the first responders.http://abc7.com/2607034/ ,2017-11-05 23:52:54,17,6,927322866131111937
Let's Geaux @LSUfootball! #BeatBamapic.twitter.com/RRZCi4Tow6,2017-11-05 00:09:52,18,2,926964746963902464
Congrats to the Durands of St. Martin Parish for being spotlighted in #Fridaysonthefarm by @USDA. Read more:http://nrcs.maps.arcgis.com/apps/Cascade/index.html?appid=03468650ee6e4dd7a4ba63a9b14c9480 …,2017-11-03 16:30:52,3,2,926486847970095104
We need #TaxReform now so families can keep more of their hard-earned income. People know how to spend the $ they earn better than the govt.pic.twitter.com/9Cpp2UxISk,2017-11-02 15:38:51,17,7,926111371271507969
We have two groups of people in Washington. The first believes in more freedom. The second believes in more free stuff.,2017-11-02 13:19:34,77,33,926076316478296064
On @FoxNews this morning talking about how #Taxreform will help middle-class families.,2017-11-02 13:10:39,22,7,926074071955263488
"ICYMI: Yesterday, I questioned representatives from #Google, #Facebook, & #Twitter in @senjudiciaryhttps://www.vanityfair.com/news/2017/10/senator-kennedy-grills-facebook-lawyer-senate-intelligence-committee-hearing …",2017-11-01 18:53:11,19,6,925797886289436672
"Happy Halloween, Louisiana! Have a safe and fun night!pic.twitter.com/IJ2FjkUSiV",2017-11-01 01:11:10,28,5,925530621262356480
"I questioned officials from #Facebook, #Twitter, and #Google about the extent of Russia’s interference in the 2016 election in @senjudiciarypic.twitter.com/OiJFzWSZfe",2017-10-31 20:31:22,27,13,925460207257440257
I had the pleasure of meeting today with Judge Roy Moore of Alabama.pic.twitter.com/8MH0scnCZG,2017-10-31 19:50:42,61,26,925449975986835456
Louisiana was recently rated the #4 friendliest state for small businesses. Congrats to all our small biz owners!https://www.thumbtack.com/survey#/2017/1/states …,2017-10-31 19:07:25,17,6,925439080674062337
