Text,Date,Favorites,Retweets,Tweet ID
"ICYMI: In #AUMF hearing, Kaine renews call for swift, bipartisan Congressional action http://www.kaine.senate.gov/press-releases/in-aumf-hearing-kaine-renews-call-for-swift-bipartisan-congressional-action-and-presses-for-clarity-on-ground-troops …",2015-03-11 18:36:36,37,22,575727036129538048
ICYMI: Sen. @timkaine discusses scope of #ISIL mission ahead of President’s #AUMF proposal w/ @ChrisCuomo on @CNNhttps://www.youtube.com/watch?v=x37A9cEoLAw …,2015-02-11 23:14:12,14,3,565650036022079488
Sen. @timkaine reintroduced legislation to grant federal recognition to six Virginia Indian tribes. Learn more: http://www.kaine.senate.gov/press-releases/bipartisan-virginia-delegation-introduces-bill-to-grant-federal-recognition-of-virginia-indian-tribes …,2015-02-11 18:51:55,63,23,565584032201981952
Read Sen. @timkaine's statement on President Obama's proposed Authorization for Use of Military Force against ISIL http://www.kaine.senate.gov/press-releases/kaine-statement-on-president-obamas-proposed-authorization-for-use-of-military-force-against-isil …,2015-02-11 15:04:04,3,3,565526689527394305
A member of our staff is hosting office hours until 12 at the Southwest VA Technology Center on Highland Drive. Stop by if you can!,2015-02-10 15:50:52,2,1,565176080991268865
Tune in to @WTOP at 10:40AM for Sen. @timkaine ’s interview on ISIL. Listen here:http://bit.ly/1zA3vzF ,2015-02-04 15:37:59,1,3,562998509344129025
Read Sen. @timkaine's statement on @VP Joe Biden & Sec. of @ENERGY Ernest Moniz's visit to Norfolk State University http://www.kaine.senate.gov/press-releases/kaine-statement-on-vice-president-bidens-cybersecurity-visit-to-norfolk-state-university …,2015-01-15 19:11:01,5,3,555804364477300738
Take a moment to read the @Daily_Press article on Sen. @timkaine's meeting with VA Secretary Robert McDonaldhttp://www.dailypress.com/news/military/dp-nws-kaine-veterans-hospital-20150113-story.html …,2015-01-14 15:05:09,6,4,555380100997603328
Read Sen. @timkaine's statement on the President’s cybersecurity announcement including $25M in grants for HBCUs http://www.kaine.senate.gov/press-releases/kaine-statement-on-president-obamas-cybersecurity-announcements-including-25-million-in-grants-for-historically-black-colleges-and-universities …,2015-01-13 22:35:52,10,5,555131139976077312
Take a moment to read this great @dcexaminer article about @timkaine's push to preserve Virginia battlefields: http://www.washingtonexaminer.com/new-push-to-preserve-revolutionary-war-of-1812-battlefields/article/2558373 …,2015-01-09 17:34:58,5,2,553605863815278592
Read Sen. @timkaine's note to constituents summarizing his first 2 years of work in the Senate on behalf of VA http://www.kaine.senate.gov/commonwealth-connection …,2015-01-02 22:28:14,2,1,551142952656207872
Great @NewsInTheBurg editorial on Senator @timkaine's efforts to expand early childhood educationhttp://www.fredericksburg.com/opinion/editorials/federal-grant-advances-push-for-early-childhood-education/article_19f05eb9-de19-5578-ac86-52cb35390e11.html …,2014-12-23 19:08:13,10,7,547468737109299202
ICYMI: Sen. @timkaine delivers year-end review on push for Congress to authorize U.S. military action against ISILhttps://www.youtube.com/watch?v=addkETo8tEg&list=UU27LgTZlUnBQoNEQFZdn9LA …,2014-12-16 21:55:40,7,2,544974163744538625
ICYMI: Sen. @timkaine discusses upcoming hearing on authorization for military mission against ISIL on @Morning_Joehttps://www.youtube.com/watch?v=-hC-iO9V-Ko&feature=youtu.be …,2014-12-09 16:40:52,5,2,542358225866473473
.@LTMnews editorial highlights Senator @timkaine's thoughts on working towards bipartisanship in Congress http://www.loudountimes.com/index.php/news/article/trust_starts_with_a_chat …,2014-12-03 15:22:58,0,1,540164293590007809
Senator @timkaine released the following statement today on #SecDef Chuck Hagel’s resignation: http://www.kaine.senate.gov/press-releases/kaine-statement-on-secretary-hagel …,2014-11-24 20:15:34,1,3,536976441607733248
Read Sen. @timkaine’s statement on Iran nuclear negotiations: http://www.kaine.senate.gov/press-releases/kaine-statement-on-iran-nuclear-negotiations …,2014-11-24 20:13:28,0,0,536975910071967744
Watch @timkaine discuss the need for new AUMF to combat ISIL & other security threats at the @DefenseOne Summit nowhttp://www.defenseone.com/ideas/2014/11/live-2014-defense-one-summit/99329/ …,2014-11-19 15:02:47,0,1,535085785419366401
"""We have to continue to move toward a cleaner energy economy"" - Sen. @timkaine on #KeystoneXL",2014-11-18 21:30:58,2,1,534821086941437952
Read @McCartneyWP's column on need for Congress to vote on authorization for use of military force against ISILhttp://www.washingtonpost.com/local/congress-dishonors-veterans-by-dodging-debate-over-obamas-war-on-islamic-state/2014/11/12/3d5492e8-6ab1-11e4-b053-65cea7903f2e_story.html …,2014-11-12 23:58:53,0,1,532683986041307136
.@CB0133 Feel free to call our office! 202-224-4024,2014-10-31 16:24:23,1,4,528220950119350272
"ICYMI: Following letter from Kaine, @USDA announces grant to expand broadband in Caney Ridgehttps://www.youtube.com/watch?v=YkDD0C4QvS4&feature=youtu.be …",2014-10-23 14:12:17,2,1,525288606991413248
Watch Live: Senator @timkaine will join @RTDNEWS for a Public Square on Congressional war powers. Tune in at 12:30 http://www.timesdispatch.com/news/local/public-square/ …,2014-10-21 16:16:59,7,5,524595209896996865
Watch @RTDSchapiro's 'Jeff's Notes' video column on Sen. @timkaine's focus on war powers:https://social.newsinc.com/media/json/69017/27591597/singleVideoOG.html?type=VideoPlayer%2FSingle&widgetId=2&trackingGroup=69017&videoId=27591597#.VDfiFg86bAU.twitter …,2014-10-10 15:05:53,2,2,520591052953354242
".@timkaine, @Randy_Forbes, @RepRobertHurt sent a letter to @SecKerry urging swift action on the FASTC at Ft. Pickett 
http://www.kaine.senate.gov/press-releases/kaine-forbes-and-hurt-send-letter-to-secretary-kerry-urging-action-on-foreign-affairs-security-training-center-at-fort-pickett …",2014-10-09 18:35:37,1,0,520281446209298432
ICYMI: Read @jonathanweisman's @nytimes piece on Sen. @timkaine's hard work on war powers reformhttp://www.nytimes.com/2014/10/06/us/politics/an-obama-ally-parts-with-him-on-war-powers.html?hp&action=click&pgtype=Homepage&version=HpSumSmallMedia&module=first-column-region&region=top-news&WT.nav=top-news&_r=0 …,2014-10-06 14:07:53,2,3,519126905220763648
"ICYMI: On CBS’ @FaceTheNation, @timkaine makes case for Congress's role in authorizing the fight against ISILhttps://www.youtube.com/watch?v=fVx4qcGVT-Q&feature=youtu.be …",2014-09-29 15:16:38,4,5,516607488733745152
Read this @heraldprogress story on @timkaine's discussion w/ students during his visit to @RandolphMacon this week: http://www.herald-progress.com/?p=17684 ,2014-09-25 20:32:04,2,0,515237319084097536
Read today's @RTDOpinions post: Kaine Is Right On War Powershttp://www.timesdispatch.com/opinion/our-opinion/today-s-top-opinion-kaine-is-right-on-war-powers/article_81155496-9ea7-55c8-a7df-b0222bdabf2d.html …,2014-09-25 14:23:53,1,3,515144662781554688
ICYMI:@timkaine joins @LukeRussert on @dailyrundown to discuss why Congress must authorize US military action vs ISILhttp://www.msnbc.com/daily-rundown/watch/kaine--strikes-should-have-had-own-vote-332421699898?utm_medium=twitter&utm_source=twitterfeed …,2014-09-23 22:30:21,1,3,514542309820887040
The #CTE Caucus is proud to host the #NNS Apprentice School for a briefing on narrowing the skills gap at 11AM:https://www.youtube.com/watch?v=F6X2owRq-mM …,2014-09-16 14:27:39,0,1,511884119719313408
ICYMI: Kaine Discusses Need for a Vote On Authorization of US Military Action Against ISIL on @Morning_Joehttps://www.youtube.com/watch?v=XfOYQUJxO4o&feature=youtu.be …,2014-09-09 21:35:24,1,3,509455053284192256
Read @RTeditorial supporting Sen. @timkaine's call for Congressional authorization for military force against ISIL: http://www.kaine.senate.gov/tim-in-the-news/our-view-kaine-is-right-on-war-powers …,2014-09-08 16:58:46,0,0,509023048205627392
Great article on how workforce training & development programs in Virginia are helping to boost manufacturing http://www.virginiabusiness.com/news/article/ready-for-a-comeback …,2014-09-02 20:40:02,1,4,506904402993901568
Kaine tours construction to rebuild Louisa County High School after 2011 earthquake:https://www.youtube.com/watch?v=WKM2X1PATWY …,2014-08-27 18:54:30,0,1,504703519124111360
Kaine discussed his call for Congressional debate and vote on use of military force against ISIL w/ Rachel @maddowhttps://www.youtube.com/watch?v=9EVv2EFgIvU&feature=youtu.be …,2014-08-27 16:15:49,0,0,504663586053296129
Good News: @MayvlEngineer Company will invest $10M to expand its operations at a new manufacturing facility in Smyth County!,2014-08-15 17:04:29,0,0,500327176009682945
Great news: POTUS signs bill to address VA scheduling backlog & wait times. Senate version intro’d by @timkaine @SenJohnMcCain @SenSanders,2014-08-07 17:01:26,0,3,497427308018696192
Good luck to the Tuckahoe American All-Stars as they take on Georgia at 5PM in the Little League Southeast semifinals!,2014-08-06 20:15:50,3,0,497113843525767168
$49M contract awarded to @HIIndustries today is impt step toward refueling the USS GW -  thx to bipartisan work by @timkaine & VA delegation,2014-08-04 17:49:03,0,2,496352128550830080
Read Sen. @timkaine's @PilotNews op-ed on why VA coastal energy is a worthy pursuit: http://www.kaine.senate.gov/tim-in-the-news/virginia-coastal-energy-a-worthy-pursuit …,2014-08-01 17:09:35,0,1,495255030803746816
VIDEO: @timkaine addresses humanitarian crisis on the border & unaccompanied children fleeing violence http://www.kaine.senate.gov/press-releases/video-and-transcript-on-senate-floor-kaine-addresses-humanitarian-crisis-on-the-border_unaccompanied-children-fleeing-violence-in-central-america …,2014-07-17 20:54:31,0,0,489875821407252481
Tune in now to watch Sen. @timkaine introduce his bipartisan #CTE bill with @senrobportman http://www.c-span.org/live/?channel=c-span-2 …,2014-07-10 17:23:08,2,1,487285907440287744
Senator @timkaine joined Sens. @PattyMurray & @MarkUdall to introduce bill to protect women's access to health care http://www.kaine.senate.gov/press-releases/kaine-introduces-legislative-fix-to-protect-womens-health-in-aftermath-of-hobby-lobby-supreme-court-decision …,2014-07-09 20:26:27,3,6,486969651801243648
Read Sen. @timkaine's statement on the 2014 National Drug Control Strategy announced today in Roanoke: http://www.kaine.senate.gov/press-releases/kaine-applauds-new-effort-to-curb-heroin-prescription-opioid-abuse-in-virginia …,2014-07-09 20:19:14,1,1,486967836158353408
A representative for Senator @timkaine will meet w/ constituents in Portsmouth tomorrow. More Info: http://www.kaine.senate.gov/kaine-connects ,2014-07-09 16:26:01,0,2,486909147712348160
"@PilotNews & @nytimes praise Norfolk sea level rise conf hosted by Sen. @timkaine http://hamptonroads.com/2014/07/climate-change-getting-action …,http://www.nytimes.com/2014/07/07/opinion/climate-change-politics-north-carolina-virginia.html?ref=opinion&_r=0 …",2014-07-07 15:01:58,4,7,486163216796766208
ICYMI: Sen. @timkaine hosts bipartisan forum on sea level rise in Norfolkhttps://www.youtube.com/watch?v=uWtHp11ix44 …,2014-07-01 15:15:03,1,0,483992184153460736
Read Sen. @timkaine's @BuzzFeed article listing some of his favorite Virginia summer activities!http://www.buzzfeed.com/ussenatortimkaine/16-virginia-summer-activities-you-cant-miss-k7ak …,2014-06-26 17:51:28,0,2,482219609744236544
A representative for @timkaine will meet w/ constituents in King & Queen County tomorrow from 4PM - 6PM. More info: http://www.kaine.senate.gov/kaine-connects ,2014-06-24 19:14:37,0,1,481515757768306688
A representative for @timkaine will meet w/ constituents in West Point tomorrow from 1PM - 3PM. More info here: http://www.kaine.senate.gov/kaine-connects ,2014-06-24 19:11:06,1,0,481514871495081984
Tune in now to watch Sen. @timkaine introduce his resolution to #WelcomeHome post 9/11 veterans: http://www.c-span.org/live/?channel=c-span-2 …,2014-06-19 15:11:47,0,1,479642707036753920
ICYMI: Listen to Sen. @timkaine's interview on @hereandnow about the current crisis in Iraqhttp://hereandnow.wbur.org/2014/06/18/iraq-tim-kaine …,2014-06-18 19:22:15,0,0,479343353818279937
Watch @timkaine discuss ongoing obstruction of Ambassador nominees & how it threatens US ntn'l security & leadership http://www.c-span.org/live/?channel=c-span-2 …,2014-06-17 20:32:46,0,2,478998710702333955
A representative for Sen. @timkaine will meet with constituents in Goochland on Monday. More info: http://www.kaine.senate.gov/kaine-connects ,2014-06-13 21:06:19,0,1,477557602629718016
Read Sen. @timkaine's statement on the confirmation of Judge Hannah Lauck to the Eastern District Court: http://www.kaine.senate.gov/press-releases/warner-kaine-statement-on-confirmation-of-hannah-lauck-to-eastern-district-court …,2014-06-10 15:30:14,0,1,476385858300305408
Read Sen. @timkaine's statement on the 70th Anniversary of D-Day: http://www.kaine.senate.gov/press-releases/kaine-statement-on-the-70th-anniversary-of-d-day …,2014-06-06 18:35:21,0,2,474982896143708160
ICYMI: Sen. @timkaine discusses harmful impact of student loan debt & ways to reduce college costs at budget hearinghttps://www.youtube.com/watch?v=3yc5TbTfWBY …,2014-06-05 18:46:50,0,5,474623397511856128
