Text,Date,Favorites,Retweets,Tweet ID
Murphy and Blumenthal lead efforts to protect crumbling foundation deduction from Republican sabotage https://www.murphy.senate.gov/newsroom/press-releases/murphy-and-blumenthal-lead-efforts-to-protect-crumbling-foundations-deduction-from-republican-sabotage …,2017-11-30 20:20:52,1,0,936329199740170240
Murphy votes against advancing Senate Republican tax bill https://www.murphy.senate.gov/newsroom/press-releases/murphy-votes-against-advancing-senate-republican-tax-bill …,2017-11-29 23:08:40,6,1,936009042409017345
"Murphy, Blumenthal, Larson, Courtney statement on Connecticut lawsuit to compel interior department action on tribal compact https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-larson-courtney-statement-on-connecticut-lawsuit-to-compel-interior-department-action-on-tribal-compact …",2017-11-29 21:50:56,2,2,935989477947924481
"Murphy highlights Westport innovator The Refinery as ""Murphy's Innovator of the Month"" https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-westport-innovator-the-refinery-as-murphys-innovator-of-the-month …",2017-11-29 19:57:50,1,0,935961017598775297
"Murphy, Portman announce final passage of measure to counter foreign propaganda in NDAA conference report https://www.murphy.senate.gov/newsroom/press-releases/murphy-portman-announce-final-passage-of-measure-to-counter-foreign-propaganda-in-ndaa-conference-report …",2017-11-16 22:15:51,2,1,931284706942783488
"Cornyn, Murphy, Scott, Blumenthal introduce Fix NICS Act to enhance compliance, ensure accuracy of existing background check system for firearms purchases https://www.murphy.senate.gov/newsroom/press-releases/cornyn-murphy-scott-blumenthal-introduce-fix-nics-act-to-enhance-compliance-ensure-accuracy-of-existing-background-check-system-for-firearms-purchases- …",2017-11-16 14:28:23,4,2,931167066253651968
"Murphy: ""Tax bill has turned into a health care bill in the last 48 hours"" https://www.murphy.senate.gov/newsroom/press-releases/murphy-tax-bill-has-turned-into-a-health-care-bill-in-the-last-48-hours …",2017-11-15 20:04:31,1,2,930889270730088449
Murphy statement on Senate Republican tax plan https://www.murphy.senate.gov/newsroom/press-releases/murphy-statement-on-senate-republican-tax-plan …,2017-11-09 23:04:16,1,0,928760178199220224
Murphy calls on Saudi Arabia to immediately lift blockade in Yemen https://www.murphy.senate.gov/newsroom/press-releases/murphy-calls-on-saudi-arabia-to-immediately-lift-blockade-in-yemen …,2017-11-09 23:00:42,1,0,928759281037512704
"Murphy, Blumenthal, Democratic Senators introduce assault weapons ban https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-democratic-senators-introduce-assault-weapons-ban …",2017-11-08 19:26:47,5,3,928343057031925760
Murphy demands specific action to enforce laws following Texas church shooting https://www.murphy.senate.gov/newsroom/press-releases/murphy-demands-specific-action-to-enforce-gun-laws-following-texas-church-shooting …,2017-11-07 19:52:02,6,3,927987026372321282
Murphy statement on Sutherland Springs shooting https://www.murphy.senate.gov/newsroom/press-releases/murphy-statement-on-sutherland-springs-shooting …,2017-11-05 22:04:02,5,4,927295466555019274
"Murphy, Blumenthal, DeLauro announce $30,000 EPA grant to address water & air pollution in New Haven https://www.murphy.senate.gov/newsroom/press-releases/murphy-bluemthal-delauro-announce-30000-epa-grant-to-address-water-and-air-pollution-in-new-haven_ …",2017-11-03 18:25:06,3,0,926515594727485440
"Murphy, Blumenthal, Courtney applaud federal grant to bring affordable, locally-grown food to CT residents https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-courtney-applaud-federal-grant-to-bring-affordable-locally-grown-food-to-connecticut-residents …",2017-11-01 20:55:37,2,0,925828699211038720
"Murphy, Blumenthal statement on nomination of John H. Durham to serve as U.S. Attorney for the District of CT https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-statement-on-nomination-of-john-h-durham-to-serve-as-us-attorney-for-district-of-connecticut …",2017-11-01 20:51:39,0,1,925827698626322437
Murphy demands Congress act to expand background checks https://www.murphy.senate.gov/newsroom/press-releases/murphy-demands-congress-act-to-expand-background-checks …,2017-10-31 20:00:21,3,2,925452403117383681
"Murphy, Senators, introduce bill to protect student borrowers, hold colleges & universities accountable https://www.murphy.senate.gov/newsroom/press-releases/murphy-senators-introduce-bill-to-protect-student-borrowers-hold-colleges-and-universities-accountable …",2017-10-31 17:56:25,3,1,925421215057174529
Murphy introduces new bill: No war in North Korea without Congressional authorization https://www.murphy.senate.gov/newsroom/press-releases/new-bill-no-war-in-north-korea-without-congressional-authorization …,2017-10-31 16:58:35,4,0,925406658574147585
"Murphy highlights Stamford innovator @certascan_tech, as ""Murphy's Innovator of the Month"" https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-stamford-innovator-certascan-technologies-as-murphys-innovator-of-the-month …",2017-10-30 21:07:49,0,0,925106993978920960
"Murphy, Blumenthal, colleagues urge Trump administration to hold drug companies accountable for overpricing https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-colleagues-urge-trump-administration-to-hold-drug-companies-accountable-for-overpricing …",2017-10-30 17:23:20,4,3,925050498847313920
Senators unveil legislation to invest $45 billion to address the opioid crisis https://www.murphy.senate.gov/newsroom/press-releases/senators-unveil-legislation-to-invest-45b-to-address-opioid-crisis …,2017-10-30 15:53:55,0,0,925027996234387457
