Text,Date,Favorites,Retweets,Tweet ID
Thank you @jobhonor for inspiring others by highlighting the transformational power of work. Willie McShan graduated from our second #JosephProjectWI class.https://vimeo.com/244844809 ,2017-11-30 18:05:01,15,6,936295013490810880
Congrats to Joseph Project graduate Willie McShan selected for @jobhonor award for his success in the workplace. #JosephProjectWIpic.twitter.com/Xp7r0pXkh4,2017-11-30 16:55:28,10,5,936277513050914816
"We still have work to do, but I have been working with the administration and Senate leadership to make progress toward a better bill. - rj #taxreform",2017-11-29 23:14:47,128,31,936010583228538881
Still concerned about those pass-through businesses so happy to hear today that @POTUS agrees.pic.twitter.com/uyf4h6pYiq,2017-11-29 01:36:53,83,20,935683953532526592
"On #SmallBusinessSaturday, I’m committed to protecting small businesses from the return of Obamacare’s Health Insurance Tax.",2017-11-25 19:14:08,73,19,934500466859429891
Continue the conversation on #NetNeutraility with @SenRonJohnson and @AjitPaiFCC with this podcast. @620wtmjhttps://soundcloud.com/senronjohnson/net-neutrality-a-solution-looking-for-a-problem …,2017-11-24 17:32:27,30,17,934112492464361472
I am thankful that I have been blessed to know the McLinn's -rjpic.twitter.com/mcbUk0BOe0,2017-11-24 15:25:40,4,1,934080585114554368
Enjoy this day with family and friends as we count our many blessings. #Thanksgivingpic.twitter.com/NVPw4AfuxF,2017-11-23 17:32:19,41,10,933750069320396801
It’s going to be a great Thanksgiving for 110 Airmen of WIsconsin’s Air National Guard  who arrived home yesterday after a 6-month deployment. Thank you and welcome home!pic.twitter.com/LVTEhNUieO,2017-11-22 01:12:58,167,25,933141219638759425
Staff enjoyed attending @PASDbulldogs 22nd annual Veterans Breakfast/Thanksgiving Feast. Awesome show of appreciation!pic.twitter.com/6IOOR0mpbP,2017-11-21 20:14:12,19,8,933066034600382464
Thoughts and prayers go out to Agent Martinez’s family and fellow agents during this difficult time.https://twitter.com/customsborder/status/932325813562888197 …,2017-11-20 19:51:52,148,67,932698026983948289
Kids like Grace get forever homes through adoption. #NatlAdoptionDaypic.twitter.com/SBw9X9Qebf,2017-11-18 21:10:21,123,44,931993001261502464
"Happy #OpeningDay, Wisconsin hunters!pic.twitter.com/2bnDermEpF",2017-11-18 16:17:50,64,13,931919386331504640
"Pass-throughs account for 96% of all U.S. businesses, including many leading job creators in Wisconsin. They deserve a fair shake. #TaxReformpic.twitter.com/9y7gmplMtC",2017-11-16 23:49:28,112,44,931308268810588162
“I applaud ICE’s work cracking down on MS-13.” http://bit.ly/2A5wX8X https://twitter.com/icegov/status/931224047341461506 …,2017-11-16 22:20:32,28,14,931285886804692992
.@SenRonJohnson applauds @DHSgov work on MS-13 crackdown today. Statement below:pic.twitter.com/GgMqbwSX2N,2017-11-16 19:45:02,18,6,931246754963521536
Putting veterans on secret wait lists is not acceptable. The #VA should implement changes to provide the highest quality care for our veterans and hold wrongdoers accountable.  http://bit.ly/2A5ypIf https://twitter.com/VetAffairsOIG/status/931225460620648448 …,2017-11-16 19:30:30,32,9,931243098285494272
"""I'm just looking for a fair shake for all businesses to maintain the competitive balance and position of all businesses. Let's not upset that apple cart and harm our economy.”pic.twitter.com/ug3dVV9gVn",2017-11-16 18:45:29,109,37,931231768031752192
You can listen live here:  https://access.live/johnson_townhall …,2017-11-15 23:21:08,3,1,930938749122379777
LIVE: @SenRonJohnson telephone town hall. Click here to listen and ask questions. https://access.live/johnson_townhall …pic.twitter.com/q0YYmiqMPE,2017-11-15 23:05:49,37,18,930934894099861505
You can also listen and ask questions online from this link for tonight's telephone town hall at 5pm CT. https://access.live/johnson_townhall …,2017-11-15 20:10:18,28,19,930890725415366656
Ask @SenRonJohnson a question Wed. at 5pm CT. Click here to signup: http://bit.ly/2lirbp8 pic.twitter.com/Zzjrx00IGY,2017-11-15 01:34:02,15,17,930609805928038405
Exciting milestone this week w/ 200th person getting work through #JosephProjectWI. Congrats to all involved helping change lives through work.pic.twitter.com/UqBmeumtMf,2017-11-15 00:46:55,35,10,930597949922594816
Time for another telephone town hall. Join @SenRonJohnson Wed. at 5pm CT. Click here to signup: http://bit.ly/2lirbp8 pic.twitter.com/OEGnDWizfy,2017-11-14 16:43:08,8,10,930476202141343745
Tremendous tribute to veterans @OshkoshWestHigh. Dedication of Honor Wall features more than 1500 alumni who've served. #VeteransDaypic.twitter.com/TN8lx6OPxr,2017-11-12 00:51:18,61,12,929511891025694722
What an honor to celebrate this #VeteransDay in Neenah with this 96-year-old #WWII veteran getting his long overdue Bronze Star.pic.twitter.com/w4Ax1In7Cz,2017-11-11 23:15:21,38,7,929487744073654272
Nice chatting with @NTCNews President Dr. Lori Weyers. Big fan of our Technical College System.pic.twitter.com/xANak4kIg3,2017-11-10 22:53:38,12,5,929119889788407813
"Students had lots of intelligent, well reasoned questions @shawanoschools high school.  Thank you Shawano Hawks!pic.twitter.com/I8Q0pspD3j",2017-11-10 22:13:16,14,6,929109731502952453
Best wishes to @repmarkpocan for a speedy recovery. Get well soon! - rj,2017-11-08 22:31:44,56,3,928389602410401792
WATCH NOW: #HSGAC confirmation hearing for Kirstjen Nielsen to run DHS.  Tune in http://bit.ly/2z5sIXu ,2017-11-08 15:00:03,7,5,928275931738730497
Coming up: #dhsnominee Kirstjen Nielsen at #HSGAC for confirmation at 9 am CT http://bit.ly/2z5sIXu ,2017-11-08 13:05:00,8,5,928246981264158720
Tune in tomorrow for #HSGAC confirmation hearing on #dhsnominee Kirstjen Nielsen at 10 am ET. WATCH: http://bit.ly/2z5sIXu ,2017-11-07 22:24:31,2,3,928025397517783040
All children deserve loving families like the one Grace found. This November let’s celebrate #NationalAdoptionMonthhttps://twitter.com/nmcraig4/status/927219639431593984 …,2017-11-07 21:02:07,48,27,928004660698501120
Too many tourists to Mexico with similar symptoms from possible tainted alcohol. We need to get to the bottom of it. http://bit.ly/2iyVpnI ,2017-11-07 01:00:01,46,11,927702143393394689
"""This is a pattern and it’s a very disturbing pattern.""@SenRonJohnson on @MegynTODAYhttps://twitter.com/MegynTODAY/status/927547338415013888 …",2017-11-06 21:59:25,8,4,927656695286857729
Horrifying news out of Texas today. My thoughts and prayers are with all affected by this evil act. -rj,2017-11-05 22:17:34,95,26,927298874011734016
Staff was in Pardeeville today to help Columbia Co. residents cut through red tape.pic.twitter.com/43b1u2fKim,2017-11-03 22:49:01,14,5,926582012072349698
Met with Mexico's ambassador today. Pressed for answers on Abbey Conner death at Mexican resort.pic.twitter.com/VfLtDSfmBm,2017-11-03 01:03:44,27,15,926253528527536130
"“What I want to see, and I think what the American people want to see, is swift justice.”https://youtu.be/eQBlyK6Ejo4 ",2017-11-02 16:50:01,17,6,926129277539676160
"By passing #RightToTry, the House of Representatives can give hope to terminally ill patients across the U.S.",2017-11-02 16:24:01,20,6,926122736887435265
Excited to see support for #RightToTry from @RepAndyBiggsAZ and others last night. Congress needs to act soon. http://www.hsgac.senate.gov/media/majority-media/johnson-encourages-speaker-ryan-and-the-house-to-pass-right-to-try-bill …,2017-11-02 16:03:20,6,6,926117530703458304
Statement on Manhattan attack pic.twitter.com/VlLAHDH25K,2017-10-31 23:25:22,38,23,925503995992473600
"LIVE: #HSGAC hearing – 2020 Census: Examining Cost Overruns, Info. Security, and Accuracy w/ @CommerceGov. Watch http://bit.ly/2gVnFnQ ",2017-10-31 19:30:03,2,5,925444775733612545
"COMING UP: #HSGAC hearing on 2020 Census: Examining Cost Overruns, Information Security, and Accuracy. Watch live: http://bit.ly/2gVnFnQ ",2017-10-31 18:00:01,6,3,925422118698979328
.@SenRonJohnson asks @FEMA_Brock how to restore power to Puerto Rico at #HSGAC hearinghttp://youtu.be/Jpl5qBsH2AM ,2017-10-31 17:48:08,5,13,925419127430418432
LIVE: #HSGAC Hearing 2017 Hurricane Season: Oversight of the Federal Response http://bit.ly/2yQCIDI ,2017-10-31 15:00:05,4,4,925376839400308736
"COMING UP: #HSGAC hearing on federal response efforts to hurricanes Harvery, Irma & Maria w/ @FEMA_Brock. http://bit.ly/2yQCIDI ",2017-10-31 13:00:02,9,4,925346628294381568
Great visit. Great students.https://twitter.com/TWTrojans/status/923966057907408899 …,2017-10-27 18:55:08,12,4,923986437153935361
When a doctor at #Tomah #VA blew the whistle on an #opioidcrisis he suffered retaliation. Today we say never again.pic.twitter.com/ELVZ1ydSAS,2017-10-26 23:46:21,52,15,923697339285385216
.@POTUS there is no doubt #opioidcrisis is a national public health emergency. Thank you for declaring it so.http://www.youtube.com/watch?v=roCFeUvVVQk …,2017-10-26 23:06:30,27,9,923687311317045248
Proud to work with @SenJoniErnst to see #whistleblowers protected.https://twitter.com/markknoller/status/923653652644093958 …,2017-10-26 21:51:37,10,7,923668466175021056
Thank you @SenatorFischer for helping give hope to those battling terminal illness. #RightToTry http://www.nptelegraph.com/opinion/editorials/right-to-try-bill-could-give-hope/article_1ced7b9c-b931-11e7-b91f-b73b992196b6.html …,2017-10-25 21:47:53,29,15,923305138609147904
Excited to see @SDJanesville looking for new ways to educate kids for the jobs of tomorrow in #STEM fields. #IgniteMyFuturehttps://twitter.com/tcs_na/status/913116044344008704 …,2017-10-25 19:21:38,17,14,923268331150368768
Here's a behind-the-scenes look at one of this week's articles in @PulaskiNewspic.twitter.com/TV2w0uL6QC,2017-10-24 21:14:19,21,15,922934302370910210
One of the best ever.https://twitter.com/packers/status/922489817807704064 …,2017-10-23 21:27:23,39,11,922575200847319040
Let's turn the Senate on 24/7 and advance @POTUS agenda.pic.twitter.com/qAbOBengRR,2017-10-20 01:35:00,90,44,921187966646607872
"""The bottom line is the insurance companies will get paid either way. The fix is already in."" @MeetThePresshttp://www.youtube.com/watch?v=mRXjWAGewJg&feature=youtu.be …",2017-10-20 00:56:49,9,9,921178358314127360
Americans do whatever it takes to get the job done. So should Congress.pic.twitter.com/6gLPyrS9Nf,2017-10-19 21:00:01,31,16,921118762505347073
Proud to join 10 other senators willing to work day and night to keep the Senate on track.pic.twitter.com/qladrpUEYU,2017-10-19 19:30:54,67,21,921096337587933185
"This is what we need to do to really alleviate the increasing premiums, which are going to hurt Americans.http://thehill.com/policy/healthcare/356082-gop-senator-floats-changes-to-bipartisan-obamacare-deal …",2017-10-18 22:32:46,16,8,920779716042412032
".@SenRonJohnson puts @USOPM on notice: Documents released re special #Obamacare treatment for congress, or OPM Dir. nominee vote delayedpic.twitter.com/UVpw8YRT2N",2017-10-18 19:04:42,21,18,920727354510659584
What I object to is special treatment for members of Congress. #healthcarepic.twitter.com/k3Q61OHCOg,2017-10-18 17:12:28,256,141,920699111569088513
Great meeting @DHSgov Sec. nominee Kirstjen Nielsen. Talked cyber & border security and federal response to recent hurricanes.pic.twitter.com/X5AtFsdoO1,2017-10-17 20:36:49,15,15,920388149020413952
"I applaud the Senate for confirming Henry Kerner to head @US_OSC to advocate for gov. transparency, accountability & protect whistleblowers.",2017-10-17 14:33:36,23,13,920296742259757056
Great way to start the week with Class 38 of #JosephProjectWI underway in #Milwaukeepic.twitter.com/1MNvdl6K5X,2017-10-17 02:13:21,25,9,920110452167925766
.@SenRonJohnson had an interesting visit to #Oconto this week...pic.twitter.com/BHdXcdINao,2017-10-16 00:50:53,12,6,919727312870039552
Grateful for 242 years of service #USNavy! #242NavyBdaypic.twitter.com/RuKGB8zaAK,2017-10-13 16:29:15,71,26,918876296498860033
.@SenRonJohnson statement on @realDonaldTrump's health care executive order-->pic.twitter.com/eMIqwarijI,2017-10-12 19:08:43,49,19,918554040505692160
"Never mind the jersey, all the students @DePereHS kept an open mind and asked thoughtful questions. Great visit!pic.twitter.com/0Jj8OsfTkO",2017-10-12 17:05:04,19,5,918522923169845248
.@SenRonJohnson statement on @POTUS nomination of Kirstjen Nielsen for @DHSgov secretary.pic.twitter.com/Kg6pwlmJHR,2017-10-12 00:21:30,17,9,918270364676972544
Thanks for the warm welcome!https://twitter.com/pachphs/status/918156080143851522 …,2017-10-11 17:43:40,6,1,918170248985174017
The greatest thing we can do for #PuertoRico is set up a resilient electrical grid that meets their economic needs.http://www.jsonline.com/story/news/politics/2017/10/08/ron-johnson-reports-recovery-efforts-after-touring-hurricane-battered-puerto-rico/743176001/ …,2017-10-11 15:30:48,50,29,918136810324283394
Inspiring time spent w/@GGBChamber Brown Co Teen Leadership prog.  Thoughtful questions from these future leaders.pic.twitter.com/sU6M8yZPun,2017-10-10 22:02:49,16,3,917873078679539713
So @SenRonJohnson is the second US senator to ever visit the Oconto Legion Golf Club.pic.twitter.com/bOMXUS0MQe,2017-10-10 21:36:08,20,5,917866363695386626
Nice to chat with the good folks at @mandmchamber this morning.pic.twitter.com/x3h3NMoIpH,2017-10-10 17:10:20,11,4,917799470963752960
Gorgeous morning in the North Woods! @wimarinettepic.twitter.com/BrshL8aYUD,2017-10-10 17:04:47,18,4,917798075359514624
Coming up: joining @jaketapper on @CNNSotu to talk about yesterday's trip to Puerto Rico.pic.twitter.com/YiXZ30YcY2,2017-10-08 12:54:11,23,11,917010233301618688
In Puerto Rico today with congressional delegation & @fema to assess recovery & relief efforts firsthand.pic.twitter.com/X9vfSmLF6U,2017-10-07 20:48:35,80,41,916767232801280007
We need to stop denigrating the trades and teach kids that all work has value. #MFGDay17 #WIMfgMonthpic.twitter.com/220quVVxDD,2017-10-06 21:00:53,107,59,916407937991659520
Happy Manufacturing Day! Proud to serve a state with so many great manufacturers. #MFGDay17 #WIMfgMonthpic.twitter.com/iK3Bih9iqE,2017-10-06 20:02:23,26,8,916393219507707904
The American people have the right to know how & why OPM exempted #Congress from full impact of #Obamacare. http://bit.ly/2ys7w0g ,2017-10-05 21:08:39,34,15,916047505045016576
.@SenRonJohnson Threatens Subpoena to OPM on Congressional Exemption from Obamacare http://bit.ly/2ys7w0g ,2017-10-05 18:08:21,12,8,916002131101966336
Happy to see @NatResources advance bill to delist the gray wolf in Wisconsin. Will keep pushing my colleagues on this bipartisan priority.,2017-10-05 15:03:36,35,7,915955638475386880
"Visited @fema National Response Center. Folks working 12-hour shifts, 45 days straight dealing w/ #hurricanereliefpic.twitter.com/704HLlSyU5",2017-10-04 20:45:53,28,19,915679387391062018
"Honored to nominate Thiensville's Deb Holtorf for @CCAInstitute Angles in Adoption award, volunteer w/ @GiftofAdoption WI for 16 years!pic.twitter.com/AsQr6wPDDH",2017-10-04 18:45:16,14,4,915649035905748992
".@OversightGov new website puts all federal watchdog reports in one place, leading to more effective govt. http://www.oversight.gov ",2017-10-04 14:19:03,15,8,915582040174731265
"#RightToTry--> 46 cosponsors in Senate, 2/3 states have right to try laws. Now it's time for House to get it done.  http://bit.ly/2hIFy9l ",2017-10-03 22:00:03,12,9,915335663863586816
Every day Congress fails to act is a day potentially thousands of patients lose hope. Let's pass #RightToTry http://bit.ly/2hIFy9l ,2017-10-03 17:20:00,33,19,915265190366711809
"""We don't have the luxury of time."" -Frank Mongiello #ALS patient about passing #RighttoTry @HouseCommerce",2017-10-03 17:06:55,15,12,915261896856612865
Heartbreaking attack in #LasVegas last night. Our thoughts are with everyone affected by this heinous act.,2017-10-02 11:51:24,134,35,914820104986165248
Thanks @ABCofWisconsin and @StevensConsCorp for the questions and insights today.pic.twitter.com/ZIqlKjTZaV,2017-09-29 21:51:44,10,7,913884021746208769
Thank you Madison Area Builders Association for the great conversation today.pic.twitter.com/6McWmYuoyn,2017-09-29 21:31:31,7,3,913878932549758977
Always a pleasure to visit  @VickiMcKenna on her turf @1310WIBApic.twitter.com/wPZrLpfYel,2017-09-29 19:47:55,8,3,913852861313896448
Thanks to all the students and staff at @WestSDNB for the warm welcome.  Impressive student speakers!pic.twitter.com/tgC6pwvrWu,2017-09-29 19:20:36,20,7,913845987118125056
Ready for #TNF! #CHIvsGB #GoPackGopic.twitter.com/kNI3MoP13N,2017-09-28 23:31:34,13,5,913546755383463936
Happy to report all 6 people from first #JosephProjectWI class at MKE Co. House of Corrections were hired and have been on the job all week.pic.twitter.com/2oEGsvVhLr,2017-09-28 21:15:08,17,8,913512424090820608
These are trying times for our fellow Americans in #PuertoRico and #USVI. We stand with you.pic.twitter.com/agd2g4qIxz,2017-09-28 20:23:32,72,45,913499436592062465
Wonderful to see @SteveScalise back at work in Congress for the first time since he was shot at baseball practice.pic.twitter.com/LeeBHiNpl1,2017-09-28 18:21:41,85,28,913468772454948865
The Joseph Project is in Wausau this week working w/ @Kolbewindows to connect people with jobs.http://www.waow.com/category/135525/video-landing-page?clipId=13766805&autostart=true …,2017-09-27 22:00:02,7,4,913161335046782976
Miss last night's telephone town hall? Sign up here to get on @SenRonJohnson's call list. http://bit.ly/2lirbp8 ,2017-09-27 20:35:01,2,4,913139937243025409
Thanks to everyone who joined in on last night's telephone town hall. Here's an overview of what was discussed.http://www.jsonline.com/story/news/politics/2017/09/26/ron-johnson-wont-give-up-his-quest-repeal-and-replace-obamacare/706721001/ …,2017-09-27 20:30:01,19,12,913138680159539200
I hope every American keeps #PuertoRico and #USVI in their thoughts and prayers.pic.twitter.com/rCSg7HbgBN,2017-09-27 20:07:07,52,19,913132916296761345
"LIVE: #HSGAC ""Threats to the Homeland"" w/ @DHSgov, @FBI & National Counterterrorism Center http://bit.ly/2ho9Vy5 ",2017-09-27 14:04:50,5,4,913041744849178624
"COMING UP:  Acting @DHSgov Sec. Elaine Duke, @FBI Dir. Christopher Wray & NCTC Dir. Nicholas Rasmussen Watch 10amET: http://bit.ly/2ho9Vy5 ",2017-09-27 13:53:08,3,4,913038803782139904
COMING UP: Telephone town hall with @SenRonJohnson at 6:05 CT.  Listen & ask questions online: https://access.live/johnson_townhall …pic.twitter.com/DsBGEYnnyX,2017-09-26 21:45:00,4,5,912795163767971845
Get your health care and other questions answered tonight at 6:05. Telephone town hall also online here: https://access.live/johnson_townhall …pic.twitter.com/cnEjiYFlwn,2017-09-26 19:15:00,21,9,912757415346675713
Join the conversation tonight. @SenRonJohnson telephone town hall at 6:05. Listen & ask questions online: http://access.live/johnson_townhall …pic.twitter.com/3st9u0gSTU,2017-09-26 16:52:36,7,9,912721578189869056
#HSGAC hearing tomorrow at 10 am on threats to the homeland with @DHSgov @FBI and NCTC http://bit.ly/2ho9Vy5 ,2017-09-26 16:35:29,5,5,912717271377817600
This is a powerful first step off the path toward single payer & on a path toward federalism.http://www.youtube.com/watch?v=N1UvgcDWc1o&feature=youtu.be …,2017-09-26 01:13:12,18,9,912485172636995584
Happy to see @POTUS admin. nominate Matthew D. Kruger for US Attorney in eastern WI. He has extensive experience & will serve admirably.,2017-09-25 14:35:47,44,19,912324759576350720
A YES vote on GCHJ is a victory for federalism and helps put states and individuals back in charge of their health care decisions.,2017-09-24 18:41:37,105,44,912024236864212993
A NO vote on GCHJ leaves 100% of Obamacare in place and America on path to single-payer health care.  Conservatives can't let that happen.,2017-09-24 18:41:21,86,45,912024171756048384
Congrats to the latest class of Milwaukee #JosephProjectWI graduates. Good luck with those interviews!pic.twitter.com/CbMZkVsGNU,2017-09-22 22:53:43,27,7,911362903957221376
Graham-Cassidy-Heller-Johnson empowers those closest to their communities to provide effective health care.http://www.usatoday.com/story/opinion/2017/09/20/senator-ron-johnson-let-states-tailor-health-care-editorials-debates/105830692/ …,2017-09-22 01:15:00,65,22,911036073471385600
"Obamacare is a failed model, a faulty architecture. This will put us on a path to start fixing it.https://www.youtube.com/watch?v=OAv-8MErIno …",2017-09-21 23:05:00,62,26,911003358311231488
Give states flexibility to meet their unique health care needs. Much better than an unelected Washington bureaucrat. http://www.usatoday.com/story/opinion/2017/09/20/senator-ron-johnson-let-states-tailor-health-care-editorials-debates/105830692/ …,2017-09-21 20:58:01,100,42,910971398830440449
States are laboratories of democracy. There is no one-size-fits all solution to health care @LindseyGrahamSC http://www.usatoday.com/story/opinion/2017/09/20/senator-ron-johnson-let-states-tailor-health-care-editorials-debates/105830692/ …,2017-09-21 19:19:43,59,26,910946663103156224
".@SenRonJohnson visited The Joseph Project Class 35 tonight, which for the first time is being held at MKE County House of Corrections.pic.twitter.com/zIovzVJfe8",2017-09-21 02:20:48,74,19,910690244709769216
Talking health care today with @CharlesBenson4 @tmj4pic.twitter.com/0wYtvVNUoI,2017-09-21 00:12:34,8,4,910657971646029824
