Text,Date,Favorites,Retweets,Tweet ID
Today we give thanks that our country was based on the premise of religious liberty. Happy Thanksgiving.pic.twitter.com/x3aEaFDWvR,2017-11-23 12:56:05,1049,295,933680552426663937
"#OnThisDay in 1863, President Lincoln spoke timeless truths on a Civil War battlefield to unite a tired & divided nation around our founding beliefs. Why we need to re-read the Gettysburg Address today: https://www.facebook.com/SenatorSasse/posts/1433803820050892 …pic.twitter.com/JYXzlVbknM",2017-11-19 19:08:27,339,130,932324708850262016
“The Day of Two Noons” happened #OnThisDay in 1883 – and it’s an incredible lesson in how businesses can drive national innovation.pic.twitter.com/kfLptWUYzq,2017-11-18 19:14:11,98,39,931963765918183424
The ABA isn't a neutral vetter of judges but a liberal organization that has publicly & consistently advocated for left-of-center positions.pic.twitter.com/ZTMrJVEAjw,2017-11-16 23:57:06,1643,620,931310187989950464
One way our office can serve veterans: helping them receive the service medals they have earned. Colin’s story: https://www.facebook.com/SenatorSasse/posts/1425503484214259:0 …pic.twitter.com/izxHB1iib5,2017-11-12 23:55:36,127,21,929860257542758400
"We owe our veterans an enduring debt of gratitude, today and every day. #VeteransDaypic.twitter.com/UXfHtKc2ds",2017-11-11 14:46:20,395,110,929359644530806784
Their stories help us understand the cost of freedom. Meet the #veterans of the NE Wounded Warriors Writing Workshop: https://www.facebook.com/SenatorSasse/posts/1424799044284703 … #VeteransDaypic.twitter.com/kYDEDA8D2J,2017-11-10 15:55:37,115,27,929014694110810113
"Whether it’s helping our neighbors after a natural disaster or defending American interests, Nebraskans know that we can depend on the men & women of @NENationalGuard to be there for us in our times of need. Thank you for your service.pic.twitter.com/Yx7dGfWLED",2017-11-08 22:38:58,173,32,928391424730652673
"The ABA purports to be a neutral arbiter, but is frankly twisting its ratings process to drive a political agenda. Here's how:pic.twitter.com/kyQgSNHOOT",2017-11-02 23:24:04,233,89,926228444999847937
"#OnThisDay 53 years ago, Reagan gave his famous “A Time for Choosing” speech. It still has much to say to us today.pic.twitter.com/4DaIpLUfUO",2017-10-27 14:17:22,3529,1861,923916535466520578
"Now that we’ve got your attention with Dr Pepper, let’s not forget the real substance from today’s hearing.pic.twitter.com/rvSmohvnnh",2017-10-18 19:57:23,956,265,920740612185444353
"Nebraskans have no patience for improper treatment of our veterans, nor for attempts to cover it up.https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=1BDD282A-D8D1-4C58-B3FC-B72AF6D6A505 …",2017-10-18 00:01:02,239,56,920439543349874690
"We celebrate the fall of ISIS in Raqqa & the liberation of the oppressed, but this is no time to let off of the gas. https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=4F76BD39-EB59-45CA-A8A2-0F6FD7E6623E …pic.twitter.com/5Xl7lAA5bF",2017-10-17 17:32:49,173,44,920341843119927296
Russia is a clear adversary in cyberspace and we can’t afford these self-inflicted injuries. https://www.sasse.senate.gov/public/index.cfm/press-releases?ID=B97F3D92-A6C1-48D8-935E-1F822754F164 …pic.twitter.com/82VCTw9vmu,2017-10-05 17:51:34,2233,1081,915997909656768512
"So, post-hack, Equifax gets $$$ in a no-bid IRS contract & potentially profits selling ID protection to hack victims? We deserve answers.pic.twitter.com/IjIvyM4hIk",2017-10-04 23:11:02,2498,1096,915715917207629824
"The Gilmores didn’t plan to adopt. But when the opportunity found them, they jumped in: https://www.instagram.com/p/BZoUAcShPIi/  #AdoptionAngelspic.twitter.com/0gPm1dbaNT",2017-09-30 00:30:05,164,24,913923872608608257
We are an economic & military superpower & trade is an effective weapon. Full statement on new North Korea sanctions:https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=EF0E5559-7573-40F3-B008-8797044821E5 …pic.twitter.com/DhRooapyu9,2017-09-21 18:04:24,198,76,910927707810213888
ISIS has lost ground in #Syria but we need a strategy to make sure that we don’t let off the gas. https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=F5731EB4-B822-4981-B414-4C4E92EFADA6 …pic.twitter.com/gU8OEKvfbS,2017-09-19 18:18:04,74,21,910206370984718342
Encouraged this year’s #NDAA includes these modest steps toward a serious cyber doctrine & an agile talent pipeline.https://www.sasse.senate.gov/public/index.cfm/press-releases?ID=7F111A10-01D9-4467-BD2F-EC4A886A1C22 …,2017-09-18 23:36:24,73,23,909924097144041472
"In our constitutional system, the government is limited & the people's rights are limitless. Happy #ConstitutionDay!pic.twitter.com/ElVrmuv9EL",2017-09-18 00:17:05,532,173,909571945452023809
#NeverForgethttps://twitter.com/SenateGOP/status/907237346025857024 …,2017-09-11 16:30:50,216,43,907280283866685445
We should fund emergency hurricane relief. We shouldn't spend other $ pretending it's emergency hurricane relief. https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=CBF86B9F-507D-4147-9053-090EBE5AB2B5 …pic.twitter.com/a3btdSfKwq,2017-09-07 15:48:02,1278,499,905819961783984128
The Pelosi-Schumer-Trump deal is bad.,2017-09-06 18:37:34,2873,1039,905500235148996608
What makes Husker football great? The same things that make Nebraska great. #GameDay #GBR #Huskers https://www.facebook.com/SenatorSasse/videos/1367950926636182/ …pic.twitter.com/2CbLJy0x7e,2017-09-02 14:42:04,157,52,903991418753921029
We need to have a “one cheer for politics” view of the world. Here’s what I mean by that:pic.twitter.com/3m41YlisqR,2017-08-31 00:25:07,330,133,903050983697072130
