Text,Date,Favorites,Retweets,Tweet ID
Today I voted to move forward our tax reform plan on the Senate floor.  Working hard to pass pro-growth #taxreform that will boost the economy and provide middle-class tax relief.,2017-11-29 23:34:07,173,24,936015445924155393
Proud of Alabama’s @TeamRedstone and their work to continue advancing the @USArmy’s capabilities in space. #SpaceWeekhttps://twitter.com/TeamRedstone/status/935209123821641729 …,2017-11-27 22:00:30,12,8,935267109889871872
Today is #SmallBusinessSaturday -  make sure to get out and support local small businesses in your community. They are the backbone of our economy. #smallbiz,2017-11-25 21:39:13,27,14,934536980377034754
Proud of the work that is already ongoing at the @MSALSeaGrant Consortium to conduct an independent estimate of red snapper in the Gulf. Great for all anglers. https://goo.gl/y7jYZk ,2017-11-17 20:39:25,8,8,931622826821505024
Thanks for stopping by!https://twitter.com/AuburnPrez/status/931200135350161408 …,2017-11-16 21:52:26,7,3,931278813794832384
"This morning I had a great meeting with Jay Powell, the President's nominee for @FederalReserve Chair. With his knowledge of monetary policy, I believe he is the right pick for this important role. Looking forward to confirming him in the Senate.",2017-11-15 23:05:49,13,9,930934893441372162
The Senate's #TaxReform plan would grow the economy by 3.7 percent and create nearly 1 million new jobs across the nation. Here's how it would impact Alabama:pic.twitter.com/SWIRK0kQ0J,2017-11-14 22:11:09,27,7,930558750171258880
Introduced Paul Williams of #Bridgeport and Davis Henry of #Selma during this morning's @EPWGOP hearing on targeted regulatory relief legislation. Appreciate their input as we work to improve conditions for small businesses in #Alabama.pic.twitter.com/HVPAvYYoW7,2017-11-14 21:20:47,8,6,930546072304406531
Pleased that POTUS has nominated Alex Azar to be the next @HHSGov Secretary. I look forward to his confirmation and will work with him to ease Americans from the burdens of Obamacare.,2017-11-14 17:18:10,15,8,930485018115411968
"Today and every day, we remember that freedom comes at a price. We owe a great debt of gratitude to those who have served our country, those who continue to serve, and those who have made the ultimate sacrifice to defend our freedoms. Thank you to our veterans. #VeteransDay2017pic.twitter.com/m1GywzG1mP",2017-11-11 14:48:35,44,15,929360208731758598
"I was honored to work with @amyklobuchar to pass this resolution, mandating anti-harassment training in the Senate.https://twitter.com/amyklobuchar/status/928780914234191872 …",2017-11-10 00:39:34,58,20,928784162127056897
"Great news - I am proud to announce that three more Alabama district judge nominees were favorably reported out of the @SenJudiciary Committee today. Congratulations to Jeffrey Beaverstock, Emily Marks, and Brett Talley. Looking forward to their confirmation by the full Senate.",2017-11-09 23:42:20,32,10,928769758345945088
"As we move forward with our efforts to reform our broken tax system, we have the opportunity to change Americans’ lives for the better. I look forward to the upcoming debate to ensure that we provide real relief to middle-class Americans. #TaxReform",2017-11-09 22:21:43,28,9,928749470053003270
"Last week, Senate Republicans confirmed 4 of @POTUS’s well-qualified, circuit court judicial nominees, despite Democrats' stalling tactics.",2017-11-07 15:21:21,61,16,927918906404147200
Great news for rural AL. @POTUS has appointed Chris Beeker of #Tuscaloosa to be AL's @usdaRD State Director. Experienced pick.,2017-11-04 20:26:12,22,12,926908458091368448
David McCurdy of #AL has been appointed by @POTUS to be State Exec. Dir. of @USDAFSA. Excellent news. Look forward to working with him.,2017-11-04 20:22:01,10,7,926907406780715010
"Pleased with POTUS's nominee for Fed Chair, Gov Jay Powell. Known him for yrs. He's well-qualified. Important position for nation's economy.",2017-11-03 23:56:20,28,17,926598952048381957
Enjoyed meeting with Colonel Eric Shafa and others from the Air Force today to discuss @MaxwellAFB. Thanks for stopping by to see me.pic.twitter.com/Xcv9VziOdd,2017-11-02 20:23:22,6,7,926182972524580866
Today I discussed my concerns with the Ex-Im Bank & urged my colleagues to support Scott Garrett's nomination.https://goo.gl/NWTEZu ,2017-11-01 22:10:04,9,8,925847435192266753
It was an honor to have had the opportunity to voice my support of Judge Terry Moorer during his confirmation hearing. Great choice for #AL.pic.twitter.com/LAVkl4apw7,2017-11-01 15:28:54,17,10,925746476684337153
Praying for those affected by the tragic attack in NYC. Thankful for first responders and law enforcement working to uncover more details.,2017-11-01 13:31:00,27,9,925716806408527873
".@BriggsStratton today announced $12M investment to expand its engine production plant in #Auburn, creating 50 new good-paying jobs.",2017-10-30 19:26:20,35,13,925081454463340545
This week I sat down with leaders from Lanett to discuss the future of the Lanett Municipal Airport. Thanks for visiting me in Washington.pic.twitter.com/Vk6EDwqYEP,2017-10-27 21:06:13,7,5,924019428496412674
I applaud President Trump and his Administration on their efforts to combat the opioid epidemic.http://goo.gl/ee2ZJD ,2017-10-26 22:35:32,38,10,923679516916101121
Great news - AL's @JudgeLilesBurke was approved today by Senate Judiciary Committee. I look forward to his confirmation by the full Senate.,2017-10-26 16:13:32,73,27,923583381987880960
Spoke on @CNN about the opioid crisis and the work my CJS Appropriations subcommittee is doing to help fight it. I support POTUS's efforts.pic.twitter.com/Ks1cB8FHbN,2017-10-26 15:54:23,51,24,923578563927986176
"Enjoyed spending time with this bright group of students from Muscle Shoals Middle School today during their visit to Washington, DC.pic.twitter.com/Iva8hC1w6h",2017-10-25 21:59:54,19,7,923308161871826944
Productive meeting today with @MayorStimpson to discuss important ongoing projects & opportunities for economic growth in #Mobile.pic.twitter.com/jjFa2su4VG,2017-10-25 19:14:42,20,12,923266587490160640
Voted to advance well-qualified nominations to @EPA & @USDOTFHWA during today's @EPWGOP hearing. Look forward to their Senate confirmation.,2017-10-25 15:06:45,9,8,923204188741521408
Emergency relief funding is critically important but it shouldn't include a bailout funded by the American taxpayer.https://www.shelby.senate.gov/public/index.cfm/2017/10/shelby-opposes-16-billion-flood-insurance-bailout …,2017-10-24 22:30:18,20,11,922953424643284994
".@SSAB_AB Americas’ is moving its headquarters to Mobile, creating jobs & promoting economic growth in #Alabama.http://www.al.com/news/index.ssf/2017/10/steelmaker_ssab_americas_to_mo.html …",2017-10-19 19:10:17,7,13,921091149493882881
Excellent news for Alabama. I am proud to have supported efforts to fund this project. #innovation #entrepreneurshiphttps://twitter.com/TommyBattle/status/920369150584938496 …,2017-10-17 21:02:58,30,7,920394728625049600
"The Administration's repeal of Obama’s intrusive “Clean Power Plan” is good news for Alabama’s energy sector & will protect jobs, consumers.",2017-10-10 18:13:49,53,19,917815445587152898
Everyone stay safe and please take proper precautions as #HurricaneNate continues to strengthen.https://twitter.com/alabamaema/status/916510796120805377 …,2017-10-07 11:16:19,20,10,916623218101940224
Proud to have introduced Judge Liles Burke at his confirmation hearing to be District Judge for the Northern District of #AL today.,2017-10-04 18:44:41,87,23,915648888547287040
"Thanks to @JusticeOIG's IG Horowitz & CIGIE team for launching https://www.oversight.gov/ , a great tool for fighting waste, fraud, and abuse.",2017-10-02 17:07:18,5,11,914899603660656640
Praying for the victims and the families of the victims involved in the tragic Las Vegas shooting. Thankful for brave first responders.,2017-10-02 11:17:37,213,56,914811602645504000
The @US_EDA just announced a $2.3m award to develop the South Industrial Park in Autauga County. Excellent news for the state of Alabama.,2017-09-28 16:37:33,24,15,913442568746278912
Enjoyed speaking to the National Independent Automobile Dealers Association today on the importance of tax reform and regulatory relief. #ALpic.twitter.com/0aCrGuKfz8,2017-09-27 17:50:58,16,7,913098653664993285
Everyone please remember to go to the polls today and cast your vote in the Alabama Senate primary runoff election. Every vote matters. #AL,2017-09-26 15:17:46,42,27,912697714693099521
"Proud to be in Huntsville, Alabama with @POTUS supporting my good friend @SenatorStrange tonight. #AL",2017-09-23 01:48:46,157,31,911406956992172032
It was a great honor to accept the 2017 Dwight D. and Mamie Eisenhower Distinguished Citizen Award at last night's @armydistaff event.pic.twitter.com/DYhtxGQgOi,2017-09-22 17:03:13,31,16,911274697815412736
.@POTUS has announced his intent to nominate Skip Thompson to be a board member of the Tennessee Valley Authority. Excellent news for #AL.,2017-09-21 20:00:29,13,7,910956920525205505
Great news from @MercedesBenz today. Look forward to their growth and expansion in our state. #AL #jobshttps://twitter.com/MercedesBenz/status/910899836886675457 …,2017-09-21 17:26:14,22,13,910918103747395584
Today I was proud to introduce Annemarie Axon during her confirmation hearing to be District Judge for the Northern District of #AL.pic.twitter.com/ilN6Er2Gdd,2017-09-20 18:22:43,31,13,910569931577667585
Great news for North Alabama. Proud to see @UAHuntsville was awarded a $20 million #EPSCoR grant from @NSF. #STEMhttps://www.shelby.senate.gov/public/index.cfm/newsreleases?ID=32D2A8EB-8048-43FA-80F7-7596D6BA6CA8 …,2017-09-19 21:31:12,15,11,910254974902431750
"Met w/ @POTUS nom for @NASA Administrator, Jim Bridenstine. We had a good meeting. I look forward to supporting him throughout this process.",2017-09-19 16:27:49,27,11,910178626540310528
.@NewFlyer broke ground today on new Vehicle Innovation Center site in Anniston. $25M investment toward American manufacturing & jobs in AL.,2017-09-15 19:44:18,18,13,908778523053223938
Richard W. Moore has been confirmed by the Senate as U.S. Attorney for the Southern District of Alabama. Great news for our state & nation.,2017-09-14 22:58:07,17,11,908464907309473792
"Today, the Senate confirmed Louis V. Franklin to be U.S. Attorney for Alabama's Middle District. Congratulations to an honorable choice.",2017-09-14 22:55:55,26,11,908464357499113474
Please stay safe and take proper precautions w/ the impending weather in #AL due to #Irma. For further assistance: https://www.disasterassistance.gov/ .,2017-09-11 23:36:11,4,8,907387326841618432
"Today marks 16yrs since the 9/11 attacks. We are reminded of the strength of our great nation, and we will #NeverForget the sacrifice made.",2017-09-11 19:43:09,23,11,907328679268810753
Brett Talley has been nominated to be District Court Judge for AL's Middle District. He’s well-served to step into this position with ease.,2017-09-07 15:06:08,10,6,905809416548691968
Pleased that Terry Moorer has been nominated by POTUS to serve as District Court Judge for AL’s Southern District. He's an excellent choice.,2017-09-07 15:05:30,8,9,905809257056088064
Great news from the White House. Emily Marks of #Montgomery has been nominated to serve as District Court Judge for AL’s Middle District.,2017-09-07 15:03:43,6,6,905808808961863680
Jeff Beaverstock of #Mobile has been nominated to be District Court Judge for AL’s Southern District. Exceptional pick by @POTUS.,2017-09-07 15:03:03,9,4,905808639058997248
