Text,Date,Favorites,Retweets,Tweet ID
BREAKING NEWS: 5.2 million seniors could see an increase in their taxes if this tax bill passes - and the Medicare they've paid into their whole lives will be slashed as well. That's unacceptable.http://thehill.com/policy/finance/362416-aarp-52-million-seniors-would-see-taxes-increased-by-gop-bill …,2017-11-30 23:47:56,477,472,936381310565744640
"HAPPENING NOW: On Sherrod’s Snapchat, we’re highlighting the 7 things you should know about the Senate Republican tax bill (and it’s not pretty). Check it out → https://www.snapchat.com/add/sensherrodbrown …pic.twitter.com/FpI7SDkwKI",2017-11-30 22:30:33,244,126,936361837167292417
"WATCH LIVE: Sherrod makes the case for his Patriot Employers Tax Credit. If we are going to cut taxes for corporations, reward those that keep jobs in this country and invest in American workers. https://www.facebook.com/SenatorSherrodBrown/videos/369940103431256/ …",2017-11-30 16:46:53,220,71,936275349901578241
"If we want to cut taxes for the middle class, let’s cut taxes for the middle class – and this bill doesn’t do that.pic.twitter.com/SavyQZT42T",2017-11-30 00:28:36,1573,699,936029158341259265
Washington politicians say they want the @CFPB to be held accountable – what they mean is they want it to be accountable to Wall Street banks.pic.twitter.com/QrzWois5wp,2017-11-29 21:33:35,412,158,935985111681597441
The best way to cut taxes for the middle class is to cut taxes for the middle class - not hand tax breaks to corporations and hope some of it trickles down. Take these CEOs’ word for it: it won’t.,2017-11-29 19:38:19,474,214,935956107406823424
"The jig is up: CEOs confirm they will spend tax cuts on shareholder profits, not increasing wages for workers or creating jobs.https://www.bloomberg.com/news/articles/2017-11-29/trump-s-tax-promises-undercut-by-ceo-plans-to-reward-investors …",2017-11-29 19:36:34,617,454,935955665864069120
HAPPENING NOW: Surprise guest Senator @CoryBooker joins Sherrod to kick off today's Facebook Live Town Hall on tax reform. https://www.facebook.com/SenatorSherrodBrown/videos/368978620194071/ …pic.twitter.com/gZEeUCWh7l,2017-11-29 15:56:02,184,31,935900164954492929
"Rather than playing politics over who runs @CFPB, @WhiteHouse needs to look out for the working families the agency serves. That means @POTUS must follow the law & nominate a permanent director immediately who will fight for working people instead of lenders that cheat them. -SB",2017-11-29 01:00:49,1157,364,935674877775814657
"I’ve stood up to presidents of both parties on trade, and I’m willing to work with @POTUS to hold him accountable for his promises to Ohio workers. -SBhttps://www.wsj.com/articles/strange-bedfellows-democrats-and-trump-blow-up-20-year-unity-on-trade-1511887447 …",2017-11-28 21:05:32,253,60,935615665272250370
Ohio! Open enrollment for 2018 health care coverage ends in less than 4 weeks. Register online at http://healthcare.gov  or find free help nearby to help you sign up → https://localhelp.healthcare.gov/#/ ,2017-11-28 16:06:24,193,164,935540388118585345
Have you submitted your questions about #TaxReform for my Facebook Live Town Hall tomorrow morning at 10:45am? Email your Qs to townhall@brown.senate.gov or comment here → https://www.facebook.com/SenatorSherrodBrown/videos/368978620194071/ …pic.twitter.com/mLiysTHXYO,2017-11-28 14:06:25,57,67,935510193420554241
"Questions about tax reform? Join me for a Facebook Live Town Hall this Wednesday at 10:45am, where I’ll answer your questions about the Senate Republicans’ tax / healthcare repeal plan. Email your Qs to townhall@brown.senate.gov or comment them here → https://www.facebook.com/SenatorSherrodBrown/videos/368978620194071/ …pic.twitter.com/qt4JN9vF1V",2017-11-28 01:52:31,152,109,935325499726888960
"Joined Ohio workers in Toledo this morning to discuss my foreign investments bill with Senator @ChuckGrassley. It’s simple – before we do business with a foreign entity, let’s make sure it will create jobs and grow the U.S. economy.pic.twitter.com/JitCX7GO8h",2017-11-27 23:16:23,259,80,935286208921513984
"WATCH LIVE: Sherrod questions the priorities of this Congress as families face losing their child’s health insurance without #CHIP funding, and working Americans face losing the financial protection of @CFPB. “People want to know, whose side are you on?” https://www.facebook.com/SenatorSherrodBrown/videos/368913820200551/ …",2017-11-27 22:11:43,198,98,935269932597764097
"This headline says it all: ""Senate GOP tax bill hurts the poor more than originally thought, CBO finds"" →https://www.washingtonpost.com/news/wonk/wp/2017/11/26/senate-gop-tax-bill-hurts-the-poor-more-than-originally-thought-cbo-finds/?undefined=&utm_term=.1d0cf26304d2&wpisrc=nl_headlines&wpmm=1 …",2017-11-27 21:25:15,440,337,935258240958521345
