Text,Date,Favorites,Retweets,Tweet ID
Important info for veterans:https://twitter.com/DeptVetAffairs/status/935977071381184513 …,2017-11-30 02:06:00,9,8,936053671103778817
Enjoyed hosting King Abdullah II and Queen Rania of Jordan in the Capitol today. I enjoy their insights on our shared goals of fighting terrorism and promoting peace.pic.twitter.com/TBytZoyKPH,2017-11-28 21:53:40,39,18,935627779382677504
North Korea missile launch underscores our need to increase defense and to reach a budget deal addressing our national security needs. Let’s find common ground on a budget deal. Soon.,2017-11-28 19:51:16,9,5,935596977877868544
Great to see work start on the @FEMA multipurpose safe room at @TupeloHigh today: http://bit.ly/2sTp4PG pic.twitter.com/Kx4Pug71cT,2017-11-28 01:48:00,12,11,935324363695431682
"As we gather with family and friends, let's be thankful for the blessings we enjoy as Americans. Have a safe & Happy Thanksgiving!",2017-11-23 14:58:00,57,15,933711234377039873
Posted:  Senate chairman's mark for FY2018 Department of Defense appropriations. @DeptofDefense http://bit.ly/2jN3mKb ,2017-11-21 20:33:25,7,6,933070869680803841
Posted:  Senate chairman's mark for FY2018 Homeland Security appropriations. @DHSgov http://bit.ly/2AZFoPg ,2017-11-21 20:30:35,7,5,933070155252486145
"The Senate Appropriations Committee today released chairmen's marks and explanatory statements for two bills:

Interior & Environment: https://www.appropriations.senate.gov/news/majority/fy2018-interior-environment-appropriations-bill-released …

Financial Services & General Government: https://www.appropriations.senate.gov/news/majority/fy2018-financial-services-and-general-government-appropriations-bill-released …",2017-11-20 20:33:14,9,5,932708436306882560
2:30 pm webcast: @JerryMoran chairs MilCon-VA approps hearing on @DeptVetAffairs effort to curb #opioid overmedication: http://bit.ly/2z1goun ,2017-11-15 19:10:41,6,3,930875722767437824
"As we honor our veterans, it’s worthwhile to hear their stories. The @librarycongress Veterans History Project is a great resource.https://twitter.com/librarycongress/status/928683619366981632 …",2017-11-11 14:14:00,31,11,929351509279612928
Happy 242nd birthday to the @USMC! Thank you for all you do to keep our country safe and free. Semper Fi.,2017-11-10 16:00:01,30,7,929015797514719232
.@SenatorWicker & I are pleased to have Chad Lamar of Oxford confirmed to be US Attorney for the Northern District of Mississippi: http://bit.ly/2hhsHYk pic.twitter.com/4UDKMoKf1c,2017-11-09 23:07:59,35,17,928761112568500224
I am optimistic about the Senate tax bill and its potential to increase economic opportunity and help Mississippi families keep more of their take-home pay: http://bit.ly/2hZVLEo ,2017-11-09 22:34:04,12,4,928752578883719169
Honor all vets on #VeteransDay2017. I commend @POTUS & @SecShulkin for Veterans & Military Families Month proclamation. #HonoringVets http://bit.ly/2jfn80V pic.twitter.com/5oO67PGuK9,2017-11-09 16:50:18,24,10,928666066406043653
Senate confirms Randy Reeves of Madison MS to take on the solemn job of @DeptVetAffairs Under Sec. for Memorial Affairs: http://bit.ly/2ztFajQ pic.twitter.com/Fj45fohdOs,2017-11-09 00:00:54,60,23,928412041165058053
"After 2013 deactivation order, #KeeslerAFB 815th Airlift Squadron 'Flying Jennies' at full strength. Thank you #AirForce: http://bit.ly/2yGuJwh pic.twitter.com/s8654yDgLF",2017-11-08 16:19:23,17,7,928295895610871814
.@FEMA Hazard Mitigation grant will fund construction of a safe room for @Starkville_City & Oktibbeha County. Another project to help keep Mississippians safe. http://bit.ly/2m13cQm ,2017-11-07 23:14:26,5,2,928037959034720256
.@SenatorWicker & I confident in Bobby Carson & John Rounsaville to lead @usdaFSA & @usdaRD agencies in Mississippi: http://bit.ly/2h3qO1i pic.twitter.com/S0ovPrBPLD,2017-11-04 13:46:45,43,15,926807932695609344
"Thank you, Secretary Mattis, for the @DeptofDefense update. I appreciate your leadership and service to our country.pic.twitter.com/JtPlYVCPB4",2017-11-03 00:38:01,84,19,926247053625253888
Pleased my staff helped Vicksburg celebrate its @RWJF Culture of Health designation; w/RWJF's Necole Irvin: http://bit.ly/2gORh2t pic.twitter.com/GdHmKq92ZA,2017-10-31 16:28:26,25,10,925399070163824641
Look forward to working with @POTUS to find solutions to the opioid crisis. It’s a problem we can’t underestimate. http://bit.ly/2i8qDSH ,2017-10-26 19:23:17,35,11,923631135107796992
Pleased @VAChair advances Randy Reeves of MS nomination to be @DeptVetAffairs Under Secretary of Memorial Affairs.  http://bit.ly/2y4x4AQ pic.twitter.com/peSpyzYzAi,2017-10-25 20:05:30,22,12,923279373163253761
Pleased Senate approved additional resources to help communities recover from devastating hurricanes and wildfires. http://bit.ly/2yNMhFD ,2017-10-24 21:54:59,19,10,922944534199328768
"Good to see Natchez, Adams County & state working to improve region's economy w/ #biofuel refinery. @natchezdemocrat http://bit.ly/2i2EZnh pic.twitter.com/EyuhJnkL9d",2017-10-24 17:12:13,28,21,922873377123127297
"Thank you, Governor. Enjoyed talking with you and look forward to continuing our work together.https://twitter.com/PhilBryantMS/status/921449688695439360 …",2017-10-20 19:17:21,51,20,921455315727650817
Pleased to vote for #budget blueprint giving Congress an opportunity to pass comprehensive #taxreform. http://bit.ly/2xRPIXC pic.twitter.com/hVxFrMyFVY,2017-10-20 01:40:01,43,18,921189229882994690
"Enjoying spending time today with my brother Nielsen, former Mississippi Public Service Commissioner.pic.twitter.com/taML77fzmx",2017-10-13 18:43:41,119,33,918910126727319552
Happy 242nd birthday to the @USNavy! Thank you for all you do to keep our seas and skies safe and free.pic.twitter.com/jTRPx01FAj,2017-10-13 17:26:10,32,16,918890619002589184
"NEWS: Senate Appropriations Committee markup for the FY18 Interior & FY18 Homeland bills set for Thursday, Oct. 19. http://bit.ly/2xCFoHS ",2017-10-12 20:33:39,5,6,918575415261892608
A salute to all those who toil to produce the food and fiber that keeps Mississippi & the USA strong. #NationalFarmersDaypic.twitter.com/t9eiooSAto,2017-10-12 16:51:14,38,17,918519442316910592
@SenatorWicker @CongPalazzo & I ready to work w/federal & state agencies for a strong response to #HurricaneNate. http://bit.ly/2yyCF28 pic.twitter.com/mrTlARBseN,2017-10-08 16:20:00,12,6,917062030758170626
"As Hurricane Nate approaches Miss., these emergency management Twitter accounts can help you stay safe and informed:https://cards.twitter.com/cards/3oqo9s/4vrqq …",2017-10-07 19:40:41,13,17,916750143520759809
"Manufacturing in Mississippi is making a difference:  creating jobs, improving our economy and improving our quality of life. #MFGDay17pic.twitter.com/xg34EZnUS3",2017-10-06 18:00:07,35,17,916362446666858496
"Mississippians, as Hurricane Nate approaches the Gulf Coast, please pay attention to @MSEMA and state and local instructions and updates.pic.twitter.com/iacrnCvz33",2017-10-06 15:47:00,17,12,916328950162485248
Thrilled that @UMMCnews will be leading telehealth in the US. Watch live at 1:30 ET w/ @GreggHarper @SenatorWicker:https://www.youtube.com/watch?v=3LMuGruN0zM …,2017-10-05 13:25:59,28,25,915931072889786369
I encourage Congress to act swiftly to ensure those affected by natural disasters receive the assistance they need: http://bit.ly/2xhHUy6 ,2017-10-04 21:55:53,25,5,915697007167238145
Pleased the Senate has confirmed Mike Hurst to be US Attorney for Mississippi's Southern District. w/@SenatorWicker http://bit.ly/2xUAW4e pic.twitter.com/IGw51WRFQm,2017-10-04 15:22:40,50,11,915598046859268096
Americans can know catfish is safer to eat with USDA inspections. 88 tainted shipments stopped in 30 days: http://bit.ly/2yW8b71 ,2017-10-03 19:29:34,43,23,915297793929105414
There's no excusing the horror that occurred in Las Vegas. Let's unite to condemn this evil and pray for the victims and their families.,2017-10-02 16:09:00,136,36,914884933910482946
Senate-passed CHRONIC Care Act has #telehealth benefits for seniors; based on bill @SenatorWicker & I sponsored. http://bit.ly/2fXmtfO pic.twitter.com/RYdOM8CU6B,2017-09-29 15:50:58,22,14,913793230235463680
"I appreciate the kind thoughts and support from so many people, and look forward to returning to the Senate on Oct. 16.pic.twitter.com/y8xw4QsY0s",2017-09-28 20:58:57,53,20,913508351333617665
The tax reform framework unveiled today can promote economic growth. I'm excited about the possibilities for American families & businesses.pic.twitter.com/DH56G3BO2Z,2017-09-28 00:59:00,19,11,913206374796062720
"Happy to honor Angel in Adoption Tana Walker of Wiggins, a tireless advocate for children & families. @CCAInstitute http://bit.ly/2xGmOgu pic.twitter.com/L9PLC3apCX",2017-09-27 18:33:49,15,7,913109438508216320
"Thanks for the well-wishes. I'm not hospitalized, but am recuperating at home in Mississippi and look forward to returning to work soon.",2017-09-27 18:12:57,1734,552,913104187105345537
"Pleased Jackson's Sonny Montgomery VAMC is going the extra mile to accept veteran patients from #PuertoRico, St. Croix after #HurricaneMariapic.twitter.com/znG1Bm98Oh",2017-09-26 21:59:34,34,13,912798828214018049
This program can benefit our state and the nation. I'm pleased UMMC and Miss. State are working  cooperatively on this important challenge.https://twitter.com/UMMCnews/status/910946752043163648 …,2017-09-22 17:12:01,41,13,911276913070555137
"Let's honor the @Keesler_AFB 53rd Weather Reconnaissance Squadron #Hurricane Hunters, whose work helps save lives:  http://bit.ly/2wFxayd pic.twitter.com/UPgl8tonm3",2017-09-22 14:32:08,115,36,911236678693638145
The Prudential Spirit of Community Awards can be a great scholarship opportunity for MS youth. @PruSpirit info here: http://bit.ly/2jKPBLK pic.twitter.com/eIf9I6TSz5,2017-09-21 01:32:00,19,8,910677964483891200
Harnessing seaweed for energy and other uses is the goal behind @SouthernMiss research grants from @ENERGY @ARPAE. http://bit.ly/2hgNzOP pic.twitter.com/d3n55bm7sI,2017-09-19 20:05:59,13,5,910233530009096193
.@SenatorWicker and I are proud of the @CityofVicksburg for earning @RWJF #CultureofHealthPrize honors:  http://bit.ly/2xNHYdT pic.twitter.com/st3LdhY1AN,2017-09-19 17:35:26,11,5,910195641346920449
"Proud to see Miss. efforts supporting #HurricaneIrma response, including the Kiln-based @USCG Port Security Unit 308 in the Florida Keys.pic.twitter.com/mjPmFQNLMz",2017-09-18 22:14:27,19,8,909903472627212291
"Happy 70th birthday, @usairforce! Mississippi is proud of the brave men and women whose selflessness and service keep our country safe.",2017-09-18 20:12:26,24,9,909872766463201283
.@FAANews invests more in Meridian's Key Field. w/@SenatorWicker @GreggHarper @nationalguardMS http://bit.ly/2xVZ4Dc ,2017-09-08 21:48:59,11,3,906273186018447360
Pleased intern & @MsStateAgEcon major Hannah Berny represented me this week at a @4H Alumni Medallion meeting. We're proud to be #4HGrown.pic.twitter.com/tqZ68N26Ge,2017-09-08 19:07:18,29,12,906232493879197696
The Senate FY18 Labor HHS Education Approps Bill and report now available. @USDOL @HHSgov @usedgov http://bit.ly/2gOKt4L pic.twitter.com/r85ekH5wKK,2017-09-08 17:33:03,7,5,906208776142954496
The Senate FY18 @StateDept Foreign Operations Appropriations Bill and report now posted. @USAID @LindseyGrahamSC http://bit.ly/2f9u8HK ,2017-09-08 17:15:54,2,4,906204461747580928
.@SenatorLeahy & I renew a push to expand the @USDA Farm to School program. Good for local farmers & good for kids. http://bit.ly/2vJO3mR pic.twitter.com/o7aGmC3h3T,2017-09-07 22:47:04,38,17,905925414383702016
I'm happy the Senate overwhelmingly passed #hurricane relief funding and legislation to meet the nation's fiscal obligations.,2017-09-07 19:37:13,14,5,905877636886474752
10:30 am webcast: Senate Approps marks up FY18 @StateDept Foreign Ops & FY18 @USDOL @HHSGov @usedgov approps bills: http://bit.ly/2vIUeM9 ,2017-09-07 14:14:48,3,4,905796498629304321
The serious nature of the natural disasters and fiscal commitments before us demand Congress act without delay. https://www.appropriations.senate.gov/news/majority/cochran-advocates-swift-senate-action-on-hurricane-response-debt-ceiling-government-operations …,2017-09-07 12:31:26,11,8,905770483953618944
"ICYMI last night: Senate to take up legislation for hurricane response, debt ceiling, and government funding.

Text: http://bit.ly/2gPnBFH ",2017-09-07 12:28:14,7,8,905769678664028160
2:30 pm webcast: @LindseyGrahamSC chairs subcommittee markup of the FY18 @StateDept ForeignOps Appropriations Bill: http://bit.ly/2vIUeM9 ,2017-09-06 18:16:45,2,3,905494996098445313
ICYMI: Time change for FY18 State-Foreign Ops Approps Bill subcommittee markup: 2:30 pm today w/@LindseyGrahamSC. http://bit.ly/2vIUeM9 ,2017-09-06 15:51:06,3,3,905458343602397185
11 am webcast: @RoyBlunt leads subcommittee markup of the Senate FY18 @USDOL @HHSgov @usedgov Appropriations Bill: http://bit.ly/2w4ammH ,2017-09-06 14:49:25,4,5,905442822370754560
Senate Appropriations prepared to take up $7.85b supplemental request for #HurricaneHarvey relief. @POTUS @fema http://bit.ly/2gr9KBH ,2017-09-02 01:48:21,30,26,903796707091255297
"Happy 227th Birthday to @USCG.  We thank all the brave men & women of the US Coast Guard, past and present. Mississippi supports you. #CG227pic.twitter.com/ZaEUgws2Ih",2017-08-04 19:57:35,27,8,893561575973564416
