Text,Date,Favorites,Retweets,Tweet ID
Need help with a federal agency? Members of my staff will be holding mobile office hours in Marion County today at 11am.pic.twitter.com/peQBbICOog,2017-11-30 15:15:02,6,4,936252237730467840
Wrote a thank you note to our servicemen & women serving overseas this holiday season at the @RedCross Holiday Mail for Heroes event. There is not enough we can say to thank our troops for their selfless service.pic.twitter.com/ZwttQ28ZlH,2017-11-29 23:30:01,27,6,936014414037237761
"With today’s Senate vote, I’m encouraged to be one step closer to providing Hoosiers, and all Americans, with a tax code that is simpler, fairer, & allows them to keep more of what they earn.",2017-11-29 23:25:10,113,26,936013195952709632
"Introduced fellow Hoosier, Alex Azar, in this morning’s @GOPHELP hearing on the @HHSGov nominee. He is an extremely qualified nominee & an outstanding choice to lead this critical agency.https://youtu.be/l7MLhJDctrU ",2017-11-29 17:04:02,3,5,935917277735800833
"Hard-working Hoosiers want a tax code that is simpler, fairer, and allows them to keep more of their money. Now is the time to take action that will provide relief, boost our economy, and help our small businesses grow.pic.twitter.com/7TsGW3QdBP",2017-11-29 15:06:37,119,33,935887731259043840
Encouraged the House passed the Law Enforcement Mental Health and Wellness Act that I introduced with @SenDonnelly. The mental health and wellness of our law enforcement officers needs to remain a priority:http://goo.gl/cP7qkd ,2017-11-28 23:49:27,43,13,935656918164570112
Spoke with @HCSindy senior government students via Skype. Excellent conversation as they learn about Congress this week in class.pic.twitter.com/wAnzHAmlng,2017-11-28 22:20:56,13,5,935634642312617984
"Today is #GivingTuesday, a good reminder of the importance of helping our friends and neighbors in need.",2017-11-28 16:30:00,34,9,935546327894765568
Watch live @ 10:30am as I join @SBALinda & my Senate colleagues to talk tax relief for Indiana #SmallBiz & job creators like Debbie from Marysville. http://goo.gl/b7Ywx3 ,2017-11-28 15:01:05,18,10,935523950234349568
Today I visited with @INGuardsman who are serving at @FtMeadeMD. These Hoosiers are working to improve our cyber capabilities and keep our country safe. http://goo.gl/9Mssbi pic.twitter.com/t9bd8HgP2a,2017-11-27 23:24:49,16,7,935288330614378496
Congratulations @MarianWSOC on a great season.https://twitter.com/MUKnights/status/935232580298866689 …,2017-11-27 20:57:49,49,7,935251336198795264
"As someone who grew up in a small biz family, I know that small businesses are the lifeblood of Indiana’s economy. #TaxReform #SmallBizSatpic.twitter.com/vy5eEFToIi",2017-11-25 15:30:05,44,14,934444085804281856
"As we give thanks today, I wish all Hoosiers a happy & safe Thanksgiving with your loved ones.pic.twitter.com/Tr50iJJGbt",2017-11-23 15:00:04,57,10,933711754252525568
That's a big reason why I led a bipartisan letter to UN Ambassador @nikkihaley & helped intro a bill that would impose targeted sanctions & travel restrictions on senior Burmese military officials. More here:https://www.young.senate.gov/newsroom/press-releases/young-helps-introduce-new-sanctions-legislation-targeting-the-burmese-military …,2017-11-22 20:41:01,4,4,933435167645020160
This is an important first step toward holding the perpetrators accountable. I will continue to do all I can to be responsive to my many constituents & fellow Hoosiers with friends and family in Burma.,2017-11-22 20:39:55,11,2,933434894302240769
I applaud the administration's decision to call the Burmese military's atrocities against the Rohingya what they are: ethnic cleansing.https://twitter.com/statedept/status/933338211467911170 …,2017-11-22 20:34:53,37,8,933433626104160258
I’m proud to announce U.S. service academy nominations for 43 exemplary high school senior candidates from across Indiana. These young men and women should be commended for their hard workhttp://goo.gl/kSe4rq ,2017-11-20 22:00:16,59,8,932730335930060802
"If the Saudis fail to take these steps, bipartisan outrage will grow & I will work with the Trump administration & Congress to take appropriate action.",2017-11-20 02:48:23,27,18,932440457988190208
"That includes opening all Red Sea ports, ending travel restrictions on journalists & permitting U.S.-funded cranes to the port of Hodeidah.",2017-11-20 02:47:19,24,13,932440188231577600
I renew my call on Riyadh to immediately and fully end all impediments to the delivery of humanitarian aid in Yemen.,2017-11-20 02:46:40,43,27,932440023412166657
Tonight's @60Minutes shed light on Yemen's humanitarian crisis. Each day Saudi Arabia's blockade continues millions of innocent people suffer.https://www.cbsnews.com/news/when-food-is-used-as-a-weapon/ …,2017-11-20 02:45:48,62,53,932439808542158848
"Tonight’s episode of @60Minutes will shed light on the humanitarian crisis in Yemen, which I have been very outspoken on:https://www.cbsnews.com/news/how-yemens-civil-war-is-starving-its-children/ …",2017-11-19 14:00:00,163,130,932247088363999232
Joined @GovHolcomb & @SenDonnelly on the field for the national anthem. Looking forward to a good game.pic.twitter.com/i7lVtpsVL7,2017-11-18 21:14:25,53,13,931994024017358849
Great to see @NotreDame president Father Jenkins at the @NDFootball game vs my alma mater @NavalAcademy.pic.twitter.com/LkwqfFxmYX,2017-11-18 21:09:57,27,5,931992899012694018
Scott County Sheriff Dan McClain’s nomination by @POTUS for U.S. Marshal for the Southern District of Indiana is welcome news:https://www.young.senate.gov/newsroom/press-releases/young-donnelly-welcome-scott-county-sheriff-mcclains-nomination-as-us-marshal …,2017-11-18 17:00:03,11,8,931930008700022784
Joined @WSBT ahead of my visit to South Bend this week to hear what #TaxReform means to Hoosiers.pic.twitter.com/eVPs9TQeVT,2017-11-18 15:00:06,10,6,931899821857763328
