Text,Date,Favorites,Retweets,Tweet ID
I voted against the motion to proceed on the Republican #taxreform plan because I haven’t seen a final bill. I’m still trying to work w/ my R colleagues & @realdonaldtrump to find a bipartisan way forward.,2017-11-29 22:35:06,1080,208,936000595592470531
I want to do something for the people of #WV & this country & I want to do it in a bipartisan way. #taxreformpic.twitter.com/gvTYo59GLm,2017-11-28 21:29:08,191,40,935621607627862023
I want to do something for the American people & this country. And I want to do it working together.,2017-11-28 16:39:12,69,12,935548642169118720
"I’ve reached out, I want to have an agreement on #taxreform - it should be a bipartisan pathway.pic.twitter.com/nKn7ZfowDj",2017-11-28 16:38:03,229,44,935548353068388357
Small businesses are the heart of #WV - be sure to support them this holiday season & especially this #SmallBizSaturday #ShopSmall,2017-11-25 15:20:13,146,31,934441602747195393
"If you can count your blessings, you can share your blessings. As we gather around the dinner table this #Thanksgiving I encourage you to reflect on your blessings.",2017-11-23 14:00:06,161,24,933696661976596481
"For the 12th year in a row, I joined the tireless volunteers at Union Mission in Charleston to serve Thanksgiving lunch. Their dedication embodies the true spirit of Thanksgiving!pic.twitter.com/mvsVJ26vZR",2017-11-22 18:12:42,215,24,933397843645206529
"78 coal miners, including my uncle & classmates, lost their lives in the Farmington Mine Disaster in 1968. Today we pray for their loved ones & for the continued safety of our miners.",2017-11-20 13:30:03,308,47,932601936473350144
I talked to @WeijiaJiangTV about the incredible work @MinedMinds is doing in #WV with our coal miners.pic.twitter.com/TLi9xnqhSw,2017-11-15 21:44:31,42,14,930914436721860609
This morning I’m talking with @rollcall & @tonygnoffo about the role #WV coal will continue to play in our nations energy future #EnergyDecodedpic.twitter.com/sDeSZgaKNm,2017-11-15 14:00:39,23,6,930797701154865154
"Tonight I joined @SenCapito, Sec. Kathleen Sebelius, Chief Rader, Judge Keller, Necia Freeman & Elaine Mcmillon Sheldon for a screening of Heroin(e) followed by a discussion about what more we can do to beat this epidemic in #WV & across the country.pic.twitter.com/27XANeLW0Y",2017-11-15 02:05:50,48,7,930617811457708032
Requiring @HHSGov & @samhsagov to weigh mortality rate & lack of access to services when allocating CURES funding will help ensure that this funding goes to the places that need it most - like #WVhttp://bit.ly/2hu7T01 ,2017-11-14 21:32:55,13,6,930549128374910976
"On the 47th anniversary of the tragic, @marshallu plane crash we are reminded that the Marshall story is one of perseverance, courage & the incredible spirit of a community determined to overcome & succeed. Today we are all Marshall. #WeAreMarshallpic.twitter.com/BT4WwAXqyD",2017-11-14 19:33:41,165,56,930519122407981057
Today I asked Director Córdova to meet with me to discuss the proposed change to @NSF's long-standing relationship with #WV @GrnBnkTelescope. MORE:http://bit.ly/2ADWa7b ,2017-11-13 23:17:00,14,2,930212933514051584
