Text,Date,Favorites,Retweets,Tweet ID
Had a great talk with His Majesty King Abdullah II of Jordan and several other members of the Senate Intelligence Committee yesterday afternoon.pic.twitter.com/0ToPBQVYm0,2017-11-30 21:10:02,24,9,936341574929338368
"Looks like someone decorated The Thing for my birthday. Maybe these decorations will help hold it together for another year. Plus, I sure do appreciate the snack. It might be a long one in the Capitol tonight.pic.twitter.com/Tzqjfu2mPV",2017-11-30 16:38:10,75,13,936273158323232771
"After 48 long days and overwhelming poll results, The Thing finally got some sunshine yesterday. She really enjoyed the fresh air.pic.twitter.com/XzzqH5puDi",2017-11-29 18:28:39,70,16,935938575065079808
"I've introduced legislation, along with Senators @KamalaHarris, @AmyKlobuchar, and @RepSpeier, that would make sharing explicit content without the consent of those involved a federal crime. Enough is enough.http://dailycaller.com/2017/11/28/bipartisan-group-of-senators-introduce-revenge-porn-bill/ …",2017-11-28 20:05:00,122,21,935600434718310400
The #TaxCutsandJobsAct brings relief to all income levels - via @IBDeditorials: The Latest Tax Cut Lie: The Senate Bill Will Hurt The Poorhttps://www.investors.com/politics/editorials/the-latest-tax-cut-lie-the-senate-bill-will-hurt-the-poor/ …,2017-11-28 18:24:01,27,18,935575019270344705
via @TheHill: Multiple State Treasurers Agree - Congress Should Pass Commonsense ABLE to Work Act to Empower Individuals with Disabilitieshttp://thehill.com/blogs/congress-blog/labor/358314-congress-should-pass-commonsense-able-to-work-act-to-empower …,2017-11-28 17:04:30,16,12,935555009848250369
"The average family of four will see a $2,200 per year tax cut, which represents a nearly 60 PERCENT reduction. These savings are vital to getting Americans back on their feet and getting the economy growing again. #TaxCutsandJobsAct #TaxReformpic.twitter.com/tNjki9gMhl",2017-11-27 21:16:54,11,10,935256140514021381
"Individuals and families in literally every income bracket will receive relief under the #TaxCutsandJobsAct and by doubling the standard deduction, the zero tax bracket is expanded, reducing or eliminating federal income taxes for millions of Americans. #TaxReformpic.twitter.com/mbezYpQMpA",2017-11-27 21:07:47,19,18,935253846745604099
I'm excited to get back to work this week on the Senate's historic opportunity to reform our tax code. The #TaxCutsandJobsAct will bring relief to millions of middle-class Americans who deserve to keep more of their hard-earned dollars. #TaxReform @GOPSenFinance,2017-11-27 20:57:06,57,15,935251157907312640
"I’m thankful today for our country’s service members serving all across the world, away from their families, keeping America safe. We wouldn’t be able to celebrate today without their incredible sacrifices. Happy Thanksgiving to all! #HappyThanksgiving2017",2017-11-23 14:48:09,192,28,933708757292539921
"Happy 228th Birthday to the State of North Carolina! On November 21,1789, North Carolina ratified the Constitution and joined the Union. I, for one, am glad they did.pic.twitter.com/ql2rln5wQi",2017-11-21 19:29:24,163,51,933054757861765120
So proud to see TEN North Carolina Universities make the list of @MilitaryTimes' 218 Best Colleges of 2018. Very thankful for all of the great universities throughout our State!https://www.militarytimes.com/education-transition/rankings/2017/11/20/218-schools-make-military-times-best-colleges-2018-rankings/?utm_source=Sailthru&utm_medium=email&utm_campaign=EBB%2011.21.2017&utm_term=Editorial%20-%20Military%20-%20Early%20Bird%20Brief …,2017-11-21 17:38:04,26,9,933026742649982977
"@SenatorBurr, @McCaskillOffice Aim to Close Health Care Law Loophole with Bipartisan Bill: 

https://www.burr.senate.gov/press/releases/burr-mccaskill-aim-to-close-health-care-law-loophole-with-bipartisan-bill …pic.twitter.com/qsoD4UPtNQ",2017-11-20 21:26:52,31,15,932721933937934336
"I'm excited by @GOPSenFinance's progress last night by passing the #TaxCutsAndJobsAct. This bill is a historic opportunity to help Americans across the country save their hard-earned money. 

https://www.burr.senate.gov/press/releases/sen-burr-statement-on-finance-committee-approval-of-tax-cuts-and-jobs-act-historic-opportunity …pic.twitter.com/XlVEDepviK",2017-11-17 18:44:18,100,34,931593857200021506
via @WashTimes: GOP Senators: Dems Can Help Us Make Individual Tax Cuts Permanenthttps://www.washingtontimes.com/news/2017/nov/15/gop-dems-help-make-individual-tax-cuts-permanent/ …,2017-11-15 19:37:10,13,8,930882386505674753
"A great sign to see @NFIB endorsing the Senate's modified tax legislation:
https://www.finance.senate.gov/chairmans-news/nfib-endorses-senate-tax-billhttps://www.finance.senate.gov/chairmans-news/nfib-endorses-senate-tax-bill …pic.twitter.com/O3NWB5ZxVJ",2017-11-15 19:35:38,17,8,930882002471079936
It’s been a few weeks since I’ve driven The Thing. Should I take her for a spin today?,2017-11-15 13:38:55,27,13,930792230058676224
North Carolinians are the winners with the Senate's #TaxReform legislation. The numbers are cut and dry. @GOPSenFinance #TaxCutsAndJobsActpic.twitter.com/Qr5PBxPZJB,2017-11-14 16:27:53,44,18,930472361836630024
Via @TheHill: Analysis: All Income Groups Would See Tax Cuts Under Senate Billhttp://thehill.com/policy/finance/359984-jct-all-income-groups-would-see-tax-cuts-under-senate-bill …,2017-11-13 17:46:00,9,9,930129635672842241
"Via @Politico: Middle Class Biggest Winners in Senate Tax Plan, Study Sayshttps://www.politico.com/story/2017/11/12/tax-middle-class-republicans-244815 …",2017-11-13 17:26:00,49,24,930124601757073410
"According to the @TaxFoundation, North Carolina adds more than 27,000 jobs and the average middle-income family saves roughly $2,300. #TaxReformhttps://taxfoundation.org/senate-tax-cuts-and-jobs-act-state-impact/ …",2017-11-13 17:05:35,22,13,930119463097323520
