Text,Date,Favorites,Retweets,Tweet ID
"Tonight in the 5:00pm ET hour I’ll be joining Chuck Todd on @MeetThePress to talk about the rushed #GOPTaxPlan and the real, negative consequences this bill will have on the middle class and #SmallBusinesses.",2017-11-30 21:09:49,28,12,936341520822755328
It’s the middle class who’s hurting. Corporations are making huge profits. But the #GOPTaxBill gives away deductions that have protected the middle class for 100 yrs to pay for corporate tax breaks.  I fight for these deductions on Senate floor at 3pm PT http://bit.ly/2BAjtiE ,2017-11-30 20:59:02,79,49,936338806055325697
SOON: We are rallying against Republican’s sneak attack against the #Arctic Wildlife Refuge. We cannot allow drilling in one of the most intact ecosystems we have on the planet. Watch live here: https://www.facebook.com/senatorcantwell/ …,2017-11-30 17:21:00,179,59,936283936589672448
@thenewstribune: “Charging visitors nearly 200 percent more to enjoy many of America’s transcendent open spaces is a harsh and ultimately ineffective idea” #HikeTrailsNotFeeshttp://www.thenewstribune.com/opinion/article186176213.html …,2017-11-30 04:06:00,3,4,936083868230221825
Opening the #ArcticRefuge would never be approved under regular order in the Senate so they are using a backdoor scheme to sneak it through. I will be fighting on the Senate floor to stop this. #ProtectTheArctichttps://www.seattletimes.com/seattle-news/environment/the-arctic-national-wildlife-refuge-might-be-opened-to-drilling-heres-what-sen-maria-cantwell-has-to-say/ …,2017-11-30 02:07:00,813,420,936053922476806145
Tearing down the free and #openinternet jeopardizes the access and innovation that have driven the Internet economy to become a trillion-dollar economic powerhouse that employs millions of Americans. #protectnetneutrality,2017-11-29 20:12:00,296,130,935964584099291136
Here is a chart for Senator Cruz. We need tax reform that invests in the middle class and grows our economy from the middle out. #taxdebatepic.twitter.com/XApdXts4eo,2017-11-29 03:23:50,473,317,935710869329186816
"Let’s not be afraid of this transition to a modern economy for the middle class, let’s prepare by training our workers, providing affordable housing, and making our economy grow. #CNNTaxDebate #GOPTaxBill",2017-11-29 03:18:01,90,31,935709404544028673
"Thanks for your service and your question, Victor from Snohomish. I have faith in you and I have faith in us. #CNNTaxDebate #GOPTaxBill",2017-11-29 03:17:48,58,9,935709349636464641
The #GOPtaxplan will raise health care costs on middle-income Americans. The nonpartisan @USCBO says that this policy will raise premiums by an average of 10 percent EVERY YEAR in the coming decade.,2017-11-29 03:05:05,85,70,935706151051825152
"The #GOPtaxplan gives more than a trillion dollar tax break to Wall Street, but leaves Main Street behind. We need a tax bill that supports small businesses so Main Street can thrive #TaxDebate",2017-11-29 02:52:18,163,90,935702933961928707
You'd think we can sell this president on more #Apprentices in America  #CNNDebateNight #GOPTaxBill,2017-11-29 02:46:37,43,13,935701501862993921
"We need to invest in education, job training, working toward the future, not corporate tax breaks. I want to work with Sen. Scott to boost #apprenticeships.",2017-11-29 02:45:07,126,50,935701126271459328
"We need to be investing in the middle class, not giving more handouts to corporations  #TaxDebate",2017-11-29 02:43:25,3434,987,935700696405626880
Couldn't agree more with Mr. Mendels: corporate tax breaks don't lead to higher middle-class wages #CNNDebateNight #GOPTaxBill,2017-11-29 02:40:28,110,56,935699957079789568
"Joe Fugere, a small business owner and the founder of @MyTuttaBella is joining me as a guest at tonight’s #taxdebate. Joe knows gouging middle-class Americans to give tax breaks to corporations is just WRONG.",2017-11-29 02:35:37,65,22,935698734951919617
"Sen Scott is wrong on SALT: 86% of those who take the deduction earn under $200,000 according to the IRS #CNNDebateNight #GOPTaxBill",2017-11-29 02:31:29,107,60,935697696068907008
The GOP is trying to pass this bill in the dark of night. They need to slow down and understand what it means. #GOPTaxBill #CNNDebateNight,2017-11-29 02:26:40,276,150,935696481000067073
"FACT: If state and local deductions are repealed, almost 30% of taxpayers, including individuals in very state and in all income brackets, would be adversely impacted. #TaxDebate",2017-11-29 02:21:34,1511,740,935695198658625536
From my opening statement: @CNN #taxdebate: We are a great society in the USA but we shouldn’t be a 1% society. We should have an economy that works for everyone.,2017-11-29 02:09:26,284,112,935692143590625280
"The #GOPTaxBill will have real, negative consequences for great community businesses like Seattle’s @mytuttabella and its employees. That’s why one of my guests at tonight’s #taxdebate is Joe Fugere, Tutta Bella’s founder and a small business leader.",2017-11-29 01:55:00,68,37,935688513881759744
Michael Orbino is in the audience at @CNN #taxdebate tonight. Michael is a real estate broker in Puget Sound and he can tell you first-hand: #GOPTaxBill will hurt middle-class families’ dreams of homeownership.,2017-11-29 01:50:00,116,56,935687254856445952
"At 6pm PT, I will be joining Senator Bernie Sanders on @CNN to debate Senators Cruz and Scott on the GOP's dark-of-night tax plan. It is not right that the Republican tax plan pays for corporate handouts on the backs of middle-class families.https://twitter.com/CNN/status/935652107025375233 …",2017-11-29 00:31:41,252,94,935667546212261889
Congrats to the Port of @Pasco_WA for being chosen as the as 2017 Port of the Year by @WAPorts! Was proud to be with you to break ground on the new airport and look forward working with you more to bolster the Tri-Cities economy. http://www.nbcrightnow.com/story/36933600/port-of-pasco-chosen-as-washington-public-port-of-the-year …pic.twitter.com/5LPOVPabKf,2017-11-28 22:41:50,15,10,935639902556999680
I will do everything I can to block drilling in one of the most intact ecosystems we have on the planet. Retweet to join me in the fight to protect the Arctic Wildlife Refuge.,2017-11-28 20:07:00,2133,1592,935600937325826049
