Text,Date,Favorites,Retweets,Tweet ID
"How the #GOPTaxPlan would create an enormous new ""fiscal cliff"" in Congress:pic.twitter.com/BaL5eQBm4Y",2017-11-30 21:44:53,10,7,936350345529307136
"The #GOPTaxPlan will not pay for itself in economic growth. The truth is, any economic growth from this bill would be swamped by the deficits it creates.https://www.washingtonpost.com/news/wonk/wp/2017/11/30/senate-gop-tax-plan-would-fall-1-trillion-short-of-trump-administrations-promises-congress-tax-analyst-says/?utm_term=.50c1b2c39b1d …",2017-11-30 21:31:37,14,9,936347005638635522
"The #GOPTaxPlan's individual tax provisions are temporary while the tax cuts for corporations are permanent. How does that meet any reasonable definition of ""fair""?https://twitter.com/SenateDems/status/936328061976563713 …",2017-11-30 20:23:54,30,17,936329965959811072
It is completely irresponsible to sacrifice our national treasures to offset a tax cut for corporations and the wealthiest Americans. We must #ProtectTheArctic.pic.twitter.com/pFqUm6qlWX,2017-11-30 18:47:47,62,35,936305776901214210
"At worst, making the individual tax provisions expire is a sneaky way to increase taxes on American families—all in order to pay for a permanent and expensive corporate tax cut. 

Either way, the result is unconscionable and a total affront to fiscal responsibility.https://twitter.com/SenatorCarper/status/936275841205571584 …",2017-11-30 16:49:41,37,32,936276057619161088
"At best, making the individual tax provisions in the #GOPTaxPlan expire is an elaborate scheme to hide the true cost of this bill, obscuring the fact it would add much more to the debt—possibly twice as much—than the $1.5 trillion that’s been advertised.https://www.washingtonpost.com/news/wonk/wp/2017/11/30/republicans-explain-why-their-tax-cuts-are-temporary-but-not-really-temporary/?utm_term=.d4e7bdf39eb8 …",2017-11-30 16:48:50,27,41,936275841205571584
"So up to the Senate Floor the GOP flew, with their sleigh full of skinny repeal, and a partisan tax bill, too. Disguised as a Christmas gift for people like you, but with terrible consequences if the bill does go through. ",2017-11-29 23:17:42,139,63,936011317277847552
"We should be working together in Congress to open more doors for our nation's graduate students—America's future leaders, experts, innovators and entrepreneurs. The House #GOPTaxPlan does just the opposite. #SaveGradEdhttps://n.pr/2zAvs1K ",2017-11-29 20:02:16,29,18,935962131878604800
"At the same time, the #GOPTaxPlan would actually increase taxes on millions of Americans beginning next year. By 2027, most people earning less than $75,000 a year would be worse off. 

None of this meets a reasonable definition of ""fair.""https://twitter.com/SenatorCarper/status/935945881941106688 …",2017-11-29 19:06:41,19,15,935948143329468418
"Within 10 years, more than 77% of the tax cuts in the #GOPTaxPlan would go to the wealthiest 5% of Americans. Nearly 62% of the tax cuts would go to the wealthiest 1% of Americans.http://wapo.st/2zGAlar?tid=ss_tw&utm_term=.22f3170ab7e4 …",2017-11-29 18:57:41,33,39,935945881941106688
"Non-partisan @USCBO analysis: a repeal of the Affordable Care Act's individual mandate would cause 4 million Americans to lose health insurance by 2019. By 2027, 13 million Americans would lose their health insurance. https://www.cbo.gov/system/files/115th-congress-2017-2018/reports/53300-individualmandate.pdf …",2017-11-29 17:03:29,9,10,935917141353746433
"Kathleen Hartnett White's nomination was just reported out of the EPW Committee. If she is confirmed by the Senate, I believe we will have failed in our responsibility as United States Senators to provide advice and consent, and we will have failed the American people.",2017-11-29 15:49:14,125,77,935898456283144193
"Kathleen Hartnett White has called for the repeal of the Renewable Fuels Standard repeatedly over the past decade, stating the program is ""counterproductive,"" ""ethically offensive"" and ""destructive.""",2017-11-29 15:37:50,9,16,935895585248378880
Kathleen Hartnett White has repeatedly contradicted the accepted views of previous Republican and Democratic administrations alike about the health effects of air pollution.pic.twitter.com/F2S7mCwPip,2017-11-29 15:34:31,24,50,935894752561688576
Kathleen Hartnett White has said – several times – that fossil fuels ended slavery.pic.twitter.com/THCpn6MMTx,2017-11-29 15:29:17,21,66,935893434505879553
"Kathleen Hartnett White has compared the views of those who believe that human activity is causing climate change to those of ""pagans"" and ""communists."" She's suggested that policies to reduce global warming pollution could lead to poverty and even concentration camps.",2017-11-29 15:27:47,17,27,935893058209673217
"Kathleen Hartnett White refers to renewable energy sources as a ""false hope"" and ""parasitic."" She's called repeatedly for the repeal of the solar and wind tax credits.",2017-11-29 15:26:09,11,16,935892644131205125
The Council on Environmental Quality's responsibility and influence is considerable and consequential. That's why I'm deeply disappointed in the nomination of Kathleen Hartnett White. I cannot urge my colleagues more strongly to oppose her nomination.,2017-11-29 15:19:52,58,33,935891065084760065
"In 1986, enacting tax reform in Congress took years of public hearings and bipartisan negotiations. The idea that a permanent and enduring tax reform plan can come to fruition in mere weeks is the triumph of man's hope over experience.https://twitter.com/SenatorCarper/status/935879709635829763 …",2017-11-29 14:39:46,24,19,935880974679855104
"Any tax bill that's purely partisan, written in the dark and rushed to the finish line is bound to be poorly designed and riddled with inadvertent errors. A flawed process results in a flawed product.https://www.nytimes.com/2017/11/27/us/politics/senate-tax-bills-potential-hurdle-republicans.html …",2017-11-29 14:34:45,39,34,935879709635829763
The last day of #OpenEnrollment is December 15. Keep spreading the word to help more Americans #GetCovered!http://www.delawareonline.com/story/news/2017/11/28/obamacare-enrollment-up-22-percent-compared-last-year/897715001/ …,2017-11-28 17:17:15,23,31,935558219191242752
