Text,Date,Favorites,Retweets,Tweet ID
"With time to debate the #GOPTaxPlan being limited, I decided to go live on Facebook to speak to you directly about why this plan is really a #GOPTaxScam. Watch here: https://www.facebook.com/senatormenendez/videos/10155869016701358/ …pic.twitter.com/3MVPNQ8IW0",2017-11-30 22:24:32,5,6,936360322318917633
This is outrageous. The Trump admin must secure the immediate release of US citizen employees of CITGO detained by the Maduro regime before a Chavez family member takes the helm of an extensive network of refineries & pipelines across the US. #Venezuelahttp://www.houstonchronicle.com/business/energy/article/Citgo-formally-announces-Chavez-as-new-Citgo-CEO-12394836.php …,2017-11-30 20:19:09,16,12,936328770222424064
"Just voted on @SenBobCasey motion to increase workers' wages. Not surprisingly, Republicans shot it down. #GOPTaxScam",2017-11-30 20:06:21,50,57,936325546618826752
"GOP says a corporate tax cut say will raise wages. Really? Okay, how about if it doesn’t raise wages, their taxes go right back. Will Republicans take that bet? Doubt it, but I have to try. #GOPTaxScampic.twitter.com/W3CBba90dF",2017-11-30 17:51:59,73,45,936291734295859200
"""...recent history suggests that when corporations get tax relief, they find abundant uses for money that do not involve paying higher wages. They give dividends to shareholders and stock options to executives. They stash earnings in tax havens.""https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …",2017-11-30 16:34:20,50,44,936272191192272896
"""The tax cut package, for instance, could trigger rules mandating cuts to Medicare,""

""The proposals break from seven decades’ worth of federal efforts to broaden access to higher education.""

“This tax bill is a grand deception,”
https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …",2017-11-30 15:52:22,21,20,936261632686161921
MUST READ! The Trump tax bill we're voting on today is a bait and switch Ponzi scheme that will cause profound damage to our country for generations. https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …,2017-11-30 14:40:12,57,49,936243470565560321
"NJ is an economic powerhouse because we invest in our citizens. We need a tax plan that doesn’t punish us for being a blue state, but rewards us for being a blue-chip state. That's one reason I just voted against motion to proceed to take up the GOP tax plan.pic.twitter.com/Cigq7WzXoK",2017-11-29 22:46:24,154,53,936003437891858433
It’s plain wrong to ask hardworking families to DOUBLE PAY their taxes so  that big corporations can pay LESS. And quite frankly I’m sick and tired of Congress treating New Jersey like America’s piggy bank. #GOPTaxPlan #GOPTaxScampic.twitter.com/VhZvHV3JTI,2017-11-29 22:14:30,123,57,935995410983936001
Just left my office and I’m walking to the senate floor now. Time to WATCH LIVE as I explain how Trump’s tax bill is a massive tax on the success of states like NJ. https://www.menendez.senate.gov/news-and-events/livestream …pic.twitter.com/8SSF7QeaeA,2017-11-29 20:33:50,121,55,935970076255277056
