Text,Date,Favorites,Retweets,Tweet ID
“The vast majority of businesses are small businesses – they also hire and create the vast majority of new jobs in America.”https://twitter.com/SenateGOP/status/935958099814486017 …,2017-11-29 21:53:02,12,5,935990006434422785
"""Surprisingly, #smallbusinesses manage to create the majority of new jobs in America, despite facing a higher tax rate w/ the added burden of spending time & money to comply w/ the current complex tax code.""https://www.youtube.com/watch?v=f28e_GNI40c …",2017-11-28 19:55:53,16,21,935598138068553730
Talking #taxreform for #smallbiz. Watch now: https://m.youtube.com/watch?v=f28e_GNI40c …pic.twitter.com/Shb0OrV4Wo,2017-11-28 15:32:53,7,5,935531950982516736
Glad to welcome @SBALinda - she is living proof that #smallbusinesses turn into big businesses.,2017-11-28 15:31:22,25,11,935531569502216192
Tax reform is tax relief for #smallbiz. Tune in at 10:30am ET to hear more from @SBALinda @SenateMajLdr @JohnCornyn @SenJoniErnst @SenatorFischer @SenToddYoung @SenThomTillis & #smallbiz advocacy. https://m.youtube.com/watch?v=f28e_GNI40c …pic.twitter.com/mr7DySf8Z6,2017-11-28 15:22:50,41,23,935529421649346560
#MainStreetAmerica creates 2 out of every 3 new jobs in our country. Support them & #shopsmall TODAY. #SmallBusinessSaturdaypic.twitter.com/MW6CYqwB0s,2017-11-25 18:29:11,28,10,934489157480697856
Over 29 million #smallbusinesses in the US support our local economies daily. Let's support them tomorrow and #shopsmall. #smallbizsatpic.twitter.com/ifEdrgVXNl,2017-11-24 15:52:26,28,16,934087322005573632
Vicki & I wish you & your family a happy #Thanksgiving.,2017-11-23 15:35:18,22,4,933720621367865344
"Congrats to Tim Petty - my office isn’t losing his incredible talent, rather our country is gaining it!https://twitter.com/POLITICOPro/status/930211175232569345 …",2017-11-14 18:22:50,19,9,930501290395873281
"LIVE FLOOR SPEECH: ""With #taxreform, we have a real opportunity to make changes that will have a tangible, positive impact on the American people & create an environment for our nation’s job creators to prosper.""",2017-11-14 16:20:53,3,4,930470600275046401
"On #taxreform: The aim is ""to make the tax code simpler, fairer & easier to comply with – reducing the burden on taxpayers & creating an environment that enables families & businesses to thrive."" https://www.senate.gov/floor/ ",2017-11-14 16:18:48,1,3,930470076091895808
"Speaking on #Senate floor: ""Tax code makes it difficult for families & small businesses to plan ahead."" #taxreform",2017-11-14 16:17:09,3,6,930469662835593216
HAPPENING NOW: Speaking on #Senate floor about #taxreform. Watch live: http://floor.senate.gov/MediaPlayer.php?view_id=2&event_id=1535 …,2017-11-14 16:16:14,0,3,930469430047531009
Glad the #Senate passed @SenatorShaheen's & my #SmallBizSaturday resolution. #MainStreetAmerica creates 2 out of every 3 new jobs in our country. Don’t forget to #shopsmall on Nov. 25.https://www.sbc.senate.gov/public/index.cfm/pressreleases?ID=556F2CF9-5C46-476C-B4B1-0FDD08E06D61 …,2017-11-13 19:42:04,7,5,930158844554170371
Thank you to the #veterans who have bravely served our country. We all owe a debt of gratitude & respect to these men & women for keeping our country safe & free. #veteransday,2017-11-11 13:18:56,47,14,929337648791150593
"On @CNN: “Kim Jong-un needs to have an absolute, clear understanding of what @POTUS Trump is thinking and what the red lines are. He's dealing with somebody who is completely committed to defending the USA, our allies & our personnel around the world.”http://bit.ly/2yHjyn0 ",2017-11-08 16:15:39,15,12,928294959798734849
LIVE from the rotunda: joining @jaketapper to discuss #NorthKorea. Tune in now.pic.twitter.com/5qdYBDvTmP,2017-11-07 21:18:35,34,3,928008805228609537
LIVE from the rotunda: joining @jaketapper to discuss #NorthKorea. Tune in now.,2017-11-07 21:17:49,1,4,928008614798921728
ICYMI: I was proud to name TelStar Associates in #IdahoFalls as October's #smallbiz of the month. Read more here:https://www.sbc.senate.gov/public/index.cfm/pressreleases?ID=01E3ED85-D9B4-4E7A-BB93-584DD21F15FC …,2017-11-03 16:40:53,6,4,926489368507936769
Talking to @kevinmillershow on @KIDOTalkRadio abt recent #intel hearing w/ tech companies abt Russian-bought ads.http://kidotalkradio.com/listen-live/popup/?wo=true …,2017-11-02 14:44:20,6,4,926097649849241600
