Text,Date,Favorites,Retweets,Tweet ID
"We all have so much to be thankful for. As you gather with friends and family to celebrate Thanksgiving, please say a prayer for the brave Americans who are far from home today, protecting our freedom.pic.twitter.com/4YdGrqz89S",2017-11-23 14:29:41,33,1,933704110410489856
"242 years of courage, honor and faithful service to our nation. Happy birthday to the @USMC! #USMC242pic.twitter.com/B4gFA90NPK",2017-11-10 16:20:35,25,5,929020975416594435
Thank you @SenShelby It's an honor to serve with you.pic.twitter.com/UiKL4mU833,2017-11-09 23:17:51,238,89,928763593948057602
Please keep Pat and their family in your prayers. Jim was a good friend and this is a great loss to our state.http://www.gadsdentimes.com/news/20171030/martin-leaves-legacy-in-public-service-politics …,2017-10-30 23:12:43,27,7,925138423685500935
President Trump wants you to vote for me tonight. Swing by your polling location after work and support our president! #ALSENpic.twitter.com/yGksdShvui,2017-09-26 23:40:04,57,12,912824118944436224
.@realDonaldTrump believes I am the only conservative in this race who can help pass his agenda. I am proud he's on #TeamLuther. Vote now!pic.twitter.com/b0AhICXHyn,2017-09-26 23:20:08,49,18,912819102959489026
We're all mad with DC politicians and the liberal media trying to stop our president. I'm fighting for him and for you every day. #ALSENpic.twitter.com/z8167KbjTC,2017-09-26 22:52:59,44,15,912812273831464960
UPDATE: early exit returns are showing us this will be an EXTREMELY close race! Vote NOW. It could be the difference! #VoteBigLuther #ALSENpic.twitter.com/WlwqxMdmJi,2017-09-26 21:37:31,61,31,912793278965338118
"""Vote for your country. 
Vote for your family. 
Vote for your victory. 
Vote for Luther Strange.""
- @realDonaldTrumppic.twitter.com/cLPKlCwDyA",2017-09-26 20:45:12,76,36,912780114366275584
Thanks for your support! #ALSENhttps://twitter.com/lbush34/status/912774027080544256 …,2017-09-26 20:37:19,27,9,912778131785830400
Thank you for voting to support @realdonaldtrump and myself! Truly appreciate your vote! #ALSENhttps://twitter.com/ASEDawg89/status/912765880811032576 …,2017-09-26 20:35:00,17,5,912777546089078785
Thanks for getting the vote out! Let's keep it going! #ALSENhttps://twitter.com/ASEDawg89/status/912717275295371266 …,2017-09-26 19:57:53,24,14,912768205495685131
"Remember, #MAGA begins in Alabama! Find your polling location and vote today! #ALSEN http://bit.ly/2uNEVMF pic.twitter.com/UZxlafZmj2",2017-09-26 19:11:25,29,11,912756512065560577
Thank you for your support! #ALSEN #MAGAhttps://twitter.com/bamabeckygirl/status/912741306262269960 …,2017-09-26 18:51:20,18,7,912751457455284224
Polls are still open for 6 more hours! Make sure you set aside time to vote today if you haven't already. #ALSENpic.twitter.com/CjoJrQ5X0u,2017-09-26 18:06:17,23,14,912740120561897472
Thank you so much for your support! Please call your friends and neighbors and remind them to vote today! #GOTV #ALSEN #VoteBigLutherpic.twitter.com/7pOoAd6hDP,2017-09-26 16:16:28,53,21,912712483957280769
Spotted in Jefferson County  Have you voted yet? Find your polling location and vote Big Luther today! http://bit.ly/2uNEVMF  #alsen #gotvpic.twitter.com/E38EwLD8db,2017-09-26 15:09:47,31,17,912695702303715328
"Today's the big day! I’d be honored by your vote, & I hope I’ll see you at the polls #ALSen #vote #MAGApic.twitter.com/jeKNwECEu8",2017-09-26 14:28:15,31,12,912685252367327233
Thank you! Remember to vote today! Find your polling location here! #ALSEN http://bit.ly/2uNEVMF https://twitter.com/sonofjaybird/status/912650628945649665 …,2017-09-26 14:12:16,17,7,912681229698441217
Thank you for your vote and for teaching your sons the values of our democracy! #ALSENhttps://twitter.com/CoachJMcGuire/status/912651917154766850 …,2017-09-26 14:07:34,22,9,912680046573301766
Polls are OPEN! Vote for President Trump's pick and support his agenda. #ALSEN #VoteBigLutherpic.twitter.com/WLWIgBETJb,2017-09-26 12:51:32,25,19,912660913576169472
Today is #ElectionDay! Polling locations opening. Make sure you know where to go to #vote!  #ALSEN #MAGA http://bit.ly/2uNEVMF pic.twitter.com/RB3pA6v37i,2017-09-26 12:07:14,40,23,912649762440138753
It's clear that I am the only candidate who has consistently supported President Trump and his agenda. Vote Luther Strange tomorrow! #ALSENpic.twitter.com/aiTJzxQwfX,2017-09-26 02:58:26,72,43,912511651705913345
Thank you Mr. President! With your help we are headed for victory tomorrow! #VoteBigLuther tomorrow! #ALSEN https://twitter.com/realDonaldTrump/status/912494675206053888 …,2017-09-26 02:28:56,54,27,912504229536960515
I am the only candidate President Trump and VP Pence trust to work in the Senate to drain the swamp. #ALSENpic.twitter.com/LRjfCkv4rF,2017-09-26 02:00:02,47,29,912496956127285249
Yes we will #BuildTheWall. Vote for the #TrumpAgenda tomorrow! #VoteBigLuther #ALSENhttps://twitter.com/mike_pence/status/912482715072679936 …,2017-09-26 01:42:10,43,23,912492462463168513
Thank You @mike_pence! This race is so important for our country. Vote tomorrow to deliver @realdonaldtrump and @VP a big victory! #ALSENhttps://twitter.com/mike_pence/status/912484381884809216 …,2017-09-26 01:41:28,43,21,912492285929062401
#ALSen #alpolitics #MAGA @realdonaldtrump @mike_pencepic.twitter.com/VGbEkpZJ55,2017-09-26 01:07:38,31,18,912483769235509248
